"Segment"	"en-ZZ"	"sv-SE"	"ID"	"File"
"1446"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"&amp;ndash; Jo, jag tänkte det, men nu är jag mer intresserad av det där om läxhjälp..."	"Q01R542_question_Convp7_56fc782106bb52.01850166_1_0"	"PISA_swe-SWE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1046"	"&lt;i&gt;*Stationery, print and promotion products, technology supplies. See the general terms of the offer.&lt;/i&gt;"	"&lt;i&gt;*Pappersvaror, tryck- och reklam- produkter, teknisk utrustning. Se de allmänna villkoren för erbjudandet.&lt;/i&gt;"	"R466_stimulus_line3_50c7c9cd7fa099.69718445_0"	"PISA_swe-SWE_REA_R466-WorkRight_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; För inköp mellan 600 kr och 1.499,99 kr återbetalar Arbetskomfort &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; kr.&lt;br /&gt; &gt; För inköp mellan 1.500 kr och 2,999,99 kr återbetalar Arbetskomfort 500 kr.&lt;br /&gt; &gt; För inköp på 3.000 kr eller mera återbetalar Arbetskomfort 1.000 kr.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9cd7fac01.43350369_0"	"PISA_swe-SWE_REA_R466-WorkRight_en15_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"Klicka sedan på pilen NÄSTA för att se den första frågan.."	"R220_question_introBullet3_50c7c0d57704b3.75569839_0"	"PISA_swe-SWE_REA_R220-SouthPole_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"Svara på frågan genom att markera ett av alternativen och ge sedan en förklaring."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_swe-SWE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"180"	"£30"	"359 kr"	"R102_stimulus_tr17td3_50c7af2a836d63.07415230_0"	"PISA_swe-SWE_REA_R102-Shirts_en15_MS2022.xlf"
"5022"	"Click on one or more boxes to answer the question."	"Svara på frågan genom att markera en eller flera rutor."	"R566_question01_q01itemDirections_56fc786b7efb09.20390208_1_0"	"PISA_swe-SWE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5441"	"Web Search"	"Webbsökning"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_swe-SWE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"574"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"Den 14 december 1911, når Amundsen och hans följeslagare de legendariska 90°. Den 25 januari 1912, är den segerrika gruppen tillbaka på Framheim efter en färd fram och tillbaka fullbordad på 97 dagar."	"R220_stimulus_p4_50c7c0d592e191.42623033_0"	"PISA_swe-SWE_REA_R220-SouthPole_en15_MS2022.xlf"
"1545"	"Tutors for All"	"Läxhjälp för alla"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_swe-SWE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4920"	"Web Search"	"Webbsökning"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_swe-SWE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Klicka på pilen NÄSTA för att läsa sagan."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_swe-SWE_REA_R570-TheFavour_en18_MS2022.xlf"
"5431"	"Web Search"	"Webbsökning"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_swe-SWE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3863"	"Web Search"	"Webbsökning"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_swe-SWE_REA_R560-GarbagePatch_en18_MS2022.xlf"
"495"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"Den 14 december 1911, når Amundsen och hans följeslagare de legendariska 90°. Den 25 januari 1912, är den segerrika gruppen tillbaka på Framheim efter en färd fram och tillbaka fullbordad på 97 dagar."	"R220_stimulus_p4_50c7c0d58affb6.82050210_0"	"PISA_swe-SWE_REA_R220-SouthPole_en15_MS2022.xlf"
"5215"	"Click on one or more boxes to answer the question."	"Svara på frågan genom att markera en eller flera rutor."	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_swe-SWE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
