"Segment"	"en-ZZ"	"ro-RO"	"ID"	"File"
"5642"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Citește informația de mai jos."	"q00body_q00itemDirections_5c9d225c1daca6.57636802_0_0"	"PISA_ron-ROU_REA_R590-Sentences01_en21_MS2022.xlf"
"5128"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R568_question03_q03itemDirections_5c9d225b919bb2.38251586_1_0"	"PISA_ron-ROU_REA_R568-SpaceDebris_en21_MS2022.xlf"
"4431"	"Click on the NEXT arrow to read the brochure."	"Dă clic pe săgeata ÎNAINTE pentru a citi pliantul."	"q00body_q00p3_5c9d225ad634e6.58888224_0"	"PISA_ron-ROU_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"955"	"Give a reason for your answer."	"Argumentează-ți răspunsul"	"R404_question_itemStem_5c3f6276021164.02801215_4_0"	"PISA_ron-ROU_REA_R404-Sleep_en21_MS2022.xlf"
"1105"	"Give a reason for your answer."	"Argumentează-ți răspunsul"	"R446_question_itemStem_5c3f627bbff893.40519962_2_0"	"PISA_ron-ROU_REA_R446-JobVacancy_en21_MS2022.xlf"
"2030"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R543_question1_itemDirections_5c9d219e7968e9.01052398_1_0"	"PISA_ron-ROU_REA_R543-Nobel_en21_MS2022.xlf"
"3480"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R556_question5_itemDirections_5c9d21a02610c3.63790339_1_0"	"PISA_ron-ROU_REA_R556-Microlending_en21_MS2022.xlf"
"3868"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R560_question07_q07itemDirections_5c9d225a2f6d99.11968305_1_0"	"PISA_ron-ROU_REA_R560-GarbagePatch_en21_MS2022.xlf"
"5547"	"YES"	"DA"	"U590_stimulus1_AnswerYes_5c9d225c12c1b7.08333356_0"	"PISA_ron-ROU_REA_R590-Sentences01_en21_MS2022.xlf"
"2212"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Pentru a răspunde, dă clic pe una dintre variante și apoi redactează o explicație.&lt;/i&gt;"	"R544_question12_itemDirections_5c9d219eaecf11.08950368_1_0"	"PISA_ron-ROU_REA_R544-Tesla_en21_MS2022.xlf"
"4660"	"Newspaper Article"	"Articol"	"R566_Stimulus04_stimulus4_4_5c9d225b1ef5a0.12653615_0"	"PISA_ron-ROU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2065"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R543_question3_itemDirections_5c9d219e7f2af3.30104921_1_0"	"PISA_ron-ROU_REA_R543-Nobel_en21_MS2022.xlf"
"4349"	"Refer to the different webpages of the website on the right."	"Raportează-te la diferitele pagini de internet din dreapta."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_0_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4793"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R566_question06_q06itemDirections_5c9d225b2fd044.38681925_1_0"	"PISA_ron-ROU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2337"	"Click on the choices in the table to answer the question."	"Dă clic pe variantele de răspuns din tabel pentru a răspunde la întrebare."	"R545_question03_Q03itemDirections_5c9d219edb2657.97091233_1_0"	"PISA_ron-ROU_REA_R545-MachuPicchu_en21_MS2022.xlf"
"3846"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R560_question04_q04itemDirections_5c9d225a2b2482.58661381_1_0"	"PISA_ron-ROU_REA_R560-GarbagePatch_en21_MS2022.xlf"
"3716"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R559_question01_q01itemDirections_5c9d225a094583.08629248_1_0"	"PISA_ron-ROU_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"1437"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below."	"&lt;b&gt;2) Completaţi&lt;/b&gt; formularul de mai jos."	"R466_stimulus_section2_5c3f627f023102.22681935_0_0"	"PISA_ron-ROU_REA_R466-WorkRight_en21_MS2022.xlf"
"5167"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R568_question08_q08itemDirections_5c9d225b990248.85148475_1_0"	"PISA_ron-ROU_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3500"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R556_question8_itemDirections_5c9d21a02a9c27.07477347_1_0"	"PISA_ron-ROU_REA_R556-Microlending_en21_MS2022.xlf"
"1742"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Dă clic pe &lt;b&gt;Adevărat&lt;/b&gt; sau &lt;b&gt;Fals&lt;/b&gt; pentru fiecare afirmație."	"Q07_question_Q07p2_5c9d219e3bd593.06084435_1_0"	"PISA_ron-ROU_REA_R541-Plastic_en21_MS2022.xlf"
"3999"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R561_question01_q01itemDirections_5c9d225a515840.43883744_1_0"	"PISA_ron-ROU_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4817"	"Click on a choice and then type an explanation to answer the question."	"Dă clic pe o variantă și apoi redactează o explicație pentru a răspunde la întrebare."	"R566_question09_q09itemDirections_5c9d225b351ba2.97186226_1_0"	"PISA_ron-ROU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4375"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R563_question06_q06itemDirections_5c9d225ab08fb8.61774619_1_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"1739"	"Click on the choices in the table to answer the question."	"Dă clic pe variantele de răspuns din tabel pentru a răspunde la întrebare."	"Q07_question_Q07itemDirections_5c9d219e3bd283.68280238_1_0"	"PISA_ron-ROU_REA_R541-Plastic_en21_MS2022.xlf"
"5482"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R570_question02_q02itemDirections_5c9d225be73056.15969994_1_0"	"PISA_ron-ROU_REA_R570-TheFavour_en21_MS2022.xlf"
"2274"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R544_question9_itemDirections_5c9d219eb9e0e2.04420842_1_0"	"PISA_ron-ROU_REA_R544-Tesla_en21_MS2022.xlf"
"666"	"Mar"	"Mart"	"R220_stimulus_mar_5c3f627334fa79.35214663_0"	"PISA_ron-ROU_REA_R220-SouthPole_en21_MS2022.xlf"
"4022"	"Click on the choices in the table to answer the question."	"Dă clic pe variantele din tabel pentru a răspunde la întrebare."	"R561_question04_q04itemDirections_5c9d225a584ac1.71572491_1_0"	"PISA_ron-ROU_REA_R561-OlympicFlag_en21_MS2022.xlf"
"3653"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dă clic pe variantele din tabel pentru a răspunde la întrebare.&lt;/i&gt;"	"R558_question8_itemDirections_5c9d2259dff4b4.26787399_1_0"	"PISA_ron-ROU_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2540"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele din tabel."	"R547_question7_itemDirections_5c9d219f1f6623.95886149_1_0"	"PISA_ron-ROU_REA_R547-BookSurvey_en21_MS2022.xlf"
"3316"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R553_question4_q04itemDirections_5c9d219fde8d53.78783329_1_0"	"PISA_ron-ROU_REA_R553-HealthForum_en21_MS2022.xlf"
"4116"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R562_question01_q01itemDirections_5c9d225a8485a4.12121265_1_0"	"PISA_ron-ROU_REA_R562-OpeningNight_en21_MS2022.xlf"
"4905"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R567_question04_q04itemDirections_5c9d225b5e6145.15954865_2_0"	"PISA_ron-ROU_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3631"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele de răspuns&lt;/i&gt;"	"R558_question5_itemDirections_5c9d2259db4ee2.88569696_1_0"	"PISA_ron-ROU_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4995"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R568_question10_q10itemDirections_5c9d225b6c40d0.03274707_1_0"	"PISA_ron-ROU_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3675"	"Explain your answer."	"Justifică-ţi răspunsul."	"R558_question09_Q09p6_5c9d2259e1c177.99115138_0"	"PISA_ron-ROU_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4330"	"Refer to the different webpages of the website on the right."	"Raportează-te la diferitele pagini de internet din dreapta."	"R563_question01_q01itemDirections_5c9d225aa81f50.68031492_0_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3857"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R560_question06_q06itemDirections_5c9d225a2dfd60.74432509_1_0"	"PISA_ron-ROU_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4459"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R564_question03_q03itemDirections_5c9d225ad99568.65149557_1_0"	"PISA_ron-ROU_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"2076"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R543_question5_itemDirections_5c9d219e828549.10101766_1_0"	"PISA_ron-ROU_REA_R543-Nobel_en21_MS2022.xlf"
"4276"	"Date"	"Data"	"R563-stimulus-communtity_stimulus_culture_sports_10_5c9d225aa35183.56672884_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2264"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Pentru a răspunde, dă clic pe una dintre variante și apoi redactează o explicație.&lt;/i&gt;"	"R544_question6_itemDirections_5c9d219eb685e2.41999055_1_0"	"PISA_ron-ROU_REA_R544-Tesla_en21_MS2022.xlf"
"5519"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R570_question06_q06itemDirections_5c9d225bece499.21816193_1_0"	"PISA_ron-ROU_REA_R570-TheFavour_en21_MS2022.xlf"
"4617"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele de răspuns&lt;/i&gt;"	"R565_question7_itemDirections_5c9d225b067290.45114409_1_0"	"PISA_ron-ROU_REA_R565-SittingDisease_en21_MS2022.xlf"
"3609"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dă clic pe variantele din tabel pentru a răspunde la întrebare.&lt;/i&gt;"	"R558_question2_itemDirections_5c9d2259d6cf69.19154311_1_0"	"PISA_ron-ROU_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5356"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"q4R569_question_q04itemDirections_5c9d225bc32b91.09930143_1_0"	"PISA_ron-ROU_REA_R569-TheCleanup_en21_MS2022.xlf"
"5531"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R570_question08_q08itemDirections_5c9d225bf00637.46983770_1_0"	"PISA_ron-ROU_REA_R570-TheFavour_en21_MS2022.xlf"
"4448"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R564_question02_q02itemDirections_5c9d225ad871c4.82679481_1_0"	"PISA_ron-ROU_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"5325"	"Use drag and drop to answer the question."	"Pentru a răspunde la întrebare, folosește funcția mouse-ului „trage și plasează”."	"q2R569_question_q02itemDirections_5c9d225bc00fc8.49987510_1_0"	"PISA_ron-ROU_REA_R569-TheCleanup_en21_MS2022.xlf"
"3652"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Raportează-te la ambele surse din dreapta dând clic pe fiecare filă."	"R558_question8_itemDirections_5c9d2259dff4b4.26787399_0_0"	"PISA_ron-ROU_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4389"	"Refer to the different webpages of the website on the right."	"Raportează-te la diferitele pagini de internet din dreapta."	"R563_question10_q10itemDirections_5c9d225aba3a33.94198593_0_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2744"	"Click on the choices in the table to answer the question."	"Dă clic pe variantele de răspuns din tabel pentru a răspunde la întrebare."	"R549_question08_q08itemDirections_5c9d219f5152d7.03553824_1_0"	"PISA_ron-ROU_REA_R549-MessageInABottle_en21_MS2022.xlf"
"574"	"Mar"	"Mart"	"R220_stimulus_mar_5c3f62733101a4.18046185_0"	"PISA_ron-ROU_REA_R220-SouthPole_en21_MS2022.xlf"
"5655"	"YES"	"DA"	"U901_stimulus_r2c2_5c9d225c1f13b4.99021583_0"	"PISA_ron-ROU_REA_R590-Sentences01_en21_MS2022.xlf"
"3443"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R556_question1_itemDirections_5c9d21a0206c18.88355179_2_0"	"PISA_ron-ROU_REA_R556-Microlending_en21_MS2022.xlf"
"5493"	"Click on the choices in the table to answer the question."	"Dă clic pe variantele din tabel pentru a răspunde la întrebare."	"R570_question04_q04itemDirections_5c9d225be9dcc8.06998933_1_0"	"PISA_ron-ROU_REA_R570-TheFavour_en21_MS2022.xlf"
"5471"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R570_question01_q01itemDirections_5c9d225be5e855.55796963_1_0"	"PISA_ron-ROU_REA_R570-TheFavour_en21_MS2022.xlf"
"4634"	"Newspaper Article"	"Articol"	"R566_Stimulus01_stimulus1_4_5c9d225b1ba0c1.01552199_0"	"PISA_ron-ROU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4350"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_1_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4658"	"Newspaper Article"	"Articol"	"R566_Stimulus03_stimulus3_4_5c9d225b1dda78.84246250_0"	"PISA_ron-ROU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5651"	"YES"	"DA"	"U901_stimulus_r1c2_5c9d225c1f0cf1.11219378_0"	"PISA_ron-ROU_REA_R590-Sentences01_en21_MS2022.xlf"
"3642"	"Click on a search result to answer the question.&lt;/i&gt;"	"Dă clic pe unul dintre rezultatele căutării pentru a răspunde la întrebare.&lt;/i&gt;"	"R558_question7_itemDirections_5c9d2259de3d30.86993518_1_0"	"PISA_ron-ROU_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4978"	"Click on the NEXT arrow to read the webpage."	"Dă clic pe săgeata ÎNAINTE pentru a citi pagina de internet."	"q0a-body_q0a-p3_5c9d225b68bf31.21236283_0"	"PISA_ron-ROU_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4362"	"Refer to the different webpages of the website on the right."	"Raportează-te la diferitele pagini de internet din dreapta."	"R563_question05_q05itemDirections_5c9d225aaed320.38553670_0_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3458"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R556_question3_itemDirections_5c9d21a0235112.70152956_2_0"	"PISA_ron-ROU_REA_R556-Microlending_en21_MS2022.xlf"
"5345"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"q3R569_question_q03itemDirections_5c9d225bc19df3.83780861_1_0"	"PISA_ron-ROU_REA_R569-TheCleanup_en21_MS2022.xlf"
"2493"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f166ae3.43581469_1_0"	"PISA_ron-ROU_REA_R547-BookSurvey_en21_MS2022.xlf"
"2088"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R543_question6_itemDirections_5c9d219e841e59.06022258_1_0"	"PISA_ron-ROU_REA_R543-Nobel_en21_MS2022.xlf"
"2201"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R544_question11_itemDirections_5c9d219ead6f93.72484522_1_0"	"PISA_ron-ROU_REA_R544-Tesla_en21_MS2022.xlf"
"2240"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R544_question_itemDirections_5c9d219eb20160.68433201_1_0"	"PISA_ron-ROU_REA_R544-Tesla_en21_MS2022.xlf"
"4755"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R566_question03_q03itemDirections_5c9d225b2b2f50.49516650_1_0"	"PISA_ron-ROU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"1470"	"Between £150 and £299.99"	"Între 60 și 149,99 de lei"	"R466_stimulus_sect3left_5c3f627f024dd9.30310248_0_0"	"PISA_ron-ROU_REA_R466-WorkRight_en21_MS2022.xlf"
"4579"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele de răspuns&lt;/i&gt;"	"R565_question01_itemDirections_5c9d225af1ed07.51831905_1_0"	"PISA_ron-ROU_REA_R565-SittingDisease_en21_MS2022.xlf"
"5179"	"Click on the NEXT arrow to read the webpage."	"Dă clic pe săgeata ÎNAINTE pentru a citi pagina de internet."	"q0a-body_q0a-p2_5c9d225b9c1346.99722333_0"	"PISA_ron-ROU_REA_R568-SpaceDebris_en21_MS2022.xlf"
"536"	"1"	""	"R220_stimulus_stimulusH_4_5c3f62732f5477.79495817_0"	"PISA_ron-ROU_REA_R220-SouthPole_en21_MS2022.xlf"
"2054"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R543_question2_itemDirections_5c9d219e7d71b2.22721691_1_0"	"PISA_ron-ROU_REA_R543-Nobel_en21_MS2022.xlf"
"4363"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R563_question05_q05itemDirections_5c9d225aaed320.38553670_1_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"358"	"T"	"J"	"R219_stimulus_stimulus_7_5c3f62713c6090.27129846_0"	"PISA_ron-ROU_REA_R219-Employment_en21_MS2022.xlf"
"5659"	"YES"	"DA"	"U901_stimulus_r3c2_5c9d225c1f1846.95318399_0"	"PISA_ron-ROU_REA_R590-Sentences01_en21_MS2022.xlf"
"4152"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R562_question05_q05itemDirections_5c9d225a8a72c7.90956094_1_0"	"PISA_ron-ROU_REA_R562-OpeningNight_en21_MS2022.xlf"
"3469"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R556_question4_itemDirections_5c9d21a024b0e0.57299231_1_0"	"PISA_ron-ROU_REA_R556-Microlending_en21_MS2022.xlf"
"2527"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R547_question6_itemDirections_5c9d219f1d98c8.80414353_1_0"	"PISA_ron-ROU_REA_R547-BookSurvey_en21_MS2022.xlf"
"5508"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R570_question05_q05itemDirections_5c9d225beb6572.44466392_1_0"	"PISA_ron-ROU_REA_R570-TheFavour_en21_MS2022.xlf"
