"Segment"	"en-ZZ"	"id-ID"	"ID"	"File"
"3913"	"Are the following statements true or false?"	"Apakah pernyataan-pernyataan berikut benar atau salah?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_ind-IDN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4580"	"D"	"P"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketiklah penjelasan untuk jawabanmu."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_ind-IDN_MAT_MA156-Points_en21_MS2022.xlf"
"4395"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2MA151_question_q2itemDirections_5c9d216543c0a5.48560059_1_0"	"PISA_ind-IDN_MAT_MA151-MovingOut_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_ind-IDN_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_ind-IDN_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4696"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2MA157_question_q2itemDirections_5c9d216572eb83.90804733_1_0"	"PISA_ind-IDN_MAT_MA157-Tyres_en21_MS2022.xlf"
"3444"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"xxCMA137_question_q1itemDirections_5c9d21646f0047.88877228_1_0"	"PISA_ind-IDN_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1471"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA119_question1_itemDirections1_5c9d214ad702a0.84429473_1_0"	"PISA_ind-IDN_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"3760"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA143_question01_q1itemDirections_5c9d2164bd09f7.43448559_1_0"	"PISA_ind-IDN_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"3619"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA140_question2_q2itemDirections_5c9d21649c7fa5.69809185_1_0"	"PISA_ind-IDN_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"5278"	"Mean"	"Rata-rata"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_ind-IDN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Jelaskan jawabanmu dan sertakan perhitungan untuk mendukung jawabanmu."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_ind-IDN_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3686"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q4CMA141_question_q4itemDirections_5c9d2164a9ca08.40004442_1_0"	"PISA_ind-IDN_MAT_MA141-WaterBill_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_ind-IDN_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"3578"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"CMA139_question_q1itemDirections_5c9d2164903766.73853823_1_0"	"PISA_ind-IDN_MAT_MA139-TabletCover_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Jumlah &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_ind-IDN_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1633"	"2 stars"	"2 Bintang"	"Page02_stimulus_S02tr5td1_5c9d214af011e0.10936163_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1755"	"1 star"	"1 Bintang"	"question0a_1_Q00tr6td1_5c9d214b005e11.38011221_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1446"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_ind-IDN_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Ketik jawabanmu  dalam bentuk angka  terhadap pertanyaan berikut."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Klik pada satu kotak atau lebih untuk menjawab pertanyaan berikut."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_ind-IDN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4124"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA147q4_question_q4itemDirections_5c9d21650b66f4.19975110_1_0"	"PISA_ind-IDN_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4177"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q1MA148_question_q1itemDirections_5c9d21651b0cc9.30517555_1_0"	"PISA_ind-IDN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1662"	"4 stars"	"4 Bintang"	"Page03_stimulus_S03tr3td1_5c9d214af1d048.93352395_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3275"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2CMA135_question_q2itemDirections_5c9d2164502f75.93836961_1_0"	"PISA_ind-IDN_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"592"	"Use the simulator to help you answer the question below."	"Gunakan simulator untuk membantumu menjawab pertanyaan berikut."	"MA108q02_question_q02itemDirections_5c9d2136c1f750.90859666_1_0"	"PISA_ind-IDN_MAT_MA108-Fountains_en21_MS2022.xlf"
"2749"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA130_question03_itemDirectionsQ03_5c9d214b8dfe44.39422320_1_0"	"PISA_ind-IDN_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"2803"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA131_question2_q2itemDirections_5c9d214ba31f93.93028518_1_0"	"PISA_ind-IDN_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3708"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA142_questionq1_q1itemDirections_5c9d2164b33733.31465748_1_0"	"PISA_ind-IDN_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"2790"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA131_question1_q1itemDirections_5c9d214ba1ed50.83741588_1_0"	"PISA_ind-IDN_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1839"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA121_question03_Q03itemDirections_5c9d214b07d797.77931049_1_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Klik pada dua kotak untuk menjawab pertanyaan berikut."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ind-IDN_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketiklah penjelasan untuk jawabanmu."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_ind-IDN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klik &lt;b&gt;Benar&lt;/b&gt; atau &lt;b&gt;Salah&lt;/b&gt; untuk setiap pernyataan pada tabel di bawah."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_ind-IDN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Kilk, geser, dan letakkan jawaban yang sesuai untuk menjawab pertanyaan."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_ind-IDN_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"1629"	"3 stars"	"3 Bintang"	"Page02_stimulus_S02tr4td1_5c9d214af00d37.39182151_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"Ketiklah jawabanmu."	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_ind-IDN_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"1595"	"1 star"	"1 Bintang"	"Page01_stimulus_S01tr6td1_5c9d214aee6699.36998340_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Ketik jawabanmu  dalam bentuk angka  terhadap pertanyaan berikut."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_ind-IDN_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1697"	"5 stars"	"5 Bintang"	"Page03_stimulus_S03T2tr2td1_5c9d214af20227.41283365_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1574"	"4 stars"	"4 Bintang"	"Page01_stimulus_S01tr3td1_5c9d214aee4992.95288658_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Klik pada satu kotak atau lebih untuk menjawab pertanyaan berikut."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_ind-IDN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Ingat untuk memilih &lt;b&gt;satu kotak atau lebih&lt;/b&gt;."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ind-IDN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3674"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q3CMA141_question_q3itemDirections_5c9d2164a87c86.43889590_1_0"	"PISA_ind-IDN_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Ketik jawabanmu  dalam bentuk angka  terhadap pertanyaan berikut."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_ind-IDN_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketiklah penjelasan untuk jawabanmu."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4295"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2MA150_question_q2itemDirections_5c9d216538ee88.41324335_1_0"	"PISA_ind-IDN_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Kerajaan Inggris"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_ind-IDN_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1657"	"5 stars"	"5 Bintang"	"Page03_stimulus_S03tr2td1_5c9d214af1ca00.98625007_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Jelaskan jawabanmu dan sertakan perhitungan untuk mendukung jawabanmu."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_ind-IDN_MAT_MA146-Fuel_en21_MS2022.xlf"
"3359"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA136_question01_q1itemDirections_5c9d216460bbf5.70131128_1_0"	"PISA_ind-IDN_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1581"	"3 stars"	"3 Bintang"	"Page01_stimulus_S01tr4td1_5c9d214aee5420.10289396_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Klik pada satu kotak atau lebih untuk menjawab pertanyaan berikut."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_ind-IDN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4597"	"D"	"P"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1588"	"2 stars"	"2 Bintang"	"Page01_stimulus_S01tr5td1_5c9d214aee5d63.99362511_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Untuk menggunakan kalkulator, ikuti langkah berikut:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_ind-IDN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketiklah penjelasan untuk jawabanmu."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_ind-IDN_MAT_MA146-Fuel_en21_MS2022.xlf"
"1672"	"2 stars"	"2 Bintang"	"Page03_stimulus_S03tr5td1_5c9d214af1dc84.36748181_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3545"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2CMA138_question_q2itemDirections_5c9d21648472a1.52007146_1_0"	"PISA_ind-IDN_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"4252"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2MA149_question_q2itemDirections_5c9d21652c3193.71873749_1_0"	"PISA_ind-IDN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3340"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q4CMA135_question_q4itemDirections_5c9d21645385f9.31439715_1_0"	"PISA_ind-IDN_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3260"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"CMA135_question_q1itemDirections_5c9d21644eed99.25860806_1_0"	"PISA_ind-IDN_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1734"	"4 stars"	"4 Bintang"	"question0a_1_Q00tr3td1_5c9d214b004166.24269106_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketiklah penjelasan untuk jawabanmu."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_ind-IDN_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1531"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA120_question1_itemDirections1_5c9d214ae25a25.45268216_1_0"	"PISA_ind-IDN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ind-IDN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1567"	"5 stars"	"5 Bintang"	"Page01_stimulus_S01tr2td1_5c9d214aee4117.90212647_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4902"	"Click on the choices in the table to answer the question."	"Klik pada pilihan jawaban di tabel di bawah ini untuk menjawab pertanyaan berikut."	"q1MA160_question_q1itemDirections_5c9d21377c33e0.63336318_2_0"	"PISA_ind-IDN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4850"	"Mean"	"Rata-rata"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_ind-IDN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1637"	"1 star"	"1 Bintang"	"Page02_stimulus_S02tr6td1_5c9d214af016c3.72029338_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1949"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA124_question1_itemDirections1_5c9d214b402246.10061217_1_0"	"PISA_ind-IDN_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4000"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA146q2_question_q2itemDirections_5c9d2164ecdb44.24311045_1_0"	"PISA_ind-IDN_MAT_MA146-Fuel_en21_MS2022.xlf"
"1621"	"5 stars"	"5 Bintang"	"Page02_stimulus_S02tr2td1_5c9d214af00428.31642796_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4590"	"D"	"P"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klik &lt;b&gt;Benar&lt;/b&gt; atau &lt;b&gt;Salah&lt;/b&gt; untuk masing-masing pernyataan."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_ind-IDN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketiklah penjelasan untuk jawabanmu."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_ind-IDN_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Ketik jawabanmu  dalam bentuk angka  terhadap pertanyaan berikut."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_ind-IDN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1251"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA115_question02_q02itemDirections_5c9d214a9187a5.96523157_1_0"	"PISA_ind-IDN_MAT_MA115-Iceberg_en21_MS2022.xlf"
"1706"	"2 stars"	"2 Bintang"	"Page03_stimulus_S03T2tr5td1_5c9d214af210c7.86669503_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_ind-IDN_MAT_MA114-Honey_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Klik pada satu kotak atau lebih untuk menjawab pertanyaan berikut."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_ind-IDN_MAT_MA114-Honey_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Ketik jawabanmu  dalam bentuk angka  terhadap pertanyaan berikut."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_ind-IDN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1401"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA117_question01_q01itemDirections_5c9d214aacc999.01242355_1_0"	"PISA_ind-IDN_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klik pada &lt;b&gt;Benar&lt;/b&gt; atau &lt;b&gt;Salah&lt;/b&gt; untuk setiap pernyataan."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_ind-IDN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_ind-IDN_MAT_MA126-Robot_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_ind-IDN_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"5075"	"Statement"	"Pertanyaan"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ind-IDN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3630"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_1_0"	"PISA_ind-IDN_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"1748"	"2 stars"	"2 Bintang"	"question0a_1_Q00tr5td1_5c9d214b005434.43072378_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_ind-IDN_MAT_MA115-Iceberg_en21_MS2022.xlf"
"1677"	"1 star"	"1 Bintang"	"Page03_stimulus_S03tr6td1_5c9d214af1e2f6.66428084_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ind-IDN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4514"	"Use the simulator to help you answer the question below."	"Gunakan simulator untuk membantumu menjawab pertanyaan berikut."	"MA153q02_question_q02itemDirections_5c9d213746bb12.40931470_1_0"	"PISA_ind-IDN_MAT_MA153-Gears_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_ind-IDN_MAT_MA123-SolarSystem_en21_MS2022.xlf"
