"Segment"	"en-ZZ"	"ru-QZ"	"ID"	"File"
"4101"	"True"	"Верно"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_rus-QAZ_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3678"	"Tyson Electronics"	"«Тайсон Электроникс»"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_rus-QAZ_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4971"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_rus-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2705"	"General Information"	"Общие сведения"	"R550_tours_tours_l2_56fc785cd3a437.22088880_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2569"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_1_0"	"PISA_rus-QAZ_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5979"	"How should Charles respond?"	"Что Чингизу следует ему ответить?"	"R570_question07_q07p2_56fc787980d795.85902410_0"	"PISA_rus-QAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"4878"	"Website"	"Веб-сайт"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_rus-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4391"	"Date"	"Дата"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4500"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5220"	"Refer to the Web Search on the right."	"Прочитайте страницу «Поиск в Интернете», расположенную справа."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4537"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5454"	"Refer to the Web Search on the right."	"Прочитайте страницу «Поиск в Интернете», расположенную справа."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5365"	"Web Search"	"Поиск в Интернете"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5744"	"Cans"	"Банки из-под напитков"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_rus-QAZ_REA_R569-TheCleanup_en18_MS2022.xlf"
"2690"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_map_map_l4_56fc785cd18831.80713295_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"190"	"&lt;i&gt;Refer to the two-page newspaper article on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Прочитайте газетную статью, расположенную  справа на двух страницах. Напечатайте Ваш ответ на вопрос.&lt;/i&gt;"	"R102_question_itemDirections_56cee1d03b5786.57630782_0"	"PISA_rus-QAZ_REA_R102-Shirts_en18_MS2022.xlf"
"5230"	"Refer to the Web Search on the right."	"Прочитайте страницу «Поиск в Интернете», расположенную справа."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4602"	"Click on the NEXT arrow to read the brochure."	"Чтобы прочитать брошюру, нажмите на стрелку ДАЛЕЕ."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_rus-QAZ_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2736"	"Winter"	"Зимой"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2596"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2035"	"Is the statement true or false?"	"Согласно информации, представленной в брошюре, верно или неверно данное утверждение?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_rus-QAZ_REA_R545-MachuPicchu_en18_MS2022.xlf"
"6006"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R570_question09_q09itemDirections_56fc7879881e32.81696271_1_0"	"PISA_rus-QAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"1303"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"Q11_question_Q11itemDirections_56fc7820daace5.46406594_1_0"	"PISA_rus-QAZ_REA_R541-Plastic_en18_MS2022.xlf"
"4485"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2832"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"3965"	"Click on the NEXT arrow to read the article."	"Чтобы прочитать эту статью, нажмите на стрелку ДАЛЕЕ."	"q00bbody_q00bp2_56fc784a832d02.66358957_0"	"PISA_rus-QAZ_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4518"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4566"	"Type your answers to the questions."	"Напечатайте Ваши ответы на вопрос."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4464"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R563_question03_q03itemDirections_56fc786b410592.73244337_1_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5097"	"Web Search"	"Поиск в Интернете"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5476"	"True"	"Верно"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5477"	"False"	"Неверно"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2619"	"General Information"	"Общие сведения"	"R550_cliff_palace_cp_l2_56fc785ccaeff5.57842989_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"5007"	"Refer to the Web Search on the right."	"Прочитайте страницу «Поиск в Интернете», расположенную справа."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_rus-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4854"	"Web Search"	"Поиск в Интернете"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_rus-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5770"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"q6R569_question_q06itemDirections_56fc787954aeb9.99591068_1_0"	"PISA_rus-QAZ_REA_R569-TheCleanup_en18_MS2022.xlf"
"4876"	"Website"	"Веб-сайт"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_rus-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4068"	"Type your answer to the question."	"Выберите ответ и кликните мышью, а затем напечатайте Ваш ответ на вопрос."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_rus-QAZ_REA_R561-OlympicFlag_en18_MS2022.xlf"
