"Segment"	"en-ZZ"	"es-CL"	"ID"	"File"
"2774"	"The Run button to display the results."	"El botón Ejecutar para mostrar los resultados."	"menu_1_menuLi3_5179d18c75a577.37741917_0"	"PISA_esp-CHL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2372"	"decrease"	"disminuirá"	"question5_1_o5_2_517c866cce87d1.86453744_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_517c866c1493e8.49871839_0"	"PISA_esp-CHL_SCI_S615-Tsunami_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Para ver cómo funcionan los controles de la simulación, sigue los siguientes pasos:"	"question1_1_q01p2_5179d18c787771.34906238_0"	"PISA_esp-CHL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2248"	"1000"	"1.000"	"js_translation_data_1000_517c866cc0cee2.92771253_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2608"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de ampolletas&lt;/b&gt;&lt;br /&gt; Pregunta"	"question4_1_itemTitle04_5179d18c3c29d9.69203028_0"	"PISA_esp-CHL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2456"	"Low"	"Bajo"	"stimulus2_1_stimulus2_44_517c866cd9f842.05399866_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"737"	"No"	"NO"	"S498_question3_question3_2_50ec5c89850e52.12092969_0"	"PISA_esp-CHL_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S648_Q0_itemDirections0_51543fc6ecc6d6.10259623_0"	"PISA_esp-CHL_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1816"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question3_itemTitle_3_51484257f14358.64460797_0"	"PISA_esp-CHL_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2375"	"increase"	"aumentará"	"question5_1_o5b_1_517c866cce8f65.81474457_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la siguiente información. Haz clic en uno o más de un casillero para responder la pregunta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c3c3109.76596197_0"	"PISA_esp-CHL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Haz clic en las alternativas de la tabla para responder la siguiente pregunta.&lt;/i&gt;"	"S638_question4_itemDirections4_51658351727f06.49231365_0"	"PISA_esp-CHL_SCI_S638-OilSpills_en15_MS2022.xlf"
"2457"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_517c866cd9fbc7.43288021_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Moderada"	"sim_1_simSlopeMed_517c866c229f33.08839423_0"	"PISA_esp-CHL_SCI_S615-Tsunami_en15_MS2022.xlf"
"1363"	"Birds and Caterpillars Introduction"	"Pájaros y orugas Introducción"	"S607_stimulus1_attr_alt_attr_stimulus1_3_5146f1d3e78c20.07458564_0"	"PISA_esp-CHL_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1523"	"Medium"	"Moderada"	"js_translation_slopeMedium_517c866c11dfe4.07185303_0"	"PISA_esp-CHL_SCI_S615-Tsunami_en15_MS2022.xlf"
"2341"	"decrease"	"disminuirá"	"question3_1_o3_2_517c866cca7289.26782965_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Escribe tu respuesta a la pregunta.&lt;/i&gt;"	"S638_question5_itemDirections5_51658351744252.29613438_0"	"PISA_esp-CHL_SCI_S638-OilSpills_en15_MS2022.xlf"
"645"	"Bacteria"	"Las bacterias."	"S478_question1_question1_3_50ed1d0bc08dc2.08836828_0"	"PISA_esp-CHL_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2997"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question3_itemTitleqS3_51543fc90f3329.53871036_0"	"PISA_esp-CHL_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2245"	"Medium"	"Medio"	"js_translation_medium_517c866cc0bb10.48262966_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2432"	"2000"	"2.000"	"stimulus2_1_ylabel_2000p_517c866cd978d9.91614839_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_aMenuP3_5179d18b0a1a87.78061985_0"	"PISA_esp-CHL_SCI_S634-Vaccination_en15_MS2022.xlf"
"935"	"higher"	"mayores"	"S602_question4_S602Q04SELECT31_5146f1d3220749.32583095_0"	"PISA_esp-CHL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2433"	"1000"	"1.000"	"stimulus2_1_ylabel_1000p_517c866cd97b59.37639306_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_5179d18c770887.32162936_0"	"PISA_esp-CHL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2973"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Utiliza la función de arrastrar y soltar para responder esta pregunta.&lt;/i&gt;"	"S657_question1_itemDirections1_51543fc9029627.67941998_0"	"PISA_esp-CHL_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"1364"	"Birds and Caterpillars Introduction"	"Pájaros y orugas Introducción"	"S607_stimulus1_attr_alt_attr_stimulus1_4_5146f1d3e78e62.86505835_0"	"PISA_esp-CHL_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2452"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_517c866cd9cda5.35528622_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"En esta simulación, podrás explorar cómo afecta el volumen de capturas de bacalao y arenque a la biomasa de cada tipo de organismo de la bahía tras un periodo de cinco años."	"question2_1_P21_517c866cc892f7.27640294_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"736"	"Yes"	"SÍ"	"S498_question3_question3_1_50ec5c89850aa0.55632251_0"	"PISA_esp-CHL_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2371"	"increase"	"aumentará"	"question5_1_o5_1_517c866cce8576.85368889_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; El efecto isla de calor urbana&lt;/b&gt;&lt;br /&gt; Pregunta"	"S602_question4_qitemTitle4_5146f1d321d3e6.33512336_0"	"PISA_esp-CHL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"CS634_intro_itemDirections0_5179d18b0b9014.87025385_0"	"PISA_esp-CHL_SCI_S634-Vaccination_en15_MS2022.xlf"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Recuerda seleccionar &lt;b&gt;uno o más de un &lt;/b&gt; casillero."	"question1_1_q1p3_5179d18b0ff3a1.14274601_0"	"PISA_esp-CHL_SCI_S634-Vaccination_en15_MS2022.xlf"
"1341"	"Birds and Caterpillars"	"Pájaros y orugas"	"S607_stimulus1_stimulus1_1_5146f1d3e6f926.78018243_0"	"PISA_esp-CHL_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_menuP2_5179d18c759b73.95768713_0"	"PISA_esp-CHL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2590"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de ampolletas&lt;/b&gt;&lt;br /&gt; Pregunta"	"question3_1_itemTitle03_5179d18c3a7ea6.89906203_0"	"PISA_esp-CHL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1803"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question2_itemTitle_2_51484257ed0b68.78002511_0"	"PISA_esp-CHL_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2376"	"decrease"	"disminuirá"	"question5_1_o5b_2_517c866cce91e1.21839113_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta «Ammonoideos» de la derecha. Utiliza la función de arrastrar y soltar para responder a la pregunta.&lt;/i&gt;"	"S608_question2_itemDirections2_5138b1f49d4426.64565757_0"	"PISA_esp-CHL_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2345"	"decrease"	"disminuirá"	"question3_1_o3b_2_517c866cca8617.75823500_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Para seleccionar una fila de datos para responder a una pregunta, haz clic en cualquier parte de la fila. La fila o filas que selecciones se marcarán con una estrella."	"menu_1_menuP5_5179d18c75b138.29008136_0"	"PISA_esp-CHL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Para eliminar cualquier fila de datos, haz clic en el botón de eliminar situado junto a esa fila."	"menu_1_menuP4_5179d18c75ad75.67833698_0"	"PISA_esp-CHL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2455"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_517c866cd9f405.42115461_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"936"	"lower"	"menores"	"S602_question4_S602Q04SELECT32_5146f1d3220c05.59682257_0"	"PISA_esp-CHL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2450"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_517c866cd9c221.62218651_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Bajo"	"stimulus2_1_stimulus2_36_517c866cd9c7a6.07608979_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta  «Agua de niebla» a la derecha. Haz clic en uno o más de un casillero para responder la pregunta.&lt;/i&gt;"	"S604_question3_itemDirections3_51658350eeabb5.95394349_0"	"PISA_esp-CHL_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2244"	"Low"	"Bajo"	"js_translation_low_517c866cc0b622.59988102_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Alto"	"js_translation_high_517c866cc0c011.23722423_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"aumentará"	"question3_1_o3_1_517c866cca6dd3.87035140_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"3010"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question4_itemTitleqS4_51543fc913f809.27524802_0"	"PISA_esp-CHL_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes usar los siguientes controles:"	"menu_1_menuP2_5179d18c3603e7.48672848_0"	"PISA_esp-CHL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2453"	"High"	"Alto"	"stimulus2_1_stimulus2_38_517c866cd9d2d9.65194173_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"aumentará"	"question3_1_o3b_1_517c866cca8149.85234485_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1829"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question4_itemTitle_4_51484258014321.57686303_0"	"PISA_esp-CHL_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2500"	"Disadvantage"	"Inconveniente"	"S638_question2_header2_516583516ee8a9.85837732_0"	"PISA_esp-CHL_SCI_S638-OilSpills_en15_MS2022.xlf"
