"Segment"	"en-ZZ"	"sv-SE"	"ID"	"File"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Kom ihåg att markera &lt;b&gt;en eller flera&lt;/b&gt; rutor."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_swe-SWE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1048"	"65+"	"66+"	"MA113S02_stimulus_T02tr3td7_5c9d214a6674b1.26334003_0"	"PISA_swe-SWE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4721"	"50%"	"50 %"	"MA158_stimulus_r4c5_5c9d2165799e85.21387774_0"	"PISA_swe-SWE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Förklara ditt svar och motivera med beräkningar."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_swe-SWE_MAT_MA146-Fuel_en21_MS2022.xlf"
"4729"	"50%"	"50 %"	"MA158_stimulus_r5c7_5c9d216579ab00.59196640_0"	"PISA_swe-SWE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Kom ihåg att markera &lt;b&gt;en eller flera&lt;/b&gt; rutor."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_swe-SWE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Förklara ditt svar och motivera med beräkningar."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_swe-SWE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Använd siffertangenterna och skriv dina svar på frågan."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_swe-SWE_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Dra och släpp för att svara på frågan."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_swe-SWE_MAT_MA157-Tyres_en21_MS2022.xlf"
"4194"	"20%"	"20 %"	"q2MA148_question_question02_5_5c9d21651c6599.77212609_0"	"PISA_swe-SWE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3903"	"4%"	"4 %"	"q2MA144_question_question02_4_5c9d2164cfd643.79201671_0"	"PISA_swe-SWE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4727"	"50%"	"50 %"	"MA158_stimulus_r5c5_5c9d216579a840.16385707_0"	"PISA_swe-SWE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Följ de här stegen för att använda räknaren:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_swe-SWE_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5075"	"Statement"	"Fråga"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_swe-SWE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_swe-SWE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Markera antingen &lt;b&gt;Sant&lt;/b&gt; eller &lt;b&gt;Falskt&lt;/b&gt; för varje påstående."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_swe-SWE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1939"	"30%"	"30 %"	"MA124_stimulus1_MA124S01PiesRightLowP2_5c9d214b3edc43.76239355_0"	"PISA_swe-SWE_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Dra och släpp för att svara på frågan."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_swe-SWE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1932"	"38%"	"38 %"	"MA124_stimulus1_MA124S01PiesLeftLowP4_5c9d214b3ed114.74226948_0"	"PISA_swe-SWE_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Använd dra och släpp för att svara på frågan."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_swe-SWE_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4850"	"Mean"	"Medelvärde (genomsnitt)"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_swe-SWE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4741"	"50%"	"50 %"	"MA158_stimulus_r7c7_5c9d216579c0f6.18614827_0"	"PISA_swe-SWE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"990"	"65+"	"66+"	"MA113S02_stimulus_tr3td7_5c9d214a662766.11417679_0"	"PISA_swe-SWE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_swe-SWE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Kom ihåg att markera &lt;b&gt;en eller flera&lt;/b&gt; rutor."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_swe-SWE_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Markera antingen &lt;b&gt;Sant&lt;/b&gt; eller &lt;b&gt;Falskt&lt;/b&gt; för varje påstående."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_swe-SWE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4401"	"40%"	"40 %"	"q2MA151_question_question02_7_5c9d216543caf3.85352516_0"	"PISA_swe-SWE_MAT_MA151-MovingOut_en21_MS2022.xlf"
