"Segment"	"en-ZZ"	"ka-GE"	"ID"	"File"
"4552"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_1_0"	"PISA_geo-GEO_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5264"	"Click on the choices in the table to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ცხრილში მოცემულ სასურველ ვარიანტებზე."	"R567_question09_q09itemDirections_56fc7879177010.04490145_1_0"	"PISA_geo-GEO_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5742"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"q4R569_question_q04itemDirections_56fc787951ec51.23159211_1_0"	"PISA_geo-GEO_REA_R569-TheCleanup_en18_MS2022.xlf"
"2035"	"Is the statement true or false?"	"ბროშურის თანახმად, ეს დებულება ჭეშმარიტია თუ მცდარი?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_geo-GEO_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5244"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"დააწკაპუნეთ &lt;b&gt;ჭეშმარიტი&lt;/b&gt; ან &lt;b&gt;მცდარი&lt;/b&gt; თითოეული დებულების გასწვრივ."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_geo-GEO_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1777"	"Then click on the NEXT arrow.&lt;/i&gt;"	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე  &lt;b&gt;შემდეგი.&lt;/b&gt; &lt;/i&gt;"	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_geo-GEO_REA_R544-Tesla_en18_MS2022.xlf"
"3416"	"&lt;i&gt;Refer to “Microlending Gone Wrong” on the right."	"&lt;i&gt;გამოიყენეთ მარჯვნივ მოცემული ტექსტი „მიკროკრედიტის ცუდი მხარე&quot;."	"R556_question8_itemDirections_56fc783adbd281.82516807_0_0"	"PISA_geo-GEO_REA_R556-Microlending_en18_MS2022.xlf"
"5778"	"Click on a choice and then type an explanation to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე და შემდეგ ჩაწერეთ თქვენი პასუხის დასაბუთება."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_geo-GEO_REA_R569-TheCleanup_en18_MS2022.xlf"
"2345"	"Things to Do Before You’re 20"	"რა უნდა გააკეთო სანამ 20 წლის გახდები"	"R547_question10_question10_20_56fc782e1540a1.47459531_0"	"PISA_geo-GEO_REA_R547-BookSurvey_en18_MS2022.xlf"
"4744"	"Then click on the NEXT arrow.&lt;/i&gt;"	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე &lt;b&gt;შემდეგ&lt;/b&gt;.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_geo-GEO_REA_R565-SittingDisease_en18_MS2022.xlf"
"3678"	"Tyson Electronics"	"„ტაისონ ელექტრონიქსი“"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_geo-GEO_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2780"	"Refer to the different webpages of the website on the right."	"&lt;i&gt;გამოიყენეთ  მარჯვნივ მოცემული ვებგვერდის სხვადასხვა გვერდი."	"R550_question05_q05itemDirections_56fc785ce59224.28868554_0_0"	"PISA_geo-GEO_REA_R550-CliffPalace_en18_MS2022.xlf"
"6006"	"Type your answer to the question."	"ჩაწერეთ თქვენი პასუხი შეკითხვაზე."	"R570_question09_q09itemDirections_56fc7879881e32.81696271_1_0"	"PISA_geo-GEO_REA_R570-TheFavour_en18_MS2022.xlf"
"4450"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_1_0"	"PISA_geo-GEO_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3552"	"Then click on the NEXT arrow.&lt;/i&gt;"	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე  &lt;b&gt;შემდეგი.&lt;/b&gt;&lt;br /&gt;&lt;/i&gt;"	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_geo-GEO_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5097"	"Web Search"	"ონლაინ ძიება"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_geo-GEO_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4971"	"Type your answer to the question."	"ჩაწერეთ თქვენი პასუხი შეკითხვაზე."	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_geo-GEO_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4054"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე."	"R561_question01_q01itemDirections_56fc785d275c31.65450272_1_0"	"PISA_geo-GEO_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2767"	"Click on a choice to answer the question."	"შეკითხვაზე  პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე. &lt;/i&gt;"	"R550_question04_q04itemDirections_56fc785ce36323.12198026_1_0"	"PISA_geo-GEO_REA_R550-CliffPalace_en18_MS2022.xlf"
"5925"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"დააწკაპუნეთ &lt;b&gt;დიახ&lt;/b&gt; ან &lt;b&gt;არა&lt;/b&gt; თითოეული აქტივობის გასწვრივ."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_geo-GEO_REA_R570-TheFavour_en18_MS2022.xlf"
"5007"	"Refer to the Web Search on the right."	"&lt;i&gt;გამოიყენეთ მარჯვნივ მოცემული ონლაინ ძიების შედეგები."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_geo-GEO_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1927"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე და შემდეგ ჩაწერეთ თქვენი პასუხის დასაბუთება. &lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_geo-GEO_REA_R544-Tesla_en18_MS2022.xlf"
"4565"	"Refer to the different webpages of the website on the right."	"გამოიყენეთ მარჯვნივ მოცემული ვებგვერდის სხვადასხვა გვერდი."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_geo-GEO_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2591"	"Home"	"მთავარი გვერდი"	"R550_ancestral_ancestral_l1_56fc785cc8d224.57710597_0"	"PISA_geo-GEO_REA_R550-CliffPalace_en18_MS2022.xlf"
"5536"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"დააწკაპუნეთ &lt;b&gt;დიახ&lt;/b&gt; ან &lt;b&gt;არა&lt;/b&gt; თითოეული მოსაზრების გასწვრივ."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4443"	"Type your answer to the question."	"შეკითხვაზე თქვენი პასუხი ჩაწერეთ."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_geo-GEO_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2670"	"Hours"	"საათები"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_geo-GEO_REA_R550-CliffPalace_en18_MS2022.xlf"
"3954"	"Read the Introduction."	"წაიკითხეთ შესავალი,"	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_0_0"	"PISA_geo-GEO_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1263"	"Refer to the webpage on the right."	"გამოიყენეთ მარჯვნივ მოცემული ვებგვერდი."	"Q05_question_Q05itemDirections_56fc7820d65671.48215910_0_0"	"PISA_geo-GEO_REA_R541-Plastic_en18_MS2022.xlf"
"5178"	"Type your answer to the question."	"ჩაწერეთ თქვენი პასუხი შეკითხვაზე."	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_geo-GEO_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4040"	"Then click on the NEXT arrow."	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე &lt;b&gt;შემდეგი.&lt;/b&gt;&lt;br /&gt;"	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_geo-GEO_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2976"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_geo-GEO_REA_R552-FestiRock_en18_MS2022.xlf"
"3175"	"Click on a choice to answer the question."	"შეკითხვაზე  პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე."	"R553_question2_q02itemDirections_56fc784a5d6452.10662812_1_0"	"PISA_geo-GEO_REA_R553-HealthForum_en18_MS2022.xlf"
"3790"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"გამოიყენეთ მარჯვნივ მოცემული ტექსტი „ნალინი ნადკარნი: ხეებით გატაცება”."	"R559_question06_q06itemDirections_56fc783b2a4803.17940809_0_0"	"PISA_geo-GEO_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3942"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე."	"R560_question07_q07itemDirections_56fc784a80bb23.32450086_1_0"	"PISA_geo-GEO_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5520"	"Click on a choice to answer the question."	"შეკითხვაზე  პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე."	"R568_question06_q06itemDirections_56fc784aaa2498.41264310_1_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5580"	"Click on the NEXT arrow to read the webpage."	"ვებგვერდის გასაცნობად, დააწკაპუნეთ ისრიან ღილაკზე &lt;b&gt;შემდეგი.&lt;/b&gt;"	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5199"	"Click on the choices in the table to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ცხრილში მოცემულ სასურველ ვარიანტებზე."	"R567_question05_q05itemDirections_56fc787910ed76.86602726_1_0"	"PISA_geo-GEO_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3720"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R559_question01_q01itemDirections_56fc783b245423.47469729_1_0"	"PISA_geo-GEO_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3057"	"Click on a choice and then type an explanation to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე და შემდეგ ჩაწერეთ თქვენი პასუხის დასაბუთება."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_geo-GEO_REA_R552-FestiRock_en18_MS2022.xlf"
"5511"	"Refer to the Web Search on the right."	"გამოიყენეთ მარჯვნივ მოცემული ონლაინ ძიების შედეგები."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2074"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R545_question02_Q07itemDirections_56fc7821b1ae23.99363686_1_0"	"PISA_geo-GEO_REA_R545-MachuPicchu_en18_MS2022.xlf"
"658"	"Then click on the NEXT arrow to view the first question."	"პირველი შეკითხვის სანახავად, დააწკაპუნეთ ისრიან ღილაკზე  &lt;b&gt;შემდეგი&lt;/b&gt;."	"R404_question_introBullet3_56c6ed00ca5f13.16313015_0"	"PISA_geo-GEO_REA_R404-Sleep_en18_MS2022.xlf"
"1937"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"გამოიყენეთ მარჯვნივ მოცემული ტექსტი „მომავლის ადამიანი“."	"R544_question8_itemDirections_56fc7821801f42.81584931_0_0"	"PISA_geo-GEO_REA_R544-Tesla_en18_MS2022.xlf"
"5571"	"Type your answer to the question."	"ჩაწერეთ თქვენი პასუხი შეკითხვაზე."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5872"	"Read the information below."	"&lt;i&gt;წაიკითხეთ ქვემოთ მოცემული ინფორმაცია."	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_0_0"	"PISA_geo-GEO_REA_R570-TheFavour_en18_MS2022.xlf"
"1277"	"Refer to the webpage on the right."	"გამოიყენეთ მარჯვნივ მოცემული ვებგვერდი."	"Q09_question_Q09itemDirections_56fc7820d7dce5.98398486_0_0"	"PISA_geo-GEO_REA_R541-Plastic_en18_MS2022.xlf"
"2645"	"Home"	"მთავარი გვერდი"	"R550_general_info_gi_l1_56fc785ccd89f9.96697154_0"	"PISA_geo-GEO_REA_R550-CliffPalace_en18_MS2022.xlf"
"1782"	"Click on the NEXT arrow to read the first source."	"პირველი წყაროს წასაკითხად, დააწკაპუნეთ ისრიან ღილაკზე  &lt;b&gt;შემდეგი.&lt;/b&gt;"	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_geo-GEO_REA_R544-Tesla_en18_MS2022.xlf"
"5491"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე. &lt;/i&gt;"	"R568_question03_q03itemDirections_56fc784aa61dd0.11236281_1_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"961"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;N-ოფისი&lt;br /&gt; აბაშიძის ქ. 18&lt;br /&gt; 0173 თბილისი &lt;br /&gt;საქართველო&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_56c6ed01278115.19743900_0"	"PISA_geo-GEO_REA_R466-WorkRight_en18_MS2022.xlf"
"5149"	"Click on one or more boxes to answer the question."	"&lt;i&gt;შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ერთ ან მეტ უჯრაზე.&lt;/i&gt;"	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_geo-GEO_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"950"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"10 წლისაა&lt;br /&gt; და გაწეულ ხარჯებს აგინაზღაურებთ"	"R466_stimulus_line1_56c6ed012762d4.38477882_0"	"PISA_geo-GEO_REA_R466-WorkRight_en18_MS2022.xlf"
"4464"	"Type your answer to the question."	"ჩაწერეთ თქვენი პასუხი შეკითხვაზე."	"R563_question03_q03itemDirections_56fc786b410592.73244337_1_0"	"PISA_geo-GEO_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5515"	"Click on a search result to answer the question."	"პასუხის გასაცემად, დააწკაპუნეთ ძიების ერთ-ერთ შედეგზე."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3145"	"Then click on the NEXT arrow.&lt;/i&gt;"	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე  &lt;b&gt;შემდეგი.&lt;/b&gt;&lt;br /&gt;&lt;/i&gt;"	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_geo-GEO_REA_R553-HealthForum_en18_MS2022.xlf"
"1436"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"Q05R542_question_Q05itemDirections_56fc78210d1328.39002237_1_0"	"PISA_geo-GEO_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3311"	"&lt;i&gt;Read the introduction."	"&lt;i&gt;წაიკითხეთ შესავალი"	"question00_itemDirections00_56fc783ab76215.52042641_0_0"	"PISA_geo-GEO_REA_R556-Microlending_en18_MS2022.xlf"
"3733"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"გამოიყენეთ მარჯვნივ მოცემული ტექსტი „ნალინი ნადკარნი: ხეებით გატაცება“."	"R559_question02_q02itemDirections_56fc783b259b76.36684830_0_0"	"PISA_geo-GEO_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5476"	"True"	"ჭეშმარიტია"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"271"	"S"	"კვ."	"R219_stimulus_stimulus_10_56c6ed0099ca36.28701172_0"	"PISA_geo-GEO_REA_R219-Employment_en18_MS2022.xlf"
"5858"	"Then click on the NEXT arrow."	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე &lt;b&gt;შემდეგი.&lt;/b&gt;&lt;br /&gt;"	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_1_0"	"PISA_geo-GEO_REA_R570-TheFavour_en18_MS2022.xlf"
"3776"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R559_question05_q05itemDirections_56fc783b2928b3.13861690_1_0"	"PISA_geo-GEO_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"2420"	"Then click on the NEXT arrow."	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე &lt;b&gt;შემდეგი.&lt;/b&gt;&lt;br /&gt;"	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_geo-GEO_REA_R549-MessageInABottle_en18_MS2022.xlf"
"6109"	"Then click on the NEXT arrow.&lt;/i&gt;"	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე &lt;b&gt;შემდეგი.&lt;/b&gt;"	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_geo-GEO_REA_R590-Sentences01_en18_MS2022.xlf"
"5770"	"Type your answer to the question."	"ჩაწერეთ თქვენი პასუხი შეკითხვაზე."	"q6R569_question_q06itemDirections_56fc787954aeb9.99591068_1_0"	"PISA_geo-GEO_REA_R569-TheCleanup_en18_MS2022.xlf"
"3192"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;მოზარდთა ჯანმრთელობის ფორუმი&lt;/b&gt; &lt;br /&gt;"	"R553_question4_q04itemTitle_56fc784a5fe265.49123770_0_0"	"PISA_geo-GEO_REA_R553-HealthForum_en18_MS2022.xlf"
"4218"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R562_question01_q01itemDirections_56fc783b408936.21098071_1_0"	"PISA_geo-GEO_REA_R562-OpeningNight_en18_MS2022.xlf"
"5681"	"Then click on the NEXT arrow."	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე &lt;b&gt;შემდეგი.&lt;/b&gt; &lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_1_0"	"PISA_geo-GEO_REA_R569-TheCleanup_en18_MS2022.xlf"
"2704"	"Home"	"მთავარი გვერდი"	"R550_tours_tours_l1_56fc785cd39f45.21730838_0"	"PISA_geo-GEO_REA_R550-CliffPalace_en18_MS2022.xlf"
"2719"	"Then click on the NEXT arrow."	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე  &lt;b&gt;შემდეგი.&lt;/b&gt;&lt;br /&gt;"	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_geo-GEO_REA_R550-CliffPalace_en18_MS2022.xlf"
"4991"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R566_question04_q04itemDirections_56fc786b86c2c3.21174983_1_0"	"PISA_geo-GEO_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2832"	"Type your answer to the question."	"ჩაწერეთ თქვენი პასუხი შეკითხვაზე."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_geo-GEO_REA_R550-CliffPalace_en18_MS2022.xlf"
"3209"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;მოზარდთა ჯანმრთელობის ფორუმი&lt;/b&gt; &lt;br /&gt;"	"R553_question5_q05itemTitle_56fc784a613eb5.79028688_0_0"	"PISA_geo-GEO_REA_R553-HealthForum_en18_MS2022.xlf"
