"Segment"	"en-ZZ"	"es-CR"	"ID"	"File"
"3718"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dele clic en las opciones de la tabla que respondan la pregunta.&lt;/i&gt;"	"R558_question8_itemDirections_56fc786b1259f5.61081922_1_0"	"PISA_esp-CRI_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3777"	"Read the Introduction."	"Lea la introducción."	"q00body_q00itemDirections_56fc783b2348f3.80349298_0_0"	"PISA_esp-CRI_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"4944"	"Website"	"Sitio Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-CRI_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_esp-CRI_REA_R553-HealthForum_en18_MS2022.xlf"
"2012"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Considere el texto &quot;El hombre del futuro&quot;  de la derecha."	"R544_question9_itemDirections_56fc782181a288.51990939_0_0"	"PISA_esp-CRI_REA_R544-Tesla_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Dele clic en una opción y escriba la explicación solicitada."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_esp-CRI_REA_R561-OlympicFlag_en18_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50d36dcb199a99.08817103_0"	"PISA_esp-CRI_REA_R219-Employment_en15_MS2022.xlf"
"5739"	"Read the Introduction."	"Lea la introducción."	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_0_0"	"PISA_esp-CRI_REA_R569-TheCleanup_en18_MS2022.xlf"
"758"	"&lt;b&gt;About a Book&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ACERCA DE UN LIBRO &lt;/b&gt;&lt;br /&gt; Pregunta"	"R432_question_itemTitle_50d378bdc1f5d1.70598424_0"	"PISA_esp-CRI_REA_R432-AboutABook_en15_MS2022.xlf"
"5123"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check;&lt;i&gt;Recuerde seleccionar &lt;b&gt;una o varias&lt;/b&gt; opciones.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_esp-CRI_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"Dele clic en un resultado de la búsqueda para responder la pregunta.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_esp-CRI_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Dele clic en el resultado de la busqueda para reponder la pregunta."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_esp-CRI_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1062"	"County/ State:"	"Provincia"	"R466_stimulus_s2line11_50d37b3c46ed24.64529749_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"1851"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_esp-CRI_REA_R544-Tesla_en18_MS2022.xlf"
"5786"	"Park"	"Parque"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_esp-CRI_REA_R569-TheCleanup_en18_MS2022.xlf"
"895"	"False"	"Falso"	"R455_question_tr1th3_50d37059683d37.78525052_0"	"PISA_esp-CRI_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Dele clic en el resultado de la busqueda para reponder la pregunta."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_esp-CRI_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1060"	"Town/ City:"	"Localidad"	"R466_stimulus_line10_50d37b3c46e0c7.95596453_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"5001"	"Read the Introduction."	"Lea la introducción."	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_0_0"	"PISA_esp-CRI_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5923"	"Read the Introduction."	"Lea la introducción."	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_0_0"	"PISA_esp-CRI_REA_R570-TheFavour_en18_MS2022.xlf"
"2315"	"&lt;i&gt;Refer to the Survey Results on the right."	"&lt;i&gt;Considere los resultados del cuestionario  de la derecha."	"R547_question6_itemDirections_56fc782e0d8454.46459147_0_0"	"PISA_esp-CRI_REA_R547-BookSurvey_en18_MS2022.xlf"
"1955"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dele clic en las opciones de la tabla que respondan la pregunta.&lt;/i&gt;"	"R544_question4_itemDirections_56fc78217afe38.91956313_1_0"	"PISA_esp-CRI_REA_R544-Tesla_en18_MS2022.xlf"
"3240"	"Refer to the Teen Health Forum on the right."	"Considere el foro sobre  la salud de los adolescentes de la derecha."	"R553_question2_q02itemDirections_56fc784a5d6452.10662812_0_0"	"PISA_esp-CRI_REA_R553-HealthForum_en18_MS2022.xlf"
"4942"	"Website"	"Sitio Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-CRI_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"¿Cuál es el importe total de los materiales de oficina OFI-TICO* que ha comprado?&lt;br /&gt;"	"R466_stimulus_section3_50d37b3c46fc39.10393837_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_esp-CRI_REA_R553-HealthForum_en18_MS2022.xlf"
"748"	"&lt;b&gt;About a Book&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ACERCA DE UN LIBRO &lt;/b&gt;&lt;br /&gt; Pregunta"	"R432_question_itemTitle_50d378bdbfc139.04753321_0"	"PISA_esp-CRI_REA_R432-AboutABook_en15_MS2022.xlf"
"576"	"The worst has happened"	"Ha sucedido lo peor"	"R220_stimulus_stimulusHQ4_3_50d3748c414402.02721655_0"	"PISA_esp-CRI_REA_R220-SouthPole_en15_MS2022.xlf"
"2003"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Considere el texto &quot;El hombre del futuro&quot; de la derecha."	"R544_question8_itemDirections_56fc7821801f42.81584931_0_0"	"PISA_esp-CRI_REA_R544-Tesla_en18_MS2022.xlf"
"513"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;S POLO SUR - DOCUMENTO  2&lt;/b&gt;"	"R220_stimulus_title_50d3748c3d9d91.71397934_0"	"PISA_esp-CRI_REA_R220-SouthPole_en15_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lea la información siguiente."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_esp-CRI_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2485"	"Read the Introduction."	"Lea la introducción."	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_0_0"	"PISA_esp-CRI_REA_R549-MessageInABottle_en18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50d36dcb19a753.65922845_0"	"PISA_esp-CRI_REA_R219-Employment_en15_MS2022.xlf"
"585"	"20 hours&lt;br /&gt;of darkness"	"20 hours&lt;br /&gt;oscuridad"	"R220_stimulus_label3_50d3748c43dfd2.73907534_0"	"PISA_esp-CRI_REA_R220-SouthPole_en15_MS2022.xlf"
"409"	"&lt;i&gt;Refer to the documents in &quot;South Pole&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Considere los documentos del texto &quot;POLO SUR&quot; de la derecha. Dele clic a la opción que responde la pregunta.&lt;/i&gt;"	"R220_question_itemDirections_50d3748c34a449.36652720_0"	"PISA_esp-CRI_REA_R220-SouthPole_en15_MS2022.xlf"
"2784"	"Read the Introduction."	"Lea la introducción."	"q00body_q00itemDirections_56fc785cdb7056.90765917_0_0"	"PISA_esp-CRI_REA_R550-CliffPalace_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Clases particulares para todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_esp-CRI_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3693"	"&lt;i&gt;Refer to the Home Health Journal webpage on the right."	"&lt;i&gt;Considere  la página web del Periódico sobre salud en casa de la derecha."	"R558_question6_itemDirections_56fc786b0f3f55.03223461_0_0"	"PISA_esp-CRI_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1056"	"Given Name:"	"Nombre"	"R466_stimulus_line8_50d37b3c46cfd5.75152859_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Dele clic en la flecha SIGUIENTE para  leer el sitio web."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_esp-CRI_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Dele clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; en cada afirmación."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_esp-CRI_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1070"	"£300 or more&lt;br /&gt;"	"Igual o superior a ¢30 000&lt;br /&gt;"	"R466_stimulus_sect3left_50d37b3c470ea7.63669726_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Dele clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; en cada afirmación."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_esp-CRI_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dele clic en las opciones de la tabla que respondan la pregunta.&lt;/i&gt;"	"R556_question10_itemDirections_56fc783adf40b1.80389977_1_0"	"PISA_esp-CRI_REA_R556-Microlending_en18_MS2022.xlf"
"3018"	"Read the Introduction."	"Lea la introducción."	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_0_0"	"PISA_esp-CRI_REA_R552-FestiRock_en18_MS2022.xlf"
"3497"	"Click on a choice to answer the question.&lt;/i&gt;"	"Dele clic a la opción que responde la pregunta. &lt;/i&gt;"	"R556_question9_itemDirections9_56fc783add6b18.78125777_1_0"	"PISA_esp-CRI_REA_R556-Microlending_en18_MS2022.xlf"
"1058"	"Address:"	"Domicilio:"	"R466_stimulus_line9_50d37b3c46d833.65136492_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Dele clic en la flecha SIGUIENTE para leer la ficha informativa."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_esp-CRI_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"Dele clic en un resultado de la búsqueda para responder la pregunta."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_esp-CRI_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4020"	"Read the Introduction."	"Lea la introducción."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_0_0"	"PISA_esp-CRI_REA_R560-GarbagePatch_en18_MS2022.xlf"
"582"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt; POLO SUR - DOCUMENTO 2&lt;/b&gt;"	"R220_stimulus_title_50d3748c43d536.06371755_0"	"PISA_esp-CRI_REA_R220-SouthPole_en15_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Complete &lt;/b&gt; el formulario que aparece en la parte inferior&lt;br /&gt; &lt;b&gt;3/ Adjunte &lt;/b&gt; una copia de su comprobante de compra, así como el código o códigos de barras y la etiqueta o etiquetas con el precio de los productos origi&lt;br /&gt; &lt;b&gt;4/ Envíelo&lt;/b&gt;, dentro de los 15 días siguientes a la compra, a la siguiente dirección: &lt;br /&gt;"	"R466_stimulus_section2_50d37b3c46bc21.29234000_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lea la información siguiente."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_esp-CRI_REA_R590-Sentences01_en18_MS2022.xlf"
"1064"	"Post code:"	"Código postal"	"R466_stimulus_line12_50d37b3c46f449.58637158_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_esp-CRI_REA_R544-Tesla_en18_MS2022.xlf"
"4855"	"Give one example."	"Escriba un ejemplo."	"R565_question4_q04p2_56fc785d5dbe67.20096851_0"	"PISA_esp-CRI_REA_R565-SittingDisease_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Dele clic en el resultado de la búsqueda que responde la pregunta."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_esp-CRI_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1915"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dele clic en las opciones de la tabla que respondan la pregunta.&lt;/i&gt;"	"R544_question13_itemDirections_56fc7821777325.89058352_1_0"	"PISA_esp-CRI_REA_R544-Tesla_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Dele clic en el resultado de la búsqueda para reponder la pregunta."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_esp-CRI_REA_R567-SmokeJumpers_en18_MS2022.xlf"
