"Segment"	"en-ZZ"	"he-IL"	"ID"	"File"
"2693"	"Then click on the NEXT arrow."	"ולאחר מכן לחצו על החץ &quot;הבא&quot;."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_heb-ISR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1715"	"Read the introduction."	"קראו את ההקדמה,"	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_0_0"	"PISA_heb-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"סמנו &lt;b&gt;נכון&lt;/b&gt; או &lt;b&gt;לא נכון&lt;/b&gt; עבור כל אחד מההיגדים בטבלה שלפניכם."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_heb-ISR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4578"	"A"	"ע"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_heb-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"כדי להשתמש במחשבון זה, בצעו את הפעולות האלה:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_heb-ISR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"כדי להשתמש במחשבון זה, בצעו את הפעולות האלה:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_heb-ISR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ שימו לב: אפשר לבחור תשובה &lt;b&gt;אחת או יותר&lt;/b&gt;."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_heb-ISR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"סמנו &lt;b&gt;כן&lt;/b&gt; או &lt;b&gt;לא&lt;/b&gt; עבור כל היגד."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_heb-ISR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"442"	"Click on a choice to answer the question."	"סמנו את תשובתכם."	"M105_question5_itemDirections5_5c9d2136771724.04274916_2_0"	"PISA_heb-ISR_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ שימו לב: אפשר לבחור תשובה &lt;b&gt;אחת או יותר&lt;/b&gt;."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_heb-ISR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"כדי לענות על השאלה, סמנו תשובה אחת או יותר."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_heb-ISR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4930"	"and"	"ו -"	"q2MA160_question_q2sp2_5c9d21377dd856.86309130_0"	"PISA_heb-ISR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4577"	"D"	"ת"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_heb-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"כדי לענות על השאלה, סמנו תשובה אחת או יותר."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_heb-ISR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"ולאחר מכן לחצו על החץ &quot;הבא&quot;."	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_heb-ISR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3864"	"269 kJ"	"66 קק&quot;ל"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_heb-ISR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1437"	"False"	"לא &lt;br /&gt;נכון"	"MA117_question04_Q4tr1th3_5c9d214ab153e6.56658837_0"	"PISA_heb-ISR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"הקלידו את תשובתכם לשאלה בעזרת מקשי המספרים."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_heb-ISR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"כדי לענות על השאלה, סמנו תשובה אחת או יותר."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_heb-ISR_MAT_MA114-Honey_en21_MS2022.xlf"
"2187"	"Then click on the NEXT arrow."	"ולאחר מכן לחצו על החץ &quot;הבא&quot;."	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_1_0"	"PISA_heb-ISR_MAT_MA126-Robot_en21_MS2022.xlf"
"4581"	"A"	"ע"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_heb-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"כדי לענות על השאלה, גררו את האותיות למקום המתאים בגרף."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_heb-ISR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"5440"	"Population"	"אוכלוסייה"	"js_translation_population_5c9d2137d7d9a3.64884104_0"	"PISA_heb-ISR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5345"	"Use the spreadsheet to help you answer the question below."	"השתמשו בגיליון האלקטרוני כדי לענות על השאלות."	"q2MA161_question_q2itemDirections_5c9d2137d316f3.78151292_1_0"	"PISA_heb-ISR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"2692"	"Read the introduction."	"קראו את ההקדמה,"	"question0a_1_itemDirections00_5c9d214b887736.20535767_0_0"	"PISA_heb-ISR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"כדי לענות על השאלה, גררו את התשובות אל המקומות המתאימים."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_heb-ISR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4597"	"D"	"ת"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_heb-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1135"	"False"	"לא &lt;br /&gt;נכון"	"Q02MA113_question_Q02tr1th3_5c9d214a6c4030.04851682_0"	"PISA_heb-ISR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3550"	"cm"	"סנטימטרים"	"q2CMA138_question_question02_6_5c9d2164847a51.73603701_0"	"PISA_heb-ISR_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"5167"	"and"	"ו -"	"q3MA160_question_q3sp2_5c9d2137a56885.78999279_0"	"PISA_heb-ISR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1716"	"Then click on the NEXT arrow."	"ולאחר מכן לחצו על החץ &quot;הבא&quot;."	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_heb-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"כדי לענות על השאלה, סמנו תשובה אחת או יותר."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_heb-ISR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
