"Segment"	"en-ZZ"	"ar-JO"	"ID"	"File"
"2736"	"None"	"معدوم"	"stimulus2_1_stimulus2_43_5c9d227be143f6.04534828_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2467"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل في الجدول للإجابة عن السّؤال.&lt;/i&gt;"	"S629_question2_itemDirections2_5c9d227bac4599.44971614_1_0"	"PISA_ara-JOR_SCI_S629-SolarCooker_en21_MS2022.xlf"
"3268"	"Type your answer to the question.&lt;/i&gt;"	"اطبع إجابتك عن السّؤال."	"S645_question4_itemDirections4_5c9d227c51f199.81592699_1_0"	"PISA_ara-JOR_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"3140"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c3849c0.50093527_1_0"	"PISA_ara-JOR_SCI_S643-LightBulbs_en21_MS2022.xlf"
"3318"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227c5fe8b6.36778135_1_0"	"PISA_ara-JOR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"690"	"potassium"	"بوتاسيوم"	"S438_stimulus2_chem13_5c3f62987d0129.21418316_2_0"	"PISA_ara-JOR_SCI_S438-GreenParks_en21_MS2022.xlf"
"2739"	"High"	"عالٍ"	"stimulus2_1_stimulus2_46_5c9d227be147e8.45470810_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2738"	"Medium"	"مُتوسِّط"	"stimulus2_1_stimulus2_45_5c9d227be146a9.40941283_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2483"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"S629_question3_itemDirections3_5c9d227bade634.52894513_1_0"	"PISA_ara-JOR_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2804"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227be7c198.62824452_1_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1355"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"S604_question1_itemDirections1_5c9d227ac47f76.78166631_1_0"	"PISA_ara-JOR_SCI_S604-WaterFromFog_en21_MS2022.xlf"
"2428"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل في الجدول للإجابة عن السّؤال.&lt;/i&gt;"	"S627_question3_itemDirections3_5c9d227b9e55a9.91171542_1_0"	"PISA_ara-JOR_SCI_S627-CarTyres_en21_MS2022.xlf"
"2457"	"Type your answer to the question.&lt;/i&gt;"	"اطبع إجابتك عن السّؤال."	"S629_question1_itemDirections1_5c9d227bab07e7.43551119_1_0"	"PISA_ara-JOR_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2078"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"S620_question1_itemDirections4_5c9d227b58ce01.50665487_1_0"	"PISA_ara-JOR_SCI_S620-Tornadoes_en21_MS2022.xlf"
"3329"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"question5_1_itemDirections05_5c9d227c611f47.80605534_1_0"	"PISA_ara-JOR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2732"	"Low"	"منخفض"	"stimulus2_1_stimulus2_36_5c9d227be13b02.67418193_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1968"	"Medium"	"مُتوسِّط"	"js_translation_slopeMedium_5c9d227b3fb996.85405506_0"	"PISA_ara-JOR_SCI_S615-Tsunami_en21_MS2022.xlf"
"3297"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"question2_1_itemDirections02_5c9d227c5dc4b8.48201619_1_0"	"PISA_ara-JOR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2878"	"Low"	"منخفض"	"js_translation_low_5c9d227befabd7.87112589_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1545"	"Type your answer to the question.&lt;/i&gt;"	"اطبع إجابتك عن السّؤال."	"S605_question4_itemDirections4_5c9d227adef695.10070069_1_0"	"PISA_ara-JOR_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"2877"	"None"	"معدوم"	"js_translation_none_5c9d227befa414.60923870_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3527"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"S648_question4_itemDirections4_5c9d227c7edd69.26093629_1_0"	"PISA_ara-JOR_SCI_S648-HabitableZone_en21_MS2022.xlf"
"2162"	"Type your answer to the question.&lt;/i&gt;"	"اطبع إجابتك عن السّؤال."	"S625_question1_itemDirections1_5c9d227b6b51a1.38334626_1_0"	"PISA_ara-JOR_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"2879"	"Medium"	"مُتوسِّط"	"js_translation_medium_5c9d227befb367.92304708_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3094"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"question3_1_itemDirections03_5c9d227c342cb5.25107598_1_0"	"PISA_ara-JOR_SCI_S643-LightBulbs_en21_MS2022.xlf"
"1531"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"S605_question3_itemDirections3_5c9d227add7008.26251355_1_0"	"PISA_ara-JOR_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"2657"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227bc5f702.32317931_1_0"	"PISA_ara-JOR_SCI_S634-Vaccination_en21_MS2022.xlf"
"475"	"young penguins that survived"	"للبطاريق الصغيرة التي بقيت على قيد الحياة"	"S425_stimulus2_t1tr4td1_5c3f6296db88a8.59084162_2_0"	"PISA_ara-JOR_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"2733"	"Medium"	"مُتوسِّط"	"stimulus2_1_stimulus2_37_5c9d227be13c31.69980187_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"27"	"milk (g)"	"الإنسان (غ)"	"S326_stimulus1_t1tr1td4_5c3f6293beb755.47507266_2_0"	"PISA_ara-JOR_SCI_S326-Milk_en21_MS2022.xlf"
"2127"	"Type your answer to the question.&lt;/i&gt;"	"اطبع إجابتك عن السّؤال."	"S620_question3_itemDirections3_5c9d227b5c5265.25962791_1_0"	"PISA_ara-JOR_SCI_S620-Tornadoes_en21_MS2022.xlf"
"3234"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل في الجدول للإجابة عن السّؤال.&lt;/i&gt;"	"S645_question1_itemDirections1_5c9d227c4f8b07.32611541_1_0"	"PISA_ara-JOR_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2631"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"question3_1_itemDirections03_5c9d227bc44ae0.03182047_1_0"	"PISA_ara-JOR_SCI_S634-Vaccination_en21_MS2022.xlf"
"2880"	"High"	"عالٍ"	"js_translation_high_5c9d227befbe32.99905741_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3044"	"Can this question be answered by scientific experiments?"	"هل يمكن الإجابة عن السؤال بتجارب علمية؟"	"S638_question4_Q4_tr1th1_5c9d227c21dcf7.10199460_0"	"PISA_ara-JOR_SCI_S638-OilSpills_en21_MS2022.xlf"
"3056"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"اطبع إجابتك عن السّؤال."	"S638_question5_itemDirections5_5c9d227c235b09.28606386_0"	"PISA_ara-JOR_SCI_S638-OilSpills_en21_MS2022.xlf"
"2734"	"High"	"عالٍ"	"stimulus2_1_stimulus2_38_5c9d227be13d68.33588968_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3342"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c627d81.36978752_1_0"	"PISA_ara-JOR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"24"	"milk (g)"	"الذئاب (غ)"	"S326_stimulus1_t1tr1td3_5c3f6293beb632.46202180_2_0"	"PISA_ara-JOR_SCI_S326-Milk_en21_MS2022.xlf"
"2731"	"None"	"معدوم"	"stimulus2_1_stimulus2_35_5c9d227be13994.26206749_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2034"	"Air"	"رطب"	"S620_stimulus1_len16_5c9d227b54fcb6.11421507_4_0"	"PISA_ara-JOR_SCI_S620-Tornadoes_en21_MS2022.xlf"
"1936"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"question5_1_itemDirections05_5c9d227b3c3211.80677935_1_0"	"PISA_ara-JOR_SCI_S615-Tsunami_en21_MS2022.xlf"
