"Segment"	"en-ZZ"	"ru-RU"	"ID"	"File"
"1053"	"Each line must be completed.&lt;br /&gt;"	"Каждое поле должно быть заполнено, кроме электронной почты (заполняется по желанию).&lt;br /&gt;"	"R466_stimulus_section3_50d37b7b1e6788.21749951_0"	"PISA_rus-RUS_REA_R466-WorkRight_en15_MS2022.xlf"
"5312"	"True"	"Верно"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1313"	"False"	"Неверно"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_rus-RUS_REA_R541-Plastic_en18_MS2022.xlf"
"2754"	"General Information"	"Общие сведения"	"R550_map_map_l2_56fc785cd17d02.68864643_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_rus-RUS_REA_R552-FestiRock_en18_MS2022.xlf"
"304"	"S"	"Вс"	"R219_stimulus_stimulus_10_50d36e0bd6fab9.33585821_0"	"PISA_rus-RUS_REA_R219-Employment_en15_MS2022.xlf"
"5431"	"Web Search"	"Поиск в Интернете"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_rus-RUS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2736"	"Hours"	"&lt;b&gt;Часы работы&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"3549"	"Web Search"	"Поиск в Интернете"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_rus-RUS_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"6045"	"How should Charles respond?"	"Что Косте следует ему ответить?"	"R570_question07_q07p2_56fc787980d795.85902410_0"	"PISA_rus-RUS_REA_R570-TheFavour_en18_MS2022.xlf"
"3863"	"Web Search"	"Поиск в Интернете"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_rus-RUS_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4944"	"Website"	"Веб-сайт"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_rus-RUS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Запишите свои ответы на вопрос."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Чтобы прочитать сказку, нажмите на стрелку ДАЛЕЕ."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_rus-RUS_REA_R570-TheFavour_en18_MS2022.xlf"
"2712"	"General Information"	"Общие сведения"	"R550_general_info_gi_l2_56fc785ccd9039.75364311_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4031"	"Click on the NEXT arrow to read the article."	"Чтобы прочитать эту статью, нажмите на стрелку ДАЛЕЕ."	"q00bbody_q00bp2_56fc784a832d02.66358957_0"	"PISA_rus-RUS_REA_R560-GarbagePatch_en18_MS2022.xlf"
"519"	"continuous&lt;br /&gt;daylight"	"непрерыв&lt;br /&gt;ный день"	"R220_stimulus_label6_50d374cece3252.37298149_0"	"PISA_rus-RUS_REA_R220-SouthPole_en15_MS2022.xlf"
"3744"	"Tyson Electronics"	"«Тайман Электроникс»"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_rus-RUS_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"576"	"The worst has happened"	"Случилось самое худшее."	"R220_stimulus_stimulusHQ4_3_50d374ced15c17.95081584_0"	"PISA_rus-RUS_REA_R220-SouthPole_en15_MS2022.xlf"
"2756"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_map_map_l4_56fc785cd18831.80713295_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"325"	"TO"	"ПО"	"R219_stimulus_sect4Line3span4_50d36e0bd7ae74.99925223_0"	"PISA_rus-RUS_REA_R219-Employment_en15_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Воспользуйтесь текстами обоих источников, расположенными справа, выбрав одну из вкладок."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_rus-RUS_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5313"	"False"	"Неверно"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2800"	"Summer"	"Летом"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2103"	"False"	"Неверно"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_rus-RUS_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2660"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral_l4_56fc785cc8e502.87212348_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"2685"	"General Information"	"Общие сведения"	"R550_cliff_palace_cp_l2_56fc785ccaeff5.57842989_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4508"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_rus-RUS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_rus-RUS_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2771"	"General Information"	"Общие сведения"	"R550_tours_tours_l2_56fc785cd3a437.22088880_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"Затем нажмите на стрелку ДАЛЕЕ, для ответа на первый вопрос."	"R220_question_introBullet3_50d374cebb9cf9.36790836_0"	"PISA_rus-RUS_REA_R220-SouthPole_en15_MS2022.xlf"
"2662"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Чтобы прочитать брошюру, нажмите на стрелку ДАЛЕЕ."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_rus-RUS_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4942"	"Website"	"Веб-сайт"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_rus-RUS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; За покупку от 1000 руб. до 2999 руб. «Идеальный офис» возвращает вам &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; руб.&lt;br /&gt; &gt; За покупку от 3000 руб. до 6999 руб. «Идеальный офис» возвращает вам 500 руб.&lt;br /&gt; &gt; За покупку от 7000 руб. и выше «Идеальный офис» возвращает вам 1000 руб.&lt;br /&gt;"	"R466_stimulus_line5_50d37b7b1e5a23.62600580_0"	"PISA_rus-RUS_REA_R466-WorkRight_en15_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Важно! Не забудьте приложить:&lt;/b&gt;&lt;br /&gt; &amp;mdash; Копию, чеков, подтверждающих вашу покупку.&lt;br /&gt; &amp;mdash; Штрих-код(ы) или ценник(и) от ваших покупок.&lt;br /&gt;"	"R466_stimulus_sect3right_50d37b7b1eb2a3.23359286_0"	"PISA_rus-RUS_REA_R466-WorkRight_en15_MS2022.xlf"
"4167"	"True"	"Верно"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_rus-RUS_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5144"	"Web Search"	"Поиск в Интернете"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4584"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5270"	"False"	"Неверно"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1312"	"True"	"Верно"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_rus-RUS_REA_R541-Plastic_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2687"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"2894"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Cliff Palace&lt;/b&gt;&lt;br /&gt;"	"R550_question09_q09itemTitle_56fc785ced8fa6.72873403_0_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"2714"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_general_info_gi_l4_56fc785ccd9e25.13125133_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_rus-RUS_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_rus-RUS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5543"	"False"	"Неверно"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_rus-RUS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого из этих дел."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_rus-RUS_REA_R570-TheFavour_en18_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_rus-RUS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5542"	"True"	"Верно"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_rus-RUS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2799"	"Spring"	"Весной"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
