"Segment"	"en-ZZ"	"zh-TW"	"ID"	"File"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"對每個敘述點選&lt;b&gt;正確&lt;/b&gt;還是&lt;b&gt;不正確&lt;/b&gt; 。"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_zho-TAP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"按照下列步驟來使用這個計算機："	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_zho-TAP_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"點選兩個方框來回答本題。"	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_zho-TAP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3278"	"4"	"４"	"q2CMA135_question_question02_7_5c9d21645032f4.01710845_0"	"PISA_zho-TAP_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"點選一個選項，然後用鍵盤輸入你的解釋來回答本題。"	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_zho-TAP_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"點選一個選項，然後用鍵盤輸入你的解釋來回答本題。"	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_zho-TAP_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"點選表格中的選項來回答本題。"	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_zho-TAP_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ 請記得選擇&lt;b&gt;一個或多個&lt;/b&gt;方框。"	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_zho-TAP_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_zho-TAP_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"點選一個選項，然後用鍵盤輸入你的解釋來回答本題。"	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_zho-TAP_MAT_MA156-Points_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ 請記得選擇&lt;b&gt;一個或多個&lt;/b&gt;方框。"	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_zho-TAP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_zho-TAP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"按照下列步驟來使用這個計算機："	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_zho-TAP_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"點選以下表格中的選項來回答本題。"	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_zho-TAP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"點選一個選項，然後用鍵盤輸入你的解釋來回答本題。"	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_zho-TAP_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"點選一個選項，然後用鍵盤輸入你的解釋來回答本題。"	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_zho-TAP_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"使用「拖曳」與「放置」功能來回答本題。"	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_zho-TAP_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"點選以下表格中的選項來回答本題。"	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_zho-TAP_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"使用「拖曳」與「放置」功能來回答本題。"	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_zho-TAP_MAT_MA157-Tyres_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"以下敘述是正確還是不正確？"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_zho-TAP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ 請記得選擇&lt;b&gt;一個或多個&lt;/b&gt;方框。"	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_zho-TAP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5075"	"Statement"	"問題"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_zho-TAP_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"使用「拖曳」與「放置」功能來回答本題。"	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_zho-TAP_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
