"Segment"	"en-ZZ"	"sr-ME"	"ID"	"File"
"5163"	"Web Search"	"Pretraga interneta"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2102"	"True"	"Tačna"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_mne-MNE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim otkucaj objašnjenje."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_mne-MNE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4920"	"Web Search"	"Pretraga interneta"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_mne-MNE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Odgovori na pitanje klikom na jednu od ponuđenih opcija, a zatim otkucaj objašnjenje.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_mne-MNE_REA_R544-Tesla_en18_MS2022.xlf"
"5664"	"Who's in the Chat"	"Ko je na chatu"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_mne-MNE_REA_R569-TheCleanup_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Zatim klikni na strelicu SLJEDEĆE&lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_mne-MNE_REA_R556-Microlending_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Zatim klikni na strelicu SLJEDEĆE."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_mne-MNE_REA_R553-HealthForum_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Klikni na strelicu SLJEDEĆE da pročitaš internet stranicu."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_mne-MNE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5312"	"True"	"Tačna"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5542"	"True"	"Tačna"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_mne-MNE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim otkucaj objašnjenje."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_mne-MNE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5144"	"Web Search"	"Pretraga interneta"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku izjavu."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_mne-MNE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4944"	"Website"	"Vebsajt"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_mne-MNE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5012"	"Read the information below."	"Pročitaj informaciju ispod."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_0_0"	"PISA_mne-MNE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5329"	"Refer to “Requirements” on the right."	"Koristi informacije iz teksta &quot;Uslovi za posao vatrogasca&quot; na desnoj strani."	"R567_question09_q09itemDirections_56fc7879177010.04490145_0_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Na parkingu"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_mne-MNE_REA_R569-TheCleanup_en18_MS2022.xlf"
"513"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;JUŽNI POL  - DOKUMENT 2&lt;/b&gt;"	"R220_stimulus_title_50c7bfc7a4dab9.26847347_0"	"PISA_mne-MNE_REA_R220-SouthPole_en15_MS2022.xlf"
"304"	"S"	"N"	"R219_stimulus_stimulus_10_50c7b6f55f0ab9.96017871_0"	"PISA_mne-MNE_REA_R219-Employment_en15_MS2022.xlf"
"5889"	"The Daisy"	"Bijela Rada"	"pg3_stimulus_pg3h1_56fc7879739352.62132842_0"	"PISA_mne-MNE_REA_R570-TheFavour_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_mne-MNE_REA_R547-BookSurvey_en18_MS2022.xlf"
"2657"	"Home"	"Početna strana"	"R550_ancestral_ancestral_l1_56fc785cc8d224.57710597_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"1312"	"True"	"Tačna"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_mne-MNE_REA_R541-Plastic_en18_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Zatim klikni na strelicu SLJEDEĆE."	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_mne-MNE_REA_R553-HealthForum_en18_MS2022.xlf"
"2799"	"Spring"	"U proljeće"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"1686"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Koristi informacije iz teksta „Alfred Bernard Nobel&quot; na desnoj strani."	"R543_question3_itemDirections_56fc78213692b4.63556835_0_0"	"PISA_mne-MNE_REA_R543-Nobel_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim otkucaj objašnjenje."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_mne-MNE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3744"	"Tyson Electronics"	"&quot;Tajson elektronika&quot;"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_mne-MNE_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2378"	"Graphic Novel/ Comics&lt;br/&gt;28%"	"Grafički roman/strip&lt;br/&gt;28%"	"R547_question10_comicsLbl_56fc782e14b486.46787487_0"	"PISA_mne-MNE_REA_R547-BookSurvey_en18_MS2022.xlf"
"593"	"Mar"	"Mart"	"R220_stimulus_mar_50c7bfc7ac6338.37473636_0"	"PISA_mne-MNE_REA_R220-SouthPole_en15_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Koristi opciju &quot;prevuci i spusti&quot; da odgovoriš na pitanje."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_mne-MNE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2375"	"Zedtown High’s favourite fiction genres of books"	"Omiljeni žanrovi knjiga beletristike srednje škole u Zedvilu"	"R547_question10_chartTitle_56fc782e14aac4.83822508_0"	"PISA_mne-MNE_REA_R547-BookSurvey_en18_MS2022.xlf"
"4942"	"Website"	"Vebsajt"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_mne-MNE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1440"	"Don’t remind me!"	"„Nemoj da me podsjećaš."	"Q01R542_question_Convp5_56fc782106b514.17249909_1_0"	"PISA_mne-MNE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5643"	"Read the information below."	"&lt;i&gt;Pročitaj donji tekst."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_0_0"	"PISA_mne-MNE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2723"	"Home"	"Početna strana"	"R550_hours_hours_l1_56fc785ccf6140.31847109_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"301"	"T"	"Č"	"R219_stimulus_stimulus_7_50c7b6f55efca5.19157791_0"	"PISA_mne-MNE_REA_R219-Employment_en15_MS2022.xlf"
"5825"	"Playground"	"Na igralištu"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_mne-MNE_REA_R569-TheCleanup_en18_MS2022.xlf"
"573"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"su stigli na vrh, Amundsen je naredio da se prekobrojni psi unište, a sačuvao je samo njih osamnaest za troje saonica. Desetog decembra bili su samo 112 kilometara udaljeni od Južnog pola. Visina se smanjivala."	"R220_stimulus_p3_50c7bfc7a92e36.29238728_0"	"PISA_mne-MNE_REA_R220-SouthPole_en15_MS2022.xlf"
"5385"	"Read the information below."	"Pročitaj informaciju ispod."	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_0_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1471"	"Don’t remind me!"	"„Nemoj da me podsjećaš.”"	"Q02R542_question_Convp5_56fc782107f8c6.37776799_1_0"	"PISA_mne-MNE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5392"	"Refer to “Requirements” on the right."	"Koristi informacije iz  teksta &quot;Uslovi za posao vatrogasca padobranca&quot; na desnoj strani."	"R568_question10_q10itemDirections_56fc78791dc480.80691911_0_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2711"	"Home"	"Početna strana"	"R550_general_info_gi_l1_56fc785ccd89f9.96697154_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"2753"	"Home"	"Početna strana"	"R550_map_map_l1_56fc785cd177d9.30991384_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"854"	"&lt;i&gt;Refer to &quot;How to Find a Summer Job&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz  teksta &quot;Kako naći posao preko ljeta&quot; s desne strane. Otkucaj odgovor na pitanje.&lt;/i&gt;"	"R453_question_itemDirections_50c7b17361c4f2.31509116_0"	"PISA_mne-MNE_REA_R453-SummerJob_en15_MS2022.xlf"
"409"	"&lt;i&gt;Refer to the documents in &quot;South Pole&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz dokumenata &quot;Južni pol&quot; sa desne strane. Odgovori na pitanje klikom na jedan od ponuđenih odgovora.&lt;/i&gt;"	"R220_question_itemDirections_50c7bfc79a3c26.67571225_0"	"PISA_mne-MNE_REA_R220-SouthPole_en15_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_mne-MNE_REA_R552-FestiRock_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Koristi informacije iz pretrage interneta na desnoj strani."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1444"	"Didn’t you tell me you were going to join?"	"Zar mi nijesi rekao da ćeš se učlaniti?"	"Q01R542_question_Convp6_56fc782106b821.03976464_2_0"	"PISA_mne-MNE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5270"	"False"	"Netačna"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3440"	"Click on a choice to answer the question.&lt;/i&gt;"	"Odgovori na pitanje klikom na jednu od ponuđenih opcija&lt;/i&gt;"	"R556_question4_itemDirections_56fc783ac6fbe2.90493965_1_0"	"PISA_mne-MNE_REA_R556-Microlending_en18_MS2022.xlf"
"1957"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na  &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_mne-MNE_REA_R544-Tesla_en18_MS2022.xlf"
"2801"	"Autumn"	"U jesen"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"5824"	"Benches"	"Na klupama"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_mne-MNE_REA_R569-TheCleanup_en18_MS2022.xlf"
"2770"	"Home"	"Početna strana"	"R550_tours_tours_l1_56fc785cd39f45.21730838_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"1687"	"Click on a choice to answer the question.&lt;/i&gt;"	"Odgovori na pitanje klikom na jednu od ponuđenih opcija&lt;/i&gt;"	"R543_question3_itemDirections_56fc78213692b4.63556835_1_0"	"PISA_mne-MNE_REA_R543-Nobel_en18_MS2022.xlf"
"5648"	"Read the information below."	"&lt;i&gt;Pročitaj donji tekst."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_0_0"	"PISA_mne-MNE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1475"	"Didn’t you tell me you were going to join?"	"Zar mi nijesi rekao da ćeš se učlaniti?"	"Q02R542_question_Convp6_56fc782107fb61.52791553_2_0"	"PISA_mne-MNE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jednu od ponuđenih odgovora, a zatim otkucaj objašnjenje."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_mne-MNE_REA_R569-TheCleanup_en18_MS2022.xlf"
"1672"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Koristi informacije iz teksta „Alfred Bernard Nobel&quot; na desnoj strani."	"R543_question2_itemDirections_56fc7821351641.10631472_0_0"	"PISA_mne-MNE_REA_R543-Nobel_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku rečenicu."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_mne-MNE_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2684"	"Home"	"Početna strana"	"R550_cliff_palace_cp_l1_56fc785ccaeae5.87924992_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"1313"	"False"	"Netačna"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_mne-MNE_REA_R541-Plastic_en18_MS2022.xlf"
"5330"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na opcije ponuđene u tabeli.&lt;/i&gt;"	"R567_question09_q09itemDirections_56fc7879177010.04490145_1_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3483"	"Click on a choice to answer the question.&lt;/i&gt;"	"Odgovori na pitanje klikom na jednu od ponuđenih opcija&lt;/i&gt;"	"R556_question8_itemDirections_56fc783adbd281.82516807_1_0"	"PISA_mne-MNE_REA_R556-Microlending_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Prema brošuri, da li je tvrdnja tačna ili netačna?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_mne-MNE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5313"	"False"	"Netačna"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3453"	"&lt;i&gt;Refer to “The Power of Twenty-five Dollars” on the right."	"&lt;i&gt;Na osnovu teksta „Šta može da se učini s 20 eura?” na desnoj strani,"	"R556_question5_itemDirections_56fc783ac89735.55151724_0_0"	"PISA_mne-MNE_REA_R556-Microlending_en18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Između 150€ i 299,99€&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c8c8162e36.03331507_0"	"PISA_mne-MNE_REA_R466-WorkRight_en15_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Koristi informacije iz pretrage interneta na desnoj  strani."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"313"	"PHONE"	"TELEFON"	"R219_stimulus_sect3Line2span3_50c7b6f55f7854.18764553_0"	"PISA_mne-MNE_REA_R219-Employment_en15_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim otkucaj objašnjenje."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_mne-MNE_REA_R552-FestiRock_en18_MS2022.xlf"
"5543"	"False"	"Netačna"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_mne-MNE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Zatim klikni na strelicu SLJEDEĆE. &lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_mne-MNE_REA_R565-SittingDisease_en18_MS2022.xlf"
"524"	"Mar"	"Mart"	"R220_stimulus_mar_50c7bfc7a4ffa4.09917018_0"	"PISA_mne-MNE_REA_R220-SouthPole_en15_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Koristi informacije iz pretrage interneta na desnoj strani."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_mne-MNE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Za kupovinu između  60€ i 149,99€, Unaprijedi rad vraća &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;€.&lt;br /&gt; &gt; Za kupovinu između 150€ i 299,99€, Unaprijedi rad vraća 50€.&lt;br /&gt; &gt; Za kupovinu od 300€ ili više, Unaprijedi rad vraća 100€.&lt;br /&gt;"	"R466_stimulus_line5_50c7c8c815daa8.41926863_0"	"PISA_mne-MNE_REA_R466-WorkRight_en15_MS2022.xlf"
"893"	"Statement"	"Izjava"	"R455_question_tr1th1_50c7ba482f0a03.44605777_0"	"PISA_mne-MNE_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"3549"	"Web Search"	"Pretraga interneta"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_mne-MNE_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3356"	"Microlending Gone Wrong"	"Kad mikrokrediti krenu naopako"	"Page3_stimulus_pg3Subtitle_56fc783ab5e5e6.62633512_0"	"PISA_mne-MNE_REA_R556-Microlending_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"A ja sam imao privilegiju da slušam”.&lt;/i&gt;"	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_mne-MNE_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
