"Segment"	"en-ZZ"	"el-GR"	"ID"	"File"
"4839"	"Click on a choice to answer the question.&lt;/i&gt;"	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R565_question_itemDirections_56fc785d5c2e04.42459264_1_0"	"PISA_ell-GRC_REA_R565-SittingDisease_en18_MS2022.xlf"
"4423"	"About Us"	"Σχετικά με εμάς"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_ell-GRC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3610"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.  &lt;/i&gt;"	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_1_0"	"PISA_ell-GRC_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Κάνε κλικ σε μια επιλογή και μετά πληκτρολόγησε μια εξήγηση, για να απαντήσεις στην ερώτηση. &lt;/i&gt;"	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_ell-GRC_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2513"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R549_question02_q02itemDirections_56fc786acd2da2.66365134_1_0"	"PISA_ell-GRC_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3227"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R553_question01_q01itemDirections_56fc784a5c0894.93353663_1_0"	"PISA_ell-GRC_REA_R553-HealthForum_en18_MS2022.xlf"
"2485"	"Read the Introduction."	"&lt;i&gt;Να διαβάσεις την εισαγωγή."	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_0_0"	"PISA_ell-GRC_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2799"	"Spring"	"Την άνοιξη"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"4516"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_1_0"	"PISA_ell-GRC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ, για να δεις την πρώτη ερώτηση."	"R220_question_introBullet3_50c7c0632398f6.40833599_0"	"PISA_ell-GRC_REA_R220-SouthPole_en15_MS2022.xlf"
"1469"	"You will still see them eventually."	"Έτσι κι αλλιώς θα τους δεις κάποια στιγμή."	"Q02R542_question_Convp4_56fc782107f633.50285251_2_0"	"PISA_ell-GRC_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4298"	"Type your answer to the question."	"Πληκτρολόγησε την απάντησή σου στην ερώτηση.&lt;/i&gt;"	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_ell-GRC_REA_R562-OpeningNight_en18_MS2022.xlf"
"2013"	"Click on a choice to answer the question.&lt;/i&gt;"	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R544_question9_itemDirections_56fc782181a288.51990939_1_0"	"PISA_ell-GRC_REA_R544-Tesla_en18_MS2022.xlf"
"2499"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R549_question01_q01itemDirections_56fc786acc1966.50302132_1_0"	"PISA_ell-GRC_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2527"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R549_question03_q03itemDirections_56fc786ace3d99.90483432_1_0"	"PISA_ell-GRC_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2491"	"Read the information below."	"&lt;i&gt;Να διαβάσεις τις παρακάτω πληροφορίες."	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_0_0"	"PISA_ell-GRC_REA_R549-MessageInABottle_en18_MS2022.xlf"
"6148"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_ell-GRC_REA_R590-Sentences01_en18_MS2022.xlf"
"5467"	"Image Credit: NASA"	"Πηγή: ΝΑΣΑ"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_ell-GRC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2785"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"5393"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R568_question10_q10itemDirections_56fc78791dc480.80691911_1_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5251"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_1_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Να λάβεις υπόψη την αναζήτηση στο διαδίκτυο στα δεξιά.&lt;i&gt;"	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_ell-GRC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"439"	"Antarctic Circle"	"Ανταρκτικός κύκλος"	"R220_stimulus_label5_50c7c06333fab5.46642105_0"	"PISA_ell-GRC_REA_R220-SouthPole_en15_MS2022.xlf"
"5386"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_1_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3262"	"Click on a choice to answer the question.&lt;/i&gt;"	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R553_question4_q04itemDirections_56fc784a5fe943.11595551_1_0"	"PISA_ell-GRC_REA_R553-HealthForum_en18_MS2022.xlf"
"2310"	"Science Fiction"	"Επιστημονική Φαντασία"	"R547_question5_source5_56fc782e0b83c2.54412649_0"	"PISA_ell-GRC_REA_R547-BookSurvey_en18_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Νότιο Πόλο δική του. Στις 14 Ιανουαρίου 1911, αποβιβάστηκε στην Ανταρκτική, στον κόλπο των Φαλαινών. Ετοιμάστηκε να ξεχειμωνιάσει, μαζί με οκτώ συντρόφους και εκατόν δεκαέξι σκύλους, στο Φραμχάιμ, βάση που κατασκευάστηκε πάνω στην παγονησίδα του Ρος. Στις 20 Οκτωβρίου 1911, ο Αμούνδσεν και τέσσερις από τους άντρες του άφησαν το Φραμχάιμ για την κατάκτηση του Νότιου Πόλου, με δώδεκα σκύλους για κάθε έλκηθρο. Στις 17 Νοεμβρίου, 85ο Νότια, έφθασαν στους πρόποδες της Υπερανταρκτικής οροσειράς. Χρειάστηκε να βρουν ένα πέρασμα, για να τη διασχίσουν. Άρχισε τότε η τρομερή ανάβαση σε έναν παγετώνα γεμάτο ρήγματα, τον Άξελ Χάιμπεργκ."	"R220_stimulus_p2_50c7c0633d5380.67250641_0"	"PISA_ell-GRC_REA_R220-SouthPole_en15_MS2022.xlf"
"5441"	"Web Search"	"Αναζήτηση στο διαδίκτυο"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_ell-GRC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5265"	"Click on the choices in the table to answer the question."	"Κάνε κλικ στις επιλογές του πίνακα, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R567_question05_q05itemDirections_56fc787910ed76.86602726_1_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6014"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R570_question05_q05itemDirections_56fc78797d7529.74542919_1_0"	"PISA_ell-GRC_REA_R570-TheFavour_en18_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"Να λάβεις υπόψη την αναζήτηση στο διαδίκτυο στα δεξιά."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_ell-GRC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"205"	"£15"	"19"	"R102_stimulus_tr22td3_50c7aeb8c4e634.15154718_0"	"PISA_ell-GRC_REA_R102-Shirts_en15_MS2022.xlf"
"2296"	"Type your answer to the question.&lt;/i&gt;"	"Πληκτρολόγησε την απάντησή σου στην ερώτηση. &lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_ell-GRC_REA_R547-BookSurvey_en18_MS2022.xlf"
"2797"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R550_question01_q01itemDirections_56fc785cdd5b03.75076790_1_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Προσοχή! Μην παραλείψετε να επισυνάψετε:&lt;/b&gt;&lt;br /&gt; &amp;mdash; Μια φωτοτυπία της απόδειξης αγοράς &lt;br /&gt; &amp;mdash; Τον ηλεκτρονικό κωδικό (bar code) ή τις ετικέτες με την τιμή των προϊόντων που αγοράσατε.&lt;br /&gt;"	"R466_stimulus_sect3right_50c7c95e089c17.31081016_0"	"PISA_ell-GRC_REA_R466-WorkRight_en15_MS2022.xlf"
"4021"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_ell-GRC_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_ell-GRC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1238"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"Q01_question_Q01itemDirections_56fc7820cd87b9.08306338_1_0"	"PISA_ell-GRC_REA_R541-Plastic_en18_MS2022.xlf"
"4008"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R560_question07_q07itemDirections_56fc784a80bb23.32450086_1_0"	"PISA_ell-GRC_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1851"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.  &lt;/i&gt;"	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_ell-GRC_REA_R544-Tesla_en18_MS2022.xlf"
"518"	"Antarctic Circle"	"Ανταρκτικός κύκλος"	"R220_stimulus_label5_50c7c06339bcd4.21156375_0"	"PISA_ell-GRC_REA_R220-SouthPole_en15_MS2022.xlf"
"5822"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"q5R569_question_q05itemDirections_56fc78795345f0.48202417_1_0"	"PISA_ell-GRC_REA_R569-TheCleanup_en18_MS2022.xlf"
"2802"	"Winter"	"Τον χειμώνα"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"3019"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_ell-GRC_REA_R552-FestiRock_en18_MS2022.xlf"
"1064"	"Post code:"	""	"R466_stimulus_line12_50c7c95e087525.07731655_0"	"PISA_ell-GRC_REA_R466-WorkRight_en15_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.  &lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_ell-GRC_REA_R553-HealthForum_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Κάνε κλικ σε ένα αποτέλεσμα της αναζήτησης, για να απαντήσεις στην ερώτηση."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_ell-GRC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5975"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R570_question03_q03itemDirections_56fc78797a3fe7.10691677_1_0"	"PISA_ell-GRC_REA_R570-TheFavour_en18_MS2022.xlf"
"4394"	"About Us"	"Σχετικά με εμάς"	"R563-stimulus-communtity_stimulus_culture_community_5_56fc786b34e7e8.94779133_0"	"PISA_ell-GRC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1355"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"Q10_question_Q10itemDirections_56fc7820d94ce2.32272970_1_0"	"PISA_ell-GRC_REA_R541-Plastic_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Κάνε κλικ σε ένα αποτέλεσμα της αναζήτησης, για να απαντήσεις στην ερώτηση."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_ell-GRC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ για να διαβάσεις την ιστοσελίδα."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_ell-GRC_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5385"	"Read the information below."	"&lt;i&gt;Να διαβάσεις τις παρακάτω πληροφορίες."	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_0_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5826"	"Football Field"	"Στο γήπεδο ποδοσφαίρου"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_ell-GRC_REA_R569-TheCleanup_en18_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.  &lt;/i&gt;"	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_ell-GRC_REA_R544-Tesla_en18_MS2022.xlf"
"5761"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"q1R569_question_q01itemDirections_56fc78794dc632.42190211_1_0"	"PISA_ell-GRC_REA_R569-TheCleanup_en18_MS2022.xlf"
"4147"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R561_question03_q03itemDirections_56fc785d2a1ae0.05518128_1_0"	"PISA_ell-GRC_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3814"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R559_question03_q03itemDirections_56fc783b26ca61.80059891_1_0"	"PISA_ell-GRC_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"2576"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R549_question07_q07itemDirections_56fc786ad40030.43832098_1_0"	"PISA_ell-GRC_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5001"	"Read the Introduction."	"&lt;i&gt;Να διαβάσεις την εισαγωγή."	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_0_0"	"PISA_ell-GRC_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Κάνε κλικ σε μια επιλογή και μετά πληκτρολόγησε μια εξήγηση, για να απαντήσεις στην ερώτηση. &lt;/i&gt;"	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_ell-GRC_REA_R552-FestiRock_en18_MS2022.xlf"
"4818"	"Click on a choice to answer the question.&lt;/i&gt;"	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R565_question01_itemDirections_56fc785d59a4c9.01449593_1_0"	"PISA_ell-GRC_REA_R565-SittingDisease_en18_MS2022.xlf"
"576"	"The worst has happened"	"«&lt;i&gt;Το χειρότερο συνέβη."	"R220_stimulus_stimulusHQ4_3_50c7c0633d61a5.08268917_0"	"PISA_ell-GRC_REA_R220-SouthPole_en15_MS2022.xlf"
"5374"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_1_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1957"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Κάνε κλικ στο &lt;b&gt;Ναι&lt;/b&gt; ή στο &lt;b&gt;Όχι&lt;/b/&gt; για κάθε πρόταση."	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_ell-GRC_REA_R544-Tesla_en18_MS2022.xlf"
"1070"	"£300 or more&lt;br /&gt;"	"Πάνω από 300€&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c95e089750.50834239_0"	"PISA_ell-GRC_REA_R466-WorkRight_en15_MS2022.xlf"
"3426"	"Click on a choice to answer the question.&lt;/i&gt;"	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R556_question3_itemDirections_56fc783ac55ff8.32442383_1_0"	"PISA_ell-GRC_REA_R556-Microlending_en18_MS2022.xlf"
"4167"	"True"	"Σωστή"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_ell-GRC_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4421"	"News"	"Νέα"	"R563-stimulus-communtity_stimulus_culture_music_3_56fc786b365f07.14084271_0"	"PISA_ell-GRC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5808"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"q4R569_question_q04itemDirections_56fc787951ec51.23159211_1_0"	"PISA_ell-GRC_REA_R569-TheCleanup_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Οι καθηγητές της Ενισχυτικής Διδασκαλίας"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_ell-GRC_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Να λάβεις υπόψη την Αναζήτηση στο διαδίκτυο στα δεξιά."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4113"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_ell-GRC_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Να λάβεις υπόψη την Αναζήτηση στο διαδίκτυο στα δεξιά."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4162"	"Click on the choices in the table to answer the question."	"Κάνε κλικ στις επιλογές του πίνακα, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_ell-GRC_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5007"	"Read the information below."	"&lt;i&gt;Να διαβάσεις τις παρακάτω πληροφορίες."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_0_0"	"PISA_ell-GRC_REA_R566-SkelligRocks_en18_MS2022.xlf"
