"Segment"	"en-ZZ"	"sq-MK"	"ID"	"File"
"3608"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R556_question1_itemDirections_56fc783ac17050.91870088_1_0"	"PISA_sqi-MKD_REA_R556-Microlending_en18_MS2022.xlf"
"3961"	"Question"	"Pyetje"	"R559_question03_q03itemTitle_56fc783b26c3a0.13194350_1_0"	"PISA_sqi-MKD_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5872"	"Question"	"Pyetje"	"R570_question06_q06itemTitle_56fc78797f2b41.36433812_1_0"	"PISA_sqi-MKD_REA_R570-TheFavour_en18_MS2022.xlf"
"1971"	"Tutors for All"	"Tutorë për të Gjithë"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5836"	"Click on the choices in the table to answer the question."	"Kliko alternativat në tabelë për t’ju përgjigjur pyetjes."	"R570_question04_q04itemDirections_56fc78797ba5c3.15040997_1_0"	"PISA_sqi-MKD_REA_R570-TheFavour_en18_MS2022.xlf"
"1430"	"20"	"2 000"	"R466_stimulus_q3key_5c3f627f2b40b7.95881856_0"	"PISA_sqi-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"4827"	"Question"	"Pyetje"	"R565_question01_itemTitle_56fc785d599e01.30040304_1_0"	"PISA_sqi-MKD_REA_R565-SittingDisease_en18_MS2022.xlf"
"1986"	"Tuesday"	"E martë"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4295"	"Question"	"Pyetje"	"R561_question08_q08itemTitle_56fc785d3284a5.18017322_1_0"	"PISA_sqi-MKD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5061"	"Question"	"Pyetje"	"R566_question06_q06itemTitle_56fc786b8a0fc4.85349811_1_0"	"PISA_sqi-MKD_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2871"	"Question"	"Pyetje"	"R549_question08_q08itemTitle_56fc786ad55b97.32838384_1_0"	"PISA_sqi-MKD_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4264"	"True"	"E Vërtetë"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_sqi-MKD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2893"	"Question"	"Pyetje"	"R549_question09_q09itemTitle_56fc786ad73847.51771891_1_0"	"PISA_sqi-MKD_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3831"	"Question"	"Pyetje"	"R558_question4_itemTitle_56fc786b0c8975.49235020_1_0"	"PISA_sqi-MKD_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3994"	"Question"	"Pyetje"	"R559_question06_q06itemTitle_56fc783b2a4174.60435994_1_0"	"PISA_sqi-MKD_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5858"	"Question"	"Pyetje"	"R570_question05_q05itemTitle_56fc78797d6da2.44992156_1_0"	"PISA_sqi-MKD_REA_R570-TheFavour_en18_MS2022.xlf"
"2597"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R547_question2_itemDirections_56fc782e072020.06902189_1_0"	"PISA_sqi-MKD_REA_R547-BookSurvey_en18_MS2022.xlf"
"2588"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0460d7.64458893_1_0"	"PISA_sqi-MKD_REA_R547-BookSurvey_en18_MS2022.xlf"
"2435"	"Question"	"Pyetje"	"R545_question03_Q03itemTitle_56fc7821ad7749.95740612_1_0"	"PISA_sqi-MKD_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3283"	"Question"	"Pyetje"	"R552_question02_q02itemTitle_56fd79425f4415.15927400_1_0"	"PISA_sqi-MKD_REA_R552-FestiRock_en18_MS2022.xlf"
"2339"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R544_question5_itemDirections_56fc78217cc282.26999608_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"1577"	"Question"	"Pyetje"	"R540Q03Body_Q03itemTitle_56fc7820b2dd64.25916814_1_0"	"PISA_sqi-MKD_REA_R540-BuildingALegend_en18_MS2022.xlf"
"4880"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R565_question7_itemDirections_56fc785d61d9f9.86494574_1_0"	"PISA_sqi-MKD_REA_R565-SittingDisease_en18_MS2022.xlf"
"1763"	"True"	"E vërtetë"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_sqi-MKD_REA_R541-Plastic_en18_MS2022.xlf"
"2278"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Kliko një alternativë dhe më pas jep një shpjegim për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"5318"	"Question"	"Pyetje"	"R567_question11_q11itemTitle_56fc78791fec70.98158498_1_0"	"PISA_sqi-MKD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2275"	"Question"	"Pyetje"	"R544_question12_itemTitle_56fc78216b91f5.35957286_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"5212"	"Question"	"Pyetje"	"R567_question06_q06itemTitle_56fc7879127733.39445734_1_0"	"PISA_sqi-MKD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3855"	"Question"	"Pyetje"	"R558_question7_itemTitle_56fc786b109ac1.53302824_1_0"	"PISA_sqi-MKD_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3483"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R553_question4_q04itemDirections_56fc784a5fe943.11595551_1_0"	"PISA_sqi-MKD_REA_R553-HealthForum_en18_MS2022.xlf"
"2117"	"Question"	"Pyetje"	"R543_question5_itemTitle_56fc782139ab53.82157060_1_0"	"PISA_sqi-MKD_REA_R543-Nobel_en18_MS2022.xlf"
"1989"	"Friday"	"E premte"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2363"	"Question"	"Pyetje"	"R544_question9_itemTitle_56fc7821819bf4.72561782_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"5637"	"Question"	"Pyetje"	"q1R569_question_q01itemTitle_56fc78794dbd99.59291015_1_0"	"PISA_sqi-MKD_REA_R569-TheCleanup_en18_MS2022.xlf"
"3672"	"Question"	"Pyetje"	"R556_question7_itemTitle_56fc783ad9e712.81126683_1_0"	"PISA_sqi-MKD_REA_R556-Microlending_en18_MS2022.xlf"
"5705"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"q6R569_question_q06itemDirections_56fc787954aeb9.99591068_1_0"	"PISA_sqi-MKD_REA_R569-TheCleanup_en18_MS2022.xlf"
"5064"	"Click a choice to answer the question."	"Klikoni tek një alternativë për t’iu përgjigjur pyetjes."	"R566_question06_q06itemDirections_56fc786b8a1669.36610157_1_0"	"PISA_sqi-MKD_REA_R566-SkelligRocks_en18_MS2022.xlf"
"358"	"T"	"E"	"R219_stimulus_stimulus_7_5c3f62715dd0a1.06188872_0"	"PISA_sqi-MKD_REA_R219-Employment_en21_MS2022.xlf"
"1977"	"Question"	"Pyetje"	"Q09R542_question_Q09itemTitle_56fc7821123080.43208233_1_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4573"	"Question"	"Pyetje"	"R563_question02_q02itemTitle_56fc786b3eefc0.56716123_1_0"	"PISA_sqi-MKD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2585"	"Question"	"Pyetje"	"R547_question01_itemTitle_56fc782e045468.77144273_1_0"	"PISA_sqi-MKD_REA_R547-BookSurvey_en18_MS2022.xlf"
"4259"	"Click on the choices in the table to answer the question."	"Kliko alternativat në tabelë për t’ju përgjigjur pyetjes."	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_sqi-MKD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4256"	"Question"	"Pyetje"	"R561_question04_q04itemTitle_56fc785d2bafd5.44707233_1_0"	"PISA_sqi-MKD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2355"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Kliko një alternativë dhe më pas jep një shpjegim për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"5684"	"Question"	"Pyetje"	"q4R569_question_q04itemTitle_56fc787951e5f1.30552462_1_0"	"PISA_sqi-MKD_REA_R569-TheCleanup_en18_MS2022.xlf"
"2352"	"Question"	"Pyetje"	"R544_question6_itemTitle_56fc78217e6ac8.38319240_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"3810"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliko alternativat në tabelë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R558_question2_itemDirections_56fc786b09be36.87322307_1_0"	"PISA_sqi-MKD_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5815"	"Question"	"Pyetje"	"R570_question02_q02itemTitle_56fc787978ea37.31686552_1_0"	"PISA_sqi-MKD_REA_R570-TheFavour_en18_MS2022.xlf"
"4690"	"Question"	"Pyetje"	"R564_question01_q01itemTitle_56fc783b5be184.43420037_1_0"	"PISA_sqi-MKD_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5473"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R568_question04_q04itemDirections_56fc784aa79954.99366440_1_0"	"PISA_sqi-MKD_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3840"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R558_question5_itemDirections_56fc786b0dd1f3.21650180_1_0"	"PISA_sqi-MKD_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4569"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_sqi-MKD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5480"	"Click on a search result to answer the question."	"Kliko një rezultat të kërkimit për t’ju përgjigjur pyetjes."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_sqi-MKD_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4841"	"Question"	"Pyetje"	"R565_question2_itemTitle_56fc785d5ac4a7.17955080_1_0"	"PISA_sqi-MKD_REA_R565-SittingDisease_en18_MS2022.xlf"
"5183"	"Question"	"Pyetje"	"R567_question03_q03itemTitle_56fc78790e5d50.68233605_1_0"	"PISA_sqi-MKD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5321"	"Click on the choices in the table to answer the question."	"Kliko alternativat në tabelë për t’ju përgjigjur pyetjes."	"R567_question11_q11itemDirections_56fc78791ff317.23437611_1_0"	"PISA_sqi-MKD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3658"	"Question"	"Pyetje"	"R556_question5_itemTitle_56fc783ac88f80.66782734_1_0"	"PISA_sqi-MKD_REA_R556-Microlending_en18_MS2022.xlf"
"5534"	"Refer to both sources on the right by clicking on each of the tabs."	"Referoju të dy burimeve në të djathtë duke klikuar në secilin prej kartelave."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_sqi-MKD_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3473"	"Question"	"Pyetje"	"R553_question_q03itemTitle_56fc784a5eb650.18801947_1_0"	"PISA_sqi-MKD_REA_R553-HealthForum_en18_MS2022.xlf"
"4649"	"Question"	"Pyetje"	"R563_question10_q10itemTitle_56fc786b4e2b34.44009453_1_0"	"PISA_sqi-MKD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5483"	"Click on a search result to answer the question."	"Kliko një rezultat të kërkimit për t’ju përgjigjur pyetjes."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_sqi-MKD_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4929"	"Website"	"Uebsajt"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_sqi-MKD_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4733"	"Question"	"Pyetje"	"R564_question04_q04itemTitle_56fc783b5f8c73.52036272_1_0"	"PISA_sqi-MKD_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2646"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliko alternativat në tabelë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_sqi-MKD_REA_R547-BookSurvey_en18_MS2022.xlf"
"2838"	"Question"	"Pyetje"	"R549_question05_q05itemTitle_56fc786ad16f41.05101647_1_0"	"PISA_sqi-MKD_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3334"	"Question"	"Pyetje"	"R552_question07_q07itemTitle_56fd7942689428.79019608_1_0"	"PISA_sqi-MKD_REA_R552-FestiRock_en18_MS2022.xlf"
"3868"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliko alternativat në tabelë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R558_question8_itemDirections_56fc786b1259f5.61081922_1_0"	"PISA_sqi-MKD_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3947"	"Question"	"Pyetje"	"R559_question02_q02itemTitle_56fc783b259395.77008659_1_0"	"PISA_sqi-MKD_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"4276"	"Question"	"Pyetje"	"R561_question06_q06itemTitle_56fc785d2f7419.88879783_1_0"	"PISA_sqi-MKD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2622"	"Question"	"Pyetje"	"R547_question01_itemTitle_56fc782e09fa97.18259824_1_0"	"PISA_sqi-MKD_REA_R547-BookSurvey_en18_MS2022.xlf"
"5801"	"Question"	"Pyetje"	"R570_question01_q01itemTitle_56fc787977bc33.89522388_1_0"	"PISA_sqi-MKD_REA_R570-TheFavour_en18_MS2022.xlf"
"3103"	"Question"	"Pyetje"	"R550_question06_q06itemTitle_56fc785ce7b166.46111037_1_0"	"PISA_sqi-MKD_REA_R550-CliffPalace_en18_MS2022.xlf"
"4388"	"Question"	"Pyetje"	"R562_question05_q05itemTitle_56fc783b44dd42.19551287_1_0"	"PISA_sqi-MKD_REA_R562-OpeningNight_en18_MS2022.xlf"
"2460"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_1_0"	"PISA_sqi-MKD_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1741"	"Question"	"Pyetje"	"Q05_question_Q05itemTitle_56fc7820d2f030.28136629_1_0"	"PISA_sqi-MKD_REA_R541-Plastic_en18_MS2022.xlf"
"4894"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R565_question8_itemDirections_56fc785d634c08.07217589_1_0"	"PISA_sqi-MKD_REA_R565-SittingDisease_en18_MS2022.xlf"
"3142"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_sqi-MKD_REA_R550-CliffPalace_en18_MS2022.xlf"
"1449"	"Hampshire, PI15 9SA&lt;/b&gt;"	"Republika e Maqedonisë&lt;/b&gt;"	"R466_stimulus_line5b_5c3f627f2b44a8.00410809_6_0"	"PISA_sqi-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"5535"	"Click on a choice and type an explanation to answer the question."	"Klikonjë alternativë dhe jep një shpjegim për t’ju përgjigjur pyetjes."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_sqi-MKD_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3933"	"Question"	"Pyetje"	"R559_question01_q01itemTitle_56fc783b244c76.41293086_1_0"	"PISA_sqi-MKD_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5304"	"Question"	"Pyetje"	"R568_question10_q10itemTitle_56fc78791dbdc7.59469592_1_0"	"PISA_sqi-MKD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1933"	"Question"	"Pyetje"	"Q05R542_question_Q05itemTitle_56fc78210d08e5.80360931_1_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4241"	"Question"	"Pyetje"	"R561_question03_q03itemTitle_56fc785d2a1467.72945102_1_0"	"PISA_sqi-MKD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2438"	"Click on the choices in the table to answer the question."	"Kliko alternativat në tabelë për t’ju përgjigjur pyetjes."	"R545_question03_Q03itemDirections_56fc7821ad84c2.36903751_1_0"	"PISA_sqi-MKD_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3320"	"Question"	"Pyetje"	"R552_question06_q06itemTitle_56fd794266b1f3.31918014_1_0"	"PISA_sqi-MKD_REA_R552-FestiRock_en18_MS2022.xlf"
"1820"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"Q11_question_Q11itemDirections_56fc7820daace5.46406594_1_0"	"PISA_sqi-MKD_REA_R541-Plastic_en18_MS2022.xlf"
"2856"	"Question"	"Pyetje"	"R549_question07_q07itemTitle_56fc786ad3f8b3.08618007_1_0"	"PISA_sqi-MKD_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1443"	"&lt;b&gt;10 Years £100 offer"	"&lt;b&gt;Ofertë 10 vjet 10.000 denarë"	"R466_stimulus_line5b_5c3f627f2b44a8.00410809_0_0"	"PISA_sqi-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"3683"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R556_question8_itemDirections_56fc783adbd281.82516807_1_0"	"PISA_sqi-MKD_REA_R556-Microlending_en18_MS2022.xlf"
"5470"	"Question"	"Pyetje"	"R568_question04_q04itemTitle_56fc784aa79088.76538355_1_0"	"PISA_sqi-MKD_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1949"	"Question"	"Pyetje"	"Q08R542_question_Q08itemTitle_56fc78211029f0.35437122_1_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2336"	"Question"	"Pyetje"	"R544_question5_itemTitle_56fc78217cbbc6.20934914_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"4283"	"Question"	"Pyetje"	"R561_question07_q07itemTitle_56fc785d30d464.51064667_1_0"	"PISA_sqi-MKD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1612"	"Question"	"Pyetje"	"R540Q06Body_Q06itemTitle_56fc7820b63d55.52935587_1_0"	"PISA_sqi-MKD_REA_R540-BuildingALegend_en18_MS2022.xlf"
"2287"	"Question"	"Pyetje"	"R544_question13_itemTitle_56fc7821776a27.18155912_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"5011"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_sqi-MKD_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1806"	"Click on a choice to answer the question."	"Kliko alternativë për t’ju përgjigjur pyetjes."	"Q10_question_Q10itemDirections_56fc7820d94ce2.32272970_1_0"	"PISA_sqi-MKD_REA_R541-Plastic_en18_MS2022.xlf"
"3887"	"Question"	"Pyetje"	"R558_question09_itemTitle_56fc786b14d748.44895210_1_0"	"PISA_sqi-MKD_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5186"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_sqi-MKD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2135"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R543_question6_itemDirections_56fc78213bd0d4.70959990_1_0"	"PISA_sqi-MKD_REA_R543-Nobel_en18_MS2022.xlf"
"5222"	"Question"	"Pyetje"	"R567_question07_q07itemTitle_56fc787913c8e8.03622391_1_0"	"PISA_sqi-MKD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2106"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R543_question3_itemDirections_56fc78213692b4.63556835_1_0"	"PISA_sqi-MKD_REA_R543-Nobel_en18_MS2022.xlf"
"2366"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R544_question9_itemDirections_56fc782181a288.51990939_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"2630"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R547_question6_itemDirections_56fc782e0d8454.46459147_1_0"	"PISA_sqi-MKD_REA_R547-BookSurvey_en18_MS2022.xlf"
"5477"	"Question"	"Pyetje"	"R568_question05_q05itemTitle_56fc784aa8c5d0.45615811_1_0"	"PISA_sqi-MKD_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3073"	"Question"	"Pyetje"	"R550_question02_q02itemTitle_56fc785cdfec04.58394544_1_0"	"PISA_sqi-MKD_REA_R550-CliffPalace_en18_MS2022.xlf"
"4352"	"Question"	"Pyetje"	"R562_question01_q01itemTitle_56fc783b4081b5.03866160_1_0"	"PISA_sqi-MKD_REA_R562-OpeningNight_en18_MS2022.xlf"
"2818"	"Question"	"Pyetje"	"R549_question03_q03itemTitle_56fc786ace3733.75472591_1_0"	"PISA_sqi-MKD_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3675"	"Type your answer to the question.&lt;/i&gt;"	"Jep përgjigjen tënde për pyetjen.&lt;/i&gt;"	"R556_question7_itemDirections_56fc783ad9edc5.41424598_1_0"	"PISA_sqi-MKD_REA_R556-Microlending_en18_MS2022.xlf"
"3258"	"Date:"	"Datë:"	"pg3_stimulus_pg3p9_56fd79425aaa51.78520711_0"	"PISA_sqi-MKD_REA_R552-FestiRock_en18_MS2022.xlf"
"2078"	"Question"	"Pyetje"	"R543_question11_itemTitle_56fc782133d334.84623438_1_0"	"PISA_sqi-MKD_REA_R543-Nobel_en18_MS2022.xlf"
"1987"	"Wednesday"	"E mërkurë"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2441"	"Is the statement true or false?"	"Sipas broshurës a është e vërtetë apo e gabuar thënia?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_sqi-MKD_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5215"	"Click on a search result to answer the question."	"Kliko një rezultat të kërkimit për t’ju përgjigjur pyetjes."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_sqi-MKD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3480"	"Question"	"Pyetje"	"R553_question4_q04itemTitle_56fc784a5fe265.49123770_1_0"	"PISA_sqi-MKD_REA_R553-HealthForum_en18_MS2022.xlf"
"5833"	"Question"	"Pyetje"	"R570_question04_q04itemTitle_56fc78797b9f13.20900939_1_0"	"PISA_sqi-MKD_REA_R570-TheFavour_en18_MS2022.xlf"
"2261"	"Question"	"Pyetje"	"R544_question11_itemTitle_56fc782169e8c8.64546643_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"2316"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R544_question_itemDirections_56fc7821795366.48145010_1_0"	"PISA_sqi-MKD_REA_R544-Tesla_en18_MS2022.xlf"
"4566"	"Question"	"Pyetje"	"R563_question01_q01itemTitle_56fc786b3d8ac0.85237640_1_0"	"PISA_sqi-MKD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4865"	"Type your answer to the question.&lt;/i&gt;"	"Jep përgjigjen tënde për pyetjen.&lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_sqi-MKD_REA_R565-SittingDisease_en18_MS2022.xlf"
