"Segment"	"en-ZZ"	"es-CO"	"ID"	"File"
"4112"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-p1_56fc785d264c41.70943658_0_0"	"PISA_esp-COL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3813"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Consulta la información de &quot;Nalini Nadkarni: Pasión por los árboles&quot; que aparece a la derecha."	"R559_question03_q03itemDirections_56fc783b26ca61.80059891_0_0"	"PISA_esp-COL_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Pulsa en una opción y después escribe una explicación para responder a la pregunta."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_esp-COL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2003"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Lee el texto &quot;El hombre del futuro&quot;  que aparece a la derecha."	"R544_question8_itemDirections_56fc7821801f42.81584931_0_0"	"PISA_esp-COL_REA_R544-Tesla_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Después, haz clic en el resultado de la búsqueda que da respuesta a la pregunta."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_esp-COL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Clases particulares para todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_esp-COL_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1722"	"&lt;i&gt;Refer to “A Prize for Peace” on the right."	"&lt;i&gt;Lee el texto  &quot;Un Premio por la Paz&quot;  que aparece a la derecha."	"R543_question6_itemDirections_56fc78213bd0d4.70959990_0_0"	"PISA_esp-COL_REA_R543-Nobel_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Luego, haz clic en una opción y después escribe una explicación para responder a la pregunta."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_esp-COL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3827"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Consulta la información de &quot;Nalini Nadkarni: Pasión por los árboles&quot; que aparece a la derecha."	"R559_question04_q04itemDirections_56fc783b27f456.31679060_0_0"	"PISA_esp-COL_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5786"	"Park"	"Parque"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_esp-COL_REA_R569-TheCleanup_en18_MS2022.xlf"
"4700"	"Refer to “Portrait of a Photographer” on the right."	"Consulta la información del texto &quot;Retrato de un fotógrafo&quot; que aparece a la derecha."	"R564_question03_q03itemDirections_56fc783b5e5cd1.57939726_0_0"	"PISA_esp-COL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lee la información a continuación."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_esp-COL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5007"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_0_0"	"PISA_esp-COL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2292"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;La encuesta de libros&lt;/b&gt;&lt;br /&gt;"	"R547_question01_itemTitle_56fc782e09fa97.18259824_0_0"	"PISA_esp-COL_REA_R547-BookSurvey_en18_MS2022.xlf"
"1142"	"Refer to “Building a Legend” on the right."	"Lee el texto &quot;La construcción de una leyenda&quot; que aparece a la derecha."	"R540Q04Body_Q04itemDirections_56fc7820b41a48.49456535_0_0"	"PISA_esp-COL_REA_R540-BuildingALegend_en18_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"Después, haz clic en un resultado de la búsqueda para responder a la pregunta.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_esp-COL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4737"	"Refer to “Portrait of a Photographer” on the right."	"Consulta la información del texto &quot;Retrato de un fotógrafo&quot; que aparece a la derecha."	"R564_question06_q06itemDirections_56fc783b61d750.86234618_0_0"	"PISA_esp-COL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Después, haz clic en una opción y escribe una explicación que respalde tu respuesta.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_esp-COL_REA_R544-Tesla_en18_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50d36e3d7895d3.41792990_0"	"PISA_esp-COL_REA_R219-Employment_en15_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lee la información a continuación."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_esp-COL_REA_R553-HealthForum_en18_MS2022.xlf"
"3799"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Consulta la información de &quot;Nalini Nadkarni: Pasión por los árboles&quot; que aparece a la derecha."	"R559_question02_q02itemDirections_56fc783b259b76.36684830_0_0"	"PISA_esp-COL_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5951"	"I had fun the last time I stayed with them."	"Me lo pasé muy bien la última vez que me quedé con ellos."	"R570_question01_question01_5_56fc787977d263.09341473_0"	"PISA_esp-COL_REA_R570-TheFavour_en18_MS2022.xlf"
"894"	"True"	"Verdadero"	"R455_question_tr1th2_50d370cc0cfdd2.47102482_0"	"PISA_esp-COL_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"4853"	"Type your answer to the question.&lt;/i&gt;"	"Escribe la respuesta a la pregunta.&lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_esp-COL_REA_R565-SittingDisease_en18_MS2022.xlf"
"2012"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Lee  el texto &quot;El hombre del futuro&quot; que aparece a la derecha."	"R544_question9_itemDirections_56fc782181a288.51990939_0_0"	"PISA_esp-COL_REA_R544-Tesla_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; En compras entre $ 60.000  y $ 149.990, Ofiteca le reembolsará $&lt;span id=&quot;q3key&quot;&gt;20.000&lt;/span&gt;.&lt;br /&gt; &gt; En compras entre $ 150.000 y $ 299.990, Ofiteca le reembolsará $ 50.000.&lt;br /&gt; &gt; En compras iguales o superiores a $ 300.000, Ofiteca le reembolsará $100.000.&lt;br /&gt;"	"R466_stimulus_line5_50d37bac59eda1.72656538_0"	"PISA_esp-COL_REA_R466-WorkRight_en15_MS2022.xlf"
"5643"	"Read the information below."	"Lee la información a continuación."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_0_0"	"PISA_esp-COL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5037"	"Type your answer to the question."	"Escribe tu respuesta a la pregunta."	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_esp-COL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"Haz clic en un resultado de la búsqueda para responder a la pregunta."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_esp-COL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Después, haz clic en el resultado de la búsqueda que da respuesta a la pregunta. ."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_esp-COL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4585"	"Click on one or more boxes to answer the question."	"Haz clic en una o más casillas para responder a la pregunta."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_esp-COL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4942"	"Website"	"Sitio Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-COL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3262"	"Click on a choice to answer the question.&lt;/i&gt;"	"Después, haz clic en una opción para dar respuesta a la pregunta.&lt;/i&gt;"	"R553_question4_q04itemDirections_56fc784a5fe943.11595551_1_0"	"PISA_esp-COL_REA_R553-HealthForum_en18_MS2022.xlf"
"3856"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Consulta la información de &quot;Nalini Nadkarni: Pasión por los árboles&quot; que aparece a la derecha."	"R559_question06_q06itemDirections_56fc783b2a4803.17940809_0_0"	"PISA_esp-COL_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3957"	"Click on a choice to answer the question."	"Después, haz clic en la opción que da  respuesta a la pregunta."	"R560_question04_q04itemDirections_56fc784a7c0426.30672562_1_0"	"PISA_esp-COL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5571"	"Type your answer to the question."	"Escribe tu respuesta a la pregunta."	"R568_question04_q04itemDirections_56fc784aa79954.99366440_1_0"	"PISA_esp-COL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1700"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Lee el texto &quot;Alfred Bernhard Nobel&quot;  que aparece a la derecha."	"R543_question4_itemDirections_56fc7821381578.06834284_0_0"	"PISA_esp-COL_REA_R543-Nobel_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Después, haz clic en una opción y después escribe una explicación para responder a la pregunta."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_esp-COL_REA_R569-TheCleanup_en18_MS2022.xlf"
"4509"	"Type your answer to the question."	"Escribe tu respuesta a la pregunta."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_esp-COL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Llene&lt;/b&gt; el formulario que aparece en la parte inferior.&lt;br /&gt; &lt;b&gt;3/ Adjunte&lt;/b&gt; una copia de su comprobante de compra,  así como el código o los códigos de barras y la etiqueta o etiquetas con el precio de los productos originales.&lt;br /&gt; &lt;b&gt;4/ Envíelos&lt;/b&gt;, dentro de los siguientes 15 días después de su compra, a la siguiente dirección.&lt;br /&gt;"	"R466_stimulus_section2_50d37bac59f015.97588978_0"	"PISA_esp-COL_REA_R466-WorkRight_en15_MS2022.xlf"
"4729"	"Refer to “Portrait of a Photographer” on the right."	"Consulta la información del texto &quot;Retrato de un fotógrafo&quot; que aparece a la derecha."	"R564_question05_q05itemDirections_56fc783b60b828.68348774_0_0"	"PISA_esp-COL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"1149"	"Refer to “Building a Legend” on the right."	"Lee el texto &quot;La construcción de una leyenda&quot; que aparece a la derecha."	"R540Q05Body_Q05itemDirections_56fc7820b50ae8.46984171_0_0"	"PISA_esp-COL_REA_R540-BuildingALegend_en18_MS2022.xlf"
"5637"	"Type your answer to the question."	"Escribe tu respuesta a la pregunta."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_esp-COL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Continúa tu búsqueda en internet."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_esp-COL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Haz clic en la flecha SIGUIENTE para leer el sitio web"	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_esp-COL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1686"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Lee el texto &quot;Alfred Bernhard Nobel&quot;  que aparece a la derecha."	"R543_question3_itemDirections_56fc78213692b4.63556835_0_0"	"PISA_esp-COL_REA_R543-Nobel_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Haz clic en &lt;b&gt;Sí&lt;/b&gt; o en &lt;b&gt;No&lt;/b&gt; para cada actividad, según el caso."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_esp-COL_REA_R570-TheFavour_en18_MS2022.xlf"
"4225"	"Type your answer to the question."	"Después, escribe tu respuesta a la pregunta."	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_1_0"	"PISA_esp-COL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Haz clic en una de las páginas web que aparecen a la derecha para responder a la pregunta."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_esp-COL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"854"	"&lt;i&gt;Refer to &quot;How to Find a Summer Job&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;De acuerdo con la información de la derecha &quot;Cómo Encontrar Un Trabajo de Vacaciones&quot;, escribe tu respuesta a la pregunta. &lt;/i&gt;"	"R453_question_itemDirections_50d36a027fe513.27629441_0"	"PISA_esp-COL_REA_R453-SummerJob_en15_MS2022.xlf"
"2097"	"Refer to “Visit Majestic Machu Picchu” on the right."	"Lee el texto  &quot;Visite el majestuoso Machu Picchu&quot; que aparece a la derecha."	"R545_question03_Q03itemDirections_56fc7821ad84c2.36903751_0_0"	"PISA_esp-COL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2898"	"Type your answer to the question."	"Escribe tu respuesta a la pregunta."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_esp-COL_REA_R550-CliffPalace_en18_MS2022.xlf"
"1976"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt;Lee el texto &quot;Una chispa de genio&quot;  que aparece a la derecha."	"R544_question5_itemDirections_56fc78217cc282.26999608_0_0"	"PISA_esp-COL_REA_R544-Tesla_en18_MS2022.xlf"
"3943"	"Click on a choice to answer the question."	"Después, haz clic en la opción que da  respuesta a la pregunta."	"R560_question03_q03itemDirections_56fc784a7ad263.50990820_1_0"	"PISA_esp-COL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3610"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después haz clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_1_0"	"PISA_esp-COL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"Haz clic en una frase de la historia para responder a la pregunta."	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_esp-COL_REA_R562-OpeningNight_en18_MS2022.xlf"
"2139"	"Refer to “Visit Majestic Machu Picchu” on the right."	"Lee el texto  &quot;Visite el majestuoso Machu Picchu&quot; que aparece a la derecha."	"R545_question02_Q07itemDirections_56fc7821b1ae23.99363686_0_0"	"PISA_esp-COL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1128"	"Refer to “Building a Legend” on the right."	"Lee el texto &quot;La construcción de una leyenda&quot; que aparece a la derecha."	"R540Q03Body_Q03itemDirections_56fc7820b2e412.09495403_0_0"	"PISA_esp-COL_REA_R540-BuildingALegend_en18_MS2022.xlf"
"3618"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después haz clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_esp-COL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"Entre $60.000 y $149.990&lt;br /&gt;"	"R466_stimulus_sect3left_50d37bac5a3d53.51042511_0"	"PISA_esp-COL_REA_R466-WorkRight_en15_MS2022.xlf"
"2119"	"Refer to “Visit Majestic Machu Picchu” on the right."	"Lee el texto &quot;Visite el majestuoso Machu Picchu&quot;  que aparece a la derecha."	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_0_0"	"PISA_esp-COL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"895"	"False"	"Falso"	"R455_question_tr1th3_50d370cc0d0051.25023518_0"	"PISA_esp-COL_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"3994"	"Click on a choice to answer the question."	"Después, haz clic en la opción que da  respuesta a la pregunta."	"R560_question06_q06itemDirections_56fc784a7f68d8.83936530_1_0"	"PISA_esp-COL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3674"	"Type your answer to the question.&lt;/i&gt;"	"Escribe la respuesta a la pregunta.&lt;/i&gt;"	"R558_question4_itemDirections_56fc786b0c9040.22539487_1_0"	"PISA_esp-COL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5022"	"Click on one or more boxes to answer the question."	"Después, haz clic en una o más casillas para responer a la pregunta."	"R566_question01_q01itemDirections_56fc786b7efb09.20390208_1_0"	"PISA_esp-COL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2930"	"&lt;b&gt;Sent:&lt;/b&gt; 22 March 2015"	"&lt;b&gt;Enviado:&lt;/b&gt; 22 de marzo de 2015"	"pg1_stimulus_pg1-li3-3_56fd7942572183.74944699_0"	"PISA_esp-COL_REA_R552-FestiRock_en18_MS2022.xlf"
"4715"	"Refer to “Portrait of a Photographer” on the right."	"Consulta la información del texto &quot;Retrato de un fotógrafo&quot; que aparece a la derecha."	"R564_question04_q04itemDirections_56fc783b5f9314.54350838_0_0"	"PISA_esp-COL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"1046"	"&lt;i&gt;*Stationery, print and promotion products, technology supplies. See the general terms of the offer.&lt;/i&gt;"	"&lt;i&gt;*Papelería, productos de impresión y promoción, artículos electrónicos. Ver condiciones generales de la oferta..&lt;/i&gt;"	"R466_stimulus_line3_50d37bac59e264.09051775_0"	"PISA_esp-COL_REA_R466-WorkRight_en15_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después haz clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_esp-COL_REA_R556-Microlending_en18_MS2022.xlf"
"1344"	"Click on a choice and then type an explanation to answer the question."	"Después, haz clic en  &lt;b&gt;Sí&lt;/b&gt; o en &lt;b&gt;No&lt;/b&gt;  y escribe una explicación que respalde tu respuesta."	"Q09_question_Q09itemDirections_56fc7820d7dce5.98398486_1_0"	"PISA_esp-COL_REA_R541-Plastic_en18_MS2022.xlf"
"4530"	"Type your answer to the question."	"Escribe tu respuesta a la pregunta."	"R563_question03_q03itemDirections_56fc786b410592.73244337_1_0"	"PISA_esp-COL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1672"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Lee el texto &quot;Alfred Bernhard Nobel&quot; que aparece a la derecha."	"R543_question2_itemDirections_56fc7821351641.10631472_0_0"	"PISA_esp-COL_REA_R543-Nobel_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Haz clicen &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; según cada afirmación."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_esp-COL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5246"	"Give one example."	"Escribe un ejemplo."	"R567_question03_q03p2_56fc78790e6a67.23961686_0"	"PISA_esp-COL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulta las dos fuentes de la derecha haciendo clic en cada pestaña."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_esp-COL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1940"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt;Lee el texto  &quot;Una chispa de genio&quot; que aparece a la derecha."	"R544_question_itemDirections_56fc7821795366.48145010_0_0"	"PISA_esp-COL_REA_R544-Tesla_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_esp-COL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulta las dos fuentes de la derecha haciendo clic en cada pestaña."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_esp-COL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3786"	"Click on a choice to answer the question."	"Después, haz clic en la opción que da respuesta a la pregunta.&lt;/i&gt;"	"R559_question01_q01itemDirections_56fc783b245423.47469729_1_0"	"PISA_esp-COL_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Entre $150.000 y $299.990&lt;br /&gt;"	"R466_stimulus_sect3left_50d37bac5a40c8.24280416_0"	"PISA_esp-COL_REA_R466-WorkRight_en15_MS2022.xlf"
"2491"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_0_0"	"PISA_esp-COL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4944"	"Website"	"Sitio Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-COL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1163"	"Refer to “Building a Legend” on the right."	"Lee el texto &quot;La construcción de una leyenda&quot; que aparece a la derecha."	"R540Q06Body_Q06itemDirections_56fc7820b64505.70915829_0_0"	"PISA_esp-COL_REA_R540-BuildingALegend_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Después, haz clic en una opción y escribe una explicación que respalde tu respuesta. &lt;/i&gt;"	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_esp-COL_REA_R552-FestiRock_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; en cada afirmación, según el caso."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_esp-COL_REA_R552-FestiRock_en18_MS2022.xlf"
"500"	"his disappointment"	"su desencanto:"	"R220_stimulus_stimulusH_5_50d37503c9b347.82162915_0"	"PISA_esp-COL_REA_R220-SouthPole_en15_MS2022.xlf"
"3841"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Consulta la información de &quot;Nalini Nadkarni: Pasión por los árboles&quot; que aparece a la derecha."	"R559_question05_q05itemDirections_56fc783b2928b3.13861690_0_0"	"PISA_esp-COL_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"2635"	"Type your answer to the question."	"Escribe tu respuesta a la pregunta."	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_1_0"	"PISA_esp-COL_REA_R549-MessageInABottle_en18_MS2022.xlf"
