"Segment"	"en-ZZ"	"de-AT"	"ID"	"File"
"5090"	"Click a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten."	"R566_question06_q06itemDirections_56fc786b8a1669.36610157_1_0"	"PISA_deu-AUT_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;10-Jahre-EUR-100-Angebot&lt;br /&gt; Sogec AG&lt;br /&gt; Verwaltung&lt;br /&gt; Zentralstr. 41&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50c7c94261a145.88195798_0"	"PISA_deu-AUT_REA_R466-WorkRight_en15_MS2022.xlf"
"4853"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_deu-AUT_REA_R565-SittingDisease_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Ist die Aussage laut Broschüre richtig oder falsch?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_deu-AUT_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4021"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_deu-AUT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2710"	"Dedicated to the preservation of this important landmark"	"Dem Erhalt dieses außergewöhnlichen Bauwerks gewidmet"	"R550_general_info_general-tagline_56fc785ccd8013.79800961_0"	"PISA_deu-AUT_REA_R550-CliffPalace_en18_MS2022.xlf"
"2751"	"Mesa Verde National Park, US"	"Mesa Verde Nationalpark, USA"	"R550_map_map-h2_56fc785cd16de3.32258254_0"	"PISA_deu-AUT_REA_R550-CliffPalace_en18_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt; Vergiss nicht, &lt;b&gt;ein oder mehrere&lt;/b&gt; Kästchen auszuwählen.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_deu-AUT_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4113"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_deu-AUT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"Klicke ein Suchergebnis an, um die Frage zu beantworten."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_deu-AUT_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5392"	"Refer to “Requirements” on the right."	"Beziehe dich auf „Anforderungen auf Feuerspringer“ auf der rechten Seite."	"R568_question10_q10itemDirections_56fc78791dc480.80691911_0_0"	"PISA_deu-AUT_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2427"	"Graphic Novel"	"Comic-Romane"	"R547_question10_q10t2r7c2_56fc782e158fe8.95342582_0"	"PISA_deu-AUT_REA_R547-BookSurvey_en18_MS2022.xlf"
"1150"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R540Q05Body_Q05itemDirections_56fc7820b50ae8.46984171_1_0"	"PISA_deu-AUT_REA_R540-BuildingALegend_en18_MS2022.xlf"
"5637"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_deu-AUT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5780"	"Location"	"Ort"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_deu-AUT_REA_R569-TheCleanup_en18_MS2022.xlf"
"3674"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R558_question4_itemDirections_56fc786b0c9040.22539487_1_0"	"PISA_deu-AUT_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4664"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b5aea95.72363860_1_0"	"PISA_deu-AUT_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2785"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_deu-AUT_REA_R550-CliffPalace_en18_MS2022.xlf"
"2752"	"Dedicated to the preservation of this important landmark"	"Dem Erhalt dieses außergewöhnlichen Bauwerks gewidmet"	"R550_map_map-tagline_56fc785cd170a4.39109611_0"	"PISA_deu-AUT_REA_R550-CliffPalace_en18_MS2022.xlf"
"506"	"courageously"	"tapfer"	"R220_stimulus_stimulusH_9_50c7c047021ec1.08627097_0"	"PISA_deu-AUT_REA_R220-SouthPole_en15_MS2022.xlf"
"5467"	"Image Credit: NASA"	"Bild: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_deu-AUT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2769"	"Dedicated to the preservation of this important landmark"	"Dem Erhalt dieses außergewöhnlichen Bauwerks gewidmet"	"R550_tours_tours-tagline_56fc785cd39871.17122394_0"	"PISA_deu-AUT_REA_R550-CliffPalace_en18_MS2022.xlf"
"2375"	"Zedtown High’s favourite fiction genres of books"	"Beliebteste Genres der Unterhaltungsbücher am Gymnasium Zedstadt."	"R547_question10_chartTitle_56fc782e14aac4.83822508_0"	"PISA_deu-AUT_REA_R547-BookSurvey_en18_MS2022.xlf"
"5825"	"Playground"	"Beim Spielplatz."	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_deu-AUT_REA_R569-TheCleanup_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_deu-AUT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2722"	"Dedicated to the preservation of this important landmark"	"Dem Erhalt dieses außergewöhnlichen Bauwerks gewidmet"	"R550_hours_hours-tagline_56fc785ccf5622.79476431_0"	"PISA_deu-AUT_REA_R550-CliffPalace_en18_MS2022.xlf"
"2058"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"R545_question00_q00itemDirections_56fc7821a9d332.06999644_1_0"	"PISA_deu-AUT_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Gib deine Antworten auf die Frage ein."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_deu-AUT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3778"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b2348f3.80349298_1_0"	"PISA_deu-AUT_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3019"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_deu-AUT_REA_R552-FestiRock_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_deu-AUT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_deu-AUT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_deu-AUT_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4276"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b3f8a36.71119956_1_0"	"PISA_deu-AUT_REA_R562-OpeningNight_en18_MS2022.xlf"
"5929"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_deu-AUT_REA_R570-TheFavour_en18_MS2022.xlf"
"4832"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R565_question2_itemDirections_56fc785d5accf1.97912779_1_0"	"PISA_deu-AUT_REA_R565-SittingDisease_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_deu-AUT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2656"	"Dedicated to the preservation of this important landmark"	"Dem Erhalt dieses außergewöhnlichen Bauwerks gewidmet"	"R550_ancestral_ancestral-tagline_56fc785cc8c793.88389873_0"	"PISA_deu-AUT_REA_R550-CliffPalace_en18_MS2022.xlf"
"3475"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R556_question7_itemDirections_56fc783ad9edc5.41424598_1_0"	"PISA_deu-AUT_REA_R556-Microlending_en18_MS2022.xlf"
"5374"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_1_0"	"PISA_deu-AUT_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5740"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_1_0"	"PISA_deu-AUT_REA_R569-TheCleanup_en18_MS2022.xlf"
"2390"	"Graphic Novel"	"Comic-Romane"	"R547_question10_q10t1r3c2_56fc782e14e633.69091002_0"	"PISA_deu-AUT_REA_R547-BookSurvey_en18_MS2022.xlf"
"2296"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_deu-AUT_REA_R547-BookSurvey_en18_MS2022.xlf"
"5939"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_1_0"	"PISA_deu-AUT_REA_R570-TheFavour_en18_MS2022.xlf"
"5826"	"Football Field"	"Beim Fußballplatz."	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_deu-AUT_REA_R569-TheCleanup_en18_MS2022.xlf"
"4916"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R565_question9_itemDirections_56fc785d64abb5.53582901_1_0"	"PISA_deu-AUT_REA_R565-SittingDisease_en18_MS2022.xlf"
"1477"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"Ja, das ist mein Plan, aber ich interessiere mich mehr für den Aushang zur Nachhilfe..."	"Q02R542_question_Convp7_56fc782107fe14.69518872_1_0"	"PISA_deu-AUT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"Und ich hatte das Privileg, zuzuhören.“&lt;/i&gt;"	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_deu-AUT_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2486"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_deu-AUT_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5924"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_1_0"	"PISA_deu-AUT_REA_R570-TheFavour_en18_MS2022.xlf"
"2635"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_1_0"	"PISA_deu-AUT_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2683"	"Dedicated to the preservation of this important landmark"	"Dem Erhalt dieses außergewöhnlichen Bauwerks gewidmet"	"R550_cliff_palace_c-palace-tagline_56fc785ccae3e3.55222199_0"	"PISA_deu-AUT_REA_R550-CliffPalace_en18_MS2022.xlf"
