"Segment"	"en-ZZ"	"hr-HR"	"ID"	"File"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"U ovoj ćeš simulaciji moći istražiti kako razine ulova haringe i bakalara utječu na biomasu svake vrste organizma u zaljevu nakon razdoblja od pet godina."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2942"	"Venus"	"Venera"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_hrv-HRV_SCI_S648-HabitableZone_en15_MS2022.xlf"
"566"	"No&lt;br /&gt;treatment"	"Bez&lt;br /&gt;gnojiva"	"S438_stimulus2_chem11_50ec56b80374f1.18701193_0"	"PISA_hrv-HRV_SCI_S438-GreenParks_en15_MS2022.xlf"
"1357"	"Birds leave nests"	"Ptice napuštaju svoja gnijezda."	"S607_stimulus1_sl14_517407135d1832.09141585_0"	"PISA_hrv-HRV_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"645"	"Bacteria"	"Na bakterije"	"S478_question1_question1_3_50ed1d97729693.98668627_0"	"PISA_hrv-HRV_SCI_S478-Antibiotics_en15_MS2022.xlf"
"556"	"No&lt;br /&gt;treatment"	"Bez&lt;br /&gt;gnojiva"	"S438_stimulus2_chem6_50ec56b80351b7.70160690_0"	"PISA_hrv-HRV_SCI_S438-GreenParks_en15_MS2022.xlf"
"2371"	"increase"	"povećava"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Srednji"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_hrv-HRV_SCI_S615-Tsunami_en15_MS2022.xlf"
"2782"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;Nanočestice&lt;/b&gt;&lt;br /&gt; Uvod"	"question1_1_itemTitle01_51940c1035ac53.75462781_0"	"PISA_hrv-HRV_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2455"	"None"	"Nema ulova"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"936"	"lower"	"niže"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_hrv-HRV_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2341"	"decrease"	"smanjiti"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Srednja"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2450"	"None"	"Nema ulova"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Srednja"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"smanjuje"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"576"	"No&lt;br /&gt;treatment"	"Bez&lt;br /&gt;gnojiva"	"S438_stimulus2_chem16_50ec56b8039f14.23538076_0"	"PISA_hrv-HRV_SCI_S438-GreenParks_en15_MS2022.xlf"
"2243"	"None"	"Nema ulova"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2945"	"Uranus"	"Uran"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_hrv-HRV_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Pokreni simulaciju kako bi prikupio/la podatke na temelju donjih informacija. Odgovori na pitanje na način da klikneš na jedan od ponuđenih odgovora, a zatim utipkaš obrazloženje.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_hrv-HRV_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2245"	"Medium"	"Srednja"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2372"	"decrease"	"smanjuje"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Srednji"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_hrv-HRV_SCI_S615-Tsunami_en15_MS2022.xlf"
"1347"	"Birds leave nests"	"Ptice napuštaju svoja gnijezda."	"S607_stimulus1_sl04_517407135cdb41.55545007_0"	"PISA_hrv-HRV_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Za pokretanje ove simulacije možeš se služiti sljedećim naredbama:"	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_hrv-HRV_SCI_S643-LightBulbs_en15_MS2022.xlf"
