"Segment"	"en-ZZ"	"nb-NO"	"ID"	"File"
"2231"	"Please click on the NEXT arrow to continue."	"Klikk på NESTE-pilen for å fortsette."	"stimulus_1_automationMsg2_5193fde5a8b6f0.19499830_0"	"PISA_nob-NOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Se på &quot;Graf 1&quot; til høyre. Svar på spørsmålet ved å klikke på et av alternativene.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec527a3e5c12.30607887_0"	"PISA_nob-NOR_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"Slett data for å gjøre flere forsøk."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_nob-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"737"	"No"	"NEI"	"S498_question3_question3_2_50ec5d9f6dc952.41403365_0"	"PISA_nob-NOR_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"&quot;Kjør&quot;-knappen som viser resultatene."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_nob-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2339"	"select"	"Velg"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Lavt"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"Slett en rad med data for å kjøre en annen utprøving"	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klikk på NESTE-pilen for å fortsette."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_nob-NOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klikk på NESTE-pilen for å gå videre."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Bruk informasjonen nedenfor, og kjør simuleringen for å få fram data. Svar på spørsmålet ved å klikke på et av alternativene.&lt;/i&gt;"	"question2_1_itemDirections02_51940c10381160.17280342_0"	"PISA_nob-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2458"	"High"	"Høyt"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
