"Segment"	"en-ZZ"	"he-IL"	"ID"	"File"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"סמנו &lt;b&gt;כן&lt;/b&gt; או &lt;b&gt;לא&lt;/b&gt; עבור כל פעילות."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_heb-ISR_REA_R570-TheFavour_en18_MS2022.xlf"
"516"	"20 hours&lt;br /&gt;of darkness"	"20 שעות&lt;br /&gt;חושך"	"R220_stimulus_label3_50c7c067d56160.32679112_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"2389"	"The Adventures of Volcano Man"	"&lt;div align=&quot;right&quot;&gt; הרפתקאותיו של איש הרי הגעש&lt;/div&gt;"	"R547_question10_question10_6_56fc782e14e338.79561687_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2662"	"Ancestral Puebloans"	"בני הפּוּאֶבּלוֹ הקדומים"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"כדי לקרוא את המקור הראשון, לחצו על החץ &quot;הבא&quot;."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_heb-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"כדי לענות על השאלה, סמנו את תוצאת החיפוש."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_heb-ISR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"585"	"20 hours&lt;br /&gt;of darkness"	"20 שעות&lt;br /&gt;חושך"	"R220_stimulus_label3_50c7c067dd0e52.09329434_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"5786"	"Park"	"פארק"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_heb-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"1313"	"False"	"&lt;div align=&quot;right&quot;&gt;לא נכון&lt;/div&gt;"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_heb-ISR_REA_R541-Plastic_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"כדי לענות על השאלה, סמנו את תשובתכם והקלידו את ההסבר."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_heb-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2711"	"Home"	"דף הבית"	"R550_general_info_gi_l1_56fc785ccd89f9.96697154_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"304"	"S"	"ש"	"R219_stimulus_stimulus_10_50c7b79a05bab7.02605768_0"	"PISA_heb-ISR_REA_R219-Employment_en15_MS2022.xlf"
"3075"	"Yes"	"&lt;div align=&quot;center&quot;&gt;כן&lt;/div&gt;"	"R552_question04_tr1th2_56fd794262dc90.38196051_0"	"PISA_heb-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"1559"	"Monday"	"ראשון"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_heb-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1562"	"Thursday"	"רביעי"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_heb-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5270"	"False"	"&lt;div align=&quot;center&quot;&gt;לא נכון&lt;/div&gt;"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_heb-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"325"	"TO"	"עד תאריך"	"R219_stimulus_sect4Line3span4_50c7b79a067824.51072820_0"	"PISA_heb-ISR_REA_R219-Employment_en15_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"כדי לענות על השאלה, סמנו את תשובתכם והקלידו את ההסבר."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_heb-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"392"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;הקוטב הדרומי&lt;/b&gt;&lt;br /&gt;שאלה"	"R220_question_itemTitle_50c7c067c22c33.37232846_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"4482"	"About Us"	"מי אנחנו"	"R563-stimulus-news_stimulus_news_5_56fc786b3a5726.69858954_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2643"	"Home"	"דף הבית"	"R550_stimulus01_stimulus1_1_56fc785cc5fc61.08831919_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5269"	"True"	"&lt;div align=&quot;center&quot;&gt;נכון&lt;/div&gt;"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_heb-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"כדי לענות על השאלה, סמנו את תשובתכם והקלידו את ההסבר."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_heb-ISR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"תנאים כלליים למבצע 10 שנים &amp;mdash; 1,000 ₪&lt;br /&gt; 1.  המבצע אינו חל על סיטונאים וקמעונאים המוכרים את סוגי המוצרים הללו. 2.  המבצע חל רק על המוצרים הבאים של  &lt;b&gt;עובדים נכון&lt;/b&gt;: מוצרי נייר, דפוס וקידום מכירות, ציוד אלקטרוני. מוצרים אחרים של  &lt;b&gt;עובדים נכון&lt;/b&gt;  אינם כלולים במבצע, בפרט לא מוצרי ריהוט."	"R466_stimulus_section4_50c7c963081bf1.21473895_0"	"PISA_heb-ISR_REA_R466-WorkRight_en15_MS2022.xlf"
"4377"	"About Us"	"מי אנחנו"	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"589"	"continuous&lt;br /&gt;daylight"	"אור יום&lt;br /&gt;מתמשך"	"R220_stimulus_label7_50c7c067dd1ba5.12848719_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"5312"	"True"	"&lt;div align=&quot;center&quot;&gt;נכון&lt;/div&gt;"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_heb-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"הקלידו את תשובתכם לשאלה."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"269"	"&lt;b&gt;Employment&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; תעסוקה&lt;/b&gt;&lt;br /&gt; שאלה"	"R219_question_itemTitle_50c7b79a015179.42857498_0"	"PISA_heb-ISR_REA_R219-Employment_en15_MS2022.xlf"
"2401"	"True Genius: Marie Curie"	"&lt;div align=&quot;right&quot;&gt; גאונות אמִתית: מארי קירי&lt;/div&gt;"	"R547_question10_question10_14_56fc782e151093.23226298_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"כדי לענות על השאלה, סמנו את תשובתכם והקלידו את ההסבר."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_heb-ISR_REA_R562-OpeningNight_en18_MS2022.xlf"
"5664"	"Who's in the Chat"	"מי נמצא בצ'אט"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_heb-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"כדי לענות על השאלה, סמנו את תשובתכם ולאחר מכן הקלידו את ההסבר."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_heb-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"2392"	"My Travels to Peru"	"&lt;div align=&quot;right&quot;&gt; מסעותיי בפרו&lt;/div&gt;"	"R547_question10_question10_8_56fc782e14ee91.27889384_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2799"	"Spring"	"אביב"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;מבצע 10 שנים – 1,000 ₪&lt;br /&gt; חברת סוגם&lt;br /&gt; רח' האלון 41&lt;br /&gt; מעלה חורש 93145&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50c7c96307bd61.10071526_0"	"PISA_heb-ISR_REA_R466-WorkRight_en15_MS2022.xlf"
"3977"	"No"	"&lt;div align=&quot;right&quot;&gt;לא&lt;/div&gt;"	"R560_question05_q05tr1th3_56fc784a7de774.57578747_0"	"PISA_heb-ISR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"חוגגת 10 שנים&lt;br /&gt;ומחזירה לכם עד"	"R466_stimulus_line1_50c7c96307a124.64605332_0"	"PISA_heb-ISR_REA_R466-WorkRight_en15_MS2022.xlf"
"25"	"&lt;b&gt;Drugged Spiders&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;עכבישים מסוממים&lt;/b&gt;&lt;br /&gt;שאלה"	"R055_question_itemTitle_50c7b3206e07f0.51439560_0"	"PISA_heb-ISR_REA_R055-DruggedSpiders_en15_MS2022.xlf"
"576"	"The worst has happened"	"&quot;הגרוע מכול קרה"	"R220_stimulus_stimulusHQ4_3_50c7c067d9ac58.84375910_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"20"	"&lt;b&gt;Drugged Spiders&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;עכבישים מסוממים&lt;/b&gt;&lt;br /&gt;שאלה"	"R055_question_itemTitle_50c7b3206c7d01.85425683_0"	"PISA_heb-ISR_REA_R055-DruggedSpiders_en15_MS2022.xlf"
"1312"	"True"	"&lt;div align=&quot;right&quot;&gt;נכון&lt;/div&gt;"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_heb-ISR_REA_R541-Plastic_en18_MS2022.xlf"
"2595"	"Yes"	"&lt;div align=&quot;center&quot;&gt;כן&lt;/div&gt;"	"R549_question08_q08tr1th2_56fc786ad56e61.77071180_0"	"PISA_heb-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"כדי לענות על השאלה, גררו את התשובות אל המקומות המתאימים בטבלה."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_heb-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; על רכישות בסך 600 ₪ עד 1,499.99 ₪, תחזיר לכם &lt;b&gt;עובדים נכון&lt;/b&gt; &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; ₪.&lt;br /&gt; &gt; על רכישות בסך 1,500 ₪ עד 2,999.99 ₪, תחזיר לכם &lt;b&gt;עובדים נכון&lt;/b&gt; 500 ₪.&lt;br /&gt; &gt; על רכישות בסך 3,000 ₪ או יותר, תחזיר לכם &lt;b&gt;עובדים נכון&lt;/b&gt; 1,000 ₪.&lt;br /&gt;"	"R466_stimulus_line5_50c7c96307b7e0.53832896_0"	"PISA_heb-ISR_REA_R466-WorkRight_en15_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"בין 1,500 ₪ ל-2,999.99 ₪&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c963080928.45447467_0"	"PISA_heb-ISR_REA_R466-WorkRight_en15_MS2022.xlf"
"2802"	"Winter"	"חורף"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"3131"	"Volunteer Agreement"	"הסכם ההתנדבות"	"js_translation_agreementLinkTitle_56fd79426bb4c0.02461212_0"	"PISA_heb-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"5106"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;שימו לב: אפשר לבחור תשובה &lt;b&gt;אחת או יותר&lt;/b&gt; &lt;/i&gt;."	"R566_question07_q07p2_56fc786b8be128.35981027_0"	"PISA_heb-ISR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2420"	"The Compass and the Abyss"	"&lt;div align=&quot;right&quot;&gt; המצפן והתהום&lt;/div&gt;"	"R547_question10_question10_26_56fc782e156ab8.08740832_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2102"	"True"	"&lt;div align=&quot;right&quot;&gt;נכון&lt;/div&gt;"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_heb-ISR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1545"	"Tutors for All"	"שיעורים פרטניים לכול"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_heb-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2103"	"False"	"&lt;div align=&quot;right&quot;&gt;לא נכון&lt;/div&gt;"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_heb-ISR_REA_R545-MachuPicchu_en18_MS2022.xlf"
