"Segment"	"en-ZZ"	"de-CH"	"ID"	"File"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Gesamt &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_deu-CHE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Gesamt &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_deu-CHE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4949"	"Economics"	"Wirtschaftswissenschaften"	"q3MA160_question_question03_6_5c9d21377f8797.20395231_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4445"	"Select"	"Wähle"	"q2MA152_question_q2o0_5c9d216550cbf7.56001817_0"	"PISA_deu-CHE_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Erkläre deine Antwort und verwende Zahlen, um deine Erklärung zu stützen."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_deu-CHE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5440"	"Population"	"Bevölke-&lt;br&gt;rungszahl"	"js_translation_population_5c9d2137d7d9a3.64884104_0"	"PISA_deu-CHE_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Denk daran, &lt;b&gt;ein oder mehrere&lt;/b&gt; Kästchen auszuwählen."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_deu-CHE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3460"	"Select"	"Wähle"	"q2CMA137_question_q1A0_5c9d216470a101.61255510_0"	"PISA_deu-CHE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3200"	"Select"	"Wähle"	"Q1MA134_question_Q01tr3td1SELECT1o0_5c9d2164318c81.53190451_0"	"PISA_deu-CHE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2235"	"Select"	"Wähle"	"MA126_question02_S02tr3o0_5c9d214b525521.10669663_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"4951"	"Nursing"	"Pflegewissenschaft"	"q3MA160_question_question03_8_5c9d21377f8b91.80575787_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
