"Segment"	"en-ZZ"	"th-TH"	"ID"	"File"
"4551"	"Refer to the different webpages of the website on the right."	"จากแต่ละเว็บเพจของเว็บไซต์ทางด้านขวา"	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_tha-THA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2745"	"8:00 am – 5:00 pm"	"08:00 น. &amp;ndash; 17:00 น."	"R550_hours_r3c2_56fc785ccfb114.73612476_0"	"PISA_tha-THA_REA_R550-CliffPalace_en18_MS2022.xlf"
"4314"	"Type your answer to the question."	"ให้พิมพ์คำตอบ&lt;br /&gt;ของนักเรียนเพื่อตอบคำถาม"	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_tha-THA_REA_R562-OpeningNight_en18_MS2022.xlf"
"689"	"R404 Sleep"	"R404 การนอนหลับ"	"R404_stimulus_unknownID_50d37a6451d634.40230266_0"	"PISA_tha-THA_REA_R404-Sleep_en15_MS2022.xlf"
"304"	"S"	"อา"	"R219_stimulus_stimulus_10_50d36dc668a856.60668712_0"	"PISA_tha-THA_REA_R219-Employment_en15_MS2022.xlf"
"2154"	"Type your answer to the question."	"&lt;br/&gt;ให้พิมพ์คำตอบของนักเรียนเพื่อตอบคำถาม"	"R545_question04_Q09itemDirections_56fc7821b30c73.16221683_1_0"	"PISA_tha-THA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2084"	"Click on a choice to answer the question."	"&lt;br /&gt;ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม"	"R545_question02_Q02itemDirections_56fc7821ac1062.96206955_1_0"	"PISA_tha-THA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3387"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R556_question1_itemDirections_56fc783ac17050.91870088_1_0"	"PISA_tha-THA_REA_R556-Microlending_en18_MS2022.xlf"
"531"	"Oct"	"ตค"	"R220_stimulus_oct_50d374879a80e0.28711021_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"518"	"Antarctic Circle"	"แอนตาร์กติก เซอร์เคิล"	"R220_stimulus_label5_50d374879a5060.62343962_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"596"	"Jun"	"มย"	"R220_stimulus_jun_50d37487a1ae46.70791801_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"4298"	"Type your answer to the question."	"ให้พิมพ์คำตอบ&lt;br /&gt;ของนักเรียนเพื่อตอบคำถาม"	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_tha-THA_REA_R562-OpeningNight_en18_MS2022.xlf"
"5835"	"Refer to the table on the right."	"จากตารางทางด้านขวา&amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp;"	"q6R569_question_q06itemDirections_56fc787954aeb9.99591068_0_0"	"PISA_tha-THA_REA_R569-TheCleanup_en18_MS2022.xlf"
"532"	"Nov"	"พย"	"R220_stimulus_nov_50d374879a8442.68294061_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"3957"	"Click on a choice to answer the question."	"ให้คลิกหนึ่ง&lt;br /&gt;ตัวเลือกเพื่อตอบคำถาม"	"R560_question04_q04itemDirections_56fc784a7c0426.30672562_1_0"	"PISA_tha-THA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"จากแต่ละเว็บเพจของเว็บไซต์ทางด้านขวา"	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_tha-THA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1368"	"Refer to the flyer and the webpage on the right by clicking on each of the tabs."	"จากใบปลิวและเว็บเพจทางด้านขวา&amp;nbsp; สามารถเลือกอ่านโดยการคลิกที่แต่ละแท็บ&amp;nbsp;"	"Q11_question_Q11itemDirections_56fc7820daace5.46406594_0_0"	"PISA_tha-THA_REA_R541-Plastic_en18_MS2022.xlf"
"522"	"Jan"	"มค"	"R220_stimulus_jan_50d374879a5fb2.57791709_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"4509"	"Type your answer to the question."	"ให้พิมพ์คำตอบ&lt;br /&gt;ของนักเรียนเพื่อตอบคำถาม"	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_tha-THA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1859"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R544_question01_itemDirections_56fc7821671ff0.57797605_1_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"1545"	"Tutors for All"	"การติวเข้มครบสูตร"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_tha-THA_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2140"	"Click on a choice to answer the question."	"&lt;br/&gt;ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม"	"R545_question02_Q07itemDirections_56fc7821b1ae23.99363686_1_0"	"PISA_tha-THA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"599"	"Sep"	"กย"	"R220_stimulus_sept_50d37487a1ba86.69902464_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"5215"	"Click on one or more boxes to answer the question."	"ให้คลิกที่กรอบสี่เหลี่ยมหนึ่งกรอบหรือมากกว่าหนึ่งกรอบ&lt;br /&gt;เพื่อตอบคำถาม"	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_tha-THA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1977"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R544_question5_itemDirections_56fc78217cc282.26999608_1_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"&amp;nbsp; จงคลิกเลือก &lt;b&gt;ใช่&lt;/b&gt; หรือ &lt;b&gt;ไม่ใช่&lt;/b&gt; ในแต่ละข้อความ"	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_tha-THA_REA_R552-FestiRock_en18_MS2022.xlf"
"1957"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"&amp;nbsp; &amp;nbsp;จงคลิกเลือก &amp;nbsp; &lt;b&gt;ใช่&lt;/b&gt; หรือ &lt;b&gt;ไม่ใช่&lt;/b&gt; ในแต่ละข้อความ"	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"2928"	"-----Original Message -----"	"------ข้อความต้นฉบับ -----"	"pg1_stimulus_pg1-li3-1_56fd79425717a1.64071273_0"	"PISA_tha-THA_REA_R552-FestiRock_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"จากค้นหาเว็บทางด้านขวา"	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_tha-THA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"จากค้นหาเว็บทางด้านขวา"	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_tha-THA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"598"	"Aug"	"สค"	"R220_stimulus_aug_50d37487a1b735.33053044_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"592"	"Feb"	"กพ"	"R220_stimulus_feb_50d37487a1a0d3.19534664_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"จงคลิกเลือก &lt;b&gt;จริง&lt;/b&gt; หรือ &lt;b&gt;เท็จ&lt;/b&gt; ในแต่ละข้อความ"	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_tha-THA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"จากแต่ละเว็บเพจของเว็บไซต์ทางด้านขวา"	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_tha-THA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1343"	"Refer to the webpage on the right."	"จากเว็บเพจทางด้านขวา&amp;nbsp; &amp;nbsp; &amp;nbsp;"	"Q09_question_Q09itemDirections_56fc7820d7dce5.98398486_0_0"	"PISA_tha-THA_REA_R541-Plastic_en18_MS2022.xlf"
"3970"	"Refer to “The Great Pacific Garbage Patch” on the right."	"จากเรื่อง&amp;nbsp; “แพขยะขนาดใหญ่แห่งแปซิฟิก”&amp;nbsp; ทางด้านขวา&lt;br /&gt;"	"R560_question05_q05itemDirections_56fc784a7dd823.73528927_0_0"	"PISA_tha-THA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"530"	"Sep"	"กย"	"R220_stimulus_sept_50d374879a7d64.31950137_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"ให้คลิกหนึ่งตัวเลือก&amp;nbsp;&amp;nbsp; แล้วพิมพ์คำอธิบายของนักเรียนเพื่อตอบคำถาม"	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_tha-THA_REA_R562-OpeningNight_en18_MS2022.xlf"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"เครื่องใช้สำนักงาน* ของออฟฟิศโปร ที่คุณซื้อทั้งหมดเป็นราคาเท่าไร&lt;br /&gt;"	"R466_stimulus_section3_50d37b37d678d7.56773000_0"	"PISA_tha-THA_REA_R466-WorkRight_en15_MS2022.xlf"
"2296"	"Type your answer to the question.&lt;/i&gt;"	"ให้พิมพ์คำตอบของนักเรียนเพื่อตอบ&lt;br /&gt; คำถาม&lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_tha-THA_REA_R547-BookSurvey_en18_MS2022.xlf"
"5639"	"“No, I don’t believe this idea is the solution."	"“ไม่ ฉันไม่เชื่อว่าแนวคิดนี้จะแก้ปัญหาได้"	"R568_question09_q09p1_56fc784aaf54f2.48102179_1_0"	"PISA_tha-THA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1701"	"Type your answer to the question.&lt;/i&gt;"	"&lt;br /&gt;ให้พิมพ์คำตอบของนักเรียนเพื่อตอบคำถาม&lt;/i&gt;"	"R543_question4_itemDirections_56fc7821381578.06834284_1_0"	"PISA_tha-THA_REA_R543-Nobel_en18_MS2022.xlf"
"5950"	"I have a big favour to ask."	"ป้ามีเรื่องอยากให้ช่วยหน่อยจ๊ะ"	"R570_question01_question01_4_56fc787977ce60.34207445_0"	"PISA_tha-THA_REA_R570-TheFavour_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; เมื่อซื้อสินค้ามูลค่าระหว่าง 600 ถึง 1499 บาท  ออฟฟิศโปรคืนกำไรให้คุณ &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; บาท&lt;br /&gt; &gt; เมื่อซื้อสินค้ามูลค่าระหว่าง 1500 ถึง 2999 บาท  ออฟฟิศโปรคืนกำไรให้คุณ 500 บาท&lt;br /&gt; &gt; เมื่อซื้อสินค้ามูลค่า 3000 บาท หรือมากกว่า  ออฟฟิศโปรคืนกำไรให้คุณ 1000 บาท&lt;br /&gt;"	"R466_stimulus_line5_50d37b37d63747.82053613_0"	"PISA_tha-THA_REA_R466-WorkRight_en15_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"&amp;nbsp;ให้คลิกหนึ่งผลการค้นหาเพื่อตอบ&lt;br /&gt;คำถาม"	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_tha-THA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3943"	"Click on a choice to answer the question."	"ให้คลิกหนึ่ง&lt;br /&gt;ตัวเลือกเพื่อตอบคำถาม"	"R560_question03_q03itemDirections_56fc784a7ad263.50990820_1_0"	"PISA_tha-THA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3355"	"MICROLENDING – GENEROSITY OR GREED?"	"เงินกู้รายย่อย  &amp;ndash; ความเอื้ออาทร หรือ ความโลภ"	"Page3_stimulus_pg3Title_56fc783ab5dfc8.56294685_0"	"PISA_tha-THA_REA_R556-Microlending_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"&amp;nbsp;ให้คลิกตัวเลือกในตารางเพื่อตอบคำถาม&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_tha-THA_REA_R547-BookSurvey_en18_MS2022.xlf"
"1014"	"WORK RIGHT"	"&lt;span class=&quot;black&quot;&gt;ครบ 10 ปี&lt;/span&gt; ออฟฟิศโปร"	"R466_stimulus_stimulus_1_50d37b37d42d52.32139495_0"	"PISA_tha-THA_REA_R466-WorkRight_en15_MS2022.xlf"
"698"	"R404 Sleep"	"R404 การนอนหลับ"	"R404_stimulus_unknownID_50d37a6453d511.93695737_0"	"PISA_tha-THA_REA_R404-Sleep_en15_MS2022.xlf"
"1873"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R544_question10_itemDirections_56fc7821685510.10412790_1_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"2372"	"One book must be from the top 3 fiction genres in the survey results"	"หนังสือหนึ่งเล่มต้องอยู่ในประเภทหนังสืออ่านเล่นที่คนนิยมมากที่สุด &lt;br /&gt; 3 อันดับแรกจากผลการสำรวจ"	"R547_question10_q10l1i1_56fc782e149f54.60504523_0"	"PISA_tha-THA_REA_R547-BookSurvey_en18_MS2022.xlf"
"1048"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1/ ซื้อ&lt;/b&gt;สินค้าจากออฟฟิศโปร* หนึ่งชิ้นหรือมากกว่าในวันเดียวกันจากตัวแทนจำหน่ายทั่วไป ระหว่างวันที่ 15 ธันวาคม ถึง  31 มกราคม:&lt;br /&gt;"	"R466_stimulus_section2_50d37b37d63440.09875849_0"	"PISA_tha-THA_REA_R466-WorkRight_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"จากข้อมูลในแผ่นพับ ข้อความนี้เป็นจริงหรือเท็จ"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_tha-THA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4333"	"Refer to “Opening Night” on the right."	"จากเรื่อง “คืนเปิดการแสดง” ทางด้านขวา&amp;nbsp;"	"R562_question06_q06itemDirections_56fc783b465e44.74175451_0_0"	"PISA_tha-THA_REA_R562-OpeningNight_en18_MS2022.xlf"
"1687"	"Click on a choice to answer the question.&lt;/i&gt;"	"&lt;br /&gt;ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R543_question3_itemDirections_56fc78213692b4.63556835_1_0"	"PISA_tha-THA_REA_R543-Nobel_en18_MS2022.xlf"
"500"	"his disappointment"	"ด้วยความผิดหวัง&lt;span class=&quot;nohighlight&quot;&gt;ว่า&lt;/span&gt;"	"R220_stimulus_stimulusH_5_50d3748797c844.62802339_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"4226"	"Some of the information in Team_Awesome’s summary is different from the information Mark and Elizabeth gathered while working together."	"ข้อมูลบางอย่างในข้อสรุปของทีมยอดเยี่ยมแตกต่างจากข้อมูลที่&lt;br /&gt;มนตรีและอลิสารวบรวมจากการทำงานร่วมกัน&amp;nbsp;"	"R561_question09_q09p1_56fc785d33f286.64825673_0_0"	"PISA_tha-THA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1889"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R544_question11_itemDirections_56fc782169f054.65729882_1_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"601"	"Nov"	"พย"	"R220_stimulus_nov_50d37487a1c136.78695276_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"439"	"Antarctic Circle"	"แอนตาร์กติก เซอร์เคิล"	"R220_stimulus_label5_50d37487951819.69692677_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"2120"	"Type your answer to the question."	"&lt;br/&gt;ให้พิมพ์คำตอบของนักเรียนเพื่อตอบคำถาม"	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_1_0"	"PISA_tha-THA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"จงคลิกเลือกหนึ่งประโยคในเรื่องราวเพื่อตอบคำถาม"	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_tha-THA_REA_R562-OpeningNight_en18_MS2022.xlf"
"2126"	"Click on a choice to answer the question."	"&lt;br/&gt;ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม"	"R545_question02_Q06itemDirections_56fc7821b05912.78337269_1_0"	"PISA_tha-THA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4530"	"Type your answer to the question."	"ให้พิมพ์คำตอบ&lt;br /&gt;ของนักเรียนเพื่อตอบคำถาม"	"R563_question03_q03itemDirections_56fc786b410592.73244337_1_0"	"PISA_tha-THA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"ให้คลิกหนึ่งตัวเลือก แล้วพิมพ์คำอธิบายเพื่อตอบคำถาม"	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_tha-THA_REA_R569-TheCleanup_en18_MS2022.xlf"
"600"	"Oct"	"ตค"	"R220_stimulus_oct_50d37487a1bde4.76231777_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"ให้คลิกหนึ่งตัวเลือก แล้วพิมพ์คำอธิบายเพื่อตอบคำถาม"	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_tha-THA_REA_R552-FestiRock_en18_MS2022.xlf"
"269"	"&lt;b&gt;Employment&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;การจ้างงาน&lt;/b&gt;&lt;br /&gt; คำถามที่"	"R219_question_itemTitle_50d36dc6659c62.65250739_0"	"PISA_tha-THA_REA_R219-Employment_en15_MS2022.xlf"
"595"	"May"	"พค"	"R220_stimulus_may_50d37487a1ab22.44587108_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"ให้คลิกเลือกหนึ่งผลการค้นหาเพื่อตอบคำถาม"	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_tha-THA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;สิ่งสำคัญ!  อย่าลืมแนบ:&lt;/b&gt;&lt;br /&gt; &amp;mdash; สำเนาใบเสร็จรับเงิน&lt;br /&gt; &amp;mdash; บาร์โค้ดหรือป้ายราคาของสินค้าตัวจริง&lt;br /&gt;"	"R466_stimulus_sect3right_50d37b37d69098.45134004_0"	"PISA_tha-THA_REA_R466-WorkRight_en15_MS2022.xlf"
"3092"	"Refer to the Volunteer Agreement on the right."	"จากข้อตกลงการเป็นอาสาสมัครทางด้านขวา&amp;nbsp;&amp;nbsp;"	"R552_question05_q05itemDirections_56fd794264d092.27315344_0_0"	"PISA_tha-THA_REA_R552-FestiRock_en18_MS2022.xlf"
"1306"	"Refer to the webpage on the right."	"จากเว็บเพจทางด้านขวา&amp;nbsp;"	"Q07_question_Q07itemDirections_56fc7820d478e2.14367000_0_0"	"PISA_tha-THA_REA_R541-Plastic_en18_MS2022.xlf"
"3440"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R556_question4_itemDirections_56fc783ac6fbe2.90493965_1_0"	"PISA_tha-THA_REA_R556-Microlending_en18_MS2022.xlf"
"5640"	"Do you have any idea how much space debris is already in orbit?”"	"&amp;nbsp; คุณรู้หรือไม่ว่าขยะอวกาศที่อยู่ในวงโคจรขณะนี้มีจำนวนเท่าใด”"	"R568_question09_q09p1_56fc784aaf54f2.48102179_2_0"	"PISA_tha-THA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2013"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R544_question9_itemDirections_56fc782181a288.51990939_1_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"591"	"Jan"	"มค"	"R220_stimulus_jan_50d37487a19da3.97721714_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"1902"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;จากทั้งสองแหล่งข้อมูลทางด้านขวา&amp;nbsp; สามารถเลือกอ่านโดยการคลิกที่แต่ละแท็บ"	"R544_question12_itemDirections_56fc78216b9a04.98619256_0_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือก แล้วพิมพ์คำอธิบายเพื่อตอบคำถาม&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
