"Segment"	"en-ZZ"	"ru-EE"	"ID"	"File"
"732"	"&lt;b&gt;Experimental Digestion&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ЭКСПЕРИМЕНТ ПО ПИЩЕВАРЕНИЮ&lt;/b&gt;&lt;br /&gt;ВОПРОС"	"S498_question3_itemTitle3_50ec5cc9242001.51819001_0"	"PISA_rus-EST_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Посмотрите на страницу &quot;Аммониты&quot; справа. Для ответа на вопрос с помощью мыши перетащите все этапы в правильной последовательности.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_rus-EST_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2374"	"select"	"Выбрать"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2361"	"Explain your answer."	"Объясните ваш ответ."	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2942"	"Venus"	"Венера"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_rus-EST_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2458"	"High"	"Высокая"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2244"	"Low"	"Низкая"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1347"	"Birds leave nests"	"Птицы покидают гнёзда"	"S607_stimulus1_sl04_517407135cdb41.55545007_0"	"PISA_rus-EST_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2375"	"increase"	"увеличивается"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Средний"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_rus-EST_SCI_S615-Tsunami_en15_MS2022.xlf"
"2452"	"Medium"	"Средняя"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"уменьшается"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Напечатайте ответ на вопрос.&lt;/i&gt;"	"S638_question5_itemDirections5_51804fe18ba1e7.21783966_0"	"PISA_rus-EST_SCI_S638-OilSpills_en15_MS2022.xlf"
"2243"	"None"	"Нулевая"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"247"	"Melting point"	"Температура плавления"	"S413_question3_q3t2tr2td1_50ec4202de3757.97832670_0"	"PISA_rus-EST_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2339"	"select"	"Выбрать"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"465"	"&lt;b&gt;Bacteria In Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;БАКТЕРИИ В МОЛОКЕ&lt;/b&gt;&lt;br /&gt; ВОПРОС"	"S428_question3_itemTitle3_50ec51a0b409d7.13681808_0"	"PISA_rus-EST_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"1363"	"Birds and Caterpillars Introduction"	"Птицы и гусеницы: введение"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_rus-EST_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1364"	"Birds and Caterpillars Introduction"	"Птицы и гусеницы: введение"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_rus-EST_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
