"Segment"	"en-ZZ"	"ca-ES"	"ID"	"File"
"3322"	"0.6"	"0,6"	"CMA135_question3_yAxisLbl2_5c9d216451f7b9.05703906_0"	"PISA_cat-ESP_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4270"	"Explain your answer."	"Raona la resposta."	"q3MA149_question_q3p4_5c9d21652d7a87.93218968_0"	"PISA_cat-ESP_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Utilitza la funció d'arrossegar i deixar anar per respondre a la pregunta."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_cat-ESP_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Utilitza la funció d'arrossegar i deixar anar per respondre a la pregunta."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_cat-ESP_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"5075"	"Statement"	"Pregunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_cat-ESP_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Selecciona una opció dels menús desplegables per respondre la pregunta."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_cat-ESP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Clica dues opcions per respondre a la pregunta."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_cat-ESP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Clica una o diverses caselles per respondre a la pregunta."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_cat-ESP_MAT_MA114-Honey_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_cat-ESP_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_cat-ESP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Explica la teva resposta i inclou valors numèrics que justifiquin la teva explicació."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_cat-ESP_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Clica una opció i escriu una explicació per respondre a la pregunta."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_cat-ESP_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_cat-ESP_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3321"	"0.9"	"0,9"	"CMA135_question3_yAxisLbl3_5c9d216451f684.81333145_0"	"PISA_cat-ESP_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
