"Segment"	"en-ZZ"	"bg-BG"	"ID"	"File"
"4508"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"368"	"0"	"В"	"R220_question_attr_value_attr_R220Q02RADIO_2_50d374a3bd8bf2.97577333_0"	"PISA_bul-BGR_REA_R220-SouthPole_en15_MS2022.xlf"
"313"	"PHONE"	"ТЕЛ."	"R219_stimulus_sect3Line2span3_50d36de26005b0.82785269_0"	"PISA_bul-BGR_REA_R219-Employment_en15_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"Използвайте онлайн търсенето вдясно."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_bul-BGR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4558"	"About Us"	"За нас"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Паркинга"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_bul-BGR_REA_R569-TheCleanup_en18_MS2022.xlf"
"4496"	"Close"	"Затваряне"	"R563-stimulus-news_close-btn_56fc786b3a76c4.44825664_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5173"	"What is a Smokejumper?"	"Какво е пожарникар парашутист?"	"pg1_stimulus_wpTitle-pg1_56fc78790948e6.11608844_0"	"PISA_bul-BGR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2745"	"8:00 am – 5:00 pm"	"8:00 ч. &amp;ndash; 17:00 ч."	"R550_hours_r3c2_56fc785ccfb114.73612476_0"	"PISA_bul-BGR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Използвайте търсенето в мрежата вдясно."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_bul-BGR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Използвайте търсенето в мрежата вдясно."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_bul-BGR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4482"	"About Us"	"За нас"	"R563-stimulus-news_stimulus_news_5_56fc786b3a5726.69858954_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"651"	"2"	"B"	"R404_question_attr_value_attr_R404Q01RADIO_2_50d37a7f64bbc9.30137738_0"	"PISA_bul-BGR_REA_R404-Sleep_en15_MS2022.xlf"
"1048"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1/ Купете &lt;/b&gt; от обичайния си търговец един или повече от продуктите* на „Почтена работа” в един ден между 15 декември и 31 януари:&lt;br /&gt;"	"R466_stimulus_section2_50d37b52a13ec3.99273283_0"	"PISA_bul-BGR_REA_R466-WorkRight_en15_MS2022.xlf"
"589"	"continuous&lt;br /&gt;daylight"	"Постоянна&lt;br /&gt;светлина"	"R220_stimulus_label7_50d374a3e4c384.71989457_0"	"PISA_bul-BGR_REA_R220-SouthPole_en15_MS2022.xlf"
"5144"	"Web Search"	"Търсене в мрежата"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_bul-BGR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Кликнете върху стрелката СЛЕДВАЩ, за да прочетете приказката."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_bul-BGR_REA_R570-TheFavour_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"Кликнете върху изречение от разказа, за да отговорите на въпроса."	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_bul-BGR_REA_R562-OpeningNight_en18_MS2022.xlf"
"367"	"0"	"Б"	"R220_question_attr_value_attr_R220Q02RADIO_1_50d374a3bd8ae5.79935534_0"	"PISA_bul-BGR_REA_R220-SouthPole_en15_MS2022.xlf"
"4377"	"About Us"	"За нас"	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Кликнете върху отговора, който смятате за правилен, и след това се аргументирайте."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_bul-BGR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1064"	"Post code:"	"Пощенски код:"	"R466_stimulus_line12_50d37b52a17dd5.37870582_0"	"PISA_bul-BGR_REA_R466-WorkRight_en15_MS2022.xlf"
"5825"	"Playground"	"Детската площадка"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_bul-BGR_REA_R569-TheCleanup_en18_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"369"	"0"	"Г"	"R220_question_attr_value_attr_R220Q02RADIO_3_50d374a3bd8e00.25965447_0"	"PISA_bul-BGR_REA_R220-SouthPole_en15_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4143"	"&lt;b&gt;Olympic Flag&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Олимпийският флаг &lt;/b&gt;&lt;br /&gt;"	"R561_question03_q03itemTitle_56fc785d2a1467.72945102_0_0"	"PISA_bul-BGR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"304"	"S"	"Н"	"R219_stimulus_stimulus_10_50d36de25f94b7.25503423_0"	"PISA_bul-BGR_REA_R219-Employment_en15_MS2022.xlf"
"649"	"0"	"A"	"R404_question_attr_value_attr_R404Q01RADIO_0_50d37a7f64b958.15656462_0"	"PISA_bul-BGR_REA_R404-Sleep_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; За покупки между 60 и 149,99 лв. „Почтена работа” ще ви възстанови &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; лв.&lt;br /&gt; &gt; За покупки между 150 и 299,99 лв. „Почтена работа” ще ви възстанови 50 лв.&lt;br /&gt; &gt; За покупки на стойност 300 лв. или повече „Почтена работа” ще ви възстанови 100 лв.&lt;br /&gt;"	"R466_stimulus_line5_50d37b52a141f2.05868313_0"	"PISA_bul-BGR_REA_R466-WorkRight_en15_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликнете върху &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Не&lt;/b&gt; за всяко твърдение."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_bul-BGR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"920"	"0"	"A"	"R456_question_attr_value_attr_R456Q01RADIO_0_50d367fca20e56.73209198_0"	"PISA_bul-BGR_REA_R456-Biscuits_en15_MS2022.xlf"
"4584"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4920"	"Web Search"	"Търсене в мрежата"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_bul-BGR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1514"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Табло за обяви &lt;/b&gt;&lt;br /&gt;"	"Q06R542_question_Q06itemTitle_56fc78210ed136.42863307_0_0"	"PISA_bul-BGR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Кликнете върху стрелката СЛЕДВАЩ, за да прочетете уебсайта."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_bul-BGR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"301"	"T"	"Ч"	"R219_stimulus_stimulus_7_50d36de25f88e4.69834524_0"	"PISA_bul-BGR_REA_R219-Employment_en15_MS2022.xlf"
"4944"	"Website"	"Уебсайт"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_bul-BGR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Използвайте онлайн търсенето вдясно."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_bul-BGR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликнете върху &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Не&lt;/b&gt; за всяко твърдение."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_bul-BGR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"506"	"courageously"	"завидна смелост."	"R220_stimulus_stimulusH_9_50d374a3d6acc0.87150217_0"	"PISA_bul-BGR_REA_R220-SouthPole_en15_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Използвайте онлайн търсенето вдясно."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_bul-BGR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1466"	"Maybe I will be sick."	"Може би, ще се разболея."	"Q02R542_question_Convp3_56fc782107f394.57451295_2_0"	"PISA_bul-BGR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2720"	"Cliff Palace"	"Скален дворец"	"R550_hours_hours-h1_56fc785ccf4f82.89870507_0"	"PISA_bul-BGR_REA_R550-CliffPalace_en18_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"Кликнете върху резултата от търсенето, който смятате за подходящ.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_bul-BGR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1550"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Табло за обяви &lt;/b&gt;&lt;br /&gt;"	"Q09R542_question_Q09itemTitle_56fc7821123080.43208233_0_0"	"PISA_bul-BGR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4942"	"Website"	"Уебсайт"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_bul-BGR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"321"	"PHONE"	"ТЕЛ."	"R219_stimulus_sect4Line2span3_50d36de2603498.57453611_0"	"PISA_bul-BGR_REA_R219-Employment_en15_MS2022.xlf"
"576"	"The worst has happened"	"Случи се най-лошото"	"R220_stimulus_stimulusHQ4_3_50d374a3e04562.23181928_0"	"PISA_bul-BGR_REA_R220-SouthPole_en15_MS2022.xlf"
