"Segment"	"en-ZZ"	"lt-LT"	"ID"	"File"
"2643"	"Home"	"Pagrindinis"	"R550_stimulus01_stimulus1_1_56fc785cc5fc61.08831919_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_lit-LTU_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4276"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00body_q00itemDirections_56fc783b3f8a36.71119956_1_0"	"PISA_lit-LTU_REA_R562-OpeningNight_en18_MS2022.xlf"
"5644"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_lit-LTU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2799"	"Spring"	"Pavasarį"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"1559"	"Monday"	"Pirmadienis"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_lit-LTU_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2801"	"Autumn"	"Rudenį"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"2408"	"Title"	"Knygos pavadinimas"	"R547_question10_q10t2r1c1_56fc782e153367.50877372_0"	"PISA_lit-LTU_REA_R547-BookSurvey_en18_MS2022.xlf"
"2527"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R549_question03_q03itemDirections_56fc786ace3d99.90483432_1_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2383"	"Title"	"Knygos pavadinimas"	"R547_question10_q10t1r1c1_56fc782e14c604.19536050_0"	"PISA_lit-LTU_REA_R547-BookSurvey_en18_MS2022.xlf"
"5649"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_1_0"	"PISA_lit-LTU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2513"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R549_question02_q02itemDirections_56fc786acd2da2.66365134_1_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"nutempkite sakinius į reikiamas vietas."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_lit-LTU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5938"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_0_0"	"PISA_lit-LTU_REA_R570-TheFavour_en18_MS2022.xlf"
"1560"	"Tuesday"	"Antradienis"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_lit-LTU_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Norėdami perskaityti internetinį puslapį, spustelėkite rodyklę TOLIAU."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_lit-LTU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5810"	"Cans"	"Skardinių"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Norėdami perskaityti tinklalapyje pateiktą informaciją, spustelėkite rodyklę TOLIAU."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_lit-LTU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Atsižvelgiant į lankstinuke pateiktą informaciją, ar teiginys yra teisingas, ar klaidingas?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_lit-LTU_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2802"	"Winter"	"Žiemą"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"2877"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R550_question07_q07itemDirections_56fc785ce9aa50.47831080_1_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"3019"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_lit-LTU_REA_R552-FestiRock_en18_MS2022.xlf"
"4113"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_lit-LTU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2711"	"Home"	"Pagrindinis"	"R550_general_info_gi_l1_56fc785ccd89f9.96697154_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"5939"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_1_0"	"PISA_lit-LTU_REA_R570-TheFavour_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"pasirinkite paieškos rezultatą."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_lit-LTU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Norėdami perskaityti pasaką, spustelėkite rodyklę TOLIAU."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_lit-LTU_REA_R570-TheFavour_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ir spustelėkite rodyklę TOLIAU. &lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_lit-LTU_REA_R556-Microlending_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Automobilių stovėjimo aikštelėje"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"5374"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_1_0"	"PISA_lit-LTU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5826"	"Football Field"	"Futbolo aikštėje"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"2576"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R549_question07_q07itemDirections_56fc786ad40030.43832098_1_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2499"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R549_question01_q01itemDirections_56fc786acc1966.50302132_1_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2847"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R550_question05_q05itemDirections_56fc785ce59224.28868554_1_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"5648"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_0_0"	"PISA_lit-LTU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1976"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt;Remdamiesi dešinėje pateikto šaltinio „Genialumo kibirkštis“ informacija,"	"R544_question5_itemDirections_56fc78217cc282.26999608_0_0"	"PISA_lit-LTU_REA_R544-Tesla_en18_MS2022.xlf"
"5007"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_0_0"	"PISA_lit-LTU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5386"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_1_0"	"PISA_lit-LTU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4112"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00b-body_q00b-p1_56fc785d264c41.70943658_0_0"	"PISA_lit-LTU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"lentelėje pasirinkite atsakymus. &lt;/i&gt;"	"R556_question10_itemDirections_56fc783adf40b1.80389977_1_0"	"PISA_lit-LTU_REA_R556-Microlending_en18_MS2022.xlf"
"2684"	"Home"	"Pagrindinis"	"R550_cliff_palace_cp_l1_56fc785ccaeae5.87924992_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"1954"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt;Remdamiesi dešinėje pateikto šaltinio „Genialumo kibirkštis“ informacija,"	"R544_question4_itemDirections_56fc78217afe38.91956313_0_0"	"PISA_lit-LTU_REA_R544-Tesla_en18_MS2022.xlf"
"5740"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_1_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"4028"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_0_0"	"PISA_lit-LTU_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2753"	"Home"	"Pagrindinis"	"R550_map_map_l1_56fc785cd177d9.30991384_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"1630"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"question0b_1_itemDirections00_56fc7821309e26.00768085_0_0"	"PISA_lit-LTU_REA_R543-Nobel_en18_MS2022.xlf"
