"Segment"	"en-ZZ"	"mt-MT"	"ID"	"File"
"5121"	"Image Credit: NASA"	"Ħajr għar-ritratt: NASA"	"page2_stimulus_stimulusTab1_2_5c9d225b8c6386.71216999_1_0"	"PISA_mlt-MLT_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3579"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Ikklikkja fuq l-għażliet fit-tabella biex twieġeb il-mistoqsija&lt;/i&gt;."	"R556_question10_itemDirections_5c9d21a02dd603.46615228_1_0"	"PISA_mlt-MLT_REA_R556-Microlending_en21_MS2022.xlf"
"2080"	"Introduction"	"Introduzzjoni."	"question0a_1_itemTitle00_5c9d219e76fef2.00508979_2_0"	"PISA_mlt-MLT_REA_R543-Nobel_en21_MS2022.xlf"
"5529"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q00c-body_q00c-itemDirections_5c9d225be4b0a6.34337423_0_0"	"PISA_mlt-MLT_REA_R570-TheFavour_en21_MS2022.xlf"
"3559"	"Type your answer to the question.&lt;/i&gt;"	"Ittajpja t-tweġiba tiegħek għall-mistoqsija&lt;/i&gt;."	"R556_question7_itemDirections_5c9d21a02923d2.20334776_1_0"	"PISA_mlt-MLT_REA_R556-Microlending_en21_MS2022.xlf"
"3498"	"Introduction"	"Introduzzjoni."	"question00_itemTitle00_5c9d21a01f0332.56917254_2_0"	"PISA_mlt-MLT_REA_R556-Microlending_en21_MS2022.xlf"
"3335"	"Introduction"	"Introduzzjoni."	"question00a_1_itemTitle0a_5c9d219fd80577.33642486_2_0"	"PISA_mlt-MLT_REA_R553-HealthForum_en21_MS2022.xlf"
"2383"	"Introduction"	"Introduzzjoni."	"R545_question00_R545itemTitle00_5c9d219ed76d38.57067960_2_0"	"PISA_mlt-MLT_REA_R545-MachuPicchu_en21_MS2022.xlf"
"5404"	"Park"	"Park."	"q2R569_question_source2_5c9d225bc020d3.64347713_0"	"PISA_mlt-MLT_REA_R569-TheCleanup_en21_MS2022.xlf"
"4058"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q00b-body_q00b-p1_5c9d225a4fc501.93826266_0_0"	"PISA_mlt-MLT_REA_R561-OlympicFlag_en21_MS2022.xlf"
"5696"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q0cR590_question_q0citemDirections_5c9d225c188e29.39374988_0_0"	"PISA_mlt-MLT_REA_R590-Sentences01_en21_MS2022.xlf"
"4885"	"Click on a choice and then type an explanation to answer the question."	"Ikklikkja fuq għażla waħda u wara ttajpja spjegazzjoni biex twieġeb il-mistoqsija."	"R566_question09_q09itemDirections_5c9d225b351ba2.97186226_1_0"	"PISA_mlt-MLT_REA_R566-SkelligRocks_en21_MS2022.xlf"
"3692"	"Type your answer to the question.&lt;/i&gt;"	"Ittajpja t-tweġiba tiegħek għall-mistoqsija.&lt;/i&gt;"	"R558_question4_itemDirections_5c9d2259d9d989.95651222_1_0"	"PISA_mlt-MLT_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2589"	"Type your answer to the question.&lt;/i&gt;"	"Ittajpja t-tweġiba tiegħek għall-mistoqsija&lt;/i&gt;."	"R547_question01_itemDirections_5c9d219f1a9276.29525184_1_0"	"PISA_mlt-MLT_REA_R547-BookSurvey_en21_MS2022.xlf"
"3906"	"Click on a search result to answer the question."	"Ikklikkja fuq riżultat tat-tfittxija biex twieġeb il-mistoqsija."	"R560_question01_q01itemDirections_5c9d225a275490.54340907_1_0"	"PISA_mlt-MLT_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4430"	"Refer to the different webpages of the website on the right."	"Irreferi għall-webpages differenti tal-website fuq il-lemin."	"R563_question05_q05itemDirections_5c9d225aaed320.38553670_0_0"	"PISA_mlt-MLT_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2608"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Ikklikkja fuq l-għażliet fit-tabella biex twieġeb il-mistoqsija&lt;/i&gt;."	"R547_question7_itemDirections_5c9d219f1f6623.95886149_1_0"	"PISA_mlt-MLT_REA_R547-BookSurvey_en21_MS2022.xlf"
"4677"	"Type your answer to the question.&lt;/i&gt;"	"Ittajpja t-tweġiba tiegħek għall-mistoqsija.&lt;/i&gt;"	"R565_question4_itemDirections_5c9d225b01d412.72172684_1_0"	"PISA_mlt-MLT_REA_R565-SittingDisease_en21_MS2022.xlf"
"4417"	"Refer to the different webpages of the website on the right."	"Irreferi għall-webpages differenti tal-website fuq il-lemin."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_0_0"	"PISA_mlt-MLT_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5727"	"YES"	"Iva"	"U901_stimulus_r3c2_5c9d225c1f1846.95318399_0"	"PISA_mlt-MLT_REA_R590-Sentences01_en21_MS2022.xlf"
"2280"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Ikklikkja fuq għażla waħda imbagħad ittajpja l-ispjegazzjoni biex twieġeb il-mistoqsija.&lt;/i&gt;"	"R544_question12_itemDirections_5c9d219eaecf11.08950368_1_0"	"PISA_mlt-MLT_REA_R544-Tesla_en21_MS2022.xlf"
"2112"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Ikklikkja fuq għażla waħda imbagħad ittajpja l-ispjegazzjoni biex twieġeb il-mistoqsija.&lt;/i&gt;"	"R543_question11_itemDirections_5c9d219e7bf886.70940930_1_0"	"PISA_mlt-MLT_REA_R543-Nobel_en21_MS2022.xlf"
"2986"	"Introduction"	"Introduzzjoni."	"q00body_itemTitle00_5c9d219f75d4a2.00996597_2_0"	"PISA_mlt-MLT_REA_R550-CliffPalace_en21_MS2022.xlf"
"3908"	"Click on a search result to answer the question."	"Ikklikkja fuq riżultat tat-tfittxija biex twieġeb il-mistoqsija."	"R560_question01_q0p1_5c9d225a275726.46916200_1_0"	"PISA_mlt-MLT_REA_R560-GarbagePatch_en21_MS2022.xlf"
"3595"	"Web Search"	"Tfittxija fuq l-Internet"	"R558_stimulus3_spgh1_5c9d2259c470f4.25622277_0"	"PISA_mlt-MLT_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5218"	"Click on a search result to answer the question."	"Ikklikkja fuq riżultat tat-tfittxija biex twieġeb il-mistoqsija."	"R568_question05_q05p2_5c9d225b944012.35673014_1_0"	"PISA_mlt-MLT_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2625"	"Type your answer to the questions.&lt;/i&gt;"	"Ittajpja t-tweġiba tiegħek għall-mistoqsijiet.&lt;/i&gt;"	"R547_question9_itemDirections_5c9d219f211822.28206430_1_0"	"PISA_mlt-MLT_REA_R547-BookSurvey_en21_MS2022.xlf"
"4384"	"Close"	"Agħlaq"	"R563-stimulus-news_close-btn_5c9d225aa51006.70823365_0"	"PISA_mlt-MLT_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3835"	"Web Search"	"Tfittxija fuq l-Internet"	"R560_stimulus_pg01h1_5c9d225a248330.25416437_0"	"PISA_mlt-MLT_REA_R560-GarbagePatch_en21_MS2022.xlf"
"3898"	"Patch"	"Skart tal-Lvant"	"R560_stimulus2_label-e-garbage-patch_5c9d225a25fe45.19036155_2_0"	"PISA_mlt-MLT_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4910"	"Web Search"	"Tfittxija fuq l-Internet"	"R567_stimulus3_pg03h1_5c9d225b556ae5.21127880_0"	"PISA_mlt-MLT_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5084"	"Web Search"	"Tfittija fuq l-Internet"	"R568_stimulus1_pg01h1_5c9d225b881974.02192114_0"	"PISA_mlt-MLT_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2250"	"Introduction"	"Introduzzjoni."	"question0a_1_itemTitle00_5c9d219ea83d08.42497844_2_0"	"PISA_mlt-MLT_REA_R544-Tesla_en21_MS2022.xlf"
"3743"	"Explain your answer."	"Fisser it-tweġiba tiegħek."	"R558_question09_Q09p6_5c9d2259e1c177.99115138_0"	"PISA_mlt-MLT_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5259"	"Click on a choice and type an explanation to answer the question."	"Ikklikkja fuq għażla u ttajpja tifsira biex twieġeb il-mistoqsija."	"R568_question10_q10itemDirections_5c9d225b9f0d59.48638070_1_0"	"PISA_mlt-MLT_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5250"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q0b-body_q0b-itemDirections_5c9d225b9d8809.57535043_0_0"	"PISA_mlt-MLT_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5054"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q0b-body_q0b-itemDirections_5c9d225b6a82b7.29262010_0_0"	"PISA_mlt-MLT_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3177"	"Date:"	"Data:"	"pg3_stimulus_pg3p9_5c9d219fa86542.42115572_0"	"PISA_mlt-MLT_REA_R552-FestiRock_en21_MS2022.xlf"
"4728"	"Newspaper Article"	"Artiklu ta’ Gazzetta"	"R566_Stimulus04_stimulus4_4_5c9d225b1ef5a0.12653615_0"	"PISA_mlt-MLT_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5719"	"YES"	"Iva"	"U901_stimulus_r1c2_5c9d225c1f0cf1.11219378_0"	"PISA_mlt-MLT_REA_R590-Sentences01_en21_MS2022.xlf"
"4457"	"Refer to the different webpages of the website on the right."	"Irreferi għall-webpages differenti tal-website fuq il-lemin."	"R563_question10_q10itemDirections_5c9d225aba3a33.94198593_0_0"	"PISA_mlt-MLT_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2755"	"Introduction"	"Introduzzjoni."	"q00a-body_itemTitle00a_5c9d219f457ea2.35970142_2_0"	"PISA_mlt-MLT_REA_R549-MessageInABottle_en21_MS2022.xlf"
"4726"	"Newspaper Article"	"Artiklu ta’ Gazzetta"	"R566_Stimulus03_stimulus3_4_5c9d225b1dda78.84246250_0"	"PISA_mlt-MLT_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5393"	"Use drag and drop to answer the question."	"Uża drag and drop biex twieġeb il-mistoqsija."	"q2R569_question_q02itemDirections_5c9d225bc00fc8.49987510_1_0"	"PISA_mlt-MLT_REA_R569-TheCleanup_en21_MS2022.xlf"
"4702"	"Newspaper Article"	"Artiklu ta’ Gazzetta"	"R566_Stimulus01_stimulus1_4_5c9d225b1ba0c1.01552199_0"	"PISA_mlt-MLT_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4406"	"Refer to the different webpages of the website on the right."	"Irreferi għall-webpages differenti tal-website fuq il-lemin."	"R563_question02_q02itemDirections_5c9d225aa9b1d6.23322413_0_0"	"PISA_mlt-MLT_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4891"	"Web Search"	"Tfittxija fuq l-Internet"	"R567_stimulus2_pg02h1_5c9d225b543121.88912650_0"	"PISA_mlt-MLT_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5682"	"YES"	"Iva"	"U590_stimulus2_AnswerYes_5c9d225c14cc00.12481107_0"	"PISA_mlt-MLT_REA_R590-Sentences01_en21_MS2022.xlf"
"3715"	"Click on a search result to answer the question."	"Ikklikkja fuq riżultat tat-tfittxija biex twieġeb il-mistoqsija."	"R558_question7_question07_2_5c9d2259de41a7.64572909_1_0"	"PISA_mlt-MLT_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5723"	"YES"	"Iva"	"U901_stimulus_r2c2_5c9d225c1f13b4.99021583_0"	"PISA_mlt-MLT_REA_R590-Sentences01_en21_MS2022.xlf"
"2544"	"Introduction"	"Introduzzjoni."	"q00abody_itemTitle00_5c9d219f129b68.68142608_2_0"	"PISA_mlt-MLT_REA_R547-BookSurvey_en21_MS2022.xlf"
"5615"	"YES"	"Iva"	"U590_stimulus1_AnswerYes_5c9d225c12c1b7.08333356_0"	"PISA_mlt-MLT_REA_R590-Sentences01_en21_MS2022.xlf"
"4984"	"Click on a search result to answer the question."	"Ikklikkja fuq riżultat tat-tfittxija biex twieġeb il-mistoqsija."	"R567_question06_q06itemDirections_5c9d225b6157e5.34768799_1_0"	"PISA_mlt-MLT_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"377"	"S"	"Ħ"	"R219_stimulus_stimulus_10_5c9d217d8526b1.00443229_0"	"PISA_mlt-MLT_REA_R219-Employment_en21_MS2022.xlf"
"4113"	"Click on a choice and then type an explanation to answer the question."	"Ikklikkja fuq għażla waħda u wara ttajpja spjegazzjoni biex twieġeb il-mistoqsija."	"R561_question07_q07itemDirections_5c9d225a5fcd11.45735862_1_0"	"PISA_mlt-MLT_REA_R561-OlympicFlag_en21_MS2022.xlf"
"374"	"T"	"Ħ"	"R219_stimulus_stimulus_7_5c9d217d852330.84258918_0"	"PISA_mlt-MLT_REA_R219-Employment_en21_MS2022.xlf"
"1729"	"Introduction"	"Introduzzjoni."	"R541_question_q00itemTitle_5c9d219e333135.43022633_2_0"	"PISA_mlt-MLT_REA_R541-Plastic_en21_MS2022.xlf"
