"Segment"	"en-ZZ"	"sq-AL"	"ID"	"File"
"2948"	"Date:"	"Datë:"	"pg3_stimulus_pg3p9_56fd79425aaa51.78520711_0"	"PISA_sqi-ALB_REA_R552-FestiRock_en18_MS2022.xlf"
"4248"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_sqi-ALB_REA_R562-OpeningNight_en18_MS2022.xlf"
"5246"	"True"	"E Vërtetë"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5571"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1497"	"Friday"	"E Premte"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2832"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_sqi-ALB_REA_R550-CliffPalace_en18_MS2022.xlf"
"4672"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R564_question06_q06itemDirections_56fc783b61d750.86234618_1_0"	"PISA_sqi-ALB_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4443"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1494"	"Tuesday"	"E Martë"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4232"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_sqi-ALB_REA_R562-OpeningNight_en18_MS2022.xlf"
"280"	"PHONE"	"TELEFON"	"R219_stimulus_sect3Line2span3_56c6eb05766888.52602360_0"	"PISA_sqi-ALB_REA_R219-Employment_en18_MS2022.xlf"
"1595"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Referoju të dy burimeve në të djathtë duke klikuar secilin prej kartelave."	"R543_question11_itemDirections_56fc782133db85.09049416_0_0"	"PISA_sqi-ALB_REA_R543-Nobel_en18_MS2022.xlf"
"1495"	"Wednesday"	"E Mërkurë"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4684"	"Japan"	"Japonia"	"Page1_stimulus_stimulusTab1_2_56fc785d529ea3.01490218_0"	"PISA_sqi-ALB_REA_R565-SittingDisease_en18_MS2022.xlf"
"1419"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"Q03R542_question_Q03itemDirections_56fc7821095425.61956300_1_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5770"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"q6R569_question_q06itemDirections_56fc787954aeb9.99591068_1_0"	"PISA_sqi-ALB_REA_R569-TheCleanup_en18_MS2022.xlf"
"958"	"20"	"2000"	"R466_stimulus_q3key_56c6eb061ff2f8.98118961_0"	"PISA_sqi-ALB_REA_R466-WorkRight_en18_MS2022.xlf"
"5247"	"False"	"E Gabuar"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4101"	"True"	"E Vërtetë"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_sqi-ALB_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2035"	"Is the statement true or false?"	"Sipas broshurës a është e vërtetë apo e gabuar thënia?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_sqi-ALB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5149"	"Click on one or more boxes to answer the question."	"Kliko një apo më shumë kuti për t’ju përgjigjur pyetjes."	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"271"	"S"	"D"	"R219_stimulus_stimulus_10_56c6eb057613e9.76187565_0"	"PISA_sqi-ALB_REA_R219-Employment_en18_MS2022.xlf"
"2037"	"False"	"E Gabuar"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_sqi-ALB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4566"	"Type your answers to the questions."	"Jep përgjigjet ndaj pyetjeve."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5476"	"True"	"E Vërtetë"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"844"	"False"	"I rremë"	"R455_question_tr1th3_56c6eb0607fce5.15327785_0"	"PISA_sqi-ALB_REA_R455-ChocolateAndHealth_en18_MS2022.xlf"
"4328"	"About Us"	"Për Ne"	"R563-stimulus-communtity_stimulus_culture_community_5_56fc786b34e7e8.94779133_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4159"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_1_0"	"PISA_sqi-ALB_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5625"	"Pat:"	"Pamela:"	"R569_stimulus1_stimulus1_30_56fc7879484145.15561928_0"	"PISA_sqi-ALB_REA_R569-TheCleanup_en18_MS2022.xlf"
"4674"	"And it was my privilege to listen.”&lt;/i&gt;"	"Dhe ishte privilegj ta dëgjoja”.&lt;/i&gt;"	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_sqi-ALB_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5714"	"Location"	"Vendndodhja"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_sqi-ALB_REA_R569-TheCleanup_en18_MS2022.xlf"
"4289"	"About Us"	"Për Ne"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1289"	"Click on a choice to answer the question."	"Kliko alternativë për t’iu përgjigjur pyetjes."	"Q10_question_Q10itemDirections_56fc7820d94ce2.32272970_1_0"	"PISA_sqi-ALB_REA_R541-Plastic_en18_MS2022.xlf"
"4878"	"Website"	"Uebsajt"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_sqi-ALB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5221"	"Click on a search result to answer the question."	"Kliko një rezultat të kërkimit për t’iu përgjigjur pyetjes."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5024"	"Click a choice to answer the question."	"Klikoni tek një alternativë për t’iu përgjigjur pyetjes."	"R566_question06_q06itemDirections_56fc786b8a1669.36610157_1_0"	"PISA_sqi-ALB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5401"	"Image Credit: NASA"	"Foto: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"401"	"20 hours&lt;br /&gt;of darkness"	"20 orë të errësirës&lt;br /&gt; së pandërprerë"	"R220_stimulus_label3_56c6eb058068e4.82961454_0"	"PISA_sqi-ALB_REA_R220-SouthPole_en18_MS2022.xlf"
"4956"	"Click on one or more boxes to answer the question."	"Kliko tek një apo më shumë kuti për t’iu përgjigjur pyetjes."	"R566_question01_q01itemDirections_56fc786b7efb09.20390208_1_0"	"PISA_sqi-ALB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4386"	"Sports"	"Sportet"	"R563-stimulus-communtity_stimulus_culture_sports_8_56fc786b382244.73260911_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5590"	"Click on a choice and type an explanation to answer the question."	"Klikonjë alternativë dhe jep një shpjegim për t’iu përgjigjur pyetjes."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4381"	"About Us"	"Për Ne"	"R563-stimulus-communtity_stimulus_culture_sports_5_56fc786b3809e6.65774760_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5038"	"Click on one or more boxes to answer the question."	"Kliko tek një apo më shumë kuti për t’iu përgjigjur pyetjes."	"R566_question07_q07itemDirections_56fc786b8bda87.23847372_1_0"	"PISA_sqi-ALB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2036"	"True"	"E Vërtetë"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_sqi-ALB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"6006"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R570_question09_q09itemDirections_56fc7879881e32.81696271_1_0"	"PISA_sqi-ALB_REA_R570-TheFavour_en18_MS2022.xlf"
"1186"	"Click on a choice to answer the question."	"Kliko alternativë për t’iu përgjigjur pyetjes."	"Q02_question_Q02itemDirections_56fc7820cec301.21446774_1_0"	"PISA_sqi-ALB_REA_R541-Plastic_en18_MS2022.xlf"
"4664"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R564_question05_q05itemDirections_56fc783b60b828.68348774_1_0"	"PISA_sqi-ALB_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4519"	"Click on one or more boxes to answer the question."	"Kliko tek një apo më shumë kuti për t’iu përgjigjur pyetjes."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5195"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Zjarrëfikësit me Parashutë&lt;/b&gt;&lt;br /&gt;"	"R567_question05_q05itemTitle_56fc787910e6d5.75445286_0_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1452"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"Q06R542_question_Q06itemDirections_56fc78210ed8a8.98737802_1_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5515"	"Click on a search result to answer the question."	"Kliko një rezultat të kërkimit për t’iu përgjigjur pyetjes."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4416"	"About Us"	"Për Ne"	"R563-stimulus-news_stimulus_news_5_56fc786b3a5726.69858954_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5151"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Mos harro të zgjidhësh &lt;b&gt;një apo më shumë&lt;/b&gt; kuti.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1436"	"Click on a choice to answer the question."	"Kliko alternativë për t’iu përgjigjur pyetjes."	"Q05R542_question_Q05itemDirections_56fc78210d1328.39002237_1_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1303"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"Q11_question_Q11itemDirections_56fc7820daace5.46406594_1_0"	"PISA_sqi-ALB_REA_R541-Plastic_en18_MS2022.xlf"
"2569"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_1_0"	"PISA_sqi-ALB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5512"	"Click on a search result to answer the question."	"Kliko një rezultat të kërkimit për t’iu përgjigjur pyetjes."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1200"	"Click on a choice to answer the question."	"Kliko alternativë për t’iu përgjigjur pyetjes."	"Q03_question_Q03itemDirections_56fc7820d02020.47983670_1_0"	"PISA_sqi-ALB_REA_R541-Plastic_en18_MS2022.xlf"
"1460"	"Click on a choice to answer the question."	"Kliko alternativë për t’iu përgjigjur pyetjes."	"Q08R542_question_Q08itemDirections_56fc78211030b8.65907280_1_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"325"	"16 hours&lt;br /&gt;of darkness"	"16 orë të errësirës&lt;br /&gt;së pandërprerë"	"R220_stimulus_label4_56c6eb057c20a3.43697336_0"	"PISA_sqi-ALB_REA_R220-SouthPole_en18_MS2022.xlf"
"4311"	"About Us"	"Për Ne"	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5217"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Zjarrëfikësit me Parashutë&lt;/b&gt;&lt;br /&gt;"	"R567_question06_q06itemTitle_56fc7879127733.39445734_0_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4464"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R563_question03_q03itemDirections_56fc786b410592.73244337_1_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5709"	"Use drag and drop to answer the question."	"Përdor funksionin tërhiq dhe lësho për t’iu përgjigjur pyetjes."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_sqi-ALB_REA_R569-TheCleanup_en18_MS2022.xlf"
"268"	"T"	"E"	"R219_stimulus_stimulus_7_56c6eb05760ad5.33117966_0"	"PISA_sqi-ALB_REA_R219-Employment_en18_MS2022.xlf"
"1496"	"Thursday"	"E Enjte"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5160"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Zjarrëfikësit me Parashutë&lt;/b&gt;&lt;br /&gt;"	"R567_question02_q02itemTitle_56fc78790d26c9.15142193_0_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5181"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Zjarrëfikësit me Parashutë&lt;/b&gt;&lt;br /&gt;"	"R567_question04_q04itemTitle_56fc78790f83e6.53078349_0_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"843"	"True"	"I vërtetë"	"R455_question_tr1th2_56c6eb0607f989.03403253_0"	"PISA_sqi-ALB_REA_R455-ChocolateAndHealth_en18_MS2022.xlf"
"2054"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_1_0"	"PISA_sqi-ALB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5613"	"Pat:"	"Pamela:"	"R569_stimulus1_stimulus1_12_56fc78794807d6.14134237_0"	"PISA_sqi-ALB_REA_R569-TheCleanup_en18_MS2022.xlf"
"1227"	"Click on a choice to answer the question."	"Kliko alternativë për t’iu përgjigjur pyetjes."	"Q05_question_Q05itemDirections_56fc7820d2f8a9.56273558_1_0"	"PISA_sqi-ALB_REA_R541-Plastic_en18_MS2022.xlf"
"5477"	"False"	"E Gabuar"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4492"	"About Us"	"Për Ne"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3050"	"Type your answer to the question."	"Jep përgjigjen tënde ndaj pyetjes."	"R552_question07_q07itemDirections_56fd7942689af8.23731694_1_0"	"PISA_sqi-ALB_REA_R552-FestiRock_en18_MS2022.xlf"
"5589"	"Refer to both sources on the right by clicking on each of the tabs."	"Referoju të dy burimeve në të djathtë duke klikuar në secilin prej kartelave."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5570"	"Refer to both sources on the right by clicking on each of the tabs."	"Referoju të dy burimeve në të djathtë duke klikuar në secilin prej kartelave."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1493"	"Monday"	"E Hënë"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"468"	"20 hours&lt;br /&gt;of darkness"	"20 orë të errësirës&lt;br /&gt; së pandërprerë"	"R220_stimulus_label3_56c6eb0584d2e0.76040256_0"	"PISA_sqi-ALB_REA_R220-SouthPole_en18_MS2022.xlf"
"3027"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R552_question05_q05itemDirections_56fd794264d092.27315344_1_0"	"PISA_sqi-ALB_REA_R552-FestiRock_en18_MS2022.xlf"
"5204"	"False"	"E Gabuar"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4491"	"Sports"	"Sportet"	"R563_question05_question05_5_56fc786b440851.59552226_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4971"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_sqi-ALB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1479"	"Tutors for All"	"Tutorë për të Gjithë"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1396"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"Q02R542_question_Q02itemDirections_56fc782107ec84.31306512_1_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1694"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Referoju të dy burimeve në të djathtë duke klikuar secilin prej kartelave."	"R543_question9_itemDirections_56fc78213f7142.41939392_0_0"	"PISA_sqi-ALB_REA_R543-Nobel_en18_MS2022.xlf"
"4357"	"About Us"	"Për Ne"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3863"	"Click on a search result to answer the question."	"Kliko një rezultat të kërkimit për t’iu përgjigjur pyetjes."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_sqi-ALB_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3865"	"Click on a search result to answer the question."	"Kliko një rezultat të kërkimit për t’iu përgjigjur pyetjes."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_sqi-ALB_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5505"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R568_question04_q04itemDirections_56fc784aa79954.99366440_1_0"	"PISA_sqi-ALB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"288"	"PHONE"	"TELEFONI"	"R219_stimulus_sect4Line2span3_56c6eb05769404.01473703_0"	"PISA_sqi-ALB_REA_R219-Employment_en18_MS2022.xlf"
