"Segment"	"en-ZZ"	"th-TH"	"ID"	"File"
"2525"	"Can this question be answered by scientific experiments?"	"คำถามนี้สามารถหาคำตอบได้โดยใช้การทดลองทางวิทยาศาสตร์หรือไม่"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_tha-THA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2623"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then select data in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;ใช้งานสถานการณ์จำลองเพื่อรวบรวมข้อมูลจากข้อสนเทศข้างล่าง ให้คลิกหนึ่งตัวเลือก แล้วเลือกข้อมูลในตารางเพื่อตอบคำถาม&lt;/i&gt;"	"question5_1_itemDirections05_51940c10264da7.01923279_0"	"PISA_tha-THA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1873"	"Sound in Marine Habitats"	"เสียงในแหล่งที่อยู่อาศัยของสัตว์ทะเล"	"S626_stimulus2_attr_alt_attr_stimulus2_3_515e3a72741db3.29356464_0"	"PISA_tha-THA_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1829"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; เสียงในแหล่งที่อยู่อาศัยทางทะเล&lt;/b&gt;&lt;br /&gt; คำถามที่"	"S626_question4_itemTitle_4_515e3a726ce8e6.38888374_0"	"PISA_tha-THA_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"497"	"S428 Bacteria In Milk"	"S428แบคทีเรียในนม"	"S428_stimulus3_unknownID_50ec51fccf2581.94819912_0"	"PISA_tha-THA_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"267"	"Scratch resistance"	"ความต้านทานการขูดขีด"	"S413_question3_q3t3tr6td1_50ec425f8aeaf3.38877255_0"	"PISA_tha-THA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"263"	"Elasticity"	"ความหนาแน่น"	"S413_question3_q3t3tr4td1_50ec425f8ad908.45699352_0"	"PISA_tha-THA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;เมื่ออ่านบทนำแล้ว ให้คลิกที่ลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;&lt;/i&gt;"	"S638_question0_itemDirections0_51804fe179a0d0.36675138_0"	"PISA_tha-THA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ จำไว้ว่าสามารถเลือกตอบได้&lt;b&gt;หนึ่งกรอบหรือมากกว่าหนึ่ง&lt;/b&gt;กรอบ"	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_tha-THA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;เมื่ออ่านบทนำแล้ว ให้คลิกที่ลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_tha-THA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;ใช้งานสถานการณ์จำลองเพื่อรวบรวมข้อมูลจากข้อสนเทศข้างล่าง ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_tha-THA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"278"	"Scratch resistance"	"ความต้านทานการขูดขีด"	"S413_question3_q3t4tr6td1_50ec425f8b2395.08717509_0"	"PISA_tha-THA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"ยอดเยี่ยม!&lt;br /&gt; โปรดคลิกลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;เพื่อทำต่อไป"	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_tha-THA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;เมื่ออ่านบทนำแล้ว ให้คลิกที่ลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_tha-THA_SCI_S634-Vaccination_en15_MS2022.xlf"
"1441"	"Ammonoids"	"แอมโมนอยด์Ammonoids"	"S608_stimulus1_attr_alt_attr_stimulus1_1_515e3a7232d2f9.39089824_0"	"PISA_tha-THA_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1875"	"Sound in Marine Habitats"	"เสียงในแหล่งที่อยู่อาศัยของสัตว์ทะเล"	"S626_stimulus2_attr_alt_attr_stimulus2_5_515e3a727421f4.14084198_0"	"PISA_tha-THA_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1346"	"Caterpillars are in cocoons"	"หนอนผี้เสื้ออยู่ในดักแด้"	"S607_stimulus1_sl03_517407135cd6c4.85154719_0"	"PISA_tha-THA_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"249"	"Scratch resistance"	"ความต้านทานการขูดขีด"	"S413_question3_q3t2tr3td1_50ec425f8a9994.88046130_0"	"PISA_tha-THA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1681"	"May"	"พ.ค."	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_tha-THA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ จำไว้ว่าสามารถเลือกตอบได้&lt;b&gt;หนึ่งกรอบหรือมากกว่าหนึ่ง&lt;/b&gt;กรอบ"	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_tha-THA_SCI_S634-Vaccination_en15_MS2022.xlf"
"1345"	"Newly hatched birds are in nests"	"ลูกนกที่เพิ่งออกจากไข่&lt;br /&gt;อาศัยอยู่ในรัง"	"S607_stimulus1_sl02_517407135cd2c7.40077453_0"	"PISA_tha-THA_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;ใช้งานสถานการณ์จำลองเพื่อรวบรวมข้อมูลจากข้อสนเทศข้างล่าง ให้คลิกหนึ่งตัวเลือก แล้วพิมพ์คำอธิบายเพื่อตอบคำถาม&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_tha-THA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1816"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; เสียงในแหล่งที่อยู่อาศัยทางทะเล&lt;/b&gt;&lt;br /&gt; คำถามที่"	"S626_question3_itemTitle_3_515e3a726a8597.13003860_0"	"PISA_tha-THA_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"ยอดเยี่ยม!&lt;br /&gt; โปรดคลิกลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;เพื่อทำต่อไป"	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_tha-THA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ จำไว้ว่าสามารถเลือกตอบได้&lt;b&gt;หนึ่งกรอบหรือมากกว่าหนึ่ง&lt;/b&gt;กรอบ"	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_tha-THA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;เมื่ออ่านบทนำแล้ว ให้คลิกที่ลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;&lt;/i&gt;"	"S648_Q0_itemDirections0_517407af694fe9.03906983_0"	"PISA_tha-THA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;จากเรื่อง “แอมโมนอยด์” ทางด้านขวา ให้ใช้การลากและวาง&lt;br /&gt;เพื่อตอบคำถาม&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_tha-THA_SCI_S608-Ammonoids_en15_MS2022.xlf"
