"Segment"	"en-ZZ"	"es-DO"	"ID"	"File"
"2374"	"select"	"Selecciona"	"question5_1_o5b_0_517c866cce8ce4.25365685_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Bajo"	"stimulus2_1_stimulus2_36_517c866cd9c7a6.07608979_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2450"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_517c866cd9c221.62218651_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1803"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question2_itemTitle_2_51484257ed0b68.78002511_0"	"PISA_esp-DOM_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2455"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_517c866cd9f405.42115461_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; El efecto isla de calor urbana&lt;/b&gt;&lt;br /&gt; Pregunta"	"S602_question4_qitemTitle4_5146f1d321d3e6.33512336_0"	"PISA_esp-DOM_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes usar los siguientes controles:"	"menu_1_menuP2_5179d18c3603e7.48672848_0"	"PISA_esp-DOM_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2244"	"Low"	"Bajo"	"js_translation_low_517c866cc0b622.59988102_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; Lee la introducción. Después, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_517c866c1493e8.49871839_0"	"PISA_esp-DOM_SCI_S615-Tsunami_en15_MS2022.xlf"
"2345"	"decrease"	"disminuirá"	"question3_1_o3b_2_517c866cca8617.75823500_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2370"	"select"	"Selecciona"	"question5_1_o5_0_517c866cce82f5.31457343_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Alto"	"js_translation_high_517c866cc0c011.23722423_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"aumentará"	"question3_1_o3b_1_517c866cca8149.85234485_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1055"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S603_question5_itemDirections5_5138b289dbdd91.86400384_0"	"PISA_esp-DOM_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Para ver cómo funcionan todos los controles en esta simulación, sigue estos pasos:"	"question1_1_q01p2_5179d18c787771.34906238_0"	"PISA_esp-DOM_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2343"	"select"	"Selecciona"	"question3_1_o3b_0_517c866cca7c35.96356868_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"CS634_intro_itemDirections0_5179d18b0b9014.87025385_0"	"PISA_esp-DOM_SCI_S634-Vaccination_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Para eliminar cualquier fila de datos, haz clic en el botón de eliminar situado junto a esa fila."	"menu_1_menuP4_5179d18c75ad75.67833698_0"	"PISA_esp-DOM_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S603_question3_itemDirections3_5138b289d1b4e8.95919050_0"	"PISA_esp-DOM_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2452"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_517c866cd9cda5.35528622_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder a la pregunta&lt;/i&gt;"	"S620_Q5_itemDirections5_51543fc5816999.55030035_0"	"PISA_esp-DOM_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2340"	"increase"	"aumentará"	"question3_1_o3_1_517c866cca6dd3.87035140_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2438"	"1000"	"1.000"	"stimulus2_1_ylabel_1000z_517c866cd98da4.23051738_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2248"	"1000"	"1.000"	"js_translation_data_1000_517c866cc0cee2.92771253_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_aMenuP3_5179d18b0a1a87.78061985_0"	"PISA_esp-DOM_SCI_S634-Vaccination_en15_MS2022.xlf"
"2984"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt;. Pregunta"	"S657_question2_itemTitleqS2_51543fc909a0e9.69032256_0"	"PISA_esp-DOM_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"1619"	"Medium"	"Moderada"	"sim_1_simSlopeMed_517c866c229f33.08839423_0"	"PISA_esp-DOM_SCI_S615-Tsunami_en15_MS2022.xlf"
"630"	"S466 Forest Fires"	"S466 Incendios forestales"	"S466_stimulus2_unknownID_50ed2376bd3436.38223203_0"	"PISA_esp-DOM_SCI_S466-ForestFires_en15_MS2022.xlf"
"1829"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question4_itemTitle_4_51484258014321.57686303_0"	"PISA_esp-DOM_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"El uso de la ciencia para predecir los desastres naturales"	"S514_question3_tr2td1_50ed2967cbac78.63761057_0"	"PISA_esp-DOM_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1523"	"Medium"	"Moderada"	"js_translation_slopeMedium_517c866c11dfe4.07185303_0"	"PISA_esp-DOM_SCI_S615-Tsunami_en15_MS2022.xlf"
"83"	"Proteins"	"Proteinas"	"S326_stimulus2_t2tr2td2_50ec49861c5ee3.38392341_0"	"PISA_esp-DOM_SCI_S326-Milk_en15_MS2022.xlf"
"497"	"S428 Bacteria In Milk"	"S428 Bacterias en la leche"	"S428_stimulus3_unknownID_50ec515e6abed0.52210731_0"	"PISA_esp-DOM_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2453"	"High"	"Alto"	"stimulus2_1_stimulus2_38_517c866cd9d2d9.65194173_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2973"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Utiliza la función de arrastrar y soltar para responder esta pregunta.&lt;/i&gt;"	"S657_question1_itemDirections1_51543fc9029627.67941998_0"	"PISA_esp-DOM_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"936"	"lower"	"menores"	"S602_question4_S602Q04SELECT32_5146f1d3220c05.59682257_0"	"PISA_esp-DOM_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"3010"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question4_itemTitleqS4_51543fc913f809.27524802_0"	"PISA_esp-DOM_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Para seleccionar una fila de datos para responder a una pregunta, haz clic en cualquier parte de la fila. La fila o filas que selecciones se marcarán con una estrella."	"menu_1_menuP5_5179d18c75b138.29008136_0"	"PISA_esp-DOM_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"El botón Ejecutar para mostrar los resultados."	"menu_1_menuLi3_5179d18c75a577.37741917_0"	"PISA_esp-DOM_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2521"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Derrame de petróleo&lt;/b&gt;&lt;br /&gt; Pregunta"	"S638_question4_itemTitle4_51658351727875.73038211_0"	"PISA_esp-DOM_SCI_S638-OilSpills_en15_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la información siguiente. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"question2_1_itemDirections02_5179d18c7a3c39.30736929_0"	"PISA_esp-DOM_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"671"	"&lt;i&gt;Refer to &quot;Antibiotics&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta el artículo &quot;Antibióticos&quot; de la derecha. Haz clic en las opciones de la tabla para responder a la pregunta.&lt;/i&gt;"	"S478_question3_itemDirections3_50ed1d07a74a69.29945589_0"	"PISA_esp-DOM_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2339"	"select"	"Selecciona"	"question3_1_o3_0_517c866cca6a23.08277732_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"381"	"&lt;i&gt;Refer to &quot;Penguin Island  – Table 1&quot; on the right. Click on a choice to answer to the question.&lt;/i&gt;"	"&lt;i&gt; Consulta el artículo &quot;Isla de Pingüinos  &amp;ndash;Tabla 1&quot; de la derecha. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S425_question3_itemDirections3_50ec57a385b5d7.85902855_0"	"PISA_esp-DOM_SCI_S425-PenguinIsland_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_menuP2_5179d18c759b73.95768713_0"	"PISA_esp-DOM_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1816"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question3_itemTitle_3_51484257f14358.64460797_0"	"PISA_esp-DOM_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"486"	"S428 Bacteria In Milk"	"S428 Bacterias en la leche"	"S428_stimulus2_unknownID_50ec515e694746.88586845_0"	"PISA_esp-DOM_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2372"	"decrease"	"disminuirá"	"question5_1_o5_2_517c866cce87d1.86453744_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Bajo"	"stimulus2_1_stimulus2_44_517c866cd9f842.05399866_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"599"	"&lt;i&gt;Refer to &quot;Forest Fires&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta el artículo &quot;Incendios forestales&quot;  de la derecha. Haz clic en las opciones de la tabla para responder a la pregunta.&lt;/i&gt;"	"S466_question2_itemDirections2_50ed2376b89c49.36238219_0"	"PISA_esp-DOM_SCI_S466-ForestFires_en15_MS2022.xlf"
"2341"	"decrease"	"disminuirá"	"question3_1_o3_2_517c866cca7289.26782965_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"839"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta el artículo &quot;La extinción de los dinosaurios&quot; de la derecha. Haz clic en las opciones de la tabla para responder a la pregunta. &lt;/i&gt;"	"S527_question2_itemDirections2_50ec1e8a659c24.91394962_0"	"PISA_esp-DOM_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2997"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt;. Pregunta"	"S657_question3_itemTitleqS3_51543fc90f3329.53871036_0"	"PISA_esp-DOM_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2243"	"None"	"Nulo"	"js_translation_none_517c866cc0b129.17051160_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta la &quot;Gráfica 1&quot; de la derecha. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec515e6468b8.16997739_0"	"PISA_esp-DOM_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2457"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_517c866cd9fbc7.43288021_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Alto"	"stimulus2_1_stimulus2_46_517c866cd9ff55.61792598_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_5179d18c770887.32162936_0"	"PISA_esp-DOM_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2375"	"increase"	"aumentará"	"question5_1_o5b_1_517c866cce8f65.81474457_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2943"	"Earth"	"Tierra"	"S648_stimulus1_le2_51543fc7166672.48981646_0"	"PISA_esp-DOM_SCI_S648-HabitableZone_en15_MS2022.xlf"
