"Segment"	"en-ZZ"	"ru-LV"	"ID"	"File"
"2316"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R547_question6_itemDirections_56fc782e0d8454.46459147_1_0"	"PISA_rus-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"854"	"&lt;i&gt;Refer to &quot;How to Find a Summer Job&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Используйте текст «КАК НАЙТИ РАБОТУ НА ВРЕМЯ ЛЕТНИХ КАНИКУЛ», приведенный справа. Напишите ответ на данный вопрос.&lt;/i&gt;"	"R453_question_itemDirections_50d369b2e41d21.55629822_0"	"PISA_rus-LVA_REA_R453-SummerJob_en15_MS2022.xlf"
"5312"	"True"	"Верно"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_rus-LVA_REA_R552-FestiRock_en18_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"Используйте расположенную справа страницу «Поиск в Интернете»."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5270"	"False"	"Неверно"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами результат поиска.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_rus-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Для ответа на вопрос отметьте нужный результат поиска."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_rus-LVA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"Используйте расположенные справа тексты различных веб-страниц веб-сайта."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2712"	"General Information"	"Общие сведения"	"R550_general_info_gi_l2_56fc785ccd9039.75364311_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"304"	"S"	"Вс"	"R219_stimulus_stimulus_10_50d36defe241e7.35328520_0"	"PISA_rus-LVA_REA_R219-Employment_en15_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Заполните&lt;/b&gt;бланк, приведенный ниже.&lt;br /&gt; &lt;b&gt;3/ Вложите&lt;/b&gt; копию вашего чека, а также штрих-код(ы) или ценники приобретенных вами товаров.&lt;br /&gt; &lt;b&gt;4/ Отошлите&lt;/b&gt;, в течение 15 дней со дня покупки на следующий адрес:&lt;br /&gt;"	"R466_stimulus_section2_50d37b600c13b2.38726674_0"	"PISA_rus-LVA_REA_R466-WorkRight_en15_MS2022.xlf"
"3262"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R553_question4_q04itemDirections_56fc784a5fe943.11595551_1_0"	"PISA_rus-LVA_REA_R553-HealthForum_en18_MS2022.xlf"
"637"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Прочитайте страницу &lt;b&gt;1&lt;/b&gt;."	"R404_question_introBullet1_50d37a8cd50714.10508876_0"	"PISA_rus-LVA_REA_R404-Sleep_en15_MS2022.xlf"
"3626"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R558_question01_itemDirections_56fc786b088cb0.75370623_1_0"	"PISA_rus-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Кликните &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого из этих дел."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_rus-LVA_REA_R570-TheFavour_en18_MS2022.xlf"
"3425"	"&lt;i&gt;Refer to “What is Microlending?” on the right."	"&lt;i&gt;Используйте расположенный справа текст  «Что такое микрокредитование?»."	"R556_question3_itemDirections_56fc783ac55ff8.32442383_0_0"	"PISA_rus-LVA_REA_R556-Microlending_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Используйте расположенную справа страницу «Поиск в Интернете»."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2801"	"Autumn"	"Осенью"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"329"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Прочитайте страницу &lt;b&gt;1&lt;/b&gt;."	"R220_question_introBullet1_50d374b2248f89.18016301_0"	"PISA_rus-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"5313"	"False"	"Неверно"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4031"	"Click on the NEXT arrow to read the article."	"Чтобы прочитать эту статью, нажмите на стрелку ДАЛЕЕ."	"q00bbody_q00bp2_56fc784a832d02.66358957_0"	"PISA_rus-LVA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3781"	"Click on the NEXT arrow to read the article."	"Чтобы прочитать статью, нажмите на стрелку ДАЛЕЕ."	"q00body_q00p2_56fc783b235216.91742318_0"	"PISA_rus-LVA_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"4874"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R565_question6_itemDirections_56fc785d6051c6.45976345_1_0"	"PISA_rus-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"2662"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Используйте расположенный справа текст «Поиск в Интернете»."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_rus-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Используйте расположенную справа  страницу «Поиск в Интернете»."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2685"	"General Information"	"Общие сведения"	"R550_cliff_palace_cp_l2_56fc785ccaeff5.57842989_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"Используйте расположенные справа тексты обоих источников, нажимая на каждую из вкладок."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"301"	"T"	"Чтв"	"R219_stimulus_stimulus_7_50d36defe23441.25608051_0"	"PISA_rus-LVA_REA_R219-Employment_en15_MS2022.xlf"
"2658"	"General Information"	"Общие сведения"	"R550_ancestral_ancestral_l2_56fc785cc8da26.81359740_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Используйте расположенные справа тексты обоих источников, выбрав одну из вкладок."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_rus-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; За покупку от EUR 60 до EUR 149,99 «Идеальный офис» возвращает вам EUR &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;.&lt;br /&gt; &gt; За покупку от EUR 150 до EUR 299,99 «Идеальный офис» возвращает вам EUR 50.&lt;br /&gt; &gt; За покупку от EUR 300 и выше «Идеальный офис» возвращает вам EUR 100.&lt;br /&gt;"	"R466_stimulus_line5_50d37b600c1138.28185188_0"	"PISA_rus-LVA_REA_R466-WorkRight_en15_MS2022.xlf"
"2802"	"Winter"	"Зимой"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"Используйте расположенные справа тексты обоих источников, нажимая на каждую из вкладок."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5543"	"False"	"Неверно"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос кликните на выбранный вами вариант ответа, а затем запишите объяснение к нему."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_rus-LVA_REA_R569-TheCleanup_en18_MS2022.xlf"
"4457"	"Date"	"Дата"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5542"	"True"	"Верно"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5022"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос кликните на один или более вариантов ответа."	"R566_question01_q01itemDirections_56fc786b7efb09.20390208_1_0"	"PISA_rus-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"отмечает свое 10-летие&lt;br /&gt; и возвращает вам до EUR"	"R466_stimulus_line1_50d37b600bfbc0.34727245_0"	"PISA_rus-LVA_REA_R466-WorkRight_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Запишите свои ответы на вопрос."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3483"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R556_question8_itemDirections_56fc783adbd281.82516807_1_0"	"PISA_rus-LVA_REA_R556-Microlending_en18_MS2022.xlf"
"5392"	"Refer to “Requirements” on the right."	"Используйте расположенный справа текст «Требования к парашютисту-пожарному»."	"R568_question10_q10itemDirections_56fc78791dc480.80691911_0_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5163"	"Web Search"	"Поиск в Интернете"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Используйте расположенные справа тексты различных веб-страниц веб-сайта."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2736"	"Hours"	"&lt;b&gt;Часы работы&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Используйте расположенные справа тексты различных веб-страниц веб-сайта."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2058"	"Then click on the NEXT arrow."	"Затем  нажмите на стрелку ДАЛЕЕ."	"R545_question00_q00itemDirections_56fc7821a9d332.06999644_1_0"	"PISA_rus-LVA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4584"	"Refer to the different webpages of the website on the right."	"Используйте расположенные справа тексты различных веб-страниц веб-сайта."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1312"	"True"	"Верно"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_rus-LVA_REA_R541-Plastic_en18_MS2022.xlf"
"2103"	"False"	"Неверно"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_rus-LVA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"Для ответа на вопрос отметьте нужный результат поиска."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_rus-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос кликните на выбранный вами вариант ответа, а затем запишите объяснение к нему."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_rus-LVA_REA_R562-OpeningNight_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"Используйте расположенные справа тексты различных веб-страниц веб-сайта."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5005"	"Click on the NEXT arrow to read the article."	"Чтобы прочитать статью, нажмите на стрелку ДАЛЕЕ."	"q00a-body_q00a-p2_56fc786b7b5061.84844809_0"	"PISA_rus-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6045"	"How should Charles respond?"	"Что Косте следует ему ответить?"	"R570_question07_q07p2_56fc787980d795.85902410_0"	"PISA_rus-LVA_REA_R570-TheFavour_en18_MS2022.xlf"
"578"	"In the southern spring of 1912 the bodies of Scott and his companions, their travel diaries and last letters were found."	"Когда в Южном полушарии насту-пила весна 1912 года, были найдены тела Скотта и членов его команды, дневники их путешествия и последние письма."	"R220_stimulus_p6_50d374b23e66e4.09579779_0"	"PISA_rus-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Для ответа на вопрос отметьте нужный результат поиска."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4920"	"Web Search"	"Поиск в Интернете"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_rus-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2771"	"General Information"	"Общие сведения"	"R550_tours_tours_l2_56fc785cd3a437.22088880_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Для ответа на вопрос кликните на нужный результат поиска."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2102"	"True"	"Верно"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_rus-LVA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3497"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R556_question9_itemDirections9_56fc783add6b18.78125777_1_0"	"PISA_rus-LVA_REA_R556-Microlending_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Для ответа на вопрос отметьте нужный результат поиска."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5651"	"Click on the NEXT arrow to read the article."	"Чтобы прочитать статью, нажмите на стрелку ДАЛЕЕ."	"q0b-body_q0b-p2_56fc784ab20693.68037048_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Чтобы прочитать сказку, нажмите на стрелку ДАЛЕЕ."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_rus-LVA_REA_R570-TheFavour_en18_MS2022.xlf"
"3549"	"Web Search"	"Поиск в Интернете"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_rus-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2799"	"Spring"	"Весной"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос кликните на выбранный вами вариант ответа, а затем запишите объяснение к нему."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_rus-LVA_REA_R552-FestiRock_en18_MS2022.xlf"
"965"	"&lt;i&gt;Refer to &quot;Gulf of Mexico&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Используйте текст «МЕКСИКАНСКИЙ ЗАЛИВ», расположенный справа. Для ответа на вопрос кликните на выбранный вами вариант ответа.&lt;/i&gt;"	"R460_question_itemDirections_50d37d12550980.46514745_0"	"PISA_rus-LVA_REA_R460-GulfOfMexico_en15_MS2022.xlf"
"2756"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_map_map_l4_56fc785cd18831.80713295_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5215"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос кликните на выбранный вами один или более вариантов ответа."	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"Какова общая цена купленных вами товаров* в «Идеальном офисе»?&lt;br /&gt;"	"R466_stimulus_section3_50d37b600c57d0.82037047_0"	"PISA_rus-LVA_REA_R466-WorkRight_en15_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос кликните на выбранный вами вариант ответа, а затем запишите объяснение к нему."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_rus-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4818"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R565_question01_itemDirections_56fc785d59a4c9.01449593_1_0"	"PISA_rus-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Используйте расположенную справа страницу «Поиск в Интернете»."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5810"	"Cans"	"Банки из-под напитков"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_rus-LVA_REA_R569-TheCleanup_en18_MS2022.xlf"
"4902"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R565_question8_itemDirections_56fc785d634c08.07217589_1_0"	"PISA_rus-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"1313"	"False"	"Неверно"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_rus-LVA_REA_R541-Plastic_en18_MS2022.xlf"
"2894"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Cliff Palace&lt;/b&gt;&lt;br /&gt;"	"R550_question09_q09itemTitle_56fc785ced8fa6.72873403_0_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Чтобы прочитать брошюру, нажмите на стрелку ДАЛЕЕ."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_rus-LVA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4167"	"True"	"Верно"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_rus-LVA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4860"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R565_question5_itemDirections_56fc785d5ef754.99956789_1_0"	"PISA_rus-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"325"	"TO"	"ПО"	"R219_stimulus_sect4Line3span4_50d36defe307f7.60397431_0"	"PISA_rus-LVA_REA_R219-Employment_en15_MS2022.xlf"
"3863"	"Web Search"	"Поиск в Интернете"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_rus-LVA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2254"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0460d7.64458893_1_0"	"PISA_rus-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"2268"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R547_question2_itemDirections_56fc782e072020.06902189_1_0"	"PISA_rus-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"2687"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"2714"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_general_info_gi_l4_56fc785ccd9e25.13125133_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Важно! Не забудьте вложить:&lt;/b&gt;&lt;br /&gt; &amp;mdash; Копию, чеков, подтверждающих вашу покупку.&lt;br /&gt; &amp;mdash; Штрих-код(ы) или ценник(и) от ваших покупок.&lt;br /&gt;"	"R466_stimulus_sect3right_50d37b600c6dd9.82123682_0"	"PISA_rus-LVA_REA_R466-WorkRight_en15_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"Используйте расположенные справа тексты различных веб-страниц веб-сайта."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_rus-LVA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5441"	"Web Search"	"Поиск в Интернете"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_rus-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
