"Segment"	"en-ZZ"	"mk-MK"	"ID"	"File"
"1179"	"Type your answer to the question.&lt;/i&gt;"	"Напиши го твојот одговор на прашањето.&lt;/i&gt;"	"S602_question3_itemDirections3_5c9d227a91f0f8.85124035_1_0"	"PISA_mkd-MKD_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"175"	"&lt;b&gt;Wild Oat Grass&lt;/b&gt;"	"&lt;b&gt;Дива Овесна Трева&lt;/b&gt;"	"S408_question4_itemTitle_4_5c3f6294f1b4b2.87586218_0_0"	"PISA_mkd-MKD_SCI_S408-WildOatGrass_en21_MS2022.xlf"
"2638"	"select"	"Избери"	"question5_1_o5_0_5c9d227be933f2.27989834_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1857"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"question5_1_itemDirections05_5c9d227b3c3211.80677935_1_0"	"PISA_mkd-MKD_SCI_S615-Tsunami_en21_MS2022.xlf"
"2448"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"question3_1_itemDirections03_5c9d227bc44ae0.03182047_1_0"	"PISA_mkd-MKD_SCI_S634-Vaccination_en21_MS2022.xlf"
"2621"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227be7c198.62824452_1_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1768"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"S610_question2_itemDirections2_5c9d227b2a28b0.28922188_1_0"	"PISA_mkd-MKD_SCI_S610-Brain-controlledRobotics_en21_MS2022.xlf"
"2300"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"S629_question3_itemDirections3_5c9d227bade634.52894513_1_0"	"PISA_mkd-MKD_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2681"	"Low"	"Ниско"	"js_translation_low_5c9d227befabd7.87112589_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2680"	"None"	"Не се лови"	"js_translation_none_5c9d227befa414.60923870_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1518"	"Type your answer to the question.&lt;/i&gt;"	"Напиши го твојот одговор на прашањето.&lt;/i&gt;"	"S605_question4_itemDirections4_5c9d227adef695.10070069_1_0"	"PISA_mkd-MKD_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"2339"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Кликни или &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Не&lt;/b&gt; за секое прашање."	"S629_question4_itemStem4_5c9d227bb01a64.85309226_6_0"	"PISA_mkd-MKD_SCI_S629-SolarCooker_en21_MS2022.xlf"
"1303"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Кликни на опциите за избор за да одговориш на прашањето.&lt;/i&gt;"	"S603_question3_itemDirections3_5c9d227aadb029.42295251_0"	"PISA_mkd-MKD_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2550"	"Medium"	"Средно"	"stimulus2_1_stimulus2_37_5c9d227be13c31.69980187_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2556"	"High"	"Високо"	"stimulus2_1_stimulus2_46_5c9d227be147e8.45470810_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2474"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227bc5f702.32317931_1_0"	"PISA_mkd-MKD_SCI_S634-Vaccination_en21_MS2022.xlf"
"2555"	"Medium"	"Средно"	"stimulus2_1_stimulus2_45_5c9d227be146a9.40941283_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2020"	"Type your answer to the question.&lt;/i&gt;"	"Напиши го твојот одговор на прашањето.&lt;/i&gt;"	"S625_question1_itemDirections1_5c9d227b6b51a1.38334626_1_0"	"PISA_mkd-MKD_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"2683"	"High"	"Високо"	"js_translation_high_5c9d227befbe32.99905741_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1325"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Кликни на опциите за избор за да одговориш на прашањето.&lt;/i&gt;"	"S603_question5_itemDirections5_5c9d227ab24c25.05100364_0"	"PISA_mkd-MKD_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"3102"	"Explain your choice."	"Објасни го твојот избор на одговор."	"question5_1_q05span1_5c9d227c6128d6.87427044_0"	"PISA_mkd-MKD_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"3108"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c627d81.36978752_1_0"	"PISA_mkd-MKD_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"3063"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"question2_1_itemDirections02_5c9d227c5dc4b8.48201619_1_0"	"PISA_mkd-MKD_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"1957"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"S620_question1_itemDirections4_5c9d227b58ce01.50665487_1_0"	"PISA_mkd-MKD_SCI_S620-Tornadoes_en21_MS2022.xlf"
"2549"	"Low"	"Ниско"	"stimulus2_1_stimulus2_36_5c9d227be13b02.67418193_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3095"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"question5_1_itemDirections05_5c9d227c611f47.80605534_1_0"	"PISA_mkd-MKD_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2611"	"select"	"Избери"	"question3_1_o3b_0_5c9d227be62df9.94958067_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3034"	"Type your answer to the question.&lt;/i&gt;"	"Напиши го твојот одговор на прашањето.&lt;/i&gt;"	"S645_question4_itemDirections4_5c9d227c51f199.81592699_1_0"	"PISA_mkd-MKD_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2548"	"None"	"Не се лови"	"stimulus2_1_stimulus2_35_5c9d227be13994.26206749_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2553"	"None"	"Не се лови"	"stimulus2_1_stimulus2_43_5c9d227be143f6.04534828_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2274"	"Type your answer to the question.&lt;/i&gt;"	"Напиши го твојот одговор на прашањето.&lt;/i&gt;"	"S629_question1_itemDirections1_5c9d227bab07e7.43551119_1_0"	"PISA_mkd-MKD_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2841"	"Type your answer to the question.&lt;/i&gt;"	"Напиши го твојот одговор на прашањето.&lt;/i&gt;"	"question1_1_itemDirections01_5c9d227c31e890.69451485_1_0"	"PISA_mkd-MKD_SCI_S643-LightBulbs_en21_MS2022.xlf"
"3084"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227c5fe8b6.36778135_1_0"	"PISA_mkd-MKD_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2642"	"select"	"Избери"	"question5_1_o5b_0_5c9d227be93836.04718175_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3000"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Кликни на опциите за избор дадени во табелата за да одговориш на прашањето.&lt;/i&gt;"	"S645_question1_itemDirections1_5c9d227c4f8b07.32611541_1_0"	"PISA_mkd-MKD_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2554"	"Low"	"Ниско"	"stimulus2_1_stimulus2_44_5c9d227be14568.23782540_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2551"	"High"	"Високо"	"stimulus2_1_stimulus2_38_5c9d227be13d68.33588968_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
