"Segment"	"en-ZZ"	"ru-MD"	"ID"	"File"
"5214"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_rus-MDA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3675"	"Type your answer to the question.&lt;/i&gt;"	"Запишите свой ответ на вопрос.&lt;/i&gt;"	"R556_question7_itemDirections_56fc783ad9edc5.41424598_1_0"	"PISA_rus-MDA_REA_R556-Microlending_en18_MS2022.xlf"
"1421"	"100"	"1000 лей"	"R466_stimulus_stimulus2_2_5c3f627f167848.83791709_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"3894"	"Tyson Electronics"	"«Тайман Электроникс»"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_rus-MDA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4605"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2646"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Для ответа на вопрос отметьте в таблице нужные варианты ответа.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_rus-MDA_REA_R547-BookSurvey_en18_MS2022.xlf"
"3031"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_map_map_l4_56fc785cd18831.80713295_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5244"	"Click on the choices in the table to answer the question."	"Для ответа на вопрос отметьте в таблице нужные варианты ответа."	"R567_question09_q09itemDirections_56fc7879177010.04490145_1_0"	"PISA_rus-MDA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4620"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2874"	"Click on the choices in the table to answer the question."	"Для ответа на вопрос отметьте в таблице нужные варианты ответа."	"R549_question08_q08itemDirections_56fc786ad56205.34088832_1_0"	"PISA_rus-MDA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1439"	"&lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products."	"&lt;b&gt;3) Вложите&lt;/b&gt; копию вашего чека, а также штрих-код(ы) или ценники приобретенных вами товаров."	"R466_stimulus_section2_5c3f627f1682d1.08554247_2_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"1758"	"Click on the choices in the table to answer the question."	"Для ответа на вопрос отметьте в таблице нужные варианты ответа."	"Q07_question_Q07itemDirections_56fc7820d478e2.14367000_1_0"	"PISA_rus-MDA_REA_R541-Plastic_en18_MS2022.xlf"
"5107"	"Web Search"	"Поиск в Интернете"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_rus-MDA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"398"	"TO"	"ПО"	"R219_stimulus_sect4Line3span4_5c3f627150bb70.65186253_0"	"PISA_rus-MDA_REA_R219-Employment_en21_MS2022.xlf"
"4844"	"Type your answer to the question.&lt;/i&gt;"	"Запишите свой ответ на вопрос.&lt;/i&gt;"	"R565_question2_itemDirections_56fc785d5accf1.97912779_1_0"	"PISA_rus-MDA_REA_R565-SittingDisease_en18_MS2022.xlf"
"2674"	"Type your answer to the questions.&lt;/i&gt;"	"Запишите свой ответ на вопросы.&lt;/i&gt;"	"R547_question9_itemDirections_56fc782e123d58.83144699_1_0"	"PISA_rus-MDA_REA_R547-BookSurvey_en18_MS2022.xlf"
"1420"	"And will reimburse you up to £"	"и возвращает вам до"	"R466_stimulus_line1_5c3f627f167761.40294059_2_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"3138"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Cliff Palace&lt;/b&gt;&lt;br /&gt;"	"R550_question09_q09itemTitle_56fc785ced8fa6.72873403_0_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"358"	"T"	"Чт"	"R219_stimulus_stimulus_7_5c3f6271506cb6.44076286_0"	"PISA_rus-MDA_REA_R219-Employment_en21_MS2022.xlf"
"1433"	"&gt; For purchases between £150 and £299.99, Work Right will reimburse you £50."	"&gt; За покупку от 1500 лей до 2999,99 лей. «Идеальный офис» возвращает Вам 500 лей."	"R466_stimulus_line5_5c3f627f168187.97895610_2_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"2937"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"4517"	"Date"	"Дата"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1460"	"Town/ City:"	"&lt;b&gt;Индекс:&lt;/b&gt; &lt;b&gt;&lt;i&gt;06537&lt;/i&gt;&lt;/b&gt;"	"R466_stimulus_line10_5c3f627f1691c2.78290495_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"4651"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2896"	"Click on the choices in the table to answer the question."	"Для ответа на вопрос отметьте в таблице нужные варианты ответа."	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_rus-MDA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"741"	"Longitude"	"90°&lt;br /&gt;Восточной"	"R220_question_southpole_label4_5c3f627372bbd3.72847329_0_0"	"PISA_rus-MDA_REA_R220-SouthPole_en21_MS2022.xlf"
"4003"	"Web Search"	"Поиск в Интернете"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_rus-MDA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1424"	"&lt;i&gt;*Stationery, print and promotion products, technology supplies."	"&lt;i&gt;Канцелярские товары, картриджи, комплектующие, офисная техника."	"R466_stimulus_line3_5c3f627f167b71.88143213_0_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"5292"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_rus-MDA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3867"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Воспользуйтесь текстами обоих источников, расположенными справа, выбрав одну из вкладок."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_rus-MDA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4139"	"Click on the NEXT arrow to read the article."	"Чтобы прочитать эту статью, нажмите на стрелку ДАЛЕЕ."	"q00bbody_q00bp2_56fc784a832d02.66358957_0"	"PISA_rus-MDA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3868"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Для ответа на вопрос отметьте в таблице нужные варианты ответа.&lt;/i&gt;"	"R558_question8_itemDirections_56fc786b1259f5.61081922_1_0"	"PISA_rus-MDA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2898"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_rus-MDA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"639"	"The worst has happened"	"«Случилось самое худшее"	"R220_stimulus_stimulusHQ4_3_5c3f62736c4540.67675334_0"	"PISA_rus-MDA_REA_R220-SouthPole_en21_MS2022.xlf"
"1464"	"Post code:"	"@"	"R466_stimulus_line12_5c3f627f169811.42940626_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"1445"	"Sogec Management"	"ул. Флорилор, д. 41"	"R466_stimulus_line5b_5c3f627f168408.02577619_2_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"3048"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_tours_tours_l4_56fc785cd3adf1.25063481_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"2411"	"Then click on the NEXT arrow."	"Затем  нажмите на стрелку ДАЛЕЕ."	"R545_question00_q00itemDirections_56fc7821a9d332.06999644_1_0"	"PISA_rus-MDA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1430"	"20"	"200"	"R466_stimulus_q3key_5c3f627f168032.99086388_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"2935"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral_l4_56fc785cc8e502.87212348_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"2999"	"General Information"	"Общие сведения"	"R550_hours_hours_l2_56fc785ccf6d72.95689156_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5345"	"Web Search"	"Поиск в Интернете"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_rus-MDA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2960"	"General Information"	"Общие сведения"	"R550_cliff_palace_cp_l2_56fc785ccaeff5.57842989_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"3729"	"Web Search"	"Поиск в Интернете"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_rus-MDA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4927"	"Website"	"Веб-сайт"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_rus-MDA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5525"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_rus-MDA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5321"	"Click on the choices in the table to answer the question."	"Для ответа на вопрос отметьте в таблице нужные варианты ответа."	"R567_question11_q11itemDirections_56fc78791ff317.23437611_1_0"	"PISA_rus-MDA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5047"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_rus-MDA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1415"	"WORK RIGHT"	"ИДЕАЛЬНЫЙ ОФИС"	"R466_stimulus_title_5c3f627f1673e2.26185196_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"4560"	"Then click on the NEXT arrow."	"Затем  нажмите на стрелку ДАЛЕЕ."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3029"	"General Information"	"Общие сведения"	"R550_map_map_l2_56fc785cd17d02.68864643_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"4688"	"Click on the NEXT arrow to read the brochure."	"Чтобы прочитать брошюру, нажмите на стрелку ДАЛЕЕ."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_rus-MDA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2987"	"General Information"	"Общие сведения"	"R550_general_info_gi_l2_56fc785ccd9039.75364311_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"4589"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5224"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_rus-MDA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3011"	"Hours"	"&lt;b&gt;Часы работы&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"3810"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Для ответа на вопрос отметьте в таблице нужные варианты ответа.&lt;/i&gt;"	"R558_question2_itemDirections_56fc786b09be36.87322307_1_0"	"PISA_rus-MDA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5434"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_rus-MDA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"515"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;ЮЖНЫЙ ПОЛЮС - Документ 1&lt;/b&gt;"	"R220_stimulus_title_5c3f62736878d0.55830346_0"	"PISA_rus-MDA_REA_R220-SouthPole_en21_MS2022.xlf"
"4929"	"Website"	"Веб-сайт"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_rus-MDA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1447"	"41 Shore Rd, Pittville"	"«Идеальный офис»"	"R466_stimulus_line5b_5c3f627f168408.02577619_4_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"1481"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER"	"ОБЩИЕ УСЛОВИЯ ДЕЙСТВУЮЩЕГО ПРЕДЛОЖЕНИЯ"	"R466_stimulus_section4_5c3f627f16a9c9.30479496_0_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"4865"	"Type your answer to the question.&lt;/i&gt;"	"Запишите свой ответ на вопрос.&lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_rus-MDA_REA_R565-SittingDisease_en18_MS2022.xlf"
"2933"	"General Information"	"Общие сведения"	"R550_ancestral_ancestral_l2_56fc785cc8da26.81359740_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"553"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;ЮЖНЫЙ ПОЛЮС - Документ 2&lt;/b&gt;"	"R220_stimulus_title_5c3f62736a21a9.48781010_0"	"PISA_rus-MDA_REA_R220-SouthPole_en21_MS2022.xlf"
"2438"	"Click on the choices in the table to answer the question."	"Для ответа на вопрос отметьте в таблице нужные варианты ответа."	"R545_question03_Q03itemDirections_56fc7821ad84c2.36903751_1_0"	"PISA_rus-MDA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2625"	"Type your answer to the question.&lt;/i&gt;"	"Запишите свой ответ на вопрос.&lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_rus-MDA_REA_R547-BookSurvey_en18_MS2022.xlf"
"112"	"£11"	"203 лей"	"R102_stimulus_tr5td3_5c3f626e721891.33646557_0"	"PISA_rus-MDA_REA_R102-Shirts_en21_MS2022.xlf"
"4652"	"Type your answers to the questions."	"Запишите свои ответы на вопрос."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3889"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Воспользуйтесь текстами обоих источников, расположенными справа, выбрав одну из вкладок."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_rus-MDA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1417"	"WORK RIGHT"	"ИДЕАЛЬНЫЙ ОФИС"	"R466_stimulus_stimulus2_1_5c3f627f167693.55597068_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"1458"	"Address:"	"&lt;b&gt;Куда:&lt;/b&gt; &lt;b&gt;&lt;i&gt;Район Сорока, г. Сорока, ул. Парфумулуй, д. 28&lt;/i&gt;&lt;/b&gt;"	"R466_stimulus_line9_5c3f627f168e82.93188147_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"1352"	"WORK RIGHT"	"ИДЕАЛЬНЫЙ ОФИС"	"R466_stimulus_stimulus_1_5c3f627f1500f8.20787076_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"2441"	"Is the statement true or false?"	"Согласно информации, представленной в брошюре, верно или неверно данное утверждение?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_rus-MDA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2989"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_general_info_gi_l4_56fc785ccd9e25.13125133_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"4259"	"Click on the choices in the table to answer the question."	"Для ответа на вопрос отметьте в таблице нужные варианты ответа."	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_rus-MDA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1465"	"What is the total value of the Work Right office supplies* that you have purchased?"	"Какова общая цена купленных вами товаров* в «Идеальном офисе»?"	"R466_stimulus_section3_5c3f627f169b11.58385275_0_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"3001"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_hours_hours_l4_56fc785ccf78f4.09670808_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"3701"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Для ответа на вопрос отметьте в таблице нужные варианты ответа.&lt;/i&gt;"	"R556_question10_itemDirections_56fc783adf40b1.80389977_1_0"	"PISA_rus-MDA_REA_R556-Microlending_en18_MS2022.xlf"
"4893"	"&lt;i&gt;Refer to the posters on the right by clicking on each of the tabs."	"&lt;i&gt;Воспользуйтесь текстами плакатов, расположенными справа, нажимая на каждю из вкладок."	"R565_question8_itemDirections_56fc785d634c08.07217589_0_0"	"PISA_rus-MDA_REA_R565-SittingDisease_en18_MS2022.xlf"
"361"	"S"	"Вс"	"R219_stimulus_stimulus_10_5c3f62715070c7.57572860_0"	"PISA_rus-MDA_REA_R219-Employment_en21_MS2022.xlf"
"5355"	"Web Search"	"Поиск в Интернете"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_rus-MDA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4568"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"100"	"£11"	"203 лей"	"R102_stimulus_tr3td3_5c3f626e720604.27795643_0"	"PISA_rus-MDA_REA_R102-Shirts_en21_MS2022.xlf"
"645"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;ЮЖНЫЙ ПОЛЮС - Документ 2&lt;/b&gt;"	"R220_stimulus_title_5c3f62736e4b47.63177268_0"	"PISA_rus-MDA_REA_R220-SouthPole_en21_MS2022.xlf"
