"Segment"	"en-ZZ"	"es-AR"	"ID"	"File"
"1940"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question3_itemTitle_3_51484257f14358.64460797_0"	"PISA_esp-ARG_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2988"	"Earth"	"Tierra"	"S648_stimulus1_le2_51543fc7166672.48981646_0"	"PISA_esp-ARG_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1682"	"Medium"	"Moderada"	"js_translation_slopeMedium_517c866c11dfe4.07185303_0"	"PISA_esp-ARG_SCI_S615-Tsunami_en15_MS2022.xlf"
"2882"	"Explain your choice."	"Explicá tu elección."	"question5_1_q05span1_5179d18c7fea41.07339243_0"	"PISA_esp-ARG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2459"	"select"	"Seleccioná"	"question5_1_o5_0_517c866cce82f5.31457343_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2428"	"select"	"Seleccioná"	"question3_1_o3_0_517c866cca6a23.08277732_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"678"	"No"	"Sin"	"S438_stimulus2_chem11_5c3f6298acd5b3.62747831_0_0"	"PISA_esp-ARG_SCI_S438-GreenParks_en21_MS2022.xlf"
"2460"	"increase"	"aumentará"	"question5_1_o5_1_517c866cce8576.85368889_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2335"	"High"	"Alto"	"js_translation_high_517c866cc0c011.23722423_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1137"	"higher"	"mayores"	"S602_question4_S602Q04SELECT31_5146f1d3220749.32583095_0"	"PISA_esp-ARG_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2596"	"Can this question be answered by scientific experiments?"	"Esta pregunta, ¿puede responderse por medio de experimentos científicos?"	"S638_question4_Q4_tr1th1_516583517289b0.71320718_0"	"PISA_esp-ARG_SCI_S638-OilSpills_en15_MS2022.xlf"
"2845"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Basándote en la siguiente información, ejecutá la simulación para obtener datos. Hacé clic en una opción para responder a la pregunta.&lt;/i&gt;"	"question2_1_itemDirections02_5179d18c7a3c39.30736929_0"	"PISA_esp-ARG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"628"	"No"	"Sin"	"S438_stimulus2_chem1_5c3f6298acb2b8.22029731_0_0"	"PISA_esp-ARG_SCI_S438-GreenParks_en21_MS2022.xlf"
"1138"	"lower"	"menores"	"S602_question4_S602Q04SELECT32_5146f1d3220c05.59682257_0"	"PISA_esp-ARG_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2333"	"Low"	"Bajo"	"js_translation_low_517c866cc0b622.59988102_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2533"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_517c866cd9cda5.35528622_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2433"	"increase"	"aumentará"	"question3_1_o3b_1_517c866cca8149.85234485_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2434"	"decrease"	"disminuirá"	"question3_1_o3b_2_517c866cca8617.75823500_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1231"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Hacé clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S603_question3_itemDirections3_5138b289d1b4e8.95919050_0"	"PISA_esp-ARG_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2537"	"Low"	"Bajo"	"stimulus2_1_stimulus2_44_517c866cd9f842.05399866_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2430"	"decrease"	"disminuirá"	"question3_1_o3_2_517c866cca7289.26782965_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1244"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Hacé clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S603_question4_itemDirections4_5138b289d66ef2.15561880_0"	"PISA_esp-ARG_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"652"	"No"	"Sin"	"S438_stimulus2_chem6_5c3f6298acc046.66885046_0_0"	"PISA_esp-ARG_SCI_S438-GreenParks_en21_MS2022.xlf"
"704"	"No"	"Sin"	"S438_stimulus2_chem16_5c3f6298ace7a1.95522591_0_0"	"PISA_esp-ARG_SCI_S438-GreenParks_en21_MS2022.xlf"
"2532"	"Low"	"Bajo"	"stimulus2_1_stimulus2_36_517c866cd9c7a6.07608979_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2534"	"High"	"Alto"	"stimulus2_1_stimulus2_38_517c866cd9d2d9.65194173_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2417"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"En esta simulación, podrás explorar cómo afectan los volúmenes de pesca de bacalao y arenque a la biomasa de cada tipo de organismo de la bahía después de un período de cinco años."	"question2_1_P21_517c866cc892f7.27640294_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2432"	"select"	"Seleccioná"	"question3_1_o3b_0_517c866cca7c35.96356868_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2463"	"select"	"Seleccioná"	"question5_1_o5b_0_517c866cce8ce4.25365685_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2461"	"decrease"	"disminuirá"	"question5_1_o5_2_517c866cce87d1.86453744_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2829"	"The Run button to display the results."	"El botón Ejecutar para mostrar los resultados."	"menu_1_menuLi3_5179d18c75a577.37741917_0"	"PISA_esp-ARG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2539"	"High"	"Alto"	"stimulus2_1_stimulus2_46_517c866cd9ff55.61792598_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2465"	"decrease"	"disminuirá"	"question5_1_o5b_2_517c866cce91e1.21839113_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1127"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; El efecto isla urbana de calor&lt;/b&gt;&lt;br /&gt; Pregunta"	"S602_question4_qitemTitle4_5146f1d321d3e6.33512336_0"	"PISA_esp-ARG_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2839"	"To see how all the controls in this simulation work, follow these steps:"	"Para ver cómo funcionan todos los controles en esta simulación, seguí estos pasos:"	"question1_1_q01p2_5179d18c787771.34906238_0"	"PISA_esp-ARG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2464"	"increase"	"aumentará"	"question5_1_o5b_1_517c866cce8f65.81474457_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2332"	"None"	"Nulo"	"js_translation_none_517c866cc0b129.17051160_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"3049"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question4_itemTitleqS4_51543fc913f809.27524802_0"	"PISA_esp-ARG_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2863"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Basándote en la siguiente información, ejecutá la simulación para obtener datos. Hacé clic en una opción para responder a la pregunta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c7da0d7.37830503_0"	"PISA_esp-ARG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"3036"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question3_itemTitleqS3_51543fc90f3329.53871036_0"	"PISA_esp-ARG_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
