"Segment"	"en-ZZ"	"es-PA"	"ID"	"File"
"1544"	"Medium"	"Moderada"	"js_translation_slopeMedium_517c866c11dfe4.07185303_0"	"PISA_esp-PAN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2800"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_5179d18c770887.32162936_0"	"PISA_esp-PAN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2349"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"En esta simulación podrás explorar cómo afectan los niveles de captura de bacalao y arenque a la biomasa de cada tipo de organismo de la bahía después de un periodo de cinco años."	"question2_1_P21_517c866cc892f7.27640294_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2266"	"Medium"	"Medio"	"js_translation_medium_517c866cc0bb10.48262966_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2888"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S648_Q0_itemDirections0_51543fc6ecc6d6.10259623_0"	"PISA_esp-PAN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2472"	"Low"	"Bajo"	"stimulus2_1_stimulus2_36_517c866cd9c7a6.07608979_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2395"	"select"	"Selecciona"	"question5_1_o5b_0_517c866cce8ce4.25365685_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2478"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_517c866cd9fbc7.43288021_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"863"	"lower"	"menores"	"S602_question4_S602Q04SELECT32_5146f1d3220c05.59682257_0"	"PISA_esp-PAN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2146"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Recuerda seleccionar  &lt;b&gt;una o más&lt;/b&gt; casillas."	"question1_1_q1p3_5179d18b0ff3a1.14274601_0"	"PISA_esp-PAN_SCI_S634-Vaccination_en15_MS2022.xlf"
"416"	"&lt;b&gt;Graph 1&lt;/b&gt;"	"&lt;b&gt;Gráfica 1&lt;/b&gt;"	"S428_stimulus2_subtitle_56d724d994d631.71505995_0"	"PISA_esp-PAN_SCI_S428-BacteriaInMilk_en18_MS2022.xlf"
"2362"	"decrease"	"disminuirá"	"question3_1_o3_2_517c866cca7289.26782965_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2325"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación puedes usar los siguientes controles:"	"menu_1_menuP2_517c866cc3d340.63445361_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2792"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes usar los siguientes controles:"	"menu_1_menuP2_5179d18c759b73.95768713_0"	"PISA_esp-PAN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2521"	"Disadvantage"	"Inconveniente"	"S638_question2_header2_516583516ee8a9.85837732_0"	"PISA_esp-PAN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2546"	"Can this question be answered by scientific experiments?"	"¿Esta pregunta puede responderse por medio de experimentos científicos?"	"S638_question4_Q4_tr1th1_516583517289b0.71320718_0"	"PISA_esp-PAN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2477"	"Low"	"Bajo"	"stimulus2_1_stimulus2_44_517c866cd9f842.05399866_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2661"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillos&lt;/b&gt;&lt;br /&gt; Preguntas"	"question6_1_itemTitle06_5179d18c4009f1.06042925_0"	"PISA_esp-PAN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2479"	"High"	"Alto"	"stimulus2_1_stimulus2_46_517c866cd9ff55.61792598_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2396"	"increase"	"aumentará"	"question5_1_o5b_1_517c866cce8f65.81474457_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2829"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la siguiente información. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c7da0d7.37830503_0"	"PISA_esp-PAN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2841"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la siguiente información. Haz clic en una opción y escribe una explicación para responder a la pregunta.&lt;/i&gt;"	"question5_1_itemDirections05_5179d18c7fbf06.16538288_0"	"PISA_esp-PAN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2795"	"The Run button to display the results."	"El botón Ejecutar para mostrar los resultados."	"menu_1_menuLi3_5179d18c75a577.37741917_0"	"PISA_esp-PAN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2629"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillos&lt;/b&gt;&lt;br /&gt; Preguntas"	"question4_1_itemTitle04_5179d18c3c29d9.69203028_0"	"PISA_esp-PAN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2255"	"Delete a row of data to run another trial."	"Borra una fila de datos para realizar otra prueba."	"js_translation_deleteMsg_517c866cc07a67.70909929_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2264"	"None"	"Nulo"	"js_translation_none_517c866cc0b129.17051160_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2487"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S638_question0_itemDirections0_516e90e7982602.88504439_0"	"PISA_esp-PAN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2593"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes usar los siguientes controles:"	"menu_1_menuP2_5179d18c3603e7.48672848_0"	"PISA_esp-PAN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"439"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Lee &quot;Gráfica 1&quot; a la derecha. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S428_question2_itemDirections2_56d724d99ec252.23954492_0"	"PISA_esp-PAN_SCI_S428-BacteriaInMilk_en18_MS2022.xlf"
"2476"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_517c866cd9f405.42115461_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2642"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillos&lt;/b&gt;&lt;br /&gt; Preguntas"	"question5_1_itemTitle05_5179d18c3df6d4.51409668_0"	"PISA_esp-PAN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2854"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Para esta pregunta no necesitas usar la simulación. Haz clic en una opción y escribe una explicación para responder a la pregunta.&lt;/i&gt;"	"question6_1_itemDirections06_5179d18c825225.54248492_0"	"PISA_esp-PAN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"993"	"Elephants and Acacia Trees"	"ELEFANTES Y ACACIAS"	"S603_stimulus1_title1_5138b289e0e9b0.33542692_0"	"PISA_esp-PAN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2360"	"select"	"Selecciona"	"question3_1_o3_0_517c866cca6a23.08277732_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2471"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_517c866cd9c221.62218651_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2393"	"decrease"	"disminuirá"	"question5_1_o5_2_517c866cce87d1.86453744_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2482"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"¡Bien hecho!&lt;br /&gt; Haz clic en la flecha SIGUIENTE para continuar. &quot;"	"stimulus2_1_stimulus2_49_517c866cda1ac1.66827205_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2397"	"decrease"	"disminuirá"	"question5_1_o5b_2_517c866cce91e1.21839113_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1562"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; Lee la introducción. Después haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_517c866c1493e8.49871839_0"	"PISA_esp-PAN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2123"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"CS634_intro_itemDirections0_5179d18b0b9014.87025385_0"	"PISA_esp-PAN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2361"	"increase"	"aumentará"	"question3_1_o3_1_517c866cca6dd3.87035140_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2113"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes usar los siguientes controles:"	"menu_1_aMenuP3_5179d18b0a1a87.78061985_0"	"PISA_esp-PAN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2473"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_517c866cd9cda5.35528622_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2474"	"High"	"Alto"	"stimulus2_1_stimulus2_38_517c866cd9d2d9.65194173_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1069"	"Water from Fog"	"AGUA DE NEBLINA"	"S604_stimulus1_title1_51658350f1b715.32571743_0"	"PISA_esp-PAN_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"1640"	"Medium"	"Moderada"	"sim_1_simSlopeMed_517c866c229f33.08839423_0"	"PISA_esp-PAN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2762"	"&lt;i&gt;Refer to &quot;Carbon Dioxide in Earth's Atmosphere&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Lee  &quot;Dióxido de carbono en la atmósfera terrestre&quot; a la derecha.  Escribe la respuesta a la pregunta.&lt;/i&gt;"	"S645_question5_itemDirections5_51658351c0b7b1.29266825_0"	"PISA_esp-PAN_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2366"	"decrease"	"disminuirá"	"question3_1_o3b_2_517c866cca8617.75823500_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2611"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillos&lt;/b&gt;&lt;br /&gt; Preguntas"	"question3_1_itemTitle03_5179d18c3a7ea6.89906203_0"	"PISA_esp-PAN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2265"	"Low"	"Bajo"	"js_translation_low_517c866cc0b622.59988102_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"3020"	"&lt;i&gt;Refer to &quot;Treatment Study&quot; on the right. Click on a choice to answer the question. &lt;/i&gt;"	"&lt;i&gt;Lee &quot;Estudio del tratamiento&quot; a la derecha. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S657_question3_itemDirections3_51543fc90f3f71.12949555_0"	"PISA_esp-PAN_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2365"	"increase"	"aumentará"	"question3_1_o3b_1_517c866cca8149.85234485_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2789"	"Delete some data to run more trials."	"Borra algunos datos para hacer más pruebas."	"js_translation_deleteMsg_5179d18c7474b1.15568454_0"	"PISA_esp-PAN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
