"Segment"	"en-ZZ"	"ar-IL"	"ID"	"File"
"2568"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_ara-ISR_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4656"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q2MA156_question_q2itemDirections_5c9d21656a4d34.03623252_1_0"	"PISA_ara-ISR_MAT_MA156-Points_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_ara-ISR_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_ara-ISR_MAT_MA114-Honey_en21_MS2022.xlf"
"4252"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q2MA149_question_q2itemDirections_5c9d21652c3193.71873749_1_0"	"PISA_ara-ISR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3260"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"CMA135_question_q1itemDirections_5c9d21644eed99.25860806_1_0"	"PISA_ara-ISR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3630"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_1_0"	"PISA_ara-ISR_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"827"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q2M111_question_Q2itemDirections_5c9d214a59d864.67731521_1_0"	"PISA_ara-ISR_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_ara-ISR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"اضغطوا على أحد الخيارات، ثمّ اشرحوا إجابتكم عن السؤال."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ara-ISR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1251"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA115_question02_q02itemDirections_5c9d214a9187a5.96523157_1_0"	"PISA_ara-ISR_MAT_MA115-Iceberg_en21_MS2022.xlf"
"3340"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q4CMA135_question_q4itemDirections_5c9d21645385f9.31439715_1_0"	"PISA_ara-ISR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4930"	"and"	"و"	"q2MA160_question_q2sp2_5c9d21377dd856.86309130_0"	"PISA_ara-ISR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2537"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q1MA129_question_Q1ItmDirP1Id_5c9d214b77ec40.66176260_1_0"	"PISA_ara-ISR_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3235"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_ara-ISR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"بالنسبة لكلّ ادّعاء، اضغطوا على &lt;b&gt;صحيح&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt;."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_ara-ISR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2124"	"The arrow represents the direction that the robot is currently facing."	"اتّجاه السهم يشير إلى اتّجاه حركة الروبوت حاليًا."	"Page1_stimulus_pg1p2_5c9d214b49f900.23000628_0"	"PISA_ara-ISR_MAT_MA126-Robot_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"بالنسبة لكلّ ادّعاء، اضغطوا على &lt;b&gt;صحيح&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt;."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ara-ISR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"744"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q2M110_question_Q2itemDirections_5c9d214a4ad912.55794775_1_0"	"PISA_ara-ISR_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"اضغطوا على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; لكلّ ادّعاء."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_ara-ISR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1446"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_ara-ISR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ تذكّروا أن تختاروا خانة &lt;b&gt;واحدة أو أكثر&lt;/b&gt;."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ara-ISR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4395"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q2MA151_question_q2itemDirections_5c9d216543c0a5.48560059_1_0"	"PISA_ara-ISR_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"للإجابة عن السؤال، اضغطوا على خانتين فقط."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ara-ISR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1595"	"1 star"	"1 نجمة"	"Page01_stimulus_S01tr6td1_5c9d214aee6699.36998340_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"استعمِلوا ارقام لوحة المفاتيح واكتبوا إجابتكم عن السؤال."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_ara-ISR_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1755"	"1 star"	"1 نجمة"	"question0a_1_Q00tr6td1_5c9d214b005e11.38011221_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_ara-ISR_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"5075"	"Statement"	"السؤال"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ara-ISR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1633"	"2 stars"	"2 نجمة"	"Page02_stimulus_S02tr5td1_5c9d214af011e0.10936163_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4337"	"United Kingdom"	"المملكة المتّحدة"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_ara-ISR_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1401"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA117_question01_q01itemDirections_5c9d214aacc999.01242355_1_0"	"PISA_ara-ISR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_ara-ISR_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"استعمِلوا أرقام لوحة المفاتيح، واكتبوا إجابتكم عن السؤال."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_ara-ISR_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3534"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q1CMA138_question_q1itemDirections_5c9d2164836508.25884822_1_0"	"PISA_ara-ISR_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"1949"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA124_question1_itemDirections1_5c9d214b402246.10061217_1_0"	"PISA_ara-ISR_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"للإجابة عن السؤال، استخدِموا الجرّ واللصق."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_ara-ISR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3917"	"False"	"خطأ"	"q3MA144_question_q3tr1th3_5c9d2164d14e53.31024339_0"	"PISA_ara-ISR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1915"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA128_question3_q3itemDirections_5c9d214b34d864.30750173_1_0"	"PISA_ara-ISR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_ara-ISR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3444"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"xxCMA137_question_q1itemDirections_5c9d21646f0047.88877228_1_0"	"PISA_ara-ISR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"استعمِلوا أرقام لوحة المفاتيح، واكتبوا إجابتكم عن السؤال."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_ara-ISR_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3359"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA136_question01_q1itemDirections_5c9d216460bbf5.70131128_1_0"	"PISA_ara-ISR_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1709"	"1 star"	"1 نجمة"	"Page03_stimulus_S03T2tr6td1_5c9d214af215f3.41082922_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3708"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA142_questionq1_q1itemDirections_5c9d2164b33733.31465748_1_0"	"PISA_ara-ISR_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"3674"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q3CMA141_question_q3itemDirections_5c9d2164a87c86.43889590_1_0"	"PISA_ara-ISR_MAT_MA141-WaterBill_en21_MS2022.xlf"
"4124"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA147q4_question_q4itemDirections_5c9d21650b66f4.19975110_1_0"	"PISA_ara-ISR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4534"	"To run this simulation, follow these steps:"	"لتشغيل المُحاكاة، اتّبِعوا الخطوات التالية:"	"MA153_questionS3_q0ap1_5c9d2137481033.59674945_0"	"PISA_ara-ISR_MAT_MA153-Gears_en21_MS2022.xlf"
"4295"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q2MA150_question_q2itemDirections_5c9d216538ee88.41324335_1_0"	"PISA_ara-ISR_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ara-ISR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1437"	"False"	"خطأ"	"MA117_question04_Q4tr1th3_5c9d214ab153e6.56658837_0"	"PISA_ara-ISR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q1MA154_question_q1itemDirections_5c9d21655bcda0.49975962_1_0"	"PISA_ara-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4769"	"False"	"خطأ"	"q2MA158_question_q2tr1th3_5c9d21657cb947.20699175_0"	"PISA_ara-ISR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"للإجابة عن السؤال، استعمِلوا الجرّ واللصق."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_ara-ISR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ تذكّروا أن تختاروا خانة &lt;b&gt;واحدة أو أكثر&lt;/b&gt;."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ara-ISR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"استعمِلوا أرقام لوحة المفاتيح، واكتبوا إجابتكم عن السؤال."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3989"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA146q1_question_q1itemDirections_5c9d2164eb6c14.66337389_1_0"	"PISA_ara-ISR_MAT_MA146-Fuel_en21_MS2022.xlf"
"3783"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA143_question03_q3itemDirections_5c9d2164bfa911.33589323_1_0"	"PISA_ara-ISR_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"للإجابة عن السؤال، استعمِلوا الجرّ واللصق."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_ara-ISR_MAT_MA157-Tyres_en21_MS2022.xlf"
"1531"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA120_question1_itemDirections1_5c9d214ae25a25.45268216_1_0"	"PISA_ara-ISR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_ara-ISR_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"4551"	"To run this simulation, follow these steps:"	"لتشغيل المُحاكاة، اتّبِعوا الخطوات التالية:"	"menu_1_aMenu_part1_p1_5c9d21374af239.64060952_0"	"PISA_ara-ISR_MAT_MA153-Gears_en21_MS2022.xlf"
"1976"	"Explain your answer."	"عَلِّلوا إجابتكم."	"Q3MA124_question_MA124Q03P3_5c9d214b42a550.23637236_0"	"PISA_ara-ISR_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
