"Segment"	"en-ZZ"	"ja-JP"	"ID"	"File"
"2805"	"To run this simulation, you can use the following controls:"	"このシミュレーションは、以下のスライダーやボタンを使って実行します。"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_jpn-JPN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"936"	"lower"	"低い"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_jpn-JPN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2459"	"Zooplankton"	"動物プランクトン"	"stimulus2_1_stimulus2_9_51940bae4f4596.30670753_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1085"	"S603 Elephants and Acacia Trees"	"S603 象とアカシアの木"	"S603_stimulus0_unknownID_515e3a7211c414.47979555_0"	"PISA_jpn-JPN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1734"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;竜巻 &lt;/b&gt;&lt;br /&gt;問"	"S620_question3_qitemTitle3_51740713a2f160.58346726_0"	"PISA_jpn-JPN_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2644"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"シミュレーションを実行し、以下の情報に基づいてデータを集めてください。下の問いの答えの中から、正しいものをすべてクリックしてください。.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_jpn-JPN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1354"	"S607 Birds and Caterpillars"	"S607 鳥と幼虫"	"S607_stimulus1_unknownID_517407135cb0d3.75190152_0"	"PISA_jpn-JPN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2873"	"1"	"１"	"question6_1_t1tr2td1_51940c103ed466.12546333_0"	"PISA_jpn-JPN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1368"	"Caterpillars hatch and eat leaves"	"幼虫が孵化（ふか）して&lt;br /&gt;葉を食べる"	"S607_stimulus1_sl11_517407135d0c78.97389268_0"	"PISA_jpn-JPN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1611"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;津波について&lt;/b&gt;&lt;br /&gt; 問"	"question4_1_itemTitle04_5193d3562ce553.23290888_0"	"PISA_jpn-JPN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2126"	"To run this simulation, you can use the following controls:"	"このシミュレーションは、以下のスライダーとボタンを使って実行します。"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_jpn-JPN_SCI_S634-Vaccination_en15_MS2022.xlf"
"1027"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;象とアカシアの木 &lt;/b&gt;&lt;br /&gt; 問"	"S603_question3_itemTitle3_515e3a72087006.23988915_0"	"PISA_jpn-JPN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1358"	"Caterpillars hatch and eat leaves"	"幼虫が孵化（ふか）して&lt;br /&gt;葉を食べる"	"S607_stimulus1_sl01_517407135cced4.30298235_0"	"PISA_jpn-JPN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1370"	"Caterpillars are in cocoons"	"幼虫が繭（まゆ）になる"	"S607_stimulus1_sl13_517407135d1484.71046154_0"	"PISA_jpn-JPN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1136"	"Experiment A"	"実験  A"	"S604_question4_question4_1_51804e6bc71130.91737656_0"	"PISA_jpn-JPN_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2534"	"Disadvantage"	"欠点"	"S638_question2_header2_51804fe1804f46.37227767_0"	"PISA_jpn-JPN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2260"	"% of Population"	"人数の割合&lt;span class=&quot;paren&quot;&gt;（&lt;/span&gt;％&lt;span class=&quot;paren&quot;&gt;）&lt;/span&gt;"	"stimulus_1_lable_y_5193fde5a89e62.04452002_0"	"PISA_jpn-JPN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2958"	"&lt;b&gt;Habitable Zone&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;生命居住可能領域&lt;/b&gt;&lt;br /&gt; 問"	"S648_Q5_QitemTitle5_517407af77fc68.29003656_0"	"PISA_jpn-JPN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2351"	"Zooplankton"	"動物プランクトン"	"S635_question1_source2_51940bae3c39d9.80447115_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2919"	"&lt;b&gt;Habitable Zone&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;生命居住可能領域&lt;/b&gt;&lt;br /&gt; 問"	"S648_question2_itemTitleqS2_517407af6e1140.54200653_0"	"PISA_jpn-JPN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1137"	"Experiment B"	"実験  B"	"S604_question4_question4_2_51804e6bc718c4.79991350_0"	"PISA_jpn-JPN_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2454"	"Zooplankton"	"動物プランクトン"	"S635_stimulus1_cap2_51940bae4c11b1.15202232_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1360"	"Caterpillars are in cocoons"	"幼虫が繭（まゆ）になる"	"S607_stimulus1_sl03_517407135cd6c4.85154719_0"	"PISA_jpn-JPN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2350"	"Phytoplankton"	"植物プランクトン"	"S635_question1_source1_51940bae3c3771.42343859_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1369"	"Newly hatched birds are in nests"	"卵から孵化したばかりの鳥が&lt;br /&gt;巣の中にいる"	"S607_stimulus1_sl12_517407135d10a1.35506100_0"	"PISA_jpn-JPN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"935"	"higher"	"高い"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_jpn-JPN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2557"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"下の表の中から、次の問いの答えをクリックしてください。"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_jpn-JPN_SCI_S638-OilSpills_en15_MS2022.xlf"
"1477"	"S608 Ammonoids"	"S608アンモナイト"	"S608_stimulus2_unknownID_515e3a72350b72.98943856_0"	"PISA_jpn-JPN_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2437"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;魚の保護 &lt;/b&gt;&lt;br /&gt;問"	"S662_question7_itemTitle7_51940bae49abf4.68310676_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1214"	"S605 Geothermal Energy"	"S605地熱エネルギー"	"S605_stimulus2_unknownID_515e3a72201f89.25290121_0"	"PISA_jpn-JPN_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"2159"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"注：答えは&lt;b&gt;一つとは&lt;/b&gt; 限りません。"	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_jpn-JPN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2852"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ナノ粒子&lt;/b&gt;&lt;br /&gt;問"	"question5_1_itemTitle05_51940c103ce1e8.32045670_0"	"PISA_jpn-JPN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1739"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;竜巻 &lt;/b&gt;&lt;br /&gt;問"	"S620_Q5_QitemTitle5_51740713a4cac8.00241652_0"	"PISA_jpn-JPN_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2876"	"2"	"２"	"question6_1_t1tr3td1_51940c103eddc5.58615763_0"	"PISA_jpn-JPN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2453"	"Phytoplankton"	"植物プランクトン"	"S635_stimulus1_cap1_51940bae4c0ce1.80478055_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
