"Segment"	"en-ZZ"	"sq-MK"	"ID"	"File"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_sqi-MKD_MAT_MA146-Fuel_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Klikoni mbi një alternativë në tabelë për t'ju përgjigjur pyetjes."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_sqi-MKD_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Zgjidhni nga menutë që lëshohen poshtë për t'ju përgjigjur pyetjes."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_sqi-MKD_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4699"	"Car"	"Makina"	"q2MA157_question_question02_4_5c9d216572f050.52985827_0"	"PISA_sqi-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_sqi-MKD_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Klikoni mbi një ose më shumë kuti për t'ju përgjigjur pyetjes."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_sqi-MKD_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Klikoni mbi një alternativë në tabelë për t'ju përgjigjur pyetjes."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_sqi-MKD_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1264"	"Germany"	"Gjermani"	"MA116_stimulus1_stimulus1_7_5c9d214a9821d0.98723818_0"	"PISA_sqi-MKD_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4685"	"Truck"	"Kamionçina"	"q1MA157_question_question01_5_5c9d216571ad23.50972026_0"	"PISA_sqi-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"5427"	"Argentina"	"Argjentina"	"js_translation_country1_5c9d2137d756a6.79410873_0"	"PISA_sqi-MKD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5352"	"Argentina"	"Argjentina"	"q2MA161_question_question02_9_5c9d2137d32024.99660555_0"	"PISA_sqi-MKD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5075"	"Statement"	"Pyetja"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_sqi-MKD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3916"	"True"	"E vërtetë"	"q3MA144_question_q3tr1th2_5c9d2164d14d46.77177398_0"	"PISA_sqi-MKD_MAT_MA144-Yogurt_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Për të përgorur këtë matës, ndiqni këto hapa:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_sqi-MKD_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4686"	"Motorcycle"	"Motoçikleta"	"q1MA157_question_question01_6_5c9d216571aed9.78645997_0"	"PISA_sqi-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Klikoni mbi një ose më shumë kuti për t'ju përgjigjur pyetjes."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_sqi-MKD_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"Klikoni mbi një nga alternativat në tabelë për t'ju përgjigjur pyetjes."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_sqi-MKD_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_sqi-MKD_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_sqi-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4684"	"Car"	"Makina"	"q1MA157_question_question01_4_5c9d216571ab75.92779023_0"	"PISA_sqi-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"5380"	"Argentina"	"Argjentina"	"q2MA161_question_question02_37_5c9d2137d34979.20423616_0"	"PISA_sqi-MKD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4769"	"False"	"E gabuar"	"q2MA158_question_q2tr1th3_5c9d21657cb947.20699175_0"	"PISA_sqi-MKD_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4687"	"Construction Vehicle"	"Automjeti i Ndërtimit"	"q1MA157_question_question01_7_5c9d216571b0b9.71653780_0"	"PISA_sqi-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Për t'ju përgjigjur pyetjes zgjidhni një nga menutë që lëshohen poshtë."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_sqi-MKD_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Klikoni mbi një alternativë në tabelë për t'ju përgjigjur pyetjes."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_sqi-MKD_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_sqi-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Duke përdorur tastet numerike, shtypni përgjigjet tuaja ndaj pyetjes."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_sqi-MKD_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Klikoni mbi një nga alternativat në tabelë për t'ju përgjigjur pyetjes."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_sqi-MKD_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Për t'ju përgjigjur pyetjes zgjidhni një nga menutë që lëshohen poshtë."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_sqi-MKD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_sqi-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_sqi-MKD_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Për të përdorur këtë matës, ndiqni këto hapa:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_sqi-MKD_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1265"	"China"	"Kinë"	"MA116_stimulus1_stimulus1_9_5c9d214a982357.38643905_0"	"PISA_sqi-MKD_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4700"	"Construction Vehicle"	"Automjeti i Ndërtimit"	"q2MA157_question_question02_5_5c9d216572f2a6.82105559_0"	"PISA_sqi-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"4701"	"Motorcycle"	"Motoçikleta"	"q2MA157_question_question02_6_5c9d216572f4d8.24396304_0"	"PISA_sqi-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Duke përdorur tastet e numrave, shtypni përgjigjen tuaj ndaj pyetjes."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_sqi-MKD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5366"	"Argentina"	"Argjentina"	"q2MA161_question_question02_23_5c9d2137d332c4.55085159_0"	"PISA_sqi-MKD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Klikoni mbi një ose më shumë kuti për t'ju përgjigjur pyetjes."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_sqi-MKD_MAT_MA114-Honey_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_sqi-MKD_MAT_MA156-Points_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Duke përdorur tastet e numrave, shtypni përgjigjen tuaj ndaj pyetjes."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_sqi-MKD_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Zgjidhni nga menutë që lëshohen poshtë për t'ju përgjigjur pyetjes."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_sqi-MKD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3981"	"Litres"	"Litrat"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_sqi-MKD_MAT_MA146-Fuel_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Klikoni mbi një ose më shumë kuti për t'ju përgjigjur pyetjes."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_sqi-MKD_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Klikoni mbi një alternativë në tabelë për t'ju përgjigjur pyetjes."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_sqi-MKD_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për t'ju përgjigjur pyetjes."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_sqi-MKD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4702"	"Truck"	"Kamionçina"	"q2MA157_question_question02_7_5c9d216572f717.86101949_0"	"PISA_sqi-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_sqi-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Zgjidhni nga menutë që lëshohen poshtë për t'ju përgjigjur pyetjes."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_sqi-MKD_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3917"	"False"	"E gabuar"	"q3MA144_question_q3tr1th3_5c9d2164d14e53.31024339_0"	"PISA_sqi-MKD_MAT_MA144-Yogurt_en21_MS2022.xlf"
