"Segment"	"en-ZZ"	"ru-QZ"	"ID"	"File"
"2450"	"None"	"Нулевая"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2942"	"Venus"	"Венера"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_rus-QAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2455"	"None"	"Нулевая"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2374"	"select"	"Выберите"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"920"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Эффект городского теплового острова&lt;/b&gt;&lt;br /&gt;  Вопрос"	"S602_question3_qitemTitle3_515e3a71ea4ab2.35582126_0"	"PISA_rus-QAZ_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2372"	"decrease"	"уменьшается"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"уменьшается"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Чтобы увидеть, как работают различные элементы управления в этой симуляции, выполните следующие шаги:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_rus-QAZ_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2944"	"Mars"	"Марс"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_rus-QAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2920"	"Explain your answer."	"Объясните ваш ответ."	"S648_question4_q4p2_517407af762523.27161688_0"	"PISA_rus-QAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Чтобы выбрать строку с данными для ответа на вопрос, нажмите в любом месте этой строки. Выбранная вами строка (строки) будет помечена звездочкой."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_rus-QAZ_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2361"	"Explain your answer."	"Объясните ваш ответ."	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2943"	"Earth"	"Земля"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_rus-QAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"645"	"Bacteria"	"На бактерии"	"S478_question1_question1_3_50f479f6a332b1.72509740_0"	"PISA_rus-QAZ_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Могут ли научные эксперименты дать ответ на этот вопрос?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_rus-QAZ_SCI_S638-OilSpills_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Напечатайте свой ответ на вопрос.&lt;/i&gt;"	"S638_question5_itemDirections5_51804fe18ba1e7.21783966_0"	"PISA_rus-QAZ_SCI_S638-OilSpills_en15_MS2022.xlf"
"2343"	"select"	"Выберите"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"увеличится"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Чтобы удалить любую строку с данными, нажмите кнопку Удалить, расположенную рядом с этой строкой."	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_rus-QAZ_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2340"	"increase"	"увеличится"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"Прочитайте введение. Затем нажмите на стрелку ДАЛЕЕ."	"S648_Q0_itemDirections0_517407af694fe9.03906983_0"	"PISA_rus-QAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
