"Segment"	"en-ZZ"	"es-SV"	"ID"	"File"
"891"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_esp-SLV_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5278"	"Mean"	"Media"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_esp-SLV_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Para responder a la pregunta, usa la función &quot;arrastrar y soltar&quot;."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_esp-SLV_MAT_MA157-Tyres_en21_MS2022.xlf"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_esp-SLV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Para responder a la pregunta, usa la función &quot;arrastrar y soltar&quot;."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_esp-SLV_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Verdadero&lt;/b&gt; o &lt;b&gt;Falso&lt;/b&gt; en cada una de las afirmaciones."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_esp-SLV_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3981"	"Litres"	"Litros"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_esp-SLV_MAT_MA146-Fuel_en21_MS2022.xlf"
"4850"	"Mean"	"Media"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_esp-SLV_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Para responder a la pregunta, escribe tu respuesta con el teclado numérico."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_esp-SLV_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_esp-SLV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
