"Segment"	"en-ZZ"	"sl-SI"	"ID"	"File"
"1744"	"No"	"Ne"	"R543_question7_tr1th3_56fc78213db759.82865381_0"	"PISA_slv-SVN_REA_R543-Nobel_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Pri vsaki trditvi klikni &lt;b&gt;&quot;Da&quot;&lt;/b&gt; ali &lt;b&gt;&quot;Ne&quot;&lt;/b&gt;."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_slv-SVN_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4138"	"Yes"	"Da"	"R561_question02_question02_3_56fc785d28d5e7.76138378_0"	"PISA_slv-SVN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5993"	"Yes"	"Da"	"R570_question04_tr1th2_56fc78797bb118.38596209_0"	"PISA_slv-SVN_REA_R570-TheFavour_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Na parkirišču."	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_slv-SVN_REA_R569-TheCleanup_en18_MS2022.xlf"
"2595"	"Yes"	"Da"	"R549_question08_q08tr1th2_56fc786ad56e61.77071180_0"	"PISA_slv-SVN_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Na vprašanje odgovori tako, da klikneš en zadetek iskanja."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5810"	"Cans"	"Pločevink."	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_slv-SVN_REA_R569-TheCleanup_en18_MS2022.xlf"
"1312"	"True"	"Drži"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_slv-SVN_REA_R541-Plastic_en18_MS2022.xlf"
"3076"	"No"	"Ne"	"R552_question04_tr1th3_56fd794262df01.17012828_0"	"PISA_slv-SVN_REA_R552-FestiRock_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Na vprašanje odgovori tako, da klikneš en zadetek iskanja."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_slv-SVN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"513"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;JUŽNI TEČAJ - DRUGI DOKUMENT&lt;/b&gt;"	"R220_stimulus_title_50c7c0bd8f9733.01455306_0"	"PISA_slv-SVN_REA_R220-SouthPole_en15_MS2022.xlf"
"5850"	"No"	"Ne"	"q7R569_question_question07_4_56fc7879566c78.79915723_0"	"PISA_slv-SVN_REA_R569-TheCleanup_en18_MS2022.xlf"
"5651"	"Click on the NEXT arrow to read the article."	"Članek prebereš tako, da klikneš puščico »NAPREJ«."	"q0b-body_q0b-p2_56fc784ab20693.68037048_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3497"	"Click on a choice to answer the question.&lt;/i&gt;"	"Na vprašanje odgovori tako, da klikneš eno izmed možnosti. &lt;/i&gt;"	"R556_question9_itemDirections9_56fc783add6b18.78125777_1_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Vtipkaj svoje odgovore na vprašanje."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_slv-SVN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"SPLOŠNI POGOJI PONUDBE 10 LET - 100 € &lt;br /&gt; 1. Akcija ne velja za trgovce na debelo in na drobno, ki prodajajo te izdelke. 2. Ponudba velja izključno za naslednje vrste izdelkov Moja pisarna: pisarniški papir, tiskovine in promocijske material, elektronske naprave. Vse druge vrste izdelkov Moja pisarna, vključno s pohištvom, so iz ponudbe izključene."	"R466_stimulus_section4_50c7c9b6cad319.56556609_0"	"PISA_slv-SVN_REA_R466-WorkRight_en15_MS2022.xlf"
"5140"	"No"	"Ne"	"R566_question09_question09_4_56fc786b9009a6.03625702_0"	"PISA_slv-SVN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2617"	"Yes"	"Da"	"R549_question09_q09tr1th2_56fc786ad75317.04955466_0"	"PISA_slv-SVN_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3744"	"Tyson Electronics"	"Elektronika Tyson."	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_slv-SVN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Preberi spodnje informacije."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_slv-SVN_REA_R553-HealthForum_en18_MS2022.xlf"
"3108"	"No"	"Ne"	"R552_question06_question06_4_56fd794266d381.90512802_0"	"PISA_slv-SVN_REA_R552-FestiRock_en18_MS2022.xlf"
"1348"	"No"	"Ne"	"Q09_question_question09_4_56fc7820d7e8b4.54202926_0"	"PISA_slv-SVN_REA_R541-Plastic_en18_MS2022.xlf"
"3107"	"Yes"	"Da"	"R552_question06_question06_3_56fd794266ce62.03419770_0"	"PISA_slv-SVN_REA_R552-FestiRock_en18_MS2022.xlf"
"2800"	"Summer"	"Poleti."	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_slv-SVN_REA_R550-CliffPalace_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"Na vprašanje odgovori tako, da klikneš en zadetek iskanja."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_slv-SVN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5005"	"Click on the NEXT arrow to read the article."	"Časopisni članek prebereš tako, da klikneš puščico »NAPREJ«."	"q00a-body_q00a-p2_56fc786b7b5061.84844809_0"	"PISA_slv-SVN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1313"	"False"	"Ne drži"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_slv-SVN_REA_R541-Plastic_en18_MS2022.xlf"
"5849"	"Yes"	"Da"	"q7R569_question_question07_3_56fc7879566772.35523729_0"	"PISA_slv-SVN_REA_R569-TheCleanup_en18_MS2022.xlf"
"5313"	"False"	"Ne drži"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5335"	"Yes"	"Da"	"R567_question09_q09tr1th2_56fc7879177b69.48367109_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5123"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Ne pozabi izbrati &lt;b&gt;enega ali več&lt;/b&gt; odgovorov.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_slv-SVN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5542"	"True"	"Drži"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1568"	"Chess Club"	"šahovski krožek"	"Q09R542_question_source5_56fc7821127223.76790648_0"	"PISA_slv-SVN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3538"	"Type your answer to the question.&lt;/i&gt;"	"Vtipkaj svoj odgovor na vprašanje. &lt;/i&gt;"	"R556_question11_itemDirections_56fc783ae151e7.17163175_1_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"2727"	"Tours"	"Ogledi"	"R550_hours_hours_l5_56fc785ccf7de4.79911182_0"	"PISA_slv-SVN_REA_R550-CliffPalace_en18_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Izpolnite&lt;/b&gt; spodnji obrazec.&lt;br /&gt; &lt;b&gt;3/ Priložite&lt;/b&gt; kopijo dokazila o nakupu in črtno kodo (črtne kode) ali listek (listke) s ceno kupljenih izdelkov.&lt;br /&gt; &lt;b&gt;4/ Pošljite&lt;/b&gt;v 15 dneh od nakupa na naslov:&lt;br /&gt;"	"R466_stimulus_section2_50c7c9b6ca6cf4.83848153_0"	"PISA_slv-SVN_REA_R466-WorkRight_en15_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Pri vsaki trditvi klikni &lt;b&gt;&quot;Da&quot;&lt;/b&gt; ali &lt;b&gt;&quot;Ne&quot;&lt;/b&gt;."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1908"	"No"	"Ne"	"R544_question12_question12_2_56fc78216bad52.50684665_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"1053"	"Each line must be completed.&lt;br /&gt;"	"Izpolniti je potrebno vse vrstice. &lt;br /&gt;"	"R466_stimulus_section3_50c7c9b6ca7b23.60452432_0"	"PISA_slv-SVN_REA_R466-WorkRight_en15_MS2022.xlf"
"301"	"T"	"Č"	"R219_stimulus_stimulus_7_50c7b7f28722b0.35286157_0"	"PISA_slv-SVN_REA_R219-Employment_en15_MS2022.xlf"
"1907"	"Yes"	"Da"	"R544_question12_question12_1_56fc78216ba808.79585981_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"5824"	"Benches"	"Okoli klopi."	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_slv-SVN_REA_R569-TheCleanup_en18_MS2022.xlf"
"5411"	"Yes"	"Da"	"R567_question11_q11tr1th2_56fc78791ffe62.73872217_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3409"	"No"	"Ne"	"R556_question2_tr1th3_56fc783ac2ed60.78885273_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"4031"	"Click on the NEXT arrow to read the article."	"Članek prebereš tako, da klikneš puščico »NAPREJ«."	"q00bbody_q00bp2_56fc784a832d02.66358957_0"	"PISA_slv-SVN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1921"	"No"	"Ne"	"R544_question13_tr1th3_56fc7821778bf4.73336568_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"1347"	"Yes"	"Da"	"Q09_question_question09_3_56fc7820d7e4d9.59342161_0"	"PISA_slv-SVN_REA_R541-Plastic_en18_MS2022.xlf"
"1959"	"Yes"	"Da"	"R544_question4_tr1th2_56fc78217b09d5.38350704_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Ali glede na brošuro trditev drži ali ne drži?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_slv-SVN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3645"	"Yes"	"Da"	"R558_question2_tr1th2_56fc786b09c982.35584926_0"	"PISA_slv-SVN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Na vprašanje odgovori tako, da najprej klikneš enega izmed odgovorov, nato pa vtipkaš svojo utemeljitev."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_slv-SVN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5270"	"False"	"Ne drži"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5543"	"False"	"Ne drži"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3408"	"Yes"	"Da"	"R556_question2_tr1th2_56fc783ac2ea92.79712784_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"2102"	"True"	"Drži"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_slv-SVN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5661"	"No"	"Ne"	"R568_question10_question10_4_56fc784ab37d19.69683424_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2802"	"Winter"	"Pozimi."	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_slv-SVN_REA_R550-CliffPalace_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Na vprašanje odgovori tako, da klikneš en zadetek iskanja."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_slv-SVN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1743"	"Yes"	"Da"	"R543_question7_tr1th2_56fc78213db213.10595276_0"	"PISA_slv-SVN_REA_R543-Nobel_en18_MS2022.xlf"
"5994"	"No"	"Ne"	"R570_question04_tr1th3_56fc78797bb393.12858069_0"	"PISA_slv-SVN_REA_R570-TheFavour_en18_MS2022.xlf"
"3977"	"No"	"Ne"	"R560_question05_q05tr1th3_56fc784a7de774.57578747_0"	"PISA_slv-SVN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5336"	"No"	"Ne"	"R567_question09_q09tr1th3_56fc7879177dd7.74023926_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5825"	"Playground"	"Na otroškem igrišču."	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_slv-SVN_REA_R569-TheCleanup_en18_MS2022.xlf"
"4139"	"No"	"Ne"	"R561_question02_question02_4_56fc785d28db27.52696289_0"	"PISA_slv-SVN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3646"	"No"	"Ne"	"R558_question2_tr1th3_56fc786b09cc09.99959195_0"	"PISA_slv-SVN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Na vprašanje odgovori tako, da klikneš en zadetek iskanja."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5826"	"Football Field"	"Na nogometnem igrišču."	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_slv-SVN_REA_R569-TheCleanup_en18_MS2022.xlf"
"495"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"Nadmorska višina se je zmanjševala.
14. decembra 1911 so Amundsen in njegovi tovariši dosegli legendarnih 90°. 25. januarja 1912 se je   zmagovita ekipa vrnila v Framheim ter tako zaključila potovanje v 97 dneh."	"R220_stimulus_p4_50c7c0bd8ca0b5.62895117_0"	"PISA_slv-SVN_REA_R220-SouthPole_en15_MS2022.xlf"
"2814"	"No"	"Ne"	"R550_question02_question02_4_56fc785ce00000.60763679_0"	"PISA_slv-SVN_REA_R550-CliffPalace_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Pravljico prebereš tako, da klikneš puščico »NAPREJ«."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_slv-SVN_REA_R570-TheFavour_en18_MS2022.xlf"
"2337"	"No"	"Ne"	"R547_question7_tr1th3_56fc782e0f8c88.71486934_0"	"PISA_slv-SVN_REA_R547-BookSurvey_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Pomagaj si z zadetki iskanja na desni."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_slv-SVN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4457"	"Date"	"Datum"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_slv-SVN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5106"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Ne pozabi izbrati &lt;b&gt;enega ali več&lt;/b&gt; odgovorov.&lt;/i&gt;"	"R566_question07_q07p2_56fc786b8be128.35981027_0"	"PISA_slv-SVN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Pri vsaki trditvi klikni &lt;b&gt;&quot;Da&quot;&lt;/b&gt; ali &lt;b&gt; &quot;Ne&quot;&lt;/b&gt;."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_slv-SVN_REA_R552-FestiRock_en18_MS2022.xlf"
"321"	"PHONE"	"TELEFON"	"R219_stimulus_sect4Line2span3_50c7b7f2880f68.08952820_0"	"PISA_slv-SVN_REA_R219-Employment_en15_MS2022.xlf"
"492"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1. junija 1910 se je stara škotska kitolovka Terra Nova z britansko posadko (petinšestdeset mož, sedemnajst ponijev in trideset psov) odpravila iz Evrope. Priprave so trajale skoraj leto dni. Odprava je imela dvojni namen: izpeljati znanstvenorazisko-valni program in seveda tudi osvojiti južni tečaj. Nenadoma pa je Scott odkril, da ima velikega tekmeca, Norvežana Roalda Amundsena."	"R220_stimulus_p1_50c7c0bd8c9489.59602462_0"	"PISA_slv-SVN_REA_R220-SouthPole_en15_MS2022.xlf"
"3426"	"Click on a choice to answer the question.&lt;/i&gt;"	"Na vprašanje odgovori tako, da klikneš eno izmed možnosti. &lt;/i&gt;"	"R556_question3_itemDirections_56fc783ac55ff8.32442383_1_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"2596"	"No"	"Ne"	"R549_question08_q08tr1th3_56fc786ad570d8.93155898_0"	"PISA_slv-SVN_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2103"	"False"	"Ne drži"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_slv-SVN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2618"	"No"	"Ne"	"R549_question09_q09tr1th3_56fc786ad75711.83888803_0"	"PISA_slv-SVN_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5312"	"True"	"Drži"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1920"	"Yes"	"Da"	"R544_question13_tr1th2_56fc7821778860.62514175_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"3976"	"Yes"	"Da"	"R560_question05_q05tr1th2_56fc784a7de4e8.36289296_0"	"PISA_slv-SVN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Pri vsaki stvari klikni &lt;b&gt;&quot;Da&quot;&lt;/b&gt; ali &lt;b&gt;&quot;Ne&quot;&lt;/b&gt;."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_slv-SVN_REA_R570-TheFavour_en18_MS2022.xlf"
"3971"	"Click on the choices in the table to answer the question."	"Na vprašanje odgovori tako, da klikneš eno izmed možnosti v tabeli."	"R560_question05_q05itemDirections_56fc784a7dd823.73528927_1_0"	"PISA_slv-SVN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Za nakupe od 60 do 149,99 € vam Moja pisarna povrne &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; €.&lt;br /&gt; &gt; Za nakupe od 150 € do 299,99 € vam Moja pisarna povrne 50 €.&lt;br /&gt; &gt;Za nakupe 300 € ali več vam Moja pisarna povrne 100 €.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9b6ca6a52.29285987_0"	"PISA_slv-SVN_REA_R466-WorkRight_en15_MS2022.xlf"
"5139"	"Yes"	"Da"	"R566_question09_question09_3_56fc786b900597.18771477_0"	"PISA_slv-SVN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1285"	"Yes"	"Da"	"Q04_question_question04_3_56fc7820d18589.71599291_0"	"PISA_slv-SVN_REA_R541-Plastic_en18_MS2022.xlf"
"5811"	"Bottles"	"Steklenic."	"q4R569_question_question04_4_56fc787951f7a9.77277158_0"	"PISA_slv-SVN_REA_R569-TheCleanup_en18_MS2022.xlf"
"5269"	"True"	"Drži"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1997"	"No"	"Ne"	"R544_question6_question6_2_56fc78217e85e1.98531365_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"1286"	"No"	"Ne"	"Q04_question_question04_4_56fc7820d18962.74580146_0"	"PISA_slv-SVN_REA_R541-Plastic_en18_MS2022.xlf"
"3075"	"Yes"	"Da"	"R552_question04_tr1th2_56fd794262dc90.38196051_0"	"PISA_slv-SVN_REA_R552-FestiRock_en18_MS2022.xlf"
"2813"	"Yes"	"Da"	"R550_question02_question02_3_56fc785cdffad5.27877570_0"	"PISA_slv-SVN_REA_R550-CliffPalace_en18_MS2022.xlf"
"5604"	"Yes"	"Da"	"R568_question07_q07tr1th2_56fc784aaba253.44121130_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1566"	"Chess Club"	"šahovski krožek"	"Q09R542_question_source3_56fc7821126d48.58540503_0"	"PISA_slv-SVN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Inštruktorji za vsakogar."	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_slv-SVN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2801"	"Autumn"	"Jeseni."	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_slv-SVN_REA_R550-CliffPalace_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Na vprašanje odgovori tako, da klikneš enega izmed zadetkov iskanja."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3454"	"Click on a choice to answer the question.&lt;/i&gt;"	"Na vprašanje odgovori tako, da klikneš eno izmed možnosti. &lt;/i&gt;"	"R556_question5_itemDirections_56fc783ac89735.55151724_1_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"3483"	"Click on a choice to answer the question.&lt;/i&gt;"	"Na vprašanje odgovori tako, da klikneš eno izmed možnosti. &lt;/i&gt;"	"R556_question8_itemDirections_56fc783adbd281.82516807_1_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"3475"	"Type your answer to the question.&lt;/i&gt;"	"Vtipkaj svoj odgovor na vprašanje.  &lt;/i&gt;"	"R556_question7_itemDirections_56fc783ad9edc5.41424598_1_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"2799"	"Spring"	"Spomladi."	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_slv-SVN_REA_R550-CliffPalace_en18_MS2022.xlf"
"3440"	"Click on a choice to answer the question.&lt;/i&gt;"	"Na vprašanje odgovori tako, da klikneš eno izmed možnosti. &lt;/i&gt;"	"R556_question4_itemDirections_56fc783ac6fbe2.90493965_1_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
"1996"	"Yes"	"Da"	"R544_question6_question6_1_56fc78217e8161.89350264_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"3781"	"Click on the NEXT arrow to read the article."	"Članek prebereš tako, da klikneš puščico »NAPREJ«."	"q00body_q00p2_56fc783b235216.91742318_0"	"PISA_slv-SVN_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
