"Segment"	"en-ZZ"	"pt-PT"	"ID"	"File"
"2453"	"High"	"Elevado"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Elevado"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1681"	"May"	"mai"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_por-PRT_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Nesta questão não precisas de utilizar a simulação. Para responderes à questão, seleciona uma opção e depois escreve uma justificação..&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_por-PRT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"Apaga alguns dados para executares mais simulações."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_por-PRT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1751"	"&lt;b&gt;Wildfires and the Fire Triangle&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Os Incêndios Florestais e o Triângulo do Fogo&lt;/b&gt;&lt;br /&gt; Questão"	"S625_question2_qitemTitle2_515e3a725ebb04.25985468_0"	"PISA_por-PRT_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"645"	"Bacteria"	"As bactérias."	"S478_question1_question1_3_50ed1d4acb4193.23090706_0"	"PISA_por-PRT_SCI_S478-Antibiotics_en15_MS2022.xlf"
"1363"	"Birds and Caterpillars Introduction"	"Pássaros e Lagartas Introdução"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_por-PRT_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Muito Bem!&lt;br /&gt; Para continuares, clica na seta SEGUINTE"	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"536"	"S438 Green Parks"	"S438 ZONAS VERDES"	"S438_stimulus2_unknownID_50ec56624970d3.94582924_0"	"PISA_por-PRT_SCI_S438-GreenParks_en15_MS2022.xlf"
"2371"	"increase"	"aumenta"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1764"	"&lt;b&gt;Wildfires and the Fire Triangle&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Os Incêndios e o Triângulo do Fogo&lt;/b&gt;&lt;br /&gt; Questão"	"S625_question3_qitemTitle3_515e3a72605c40.86615012_0"	"PISA_por-PRT_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"1364"	"Birds and Caterpillars Introduction"	"Pássaros e Lagartas Introdução"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_por-PRT_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Não te esqueças de selecionar &lt;b&gt;uma ou mais&lt;/b&gt; opções.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_por-PRT_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
