"Segment"	"en-ZZ"	"mk-MK"	"ID"	"File"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_mkd-MKD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"Кликнете на крукчињата во табелата за да одговорите на прашањето."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_mkd-MKD_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Кликни на едно или повеќе квадратчиња за да одговориш на прашањето."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_mkd-MKD_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3201"	"A"	"А"	"Q1MA134_question_Q01tr3td1SELECT1o1_5c9d2164318d73.43327422_0"	"PISA_mkd-MKD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_mkd-MKD_MAT_MA146-Fuel_en21_MS2022.xlf"
"3195"	"A"	"А"	"Q1MA134_question_Q01tr2td1SELECT1o1_5c9d2164318520.98922600_0"	"PISA_mkd-MKD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Користејќи ги копчињата со броеви, напишете ги вашите одговори на прашањето."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_mkd-MKD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2818"	"Answer:"	"Одговор"	"MA131_question3_question03_3_5c9d214ba45152.27501247_0"	"PISA_mkd-MKD_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Објаснете го вашиот одговор и дадете нумерички вредности за да го поддржите вашето објаснување."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_mkd-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_mkd-MKD_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликнете или &lt;b&gt; Да &lt;/b&gt; или &lt;b&gt; Не &lt;/b&gt; за секој исказ."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_mkd-MKD_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_mkd-MKD_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3189"	"A"	"А"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_mkd-MKD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4598"	"A"	"А"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_mkd-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_mkd-MKD_MAT_MA156-Points_en21_MS2022.xlf"
"1485"	"Answer:"	"Одговор"	"MA119_question3_question2_1_5c9d214ad816e2.43037980_0"	"PISA_mkd-MKD_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4578"	"A"	"А"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_mkd-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликнете или на &lt;b&gt;Точно&lt;/b&gt; или на &lt;b&gt;Неточно&lt;/b&gt; за секој од исказите."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_mkd-MKD_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликнете или &lt;b&gt; Точно &lt;/b&gt; или &lt;b&gt; Неточно &lt;/b&gt; за секој исказ."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_mkd-MKD_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_mkd-MKD_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Со влечење и спуштање одговорете на прашањето."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_mkd-MKD_MAT_MA157-Tyres_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_mkd-MKD_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_mkd-MKD_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Обединето Кралство"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_mkd-MKD_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликнете или &lt;b&gt; Точно &lt;/b&gt; или &lt;b&gt; Неточно &lt;/b&gt; за секој исказ."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_mkd-MKD_MAT_MA144-Yogurt_en21_MS2022.xlf"
"820"	"Answer:"	"Одговор"	"Q1M111_question_Q01AnsId_5c9d214a58aa59.29562473_0"	"PISA_mkd-MKD_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1347"	"Answer:"	"Одговор"	"MA116_question3_question3_1_5c9d214a9c4f41.18226287_0"	"PISA_mkd-MKD_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Изберете опција од опаѓачкото мени за да одговорите на прашањето."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_mkd-MKD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Со влечење и спуштање одговорете на прашањето."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_mkd-MKD_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"2348"	"Explain your answer."	"Објасни го твојот одговор."	"Q2MA122_question_Q2ItmStmP4Id_5c9d214b6c2632.07402001_0"	"PISA_mkd-MKD_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Користејќи ги копчињата со броеви, напишете ги вашите одговори на прашањето."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_mkd-MKD_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3207"	"A"	"А"	"Q1MA134_question_Q01tr4td1SELECT1o1_5c9d21643194f1.20986162_0"	"PISA_mkd-MKD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Објаснете го вашиот одговор и дадете нумерички вредности за да го поддржите вашето објаснување."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_mkd-MKD_MAT_MA146-Fuel_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликнете или &lt;b&gt; Да &lt;/b&gt; или &lt;b&gt; Не &lt;/b&gt; за секој исказ."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_mkd-MKD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"Запомни да избереш &lt;b&gt;едно или повеќe&lt;/b&gt; квадратчиња."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_mkd-MKD_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"113"	"Click on one or more boxes to answer the question."	"Кликни на едно или повеќе квадратчиња за да одговориш на прашањето."	"M102_question1_itemDirections1_5c9d21362bedf1.13468059_1_0"	"PISA_mkd-MKD_MAT_MA102-BuyingAWardrobe_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Кликнете или &lt;b&gt; Точно &lt;/b&gt; или &lt;b&gt; Неточно &lt;/b&gt; за секој од исказите во табелата подолу."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_mkd-MKD_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Изберете опција од опаѓачкото мени за да одговорите на прашањето."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_mkd-MKD_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Кликнете на крукчињата во табелата за да одговорите на прашањето."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_mkd-MKD_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Направете избор од опаѓачкото мени за да одговорите на прашањето."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_mkd-MKD_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Направете избор од опаѓачкото мени за да одговорите на прашањето."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_mkd-MKD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Запомнете дека може да изберете &lt;b&gt;едно или повеќе&lt;/b&gt; квадратчиња."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_mkd-MKD_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4225"	"A"	"А"	"MA149_stimulus2_img2Lbl1_5c9d2165299540.34702392_0"	"PISA_mkd-MKD_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4581"	"A"	"А"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_mkd-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1976"	"Explain your answer."	"Објасни го твојот одговор."	"Q3MA124_question_MA124Q03P3_5c9d214b42a550.23637236_0"	"PISA_mkd-MKD_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_mkd-MKD_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Кликни на едно или повеќе квадратчиња за да одговориш на прашањето."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_mkd-MKD_MAT_MA114-Honey_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"Кликнете на крукчињата во табелата за да одговорите на прашањето."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_mkd-MKD_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"Запомни да избереш &lt;b&gt;едно или повеќe&lt;/b&gt; квадратчиња."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_mkd-MKD_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"За да го користите калкулаторот, следете ги следниве чекори:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_mkd-MKD_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4591"	"A"	"А"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_mkd-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3981"	"Litres"	"Литри"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_mkd-MKD_MAT_MA146-Fuel_en21_MS2022.xlf"
