"Segment"	"en-ZZ"	"cs-CZ"	"ID"	"File"
"3260"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"CMA135_question_q1itemDirections_5c9d21644eed99.25860806_1_0"	"PISA_ces-CZE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4503"	"Use the simulator to help you answer the question below."	"&lt;br /&gt;S využitím simulátoru odpověz na otázku."	"MA153q01_question_q01itemDirections_5c9d2137456f45.88842568_1_0"	"PISA_ces-CZE_MAT_MA153-Gears_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Odpověz na otázku kliknutím na jednu z možností a svoji odpověď vysvětli."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_ces-CZE_MAT_MA146-Fuel_en21_MS2022.xlf"
"1531"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA120_question1_itemDirections1_5c9d214ae25a25.45268216_1_0"	"PISA_ces-CZE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3619"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA140_question2_q2itemDirections_5c9d21649c7fa5.69809185_1_0"	"PISA_ces-CZE_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"442"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"M105_question5_itemDirections5_5c9d2136771724.04274916_2_0"	"PISA_ces-CZE_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_ces-CZE_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_ces-CZE_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3686"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q4CMA141_question_q4itemDirections_5c9d2164a9ca08.40004442_1_0"	"PISA_ces-CZE_MAT_MA141-WaterBill_en21_MS2022.xlf"
"3630"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_1_0"	"PISA_ces-CZE_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"3989"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA146q1_question_q1itemDirections_5c9d2164eb6c14.66337389_1_0"	"PISA_ces-CZE_MAT_MA146-Fuel_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Odpověz na otázku kliknutím na jednu z možností a pak napiš zdůvodnění své odpovědi."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ces-CZE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"640"	"In this simulation, you will be able to explore how the angle of projection affects the horizontal and the vertical distance travelled by the water in a fountain."	"V této simulaci si vyzkoušíš, jak úhel trysky ovlivňuje výšku a vodorovnou vzdálenost, kam voda ve fontáně dostříkne."	"menu_1_aMenu_part1_p1_5c9d2136c728a6.99409324_0"	"PISA_ces-CZE_MAT_MA108-Fountains_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Nezapomeň vybrat &lt;b&gt;jednu nebo více&lt;/b&gt; možností."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ces-CZE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Odpověz na otázku kliknutím na jednu z možností a svoji odpověď vysvětli."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_ces-CZE_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"2739"	"Slept more than 8 hours"	"Spali více než &lt;br /&gt;8 hodin"	"MA130_question02_Q02tr1th3_5c9d214b8c2f62.53994590_0"	"PISA_ces-CZE_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4021"	"&lt;br/&gt;"	"&lt;br /&gt;"	"MA147_stimulus1_t1r1c1_5c9d2165038bd6.79326945_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4177"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q1MA148_question_q1itemDirections_5c9d21651b0cc9.30517555_1_0"	"PISA_ces-CZE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"&lt;br /&gt;U každého tvrzení klikni na &lt;b&gt;Pravdivé&lt;/b&gt; nebo &lt;b&gt;Nepravdivé&lt;/b&gt;. &lt;br /&gt;"	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_ces-CZE_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Odpověz na otázku přetažením písmen do příslušných políček."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_ces-CZE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Odpověz na otázku přetažením vozidel do příslušných políček."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_ces-CZE_MAT_MA157-Tyres_en21_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q1MA154_question_q1itemDirections_5c9d21655bcda0.49975962_1_0"	"PISA_ces-CZE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3952"	"1.7 m"	"o 1,7 m"	"MA145_question2_question02_4_5c9d2164e0ec68.48314534_0"	"PISA_ces-CZE_MAT_MA145-Shadows_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"Odpověz na otázku kliknutím na možnosti v tabulce."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_ces-CZE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Odpověz na otázku kliknutím na dvě možnosti."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ces-CZE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3235"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_ces-CZE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1412"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA117_question02_Q02itemDirections_5c9d214aae26f7.68113286_1_0"	"PISA_ces-CZE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ces-CZE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3949"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA145_question2_q2itemDirections_5c9d2164e0e799.91065994_1_0"	"PISA_ces-CZE_MAT_MA145-Shadows_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_ces-CZE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"139"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"M102_question3_itemDirections3_5c9d21362e40b0.67589445_1_0"	"PISA_ces-CZE_MAT_MA102-BuyingAWardrobe_en21_MS2022.xlf"
"4295"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q2MA150_question_q2itemDirections_5c9d216538ee88.41324335_1_0"	"PISA_ces-CZE_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"5189"	"Use the spreadsheet to help you answer the question below."	"&lt;br /&gt; S využitím tabulkového procesoru odpověz na otázku."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_1_0"	"PISA_ces-CZE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Odpověď na otázku vyber z rozbalovacích nabídek."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_ces-CZE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_ces-CZE_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2300"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA126_question04_itemDirectionsQ04_5c9d214b568386.90812819_1_0"	"PISA_ces-CZE_MAT_MA126-Robot_en21_MS2022.xlf"
"4395"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q2MA151_question_q2itemDirections_5c9d216543c0a5.48560059_1_0"	"PISA_ces-CZE_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_ces-CZE_MAT_MA114-Honey_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Svoji odpověď zdůvodni a dolož to číselnými hodnotami."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_ces-CZE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4656"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q2MA156_question_q2itemDirections_5c9d21656a4d34.03623252_1_0"	"PISA_ces-CZE_MAT_MA156-Points_en21_MS2022.xlf"
"4028"	"&lt;br/&gt;"	"&lt;br /&gt;"	"MA147_stimulus1_t2r1c1_5c9d21650390f6.88386930_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Spojené království"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_ces-CZE_MAT_MA151-MovingOut_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Při používání kalkulačky dodržuj tyto kroky:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ces-CZE_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4124"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA147q4_question_q4itemDirections_5c9d21650b66f4.19975110_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"1939"	"30%"	"30 %"	"MA124_stimulus1_MA124S01PiesRightLowP2_5c9d214b3edc43.76239355_0"	"PISA_ces-CZE_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"U každého tvrzení v tabulce klikni na &lt;b&gt;Pravdivé&lt;/b&gt; nebo &lt;b&gt;Nepravdivé&lt;/b&gt;. &lt;br /&gt;"	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_ces-CZE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2537"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"Q1MA129_question_Q1ItmDirP1Id_5c9d214b77ec40.66176260_1_0"	"PISA_ces-CZE_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"391"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"M105_question2_itemDirections2_5c9d213670c276.70082210_1_0"	"PISA_ces-CZE_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"1401"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA117_question01_q01itemDirections_5c9d214aacc999.01242355_1_0"	"PISA_ces-CZE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Odpověz na otázku kliknutím na jednu z možností a svoji odpověď vysvětli."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_ces-CZE_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4721"	"50%"	"50 %"	"MA158_stimulus_r4c5_5c9d2165799e85.21387774_0"	"PISA_ces-CZE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2348"	"Explain your answer."	"Svou odpověď zdůvodni."	"Q2MA122_question_Q2ItmStmP4Id_5c9d214b6c2632.07402001_0"	"PISA_ces-CZE_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"2797"	"13:07"	"v  13:07"	"MA131_question1_question01_6_5c9d214ba1f728.44485898_0"	"PISA_ces-CZE_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4132"	"42%"	"o 42 %"	"MA147q4_question_question04_7_5c9d21650b7306.73251190_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"&lt;br /&gt;U každého tvrzení klikni na &lt;b&gt;Pravdivé&lt;/b&gt; nebo &lt;b&gt;Nepravdivé&lt;/b&gt;. &lt;br /&gt;"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ces-CZE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2098"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA125_question3_q03itemDirections_5c9d21370cb648.59997288_1_0"	"PISA_ces-CZE_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"4000"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA146q2_question_q2itemDirections_5c9d2164ecdb44.24311045_1_0"	"PISA_ces-CZE_MAT_MA146-Fuel_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_ces-CZE_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"3771"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA143_question02_q2itemDirections_5c9d2164be5399.40648831_1_0"	"PISA_ces-CZE_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_ces-CZE_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Odpověz na otázku kliknutím na jednu z možností a svoji odpověď vysvětli."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_ces-CZE_MAT_MA156-Points_en21_MS2022.xlf"
"3590"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"xxCMA139_question_q2itemDirections_5c9d2164919bd5.42007175_1_0"	"PISA_ces-CZE_MAT_MA139-TabletCover_en21_MS2022.xlf"
"3578"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"CMA139_question_q1itemDirections_5c9d2164903766.73853823_1_0"	"PISA_ces-CZE_MAT_MA139-TabletCover_en21_MS2022.xlf"
"4616"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q2MA154_question_q2itemDirections_5c9d21655d41c9.81604829_1_0"	"PISA_ces-CZE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Odpověď na otázku vyber z rozbalovacích nabídek."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_ces-CZE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2803"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA131_question2_q2itemDirections_5c9d214ba31f93.93028518_1_0"	"PISA_ces-CZE_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ces-CZE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4727"	"50%"	"50 %"	"MA158_stimulus_r5c5_5c9d216579a840.16385707_0"	"PISA_ces-CZE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Svoji odpověď zdůvodni a dolož to číselnými hodnotami."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_ces-CZE_MAT_MA146-Fuel_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_ces-CZE_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Svou odpověď na otázku napiš číslicemi."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_ces-CZE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4514"	"Use the simulator to help you answer the question below."	"&lt;br /&gt;S využitím simulátoru odpověz na otázku."	"MA153q02_question_q02itemDirections_5c9d213746bb12.40931470_1_0"	"PISA_ces-CZE_MAT_MA153-Gears_en21_MS2022.xlf"
"4946"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q3MA160_question_q3itemDirections_5c9d21377f8251.32216410_2_0"	"PISA_ces-CZE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_ces-CZE_MAT_MA114-Honey_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_ces-CZE_MAT_MA115-Iceberg_en21_MS2022.xlf"
"4112"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA147q3_question_q3itemDirections_5c9d21650a0484.20685545_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"2342"	"Click on a choice and then type an explanation to answer the question."	"Odpověz na otázku kliknutím na jednu z možností a svou odpověď zdůvodni."	"Q2MA122_question_Q2ItmDirP1Id_5c9d214b6c1d02.17010694_1_0"	"PISA_ces-CZE_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"&lt;br /&gt; U každého tvrzení klikni na &lt;b&gt;Ano&lt;/b&gt; nebo &lt;b&gt;Ne&lt;/b&gt;."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_ces-CZE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2796"	"11:07"	"v  11:07"	"MA131_question1_question01_5_5c9d214ba1f5a2.18702157_0"	"PISA_ces-CZE_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_ces-CZE_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"512"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA107Q01_question_q01itemDirections_5c9d2136af0a87.95937958_1_0"	"PISA_ces-CZE_MAT_MA107-FieldOfVision_en21_MS2022.xlf"
"4051"	"&lt;br/&gt;"	"&lt;br /&gt;"	"MA147_stimulus2_t1r1c2_5c9d216504d856.68853842_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"2289"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA126_question03_itemDirectionsQ03_5c9d214b54ba12.68549963_1_0"	"PISA_ces-CZE_MAT_MA126-Robot_en21_MS2022.xlf"
"380"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"M105_question1_itemDirections1_5c9d21366f6b84.81010375_1_0"	"PISA_ces-CZE_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"2795"	"9:37"	"v  9:37"	"MA131_question1_question01_4_5c9d214ba1f418.79057605_0"	"PISA_ces-CZE_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_ces-CZE_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"&lt;br /&gt; U každého tvrzení klikni na &lt;b&gt;Ano&lt;/b&gt; nebo &lt;b&gt;Ne&lt;/b&gt;."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_ces-CZE_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_ces-CZE_MAT_MA126-Robot_en21_MS2022.xlf"
"4806"	"50%"	"50 %"	"MA160_stimulus_r3td4_5c9d2137746887.77306959_0"	"PISA_ces-CZE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1446"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_ces-CZE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"5075"	"Statement"	"Otázka"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ces-CZE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Odpověz na otázku kliknutím na možnosti v tabulce."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_ces-CZE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Odpověz na otázku výběrem z rozbalovacích nabídek."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_ces-CZE_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2969"	"x"	"α"	"MA133_stimulus_SxLbl_5c9d2164218182.03155443_0"	"PISA_ces-CZE_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"2794"	"9:17"	"v  9:17"	"MA131_question1_question01_3_5c9d214ba1f288.19658897_0"	"PISA_ces-CZE_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4048"	"&lt;br/&gt;"	"&lt;br /&gt;"	"MA147_stimulus2_t1r1c1_5c9d216504d714.33287195_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4252"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q2MA149_question_q2itemDirections_5c9d21652c3193.71873749_1_0"	"PISA_ces-CZE_MAT_MA149-FloorArea_en21_MS2022.xlf"
