"Segment"	"en-ZZ"	"be-BY"	"ID"	"File"
"60"	"&lt;i&gt;Refer to &quot;Milk&quot; on the right.  Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt; Звярніцеся да тэксту &quot;Малако&quot; справа. Запішыце сваё тлумачэнне. &lt;/i&gt;"	"S326_question2_itemDirections2_56f9ce09423e46.72006372_0"	"PISA_bel-BLR_SCI_S326-Milk_en18_MS2022.xlf"
"1384"	"The researchers did another experiment that involved selecting two similar areas of the savannah that had both species of acacia trees. One of the two areas was enclosed by a fence that is known to keep out elephants but does not keep smaller animals out. The researchers checked the trees in both areas for damage once every six months.&lt;br /&gt;&lt;br /&gt;Which of the following questions is the experiment designed to answer?"	"Даследчыкі правялі яшчэ адзін эксперымент, падчас якога яны абралі два падобных рэгіёна, у якіх раслі абодва тыпы дрэў акацыі. Адзін з абраных рэгіёнаў абнеслі заборам, які не прапускаў сланоў, але не перашкоджваў меншым жывёлам. Даследчыкі адследжвалі стан дрэў у абодвух рэгіёнах адзін раз кожныя шэсць месяцаў.&lt;br /&gt;&lt;br /&gt;На якое з наступных пытанняў павінен быў даць адказ гэты эксперымент?"	"S603_question5_p52_56f9ce15e87e71.71587596_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1382"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Адзначце выбраны варыянт, каб адказаць на пытанне.&lt;/i&gt;"	"S603_question5_itemDirections5_56f9ce15e87764.54150643_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1647"	"Medium"	"Сярэдні"	"sim_1_simSlopeMed_56f9ce16123239.68166234_0"	"PISA_bel-BLR_SCI_S615-Tsunami_en18_MS2022.xlf"
"2351"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выканайце сімуляцыю, каб атрымаць звесткі, што заснаваны на інфармацыі ніжэй. Адзначце выбраны варыянт, а потым запішыце тлумачэнне, каб адказаць на пытанне.&lt;/i&gt;"	"question4_1_itemDirections04_56f9ce166cc463.99090018_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2303"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Добра!&lt;br /&gt; Калі ласка, націсніце на стрэлку ДАЛЕЙ, каб працягнуць."	"stimulus2_1_stimulus2_49_56f9ce1666b1c2.69836258_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1545"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;Зразумець цунамі&lt;/b&gt;&lt;br /&gt;"	"question1_1_itemTitle01_56f9ce1606a4e9.38957344_0"	"PISA_bel-BLR_SCI_S615-Tsunami_en18_MS2022.xlf"
"2714"	"Please click on the NEXT arrow to continue."	"Націсніце на стрэлку ДАЛЕЙ, каб працягнуць."	"sim_1_automationMsg2_56fd8ed9326da9.75708076_0"	"PISA_bel-BLR_SCI_S643-LightBulbs_en18_MS2022.xlf"
"1411"	"Species A"	"Від А"	"S608_stimulus2_le21_56f9ce15ebcba8.98329192_0"	"PISA_bel-BLR_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2305"	"Please click on the NEXT arrow to continue."	"Націсніце на стрэлку ДАЛЕЙ, каб працягнуць."	"stimulus2_1_automationMsg2_56f9ce1666b8a8.19711068_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2955"	"Earth"	"Зямлі"	"S648_question2_o2_2_56f9ce16af6448.47580945_0"	"PISA_bel-BLR_SCI_S648-HabitableZone_en18_MS2022.xlf"
"2202"	"% of Population"	"% насельнiцтва"	"question3_1_p34_56f9ce165afd12.68733965_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"1624"	"Medium"	"Сярэдні"	"js_translation_slopeMedium_56f9ce160ef267.15362026_0"	"PISA_bel-BLR_SCI_S615-Tsunami_en18_MS2022.xlf"
"1387"	"Do elephants play a key role in maintaining the population of ants on the savannah?"	"Ці граюць сланы галоўную ролю ў захаванні папуляцыі мурашоў у саванне?"	"S603_question5_question5_3_56f9ce15e88bd1.09474119_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1275"	"One experiment involved offering captive elephants an equal number of branches from each of the two species. Ants were removed from half of the species A branches, and ants were added to half of the species B branches. All branches were of similar size and had a similar number of leaves."	"Падчас аднаго эксперыменту прыручаным сланам прапанавалі аднолькавую колькасць галінак кожнага з двух відаў дрэў. З паловы галінак віду А паўбіралі мурашоў, а на палову галінак віду Б мурашоў дадалі. Усе галінкі былі амаль аднолькавыя па памерах і мелі аднолькавую колькасць лісця."	"S603_stimulus1_Sp11_56f9ce15de9853.67677566_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2247"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Схільны:&lt;/b&gt; Людзі ў гэтым стане не прайшлі вакцынацыю ад хваробы і могуць заразіцца."	"menu_1_aMenutr1td2_56f9ce166203c7.69783865_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"2295"	"High"	"Высокі"	"stimulus2_1_stimulus2_38_56f9ce16668943.49712174_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2126"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"Прачытайце ўводзіны. Потым націсніце на стрэлку ДАЛЕЙ."	"CS634_intro_itemDirections0_56f9ce1654dc32.63695252_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"1763"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Адзначце выбраны варыянт, каб адказаць на пытанне.&lt;/i&gt;"	"S620_Q5_itemDirections5_56f9ce1620d4d6.08244072_0"	"PISA_bel-BLR_SCI_S620-Tornadoes_en18_MS2022.xlf"
"2489"	"S629 Solar Cooker"	"S629 Сонечная пліта"	"S629_stimulus0_unknownID_56f9ce1678ecc9.92611199_0"	"PISA_bel-BLR_SCI_S638-OilSpills_en18_MS2022.xlf"
"1276"	"All four types of branches were offered to the elephants at time 0, and observations were made every 10 minutes for one hour. The following data were collected from the study:"	"Усе чатыры тыпы ветак былі прапанаваны сланам у час 0, пасля чаго кожныя 10 хвілін на працягу адной гадзіны вяліся назіранні. Па рэзультатах даследвання былі атрыманы наступныя дадзеныя:"	"S603_stimulus1_Sp12_56f9ce15de9b16.25153197_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2298"	"Low"	"Нізкі"	"stimulus2_1_stimulus2_44_56f9ce166699d2.06386417_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1286"	"Species A&lt;br /&gt;branches with ants"	"Тып А&lt;br /&gt;веткі з мурашамі"	"S603_stimulus1_le3_56f9ce15deb6d9.62826282_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2887"	"Please click on the NEXT arrow to continue."	"Націсніце на стрэлку ДАЛЕЙ, каб працягнуць."	"sim_1_automationMsg2_56f9ce16a78ff2.60751962_0"	"PISA_bel-BLR_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2957"	"Uranus"	"Уране"	"S648_question2_o2_4_56f9ce16af6957.47482993_0"	"PISA_bel-BLR_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1380"	"&lt;b&gt;Development and Disaster&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Развіцце і нягоды&lt;/b&gt;&lt;br /&gt; Пытанне"	"S603_question5_itemTitle5_56f9ce15e87110.52427026_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выканайце сімуляцыю, каб атрымаць звесткі, што заснаваны на інфармацыі ніжэй. Адзначце выбраны варыянт, каб адказаць на пытанне.&lt;/i&gt;"	"question2_1_itemDirections02_56f9ce169e3e87.65938844_0"	"PISA_bel-BLR_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2146"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выканайце сімуляцыю, каб атрымаць звесткі, што заснаваны на інфармацыі ніжэй. Адзначце адзін ці болей варыянтаў, каб адказаць на пытанне. &lt;/i&gt;"	"question1_1_itemDirections01_56f9ce16578975.14109978_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"1955"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Гук у марскім асяроддзі &lt;/b&gt;&lt;br /&gt; Пытанне"	"S626_question4_itemTitle_4_56f9ce16323442.45045858_0"	"PISA_bel-BLR_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2248"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Інфіцыраваны:&lt;/b&gt; Людзі ў гэтым стане хварэюць і могуць заразіць іншых."	"menu_1_aMenutr2td2_56f9ce16620b06.98424078_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"2412"	"Delete a row of data to run another trial."	"Выдаліце радок даных, каб выканаць іншае выпрабаванне."	"js_translation_deleteMsg_56f9ce16735b30.09930569_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2956"	"Mars"	"Марсе"	"S648_question2_o2_3_56f9ce16af66c6.56841964_0"	"PISA_bel-BLR_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1287"	"Species B&lt;br /&gt;branches with ants"	"Тып Б&lt;br /&gt;веткі з мурашамі"	"S603_stimulus1_le4_56f9ce15deb940.35048755_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2559"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Адзначце выбраныя варыянты ў табліцы, каб адказаць на пытанне ніжэй.&lt;/i&gt;"	"S638_question4_itemDirections4_56f9ce1682a848.09442940_0"	"PISA_bel-BLR_SCI_S638-OilSpills_en18_MS2022.xlf"
"2294"	"Medium"	"Сярэдні"	"stimulus2_1_stimulus2_37_56f9ce166686b3.20376857_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2233"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Адзначце адзін ці болей варыянтаў, каб адказаць на пытанне.&lt;/i&gt;"	"CS634_Q05_itemDirections5_56f9ce165e15d6.89029742_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"1070"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Адзначце выбраны варыянт, каб адказаць на пытанне. &lt;/i&gt;"	"S603_question5_itemDirections5_56f9ce15c92572.26992135_0"	"PISA_bel-BLR_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2245"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Гэта сімуляцыя дазволіць вам азнаёміцца з эфектам вакцынацыі на распаўсюджванне інфекцыйнай хваробы сярод насельніцтва, якое падпадае пад яе ўздзеянне."	"menu_1_aMenuP1_56f9ce1661f783.67216746_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"Прачытайце ўводзіны. Потым націсніце на стрэлку ДАЛЕЙ."	"question0_1_itemDirections00_56f9ce1605d361.77751467_0"	"PISA_bel-BLR_SCI_S615-Tsunami_en18_MS2022.xlf"
"2579"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Запішыце свой адказ на пытанне.&lt;/i&gt;"	"S638_question5_itemDirections5_56f9ce16840557.63927843_0"	"PISA_bel-BLR_SCI_S638-OilSpills_en18_MS2022.xlf"
"1309"	"Birds and Caterpillars Introduction"	"Птушкі і вусені"	"S607_intro_attr_alt_attr_question0_1_56f9ce15e09c50.81361086_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2885"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Добра!&lt;br /&gt; Калі ласка, націсніце на стрэлку ДАЛЕЙ, каб працягнуць."	"sim_1_sim_3_56f9ce16a788c2.60154409_0"	"PISA_bel-BLR_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выканайце сімуляцыю, каб атрымаць звесткі, што заснаваны на інфармацыі ніжэй. Адзначце выбраны варыянт, а потым запішыце тлумачэнне, каб адказаць на пытанне.&lt;/i&gt;"	"question5_1_itemDirections05_56f9ce16a18d84.36705760_0"	"PISA_bel-BLR_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2808"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выканайце сімуляцыю, каб атрымаць звесткі, што заснаваны на інфармацыі ніжэй. Адзначце выбраны варыянт, каб адказаць на пытанне.&lt;/i&gt;"	"question4_1_itemDirections04_56f9ce16a052f2.38943169_0"	"PISA_bel-BLR_SCI_S646-Nanoparticles_en18_MS2022.xlf"
