"Segment"	"en-ZZ"	"sq-XK"	"ID"	"File"
"2227"	"Medium"	"Mesatar"	"stimulus2_1_stimulus2_37_56f9ce166686b3.20376857_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"988"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Elefantët dhe Drurët e &lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question4_itemTitle4_56f9ce15c7d3e7.79898641_0"	"PISA_sqi-KSV_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2494"	"Can this question be answered by scientific experiments?"	"A mundemi që kësaj pyetje t'i përgjigjemi me anë të eksperimenteve shkencore?"	"S638_question4_Q4_tr1th1_56f9ce1682b0d8.62476190_0"	"PISA_sqi-KSV_SCI_S638-OilSpills_en18_MS2022.xlf"
"1321"	"Do elephants have other sources of food besides acacia trees?"	"A kanë elefantët burime të tjera ushqimi pos drurëve të akacies?"	"S603_question5_question5_4_56f9ce15e88fc1.80235200_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2298"	"select"	"Zgjedh"	"question5_1_o5_0_56f9ce166e3af9.74987360_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2717"	"To see how all the controls in this simulation work, follow these steps:"	"Për të parë si punojnë të gjitha kontrollet në këtë simulim, ndiq këto hapa:"	"question1_1_q01p2_56f9ce169d3731.31011436_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2053"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Mirë!&lt;br /&gt; Të lutem kliko shigjetën Tjetër për të vazhduar."	"stimulus_1_dialogMsgText2_56f9ce16534058.49538271_0"	"PISA_sqi-KSV_SCI_S634-Vaccination_en18_MS2022.xlf"
"887"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Efekti i ishullit të nxehtë urban&lt;/b&gt;&lt;br /&gt; Pyetja"	"S602_question3_qitemTitle3_56f9ce15baa152.40862830_0"	"PISA_sqi-KSV_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"929"	"S603 Elephants and Acacia Trees"	"S603  Elefantët dhe Drurët e Akacies"	"S603_stimulus0_unknownID_56f9ce15bf5a06.47152342_0"	"PISA_sqi-KSV_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"1799"	"Sound ON in Middle"	"Tingulli i Ndezur në Mes"	"S626_stimulus3_graphTitle22_56f9ce162a4cb2.17029604_0"	"PISA_sqi-KSV_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2528"	"To see how all the controls in this simulation work, follow these steps:"	"Për të parë sesi punojnë të gjitha kontrollet në këtë simulim, ndiq këto hapa:"	"question2_1_Q02P2_56fd8ed9284069.02513097_0"	"PISA_sqi-KSV_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2619"	"Incandescent"	"Inkadeshente"	"sim_1_q02sim2_56fd8ed931f4c2.73427732_0"	"PISA_sqi-KSV_SCI_S643-LightBulbs_en18_MS2022.xlf"
"1256"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Zogjtë dhe Larvat&lt;/b&gt;&lt;br /&gt; Pyetja"	"S607_question2_itemTitle2_56f9ce15e2eae7.75347056_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"965"	"Comparison 1"	"Krahasimi  1"	"S603_question2_question2_7_56f9ce15c4c009.40418059_0"	"PISA_sqi-KSV_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2810"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Për të zgjedhur një rresht të të dhënave për t'ju përgjigjur një pyetje, kliko diku në atë rresht. Reshti(at) që zgjedhësh do të shënohet(en) me yll."	"menu_1_menuP5_56f9ce16a5cac8.50618805_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2973"	"&lt;i&gt;Refer to &quot;Treatment Study&quot; on the right. Click on a choice to answer the question. &lt;/i&gt;"	"&lt;i&gt;Referoju &quot;Studimi iTrajtimit&quot; në të djathtë. Kliko një alternativë për t'ju përgjigjur pyetjes. &lt;/i&gt;"	"S657_question3_itemDirections3_56f9ce16b9b609.73618562_0"	"PISA_sqi-KSV_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"1036"	"&lt;b&gt;Water from Fog&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Uji nga Mjegulla g&lt;/b&gt;&lt;br /&gt; Pyetja"	"S604_question2_itemTitle2_56f9ce15cdc797.48245095_0"	"PISA_sqi-KSV_SCI_S604-WaterFromFog_en18_MS2022.xlf"
"2751"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;&gt;Nanogrimcat&lt;/b&gt;&lt;br /&gt;Pyetja"	"question5_1_itemTitle05_56f9ce16a18599.35406701_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2855"	"S648 Habitable Zone"	"S648  Zona e Banueshme"	"S648_stimulus3_unknownID_56f9ce16ac0fa9.93727698_0"	"PISA_sqi-KSV_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1820"	"sound in marine habitats"	"tingulli në mjediset detare"	"S626_stimulus4_title4_56f9ce162bc340.43080349_0"	"PISA_sqi-KSV_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1207"	"Elephants and Acacia Trees"	"Elefantët dhe drurët e akacies Trees"	"S603_stimulus1_title1_56f9ce15de9559.53908469_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2984"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Llojet Pushtuese&lt;/b&gt;&lt;br /&gt; Pyetja"	"S657_question4_itemTitleqS4_56f9ce16baf0b2.91211050_0"	"PISA_sqi-KSV_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"1208"	"One experiment involved offering captive elephants an equal number of branches from each of the two species. Ants were removed from half of the species A branches, and ants were added to half of the species B branches. All branches were of similar size and had a similar number of leaves."	"Një eksperiment përfshin ofrimin e një numri të njëjtë degësh elefantëve të kapur nga secila prej dy llojeve. Milingonat janë larguar nga gjysma e degëve të llojit A, dhe milingonat iu shtuan gjysmës së degëve të llojit B. Të gjitha degët ishin të madhësisë së ngjashme dhe kishin numër të njëjtë gjethesh."	"S603_stimulus1_Sp11_56f9ce15de9853.67677566_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"874"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Efekti i ishullit të nxehtë urban&lt;/b&gt;&lt;br /&gt; Pyetja"	"S602_question2_qitemTitle2_56f9ce15b98aa7.56643861_0"	"PISA_sqi-KSV_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"1580"	"Medium"	"Mesatare"	"sim_1_simSlopeMed_56f9ce16123239.68166234_0"	"PISA_sqi-KSV_SCI_S615-Tsunami_en18_MS2022.xlf"
"2532"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Krahasimi i Llambave të Dritës&lt;/b&gt;&lt;br /&gt; Pyetja"	"question3_1_itemTitle03_56fd8ed9294379.87380352_0"	"PISA_sqi-KSV_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2888"	"Earth"	"Tokës"	"S648_question2_o2_2_56f9ce16af6448.47580945_0"	"PISA_sqi-KSV_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1315"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Kliko një alternativë  për t'u përgjigjur në pyetje&lt;/i&gt;"	"S603_question5_itemDirections5_56f9ce15e87764.54150643_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"892"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Efekti i ishullit të nxehtë urban&lt;/b&gt;&lt;br /&gt; Pyetja"	"S602_question4_qitemTitle4_56f9ce15bbb252.48106373_0"	"PISA_sqi-KSV_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"2607"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"Në këtë simulim, ti do të jesh në gjendje për të parë se si funksionojnë lloje të ndryshme të llambave të dritës, të niveleve të ndryshme të fuqisë . Prova e llambës së dritës do të tregojë sasinë e prodhimit të dritës (e matur në lumen), si edhe efikasitetin e llambës së dritës (e matur në lumen për vat)."	"menu_1_menuP1_56fd8ed9302b94.85484648_0"	"PISA_sqi-KSV_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2802"	"How to Run the Simulation"	"Si të Drejtosh Simulimin"	"menu_1_menuHeading_56f9ce16a5af22.66669234_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2177"	"How to Run the Simulation"	"Si të Drejtosh Simulimin"	"menu_1_MenuHeading_56f9ce1661f082.18493634_0"	"PISA_sqi-KSV_SCI_S634-Vaccination_en18_MS2022.xlf"
"2887"	"Venus"	"Afërditës"	"S648_question2_o2_1_56f9ce16af61a3.48743852_0"	"PISA_sqi-KSV_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1599"	"tornadoes"	"tornadot"	"S620_stimulus1_title1_56f9ce1615c871.72344999_0"	"PISA_sqi-KSV_SCI_S620-Tornadoes_en18_MS2022.xlf"
"1557"	"Medium"	"Mesatare"	"js_translation_slopeMedium_56f9ce160ef267.15362026_0"	"PISA_sqi-KSV_SCI_S615-Tsunami_en18_MS2022.xlf"
"2890"	"Uranus"	"Uranit"	"S648_question2_o2_4_56f9ce16af6957.47482993_0"	"PISA_sqi-KSV_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1197"	"Caterpillars are in cocoons"	"Larvat janë në fshikëza"	"S607_stimulus1_sl13_56f9ce15dd6926.98378353_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1523"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kuptimi i Cunamit&lt;/b&gt;&lt;br /&gt; Pyetja"	"question5_1_itemTitle05_56f9ce160bcff6.76254888_0"	"PISA_sqi-KSV_SCI_S615-Tsunami_en18_MS2022.xlf"
"1875"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Tingulli në Mjediset Detare&lt;/b&gt;&lt;br /&gt; Pyetja"	"S626_question3_itemTitle_3_56f9ce1630abb9.61592493_0"	"PISA_sqi-KSV_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1510"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kuptimi i Cunamit&lt;/b&gt;&lt;br /&gt; Pyetja"	"question4_1_itemTitle04_56f9ce160a7644.60076860_0"	"PISA_sqi-KSV_SCI_S615-Tsunami_en18_MS2022.xlf"
"2691"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Dioksidi i Karbonit në Atmosferën e Tokës&lt;/b&gt;&lt;br /&gt; Pyetja"	"S645_question3_itemTitle3_56f9ce1697c748.79489413_0"	"PISA_sqi-KSV_SCI_S645-CarbonDioxideInEarthsAtmosphere_en18_MS2022.xlf"
"1443"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Robotikët e Kontrolluar nga Truri &lt;/b&gt;&lt;br /&gt; Pyetja"	"S610_question2_QitemTitle2_56f9ce1601e831.01409345_0"	"PISA_sqi-KSV_SCI_S610-Brain-controlledRobotics_en18_MS2022.xlf"
"2889"	"Mars"	"Marsit"	"S648_question2_o2_3_56f9ce16af66c6.56841964_0"	"PISA_sqi-KSV_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1943"	"S627 Car Tyres Q03"	"S627Gomat e Veturave  P03"	"S627_question3_unknownID_56f9ce1639a040.28950498_0"	"PISA_sqi-KSV_SCI_S627-CarTyres_en18_MS2022.xlf"
"2236"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Mirë!&lt;br /&gt; Të lutem kliko shigjetën Tjetër për të vazhduar."	"stimulus2_1_stimulus2_49_56f9ce1666b1c2.69836258_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2180"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;I prekur:&lt;/b&gt; Individët në këtë gjendje nuk janë të vaksinuar për të parandaluar sëmundjen dhe mund të marrin sëmundjen."	"menu_1_aMenutr1td2_56f9ce166203c7.69783865_0"	"PISA_sqi-KSV_SCI_S634-Vaccination_en18_MS2022.xlf"
"2606"	"How to Run the Simulation"	"Si të Drejtosh Simulimin"	"menu_1_menuHeading_56fd8ed9302605.21458137_0"	"PISA_sqi-KSV_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2435"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lexo hyrjen. Pastaj kliko shigjetën Tjetër.&lt;/i&gt;"	"S638_question0_itemDirections0_56f9ce167bf547.25901756_0"	"PISA_sqi-KSV_SCI_S638-OilSpills_en18_MS2022.xlf"
"1696"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Kliko një alternativë  për t'u përgjigjur në pyetje&lt;/i&gt;"	"S620_Q5_itemDirections5_56f9ce1620d4d6.08244072_0"	"PISA_sqi-KSV_SCI_S620-Tornadoes_en18_MS2022.xlf"
