"Segment"	"en-ZZ"	"sq-XK"	"ID"	"File"
"2265"	"Select"	"Zgjedh"	"MA126_question02_S02tr9o0_5c9d214b528bc8.97835627_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"2255"	"Select"	"Zgjedh"	"MA126_question02_S02tr7o0_5c9d214b527777.68714529_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"4124"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA147q4_question_q4itemDirections_5c9d21650b66f4.19975110_1_0"	"PISA_sqi-KSV_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3590"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"xxCMA139_question_q2itemDirections_5c9d2164919bd5.42007175_1_0"	"PISA_sqi-KSV_MAT_MA139-TabletCover_en21_MS2022.xlf"
"1429"	"Question"	"Pyetja"	"MA117_question04_q04itemTitle_5c9d214ab142c7.17078103_2_0"	"PISA_sqi-KSV_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"5019"	"Mean"	"Mesatarja"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"824"	"Question"	"Pyetja"	"Q2M111_question_Q2itemTitle_5c9d214a59d637.63865630_2_0"	"PISA_sqi-KSV_MAT_MA111-HealthApp_en21_MS2022.xlf"
"2746"	"Question"	"Pyetja"	"MA130_question03_itemTitleQ03_5c9d214b8dfbd1.61254888_2_0"	"PISA_sqi-KSV_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4850"	"Mean"	"Mesatarja"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_sqi-KSV_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_sqi-KSV_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2260"	"Select"	"Zgjedh"	"MA126_question02_S02tr8o0_5c9d214b528133.68273862_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"4445"	"Select"	"Zgjedh"	"q2MA152_question_q2o0_5c9d216550cbf7.56001817_0"	"PISA_sqi-KSV_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"1825"	"Select"	"Zgjedh"	"MA121_question02_Q02UL2Li2o0_5c9d214b05a8c2.07370665_0"	"PISA_sqi-KSV_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3578"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"CMA139_question_q1itemDirections_5c9d2164903766.73853823_1_0"	"PISA_sqi-KSV_MAT_MA139-TabletCover_en21_MS2022.xlf"
"2812"	"Question"	"Pyetja"	"MA131_question3_q3itemTitle_5c9d214ba449d2.21472976_2_0"	"PISA_sqi-KSV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"Klikoni mbi një nga alternativat në tabelë për t'ju përgjigjur pyetjes."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_sqi-KSV_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1910"	"Question"	"Pyetja"	"MA128_question3_q3itemTitle_5c9d214b34d167.33501783_2_0"	"PISA_sqi-KSV_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt;Totali&lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_sqi-KSV_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1528"	"Question"	"Pyetja"	"MA120_question1_itemTitle1_5c9d214ae25720.12685819_2_0"	"PISA_sqi-KSV_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"Më pas klikoni mbi shigjetën TJETËR."	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_sqi-KSV_MAT_MA114-Honey_en21_MS2022.xlf"
"3235"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_sqi-KSV_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_sqi-KSV_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"5083"	"Greece"	"Greqia"	"q1MA161_question_question01_13_5c9d2137a0e932.88946673_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3188"	"Select"	"Zgjedh"	"Q1MA134_question_Q01tr1td1SELECT1o0_5c9d2164317ac7.89754540_0"	"PISA_sqi-KSV_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5117"	"Greece"	"Greqia"	"q1MA161_question_question01_47_5c9d2137a11fa4.62486581_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2326"	"Question"	"Pyetja"	"Q1MA122_question_Q1itemTitle_5c9d214b6afe85.06436395_2_0"	"PISA_sqi-KSV_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"1553"	"Question"	"Pyetja"	"MA120_question3_itemTitleQ03_5c9d214ae4a9a2.85127401_2_0"	"PISA_sqi-KSV_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Me përdorimin e tasteve të numrave , shënoni përgjigjet tuaja në pyetje."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_sqi-KSV_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Klikoni dy katrorë për t'u përgjigjur në pyetje."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_sqi-KSV_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1915"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA128_question3_q3itemDirections_5c9d214b34d864.30750173_1_0"	"PISA_sqi-KSV_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"837"	"Question"	"Pyetja"	"Q3M111_question_Q3itemTitle_5c9d214a5b1113.22333612_2_0"	"PISA_sqi-KSV_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3444"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"xxCMA137_question_q1itemDirections_5c9d21646f0047.88877228_1_0"	"PISA_sqi-KSV_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4177"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"q1MA148_question_q1itemDirections_5c9d21651b0cc9.30517555_1_0"	"PISA_sqi-KSV_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓Mos harroni të zgjedhni &lt;b&gt;një ose më shumë&lt;/b&gt; kuti."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_sqi-KSV_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1437"	"False"	"E Gabuar"	"MA117_question04_Q4tr1th3_5c9d214ab153e6.56658837_0"	"PISA_sqi-KSV_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"5100"	"Greece"	"Greqia"	"q1MA161_question_question01_30_5c9d2137a10205.73881381_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1116"	"Question"	"Pyetja"	"Q01MMA113_question_Q4itemTitle_5c9d214a6aa170.35786830_2_0"	"PISA_sqi-KSV_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2275"	"Select"	"Zgjedh"	"MA126_question02_S02tr11o0_5c9d214b52a4c8.83086782_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"1807"	"Question"	"Pyetja"	"MA121_question02_Q02itemTitle_5c9d214b057c40.31719769_2_0"	"PISA_sqi-KSV_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"Klikoni mbi një nga alternativat në tabelë për t'ju përgjigjur pyetjes."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_sqi-KSV_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1779"	"Question"	"Pyetja"	"MA118_question01_q01itemTitle_5c9d214b02b119.48412571_2_0"	"PISA_sqi-KSV_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3545"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"q2CMA138_question_q2itemDirections_5c9d21648472a1.52007146_1_0"	"PISA_sqi-KSV_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"5156"	"Greece"	"Greqia"	"q3MA160_question_question03_10_5c9d2137a55b03.72130510_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1340"	"Question"	"Pyetja"	"MA116_question3_itemTitle3_5c9d214a9c46c3.04760682_2_0"	"PISA_sqi-KSV_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_sqi-KSV_MAT_MA114-Honey_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Klikoni opsionin në tabelë për t'u përgjigjur në pyetje."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_sqi-KSV_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"2950"	"Question"	"Pyetja"	"Q2MA132_question_Q2itemTitle_5c9d214bb5bda9.36492911_2_0"	"PISA_sqi-KSV_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"3260"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"CMA135_question_q1itemDirections_5c9d21644eed99.25860806_1_0"	"PISA_sqi-KSV_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"2787"	"Question"	"Pyetja"	"MA131_question1_q1itemTitle_5c9d214ba1ea31.77102937_2_0"	"PISA_sqi-KSV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"Më pas klikoni mbi shigjetën TJETËR."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_sqi-KSV_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_sqi-KSV_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"3340"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"q4CMA135_question_q4itemDirections_5c9d21645385f9.31439715_1_0"	"PISA_sqi-KSV_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"Më pas klikoni mbi shigjetën TJETËR."	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_sqi-KSV_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Sqaroni përgjigjen tuaj dhe përdorni vlera numerike për ta mbështetur sqarimin tuaj."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_sqi-KSV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1248"	"Question"	"Pyetja"	"MA115_question02_q02itemTitle_5c9d214a9184b7.91864176_2_0"	"PISA_sqi-KSV_MAT_MA115-Iceberg_en21_MS2022.xlf"
"2230"	"Select"	"Zgjedh"	"MA126_question02_S02tr2o0_5c9d214b524d76.91738922_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"820"	"Answer:"	"Përgjigja"	"Q1M111_question_Q01AnsId_5c9d214a58aa59.29562473_0"	"PISA_sqi-KSV_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Kliko një opsion dhe pastaj shkruaje një sqarim për t'u përgjigjur në pyetje."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_sqi-KSV_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_sqi-KSV_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"4753"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"q1MA158_question_q1itemDirections_5c9d21657b6927.43068957_1_0"	"PISA_sqi-KSV_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1347"	"Answer:"	"Përgjigja"	"MA116_question3_question3_1_5c9d214a9c4f41.18226287_0"	"PISA_sqi-KSV_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1716"	"Then click on the NEXT arrow."	"Më pas klikoni mbi shigjetën TJETËR."	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_sqi-KSV_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Për të përdorur kalkulatorin, ndiqini këta hapa:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_sqi-KSV_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt;Totali&lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_sqi-KSV_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1236"	"Question"	"Pyetja"	"MA115_question01_q01itemTitle_5c9d214a9062e4.94517064_2_0"	"PISA_sqi-KSV_MAT_MA115-Iceberg_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_sqi-KSV_MAT_MA114-Honey_en21_MS2022.xlf"
"3619"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA140_question2_q2itemDirections_5c9d21649c7fa5.69809185_1_0"	"PISA_sqi-KSV_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_sqi-KSV_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3460"	"Select"	"Zgjedh"	"q2CMA137_question_q1A0_5c9d216470a101.61255510_0"	"PISA_sqi-KSV_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"5123"	"Portugal"	"Portugalia"	"q1MA161_question_question01_53_5c9d2137a12917.72235168_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2201"	"Question"	"Pyetja"	"MA126_question01_itemTitleQ01_5c9d214b505fd5.78076377_2_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"827"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"Q2M111_question_Q2itemDirections_5c9d214a59d864.67731521_1_0"	"PISA_sqi-KSV_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klikoni mbi &lt;b&gt;E Vërtetë&lt;/b&gt; ose &lt;b&gt;E Gabuar&lt;/b&gt; për secilën nga fjalitë në tabelën më poshtë."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_sqi-KSV_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_sqi-KSV_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"2534"	"Question"	"Pyetja"	"Q1MA129_question_Q1itemTitle_5c9d214b77e8f8.49639200_2_0"	"PISA_sqi-KSV_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"754"	"Question"	"Pyetja"	"Q3M110_question_Q3itemTitle_5c9d214a4bfe57.82611790_2_0"	"PISA_sqi-KSV_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"q1MA154_question_q1itemDirections_5c9d21655bcda0.49975962_1_0"	"PISA_sqi-KSV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3359"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA136_question01_q1itemDirections_5c9d216460bbf5.70131128_1_0"	"PISA_sqi-KSV_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Kliko një opsion dhe pastaj shkruaje një sqarim për t'u përgjigjur në pyetje."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_sqi-KSV_MAT_MA146-Fuel_en21_MS2022.xlf"
"3465"	"Select"	"Zgjedh"	"q2CMA137_question_q1B0_5c9d216470acd3.72235825_0"	"PISA_sqi-KSV_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1897"	"Question"	"Pyetja"	"MA128_question2_q2itemTitle_5c9d214b32fc06.56328899_2_0"	"PISA_sqi-KSV_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Zgjidhni nga menytë lësho-poshtë për t'u përgjigjur në pyetje."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_sqi-KSV_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2286"	"Question"	"Pyetja"	"MA126_question03_itemTitleQ03_5c9d214b54b7c1.25835931_2_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_sqi-KSV_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4338"	"France"	"Francë"	"MA151_stimulus_cntLbl21_5c9d2165408ac1.36167161_0"	"PISA_sqi-KSV_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3760"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA143_question01_q1itemDirections_5c9d2164bd09f7.43448559_1_0"	"PISA_sqi-KSV_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"2822"	"Question"	"Pyetja"	"q04body_itemTitle04_5c9d214ba5bd23.12466651_2_0"	"PISA_sqi-KSV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"814"	"Question"	"Pyetja"	"Q1M111_question_Q1itemTitle_5c9d214a58a2d8.22403053_2_0"	"PISA_sqi-KSV_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Zgjidhni nga menytë lësho-poshtë për t'u përgjigjur në pyetje."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_sqi-KSV_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Kliko një opsion dhe pastaj shkruaje një sqarim për t'u përgjigjur në pyetje."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_sqi-KSV_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikoni &lt;b&gt;Saktë &lt;/b&gt; ose &lt;b&gt;Pasakt &lt;/b&gt; për secilin formulim."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_sqi-KSV_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2803"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA131_question2_q2itemDirections_5c9d214ba31f93.93028518_1_0"	"PISA_sqi-KSV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1820"	"Select"	"Zgjedh"	"MA121_question02_Q02UL2Li1o0_5c9d214b05a107.46709526_0"	"PISA_sqi-KSV_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1539"	"Question"	"Pyetja"	"MA120_question2_itemTitleQ02_5c9d214ae38325.25154297_2_0"	"PISA_sqi-KSV_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5089"	"Portugal"	"Portugalia"	"q1MA161_question_question01_19_5c9d2137a0f103.63459738_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1398"	"Question"	"Pyetja"	"MA117_question01_q01itemTitle_5c9d214aacc6a3.43320789_2_0"	"PISA_sqi-KSV_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"2270"	"Select"	"Zgjedh"	"MA126_question02_S02tr10o0_5c9d214b529a89.07692092_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Kliko një opsion dhe pastaj shkruaje një sqarim për t'u përgjigjur në pyetje."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_sqi-KSV_MAT_MA158-EyeColour_en21_MS2022.xlf"
"5179"	"Portugal"	"Portugalia"	"q3MA160_question_question03_32_5c9d2137a57901.51264932_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1145"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"Q03MA113_question_Q03itemDirections_5c9d214a6e0c82.46175181_1_0"	"PISA_sqi-KSV_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2280"	"Select"	"Zgjedh"	"MA126_question02_S02tr12o0_5c9d214b52b310.84213382_0"	"PISA_sqi-KSV_MAT_MA126-Robot_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Zgjidhni nga menytë lësho-poshtë për t'u përgjigjur në pyetje."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_sqi-KSV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
