"Segment"	"en-ZZ"	"uz-UZ"	"ID"	"File"
"1922"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"question5_1_itemDirections05_5c9d227b3c3211.80677935_1_0"	"PISA_uzb-UZB_SCI_S615-Tsunami_en21_MS2022.xlf"
"2686"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227be7c198.62824452_1_0"	"PISA_uzb-UZB_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2513"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"question3_1_itemDirections03_5c9d227bc44ae0.03182047_1_0"	"PISA_uzb-UZB_SCI_S634-Vaccination_en21_MS2022.xlf"
"691"	"No"	"Ishlov"	"S438_stimulus2_chem6_5c9d22ac1c2412.49389571_0_0"	"PISA_uzb-UZB_SCI_S438-GreenParks_en21_MS2022.xlf"
"3160"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"question5_1_itemDirections05_5c9d227c611f47.80605534_1_0"	"PISA_uzb-UZB_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"470"	"Location"	"4-joy"	"S425_stimulus2_t1tr1td5_5c9d22abe898f6.96194284_0_0"	"PISA_uzb-UZB_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"717"	"No"	"Ishlov"	"S438_stimulus2_chem11_5c9d22ac1c3f16.20523481_0_0"	"PISA_uzb-UZB_SCI_S438-GreenParks_en21_MS2022.xlf"
"2747"	"Medium"	"O'rta"	"js_translation_medium_5c9d227befb367.92304708_0"	"PISA_uzb-UZB_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2745"	"None"	"Hech qancha"	"js_translation_none_5c9d227befa414.60923870_0"	"PISA_uzb-UZB_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"667"	"No"	"Ishlov"	"S438_stimulus2_chem1_5c9d22ac1c1244.72974918_0_0"	"PISA_uzb-UZB_SCI_S438-GreenParks_en21_MS2022.xlf"
"2276"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S627_question1_itemDirections1_5c9d227b9b9fd6.37142813_1_0"	"PISA_uzb-UZB_SCI_S627-CarTyres_en21_MS2022.xlf"
"1379"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S603_question4_itemDirections4_5c9d227aaff921.28142495_0"	"PISA_uzb-UZB_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"1954"	"Medium"	"O'rta"	"js_translation_slopeMedium_5c9d227b3fb996.85405506_0"	"PISA_uzb-UZB_SCI_S615-Tsunami_en21_MS2022.xlf"
"1320"	"Species A"	"A tur"	"S603_intro_span1_5c9d227aa7d311.55919225_0"	"PISA_uzb-UZB_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2971"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c3849c0.50093527_1_0"	"PISA_uzb-UZB_SCI_S643-LightBulbs_en21_MS2022.xlf"
"2925"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"question3_1_itemDirections03_5c9d227c342cb5.25107598_1_0"	"PISA_uzb-UZB_SCI_S643-LightBulbs_en21_MS2022.xlf"
"2098"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S625_question2_itemDirections2_5c9d227b6c4dd5.10664341_1_0"	"PISA_uzb-UZB_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"462"	"2"	"-"	"S425_stimulus2_t1tr1td3_5c9d22abe89176.95231813_2_0"	"PISA_uzb-UZB_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"1436"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"S604_question4_itemDirections4_5c9d227ac92087.55114583_1_0"	"PISA_uzb-UZB_SCI_S604-WaterFromFog_en21_MS2022.xlf"
"1328"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S603_question1_itemDirections1_5c9d227aa98cd8.61789902_1_0"	"PISA_uzb-UZB_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"490"	"Number of"	"Yashab qolgan"	"S425_stimulus2_t1tr3td1_5c9d22abe8ac40.11048213_0_0"	"PISA_uzb-UZB_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"2618"	"None"	"Hech qancha"	"stimulus2_1_stimulus2_43_5c9d227be143f6.04534828_0"	"PISA_uzb-UZB_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2620"	"Medium"	"O'rta"	"stimulus2_1_stimulus2_45_5c9d227be146a9.40941283_0"	"PISA_uzb-UZB_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2613"	"None"	"Hech qancha"	"stimulus2_1_stimulus2_35_5c9d227be13994.26206749_0"	"PISA_uzb-UZB_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2022"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S620_question1_itemDirections4_5c9d227b58ce01.50665487_1_0"	"PISA_uzb-UZB_SCI_S620-Tornadoes_en21_MS2022.xlf"
"1368"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S603_question3_itemDirections3_5c9d227aadb029.42295251_0"	"PISA_uzb-UZB_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"472"	"4"	"-"	"S425_stimulus2_t1tr1td5_5c9d22abe898f6.96194284_2_0"	"PISA_uzb-UZB_SCI_S425-PenguinIsland_en21_MS2022.xlf"
