"Segment"	"en-ZZ"	"de-CH"	"ID"	"File"
"4414"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_deu-CHE_REA_R565-SittingDisease_en18_MS2022.xlf"
"4735"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_deu-CHE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2691"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_deu-CHE_REA_R550-CliffPalace_en18_MS2022.xlf"
"4233"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b5aea95.72363860_1_0"	"PISA_deu-CHE_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2290"	"Graphic Novel"	"Comic-Romane"	"R547_question10_q10t2r7c2_56fc782e158fe8.95342582_0"	"PISA_deu-CHE_REA_R547-BookSurvey_en18_MS2022.xlf"
"54"	"&lt;i&gt;Refer to the two-page newspaper article on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Beziehe dich auf den zweiseitigen Artikel auf der rechten Seite. Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R102_question_itemDirections_50c7aeaf2c09b4.67261170_0"	"PISA_deu-CHE_REA_R102-Shirts_en15_MS2022.xlf"
"3678"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_deu-CHE_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Für Einkäufe zwischen SFr. 60.- und SFr. 149.95 wird Richtig Arbeiten Ihnen SFr. &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;.- zurückerstatten.&lt;br /&gt; &gt; Für Einkäufe zwischen SFr. 150.- und SFr. 299.95 wird Richtig Arbeiten Ihnen SFr. 50.- zurückerstatten.&lt;br /&gt; &gt; Für Einkäufe über SFr. 300.- wird Richtig Arbeiten Ihnen SFr. 100.- zurückerstatten.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9543658d7.49793241_0"	"PISA_deu-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"2609"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_deu-CHE_REA_R550-CliffPalace_en18_MS2022.xlf"
"3896"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b3f8a36.71119956_1_0"	"PISA_deu-CHE_REA_R562-OpeningNight_en18_MS2022.xlf"
"5208"	"Location"	"Ort"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_deu-CHE_REA_R569-TheCleanup_en18_MS2022.xlf"
"4536"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_1_0"	"PISA_deu-CHE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5189"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"q1R569_question_q01itemDirections_56fc78794dc632.42190211_1_0"	"PISA_deu-CHE_REA_R569-TheCleanup_en18_MS2022.xlf"
"3918"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_deu-CHE_REA_R562-OpeningNight_en18_MS2022.xlf"
"5457"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R570_question09_q09itemDirections_56fc7879881e32.81696271_1_0"	"PISA_deu-CHE_REA_R570-TheFavour_en18_MS2022.xlf"
"5544"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_1_0"	"PISA_deu-CHE_REA_R590-Sentences01_en18_MS2022.xlf"
"2253"	"Graphic Novel"	"Comic-Romane"	"R547_question10_q10t1r3c2_56fc782e14e633.69091002_0"	"PISA_deu-CHE_REA_R547-BookSurvey_en18_MS2022.xlf"
"4547"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_deu-CHE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1064"	"Post code:"	""	"R466_stimulus_line12_50c7c954369542.58385046_0"	"PISA_deu-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"3224"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein."	"R556_question7_itemDirections_56fc783ad9edc5.41424598_1_0"	"PISA_deu-CHE_REA_R556-Microlending_en18_MS2022.xlf"
"5222"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"q3R569_question_q03itemDirections_56fc7879509f05.07375639_1_0"	"PISA_deu-CHE_REA_R569-TheCleanup_en18_MS2022.xlf"
"3620"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_deu-CHE_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2717"	"&lt;b&gt;Subject:&lt;/b&gt; RE: Volunteer &amp;ndash; FestiRock"	"&lt;b&gt;Betreff:&lt;/b&gt; AW: Freiwillige &amp;ndash; FestiRock"	"pg1_stimulus_pg1-li2-3_56fd7942571067.52470480_0"	"PISA_deu-CHE_REA_R552-FestiRock_en18_MS2022.xlf"
"4542"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_1_0"	"PISA_deu-CHE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2355"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_1_0"	"PISA_deu-CHE_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5029"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_deu-CHE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5168"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_1_0"	"PISA_deu-CHE_REA_R569-TheCleanup_en18_MS2022.xlf"
"3618"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_deu-CHE_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3934"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein. &lt;/i&gt;"	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_deu-CHE_REA_R562-OpeningNight_en18_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"ALLGEMEINE BEDINUNGEN DES 10 JAHRE-SFR. 100-ANGEBOTES&lt;br /&gt; 1. Die Werbekampagne schliesst Grossisten und Einzelhändler aus, die diese Produkte verkaufen. 2. Das Angebot gilt nur für die folgenden Richtig Arbeiten-Produktpaletten: Schreibwaren, Druck- und Werbeprodukte, technisches Zubehör. Alle anderen Richtig Arbeiten-Produkte sind vom Angebot ausgeschlossen, insbesondere Büromöbel."	"R466_stimulus_section4_50c7c95436bd23.34602298_0"	"PISA_deu-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"1150"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R540Q05Body_Q05itemDirections_56fc7820b50ae8.46984171_1_0"	"PISA_deu-CHE_REA_R540-BuildingALegend_en18_MS2022.xlf"
"582"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;SÜDPOL- Dokument 2&lt;/b&gt;"	"R220_stimulus_title_50c7c059ca7973.80996876_0"	"PISA_deu-CHE_REA_R220-SouthPole_en15_MS2022.xlf"
"3770"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_deu-CHE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Füllen&lt;/b&gt; Sie das unten stehende Formular aus.&lt;br /&gt; &lt;b&gt;3/ Fügen&lt;/b&gt; Sie eine Kopie Ihrer Einkaufsquittung sowie den/die Strichcode(s) oder das/die Preisschild(er) der Originalprodukte bei.&lt;br /&gt; &lt;b&gt;4/ Senden&lt;/b&gt; Sie alles innerhalb von 15 Tagen nach dem Einkauf an die folgende Adresse:&lt;br /&gt;"	"R466_stimulus_section2_50c7c954365b63.13062403_0"	"PISA_deu-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"4648"	"Click on a choice and then type an explanation to answer the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_deu-CHE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5077"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_1_0"	"PISA_deu-CHE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"569"	"Scott, the Englishman, and"	"von Scott, dem Engländer, und and"	"R220_stimulus_li1_50c7c059c756d7.79187590_0"	"PISA_deu-CHE_REA_R220-SouthPole_en15_MS2022.xlf"
"1062"	"County/ State:"	"Postleitzahl:"	"R466_stimulus_s2line11_50c7c954368dd4.96893907_0"	"PISA_deu-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"5175"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_1_0"	"PISA_deu-CHE_REA_R569-TheCleanup_en18_MS2022.xlf"
"1606"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"question0b_1_itemDirections00_56fc7821309e26.00768085_1_0"	"PISA_deu-CHE_REA_R543-Nobel_en18_MS2022.xlf"
"5345"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_1_0"	"PISA_deu-CHE_REA_R570-TheFavour_en18_MS2022.xlf"
"325"	"TO"	"BIS ZUM"	"R219_stimulus_sect4Line3span4_50c7b78abe3150.56347055_0"	"PISA_deu-CHE_REA_R219-Employment_en15_MS2022.xlf"
"3763"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_deu-CHE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2812"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_deu-CHE_REA_R552-FestiRock_en18_MS2022.xlf"
"4560"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_deu-CHE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4764"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_deu-CHE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4237"	"Click on the NEXT arrow to read the brochure."	"Klicke auf den WEITER-Pfeil, um die Broschüre zu lesen."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_deu-CHE_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5533"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_deu-CHE_REA_R590-Sentences01_en18_MS2022.xlf"
"5557"	"&lt;i&gt;Read the information below."	"Lies die Informationen unten."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_deu-CHE_REA_R590-Sentences01_en18_MS2022.xlf"
"5353"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R570_question01_q01itemDirections_56fc787977c2c5.49256860_1_0"	"PISA_deu-CHE_REA_R570-TheFavour_en18_MS2022.xlf"
"3485"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R559_question01_q01itemDirections_56fc783b245423.47469729_1_0"	"PISA_deu-CHE_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"2384"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R549_question04_q04itemDirections_56fc786ad05882.39043317_1_0"	"PISA_deu-CHE_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3477"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b2348f3.80349298_1_0"	"PISA_deu-CHE_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5335"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_deu-CHE_REA_R570-TheFavour_en18_MS2022.xlf"
"4299"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein. &lt;/i&gt;"	"R564_question05_q05itemDirections_56fc783b60b828.68348774_1_0"	"PISA_deu-CHE_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2835"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_deu-CHE_REA_R552-FestiRock_en18_MS2022.xlf"
"2349"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_deu-CHE_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4849"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_1_0"	"PISA_deu-CHE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3346"	"&lt;i&gt;Read the information below."	"Lies die Informationen unten."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_deu-CHE_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4837"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_1_0"	"PISA_deu-CHE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4118"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_deu-CHE_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4393"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R565_question2_itemDirections_56fc785d5accf1.97912779_1_0"	"PISA_deu-CHE_REA_R565-SittingDisease_en18_MS2022.xlf"
"2009"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_1_0"	"PISA_deu-CHE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4930"	"Image Credit: NASA"	"Bild: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_deu-CHE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3686"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_1_0"	"PISA_deu-CHE_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1520"	"Tutors for All"	"Aufgabenhilfe für alle"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_deu-CHE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2238"	"Zedtown High’s favourite fiction genres of books"	"Beliebteste Genres der Unterhaltungsbücher am Gymnasium Zedstadt."	"R547_question10_chartTitle_56fc782e14aac4.83822508_0"	"PISA_deu-CHE_REA_R547-BookSurvey_en18_MS2022.xlf"
"3412"	"Click on a search result to answer the question."	"Klicke ein Suchergebnis an, um die Frage zu beantworten."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_deu-CHE_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5367"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R570_question02_q02itemDirections_56fc787978f2e5.90111872_1_0"	"PISA_deu-CHE_REA_R570-TheFavour_en18_MS2022.xlf"
"5022"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R568_question04_q04itemDirections_56fc784aa79954.99366440_1_0"	"PISA_deu-CHE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5072"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_deu-CHE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5032"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_deu-CHE_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1990"	"Is the statement true or false?"	"Ist die Aussage gemäss dem Prospekt richtig oder falsch?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_deu-CHE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4109"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_deu-CHE_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5330"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_1_0"	"PISA_deu-CHE_REA_R570-TheFavour_en18_MS2022.xlf"
