"Segment"	"en-ZZ"	"uk-UA"	"ID"	"File"
"5042"	"Click on a choice and then type an explanation to answer the question."	"Виберіть Вашу відповідь та клікніть на неї. Після цього введіть Ваше пояснення."	"R566_question09_q09itemDirections_5c9d225b351ba2.97186226_1_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2503"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f193cb0.19049584_1_0"	"PISA_ukr-UKR_REA_R547-BookSurvey_en21_MS2022.xlf"
"4115"	"Use drag and drop to answer the question."	"Щоб відповісти на запитання, скористайтеся методом перетягування."	"R561_question05_q05itemDirections_5c9d225a5afbc9.95901936_1_0"	"PISA_ukr-UKR_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4633"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R564_question04_q04itemDirections_5c9d225adaca53.72529344_1_0"	"PISA_ukr-UKR_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"4599"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R564_question01_q01itemDirections_5c9d225ad74907.41710504_1_0"	"PISA_ukr-UKR_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"5154"	"on the right."	"наведеною справа."	"R567_question04_q04itemDirections_5c9d225b5e6145.15954865_1_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3430"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R556_question1_itemDirections_5c9d21a0206c18.88355179_2_0"	"PISA_ukr-UKR_REA_R556-Microlending_en21_MS2022.xlf"
"1443"	"&lt;b&gt;10 Years £100 offer"	"&lt;b&gt;79000, Україна, Львівська область"	"R466_stimulus_line5b_5c3f627f40b4d1.19359363_0_0"	"PISA_ukr-UKR_REA_R466-WorkRight_en21_MS2022.xlf"
"2044"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"R543_question11_itemDirections_5c9d219e7bf886.70940930_1_0"	"PISA_ukr-UKR_REA_R543-Nobel_en21_MS2022.xlf"
"4589"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00body_q00itemDirections_5c9d225ad63037.10388777_1_0"	"PISA_ukr-UKR_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"1485"	"2."	""	"R466_stimulus_section4_5c3f627f40d7d6.29012190_4_0"	"PISA_ukr-UKR_REA_R466-WorkRight_en21_MS2022.xlf"
"4213"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00body_q00itemDirections_5c9d225a833923.77937199_1_0"	"PISA_ukr-UKR_REA_R562-OpeningNight_en21_MS2022.xlf"
"4859"	"Newspaper Article"	"Стаття з газети"	"R566_Stimulus03_stimulus3_4_5c9d225b1dda78.84246250_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"361"	"S"	"Нд"	"R219_stimulus_stimulus_10_5c3f62717539a3.45073388_0"	"PISA_ukr-UKR_REA_R219-Employment_en21_MS2022.xlf"
"1352"	"WORK RIGHT"	"«ПРАЦЮЙ ПРАВИЛЬНО!»"	"R466_stimulus_stimulus_1_5c3f627f3ef864.86184445_0"	"PISA_ukr-UKR_REA_R466-WorkRight_en21_MS2022.xlf"
"5444"	"Click on a search result to answer the question."	"Щоб відповісти на запитання, виберіть результат пошуку та клікніть на нього."	"R568_question05_q05p2_5c9d225b944012.35673014_1_0"	"PISA_ukr-UKR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"4810"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R565_question7_itemDirections_5c9d225b067290.45114409_1_0"	"PISA_ukr-UKR_REA_R565-SittingDisease_en21_MS2022.xlf"
"4741"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Після цього клікніть на стрілку УПЕРЕД.&lt;/i&gt;"	"question00a_1_itemDirections00_5c9d225af0b1a4.44659479_1_0"	"PISA_ukr-UKR_REA_R565-SittingDisease_en21_MS2022.xlf"
"633"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°."	"14 грудня 1911 року Амундсен і його супутники досягли славнозвісних 90°."	"R220_stimulus_p4_5c3f6273df8e82.57311655_0_0"	"PISA_ukr-UKR_REA_R220-SouthPole_en21_MS2022.xlf"
"5995"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q0cR590_question_q0citemDirections_5c9d225c188e29.39374988_1_0"	"PISA_ukr-UKR_REA_R590-Sentences01_en21_MS2022.xlf"
"5509"	"Refer to both sources on the right by clicking on each of the tabs."	"Ознайомтеся з обома наведеними справа інформаційними джерелами, клікнувши на відповідні вкладки."	"R568_question10_q10itemDirections_5c9d225b9f0d59.48638070_0_0"	"PISA_ukr-UKR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"4487"	"Refer to the different webpages of the website on the right."	"Ознайомтеся з наведеними справа різними сторінками вебсайта."	"R563_question05_q05itemDirections_5c9d225aaed320.38553670_0_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3579"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Після цього клікніть на стрілку УПЕРЕД.&lt;/i&gt;"	"question00a_1_itemDirections00_5c9d2259cfa214.87345836_1_0"	"PISA_ukr-UKR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2731"	"Click on the choices in the table to answer the question."	"У таблиці виберіть відповіді на запитання та клікніть на них."	"R549_question08_q08itemDirections_5c9d219f5152d7.03553824_1_0"	"PISA_ukr-UKR_REA_R549-MessageInABottle_en21_MS2022.xlf"
"5675"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q4R569_question_q04itemDirections_5c9d225bc32b91.09930143_1_0"	"PISA_ukr-UKR_REA_R569-TheCleanup_en21_MS2022.xlf"
"4788"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R565_question5_itemDirections_5c9d225b036465.91005126_1_0"	"PISA_ukr-UKR_REA_R565-SittingDisease_en21_MS2022.xlf"
"3662"	"Click on a search result to answer the question.&lt;/i&gt;"	"Щоб відповісти на запитання, виберіть результат пошуку та клікніть на нього.&lt;/i&gt;"	"R558_question7_itemDirections_5c9d2259de3d30.86993518_1_0"	"PISA_ukr-UKR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"6011"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Після цього клікніть на стрілку УПЕРЕД.&lt;/i&gt;"	"q00body_q00itemDirections_5c9d225c1daca6.57636802_1_0"	"PISA_ukr-UKR_REA_R590-Sentences01_en21_MS2022.xlf"
"3944"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00abody_q00aitemDirections_5c9d225a310689.57957911_1_0"	"PISA_ukr-UKR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"3467"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R556_question5_itemDirections_5c9d21a02610c3.63790339_1_0"	"PISA_ukr-UKR_REA_R556-Microlending_en21_MS2022.xlf"
"4475"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_1_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3727"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00body_q00itemDirections_5c9d225a083229.64311247_1_0"	"PISA_ukr-UKR_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"3673"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Виберіть Ваші відповіді в таблиці та клікніть на них.&lt;/i&gt;"	"R558_question8_itemDirections_5c9d2259dff4b4.26787399_1_0"	"PISA_ukr-UKR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4258"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R562_question05_q05itemDirections_5c9d225a8a72c7.90956094_1_0"	"PISA_ukr-UKR_REA_R562-OpeningNight_en21_MS2022.xlf"
"2251"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R544_question5_itemDirections_5c9d219eb518f0.13045807_1_0"	"PISA_ukr-UKR_REA_R544-Tesla_en21_MS2022.xlf"
"4929"	"Click on the NEXT arrow to read the article."	"Щоб прочитати статтю, клікніть на стрілку УПЕРЕД.&lt;/i&gt;"	"q00a-body_q00a-p2_5c9d225b241d39.66934073_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4434"	"Close"	"Згорнути"	"R563-stimulus-news_close-btn_5c9d225aa51006.70823365_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4769"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R565_question_itemDirections_5c9d225b006c81.28991002_1_0"	"PISA_ukr-UKR_REA_R565-SittingDisease_en21_MS2022.xlf"
"1739"	"Click on the choices in the table to answer the question."	"У таблиці виберіть відповіді на запитання та клікніть на них."	"Q07_question_Q07itemDirections_5c9d219e3bd283.68280238_1_0"	"PISA_ukr-UKR_REA_R541-Plastic_en21_MS2022.xlf"
"3885"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R560_question03_q03itemDirections_5c9d225a29c2d3.40490537_1_0"	"PISA_ukr-UKR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"5805"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00c-body_q00c-itemDirections_5c9d225be4b0a6.34337423_1_0"	"PISA_ukr-UKR_REA_R570-TheFavour_en21_MS2022.xlf"
"2212"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"R544_question12_itemDirections_5c9d219eaecf11.08950368_1_0"	"PISA_ukr-UKR_REA_R544-Tesla_en21_MS2022.xlf"
"5686"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q5R569_question_q05itemDirections_5c9d225bc4c2b2.89213108_1_0"	"PISA_ukr-UKR_REA_R569-TheCleanup_en21_MS2022.xlf"
"4474"	"Refer to the different webpages of the website on the right."	"Ознайомтеся з наведеними справа різними сторінками вебсайта."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_0_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2065"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R543_question3_itemDirections_5c9d219e7f2af3.30104921_1_0"	"PISA_ukr-UKR_REA_R543-Nobel_en21_MS2022.xlf"
"3303"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R553_question4_q04itemDirections_5c9d219fde8d53.78783329_1_0"	"PISA_ukr-UKR_REA_R553-HealthForum_en21_MS2022.xlf"
"3587"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Після цього клікніть на стрілку УПЕРЕД.&lt;/i&gt;"	"question00b_1_itemDirections00_5c9d2259d0a923.54695152_1_0"	"PISA_ukr-UKR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2030"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R543_question1_itemDirections_5c9d219e7968e9.01052398_1_0"	"PISA_ukr-UKR_REA_R543-Nobel_en21_MS2022.xlf"
"5984"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q0aR590_question_q0aitemDirections_5c9d225c163889.38571216_1_0"	"PISA_ukr-UKR_REA_R590-Sentences01_en21_MS2022.xlf"
"4088"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R561_question03_q03itemDirections_5c9d225a55d7e2.08697913_1_0"	"PISA_ukr-UKR_REA_R561-OlympicFlag_en21_MS2022.xlf"
"3487"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R556_question8_itemDirections_5c9d21a02a9c27.07477347_1_0"	"PISA_ukr-UKR_REA_R556-Microlending_en21_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Ознайомтеся з наведеними справа різними сторінками вебсайта."	"R563_question10_q10itemDirections_5c9d225aba3a33.94198593_0_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3871"	"Click on a search result to answer the question."	"Щоб відповісти на запитання, виберіть результат пошуку та клікніть на нього."	"R560_question01_q0p1_5c9d225a275726.46916200_1_0"	"PISA_ukr-UKR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"5255"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q0a-body_q0a-itemDirections_5c9d225b68ba89.64609386_1_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5487"	"Refer to both sources on the right by clicking on each of the tabs."	"Ознайомтеся з обома наведеними справа інформаційними джерелами, клікнувши на відповідні вкладки."	"R568_question09_q09itemDirections_5c9d225b9a8f90.71311635_0_0"	"PISA_ukr-UKR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2881"	"Cliff Palace"	"Кільцева дорога"	"R550_map_label-cliff-loop_5c9d219f71c2a6.08437671_0_0"	"PISA_ukr-UKR_REA_R550-CliffPalace_en21_MS2022.xlf"
"3736"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R559_question01_q01itemDirections_5c9d225a094583.08629248_1_0"	"PISA_ukr-UKR_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"1430"	"20"	"2 000"	"R466_stimulus_q3key_5c3f627f40b130.65899791_0"	"PISA_ukr-UKR_REA_R466-WorkRight_en21_MS2022.xlf"
"5814"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R570_question01_q01itemDirections_5c9d225be5e855.55796963_1_0"	"PISA_ukr-UKR_REA_R570-TheFavour_en21_MS2022.xlf"
"5450"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R568_question06_q06itemDirections_5c9d225b95c7c2.45173392_1_0"	"PISA_ukr-UKR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2274"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R544_question9_itemDirections_5c9d219eb9e0e2.04420842_1_0"	"PISA_ukr-UKR_REA_R544-Tesla_en21_MS2022.xlf"
"3780"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R559_question05_q05itemDirections_5c9d225a0e2ce7.46367068_1_0"	"PISA_ukr-UKR_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"4065"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R561_question01_q01itemDirections_5c9d225a515840.43883744_1_0"	"PISA_ukr-UKR_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4861"	"Newspaper Article"	"Стаття з газети"	"R566_Stimulus04_stimulus4_4_5c9d225b1ef5a0.12653615_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"1435"	"&gt; For purchases of £300 or more, Work Right will reimburse you £100."	"&gt; За покупку на суму від 30 000 грн компанія «Працюй правильно!» поверне Вам 10 000 грн."	"R466_stimulus_line5_5c3f627f40b270.97139668_4_0"	"PISA_ukr-UKR_REA_R466-WorkRight_en21_MS2022.xlf"
"3769"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R559_question04_q04itemDirections_5c9d225a0cff90.81681556_1_0"	"PISA_ukr-UKR_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"4530"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R563_question08_q08itemDirections_5c9d225ab476b1.83289060_1_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"Ознайомтеся з наведеними справа різними сторінками вебсайта."	"R563_question08_q08itemDirections_5c9d225ab476b1.83289060_0_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2223"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"У таблиці виберіть відповіді на запитання та клікніть на них.&lt;/i&gt;"	"R544_question13_itemDirections_5c9d219eb05504.42221208_1_0"	"PISA_ukr-UKR_REA_R544-Tesla_en21_MS2022.xlf"
"3923"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R560_question06_q06itemDirections_5c9d225a2dfd60.74432509_1_0"	"PISA_ukr-UKR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4593"	"Click on the NEXT arrow to read the brochure."	"Щоб прочитати буклет, клікніть на стрілку УПЕРЕД."	"q00body_q00p3_5c9d225ad634e6.58888224_0"	"PISA_ukr-UKR_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"3622"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R558_question_itemDirections_5c9d2259d84ff4.24282581_1_0"	"PISA_ukr-UKR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5169"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Клікніть на &lt;b&gt;Істинне&lt;/b&gt; або &lt;b&gt;Хибне&lt;/b&gt; для кожного твердження."	"R567_question05_q05p1_5c9d225b5ff2e1.78908756_1_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4750"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R565_question01_itemDirections_5c9d225af1ed07.51831905_1_0"	"PISA_ukr-UKR_REA_R565-SittingDisease_en21_MS2022.xlf"
"4141"	"Click on a choice and then type an explanation to answer the question."	"Виберіть Вашу відповідь та клікніть на неї. Після цього введіть Ваше пояснення."	"R561_question07_q07itemDirections_5c9d225a5fcd11.45735862_1_0"	"PISA_ukr-UKR_REA_R561-OlympicFlag_en21_MS2022.xlf"
"5836"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R570_question03_q03itemDirections_5c9d225be86c06.71064198_1_0"	"PISA_ukr-UKR_REA_R570-TheFavour_en21_MS2022.xlf"
"1431"	"."	"грн."	"R466_stimulus_line5_5c3f627f40b270.97139668_0_0"	"PISA_ukr-UKR_REA_R466-WorkRight_en21_MS2022.xlf"
"1449"	"Hampshire, PI15 9SA&lt;/b&gt;"	"Акція «10 років — 10 000 грн»&lt;/b&gt;"	"R466_stimulus_line5b_5c3f627f40b4d1.19359363_6_0"	"PISA_ukr-UKR_REA_R466-WorkRight_en21_MS2022.xlf"
"2514"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R547_question6_itemDirections_5c9d219f1d98c8.80414353_1_0"	"PISA_ukr-UKR_REA_R547-BookSurvey_en21_MS2022.xlf"
"4439"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00-body_q00-itemDirections_5c9d225aa68e90.08981570_1_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"1742"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Клікніть на &lt;b&gt;Істинне&lt;/b&gt; або &lt;b&gt;Хибне&lt;/b&gt; для кожного твердження."	"Q07_question_Q07p2_5c9d219e3bd593.06084435_1_0"	"PISA_ukr-UKR_REA_R541-Plastic_en21_MS2022.xlf"
"5422"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R568_question03_q03itemDirections_5c9d225b919bb2.38251586_1_0"	"PISA_ukr-UKR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5155"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R567_question04_q04itemDirections_5c9d225b5e6145.15954865_2_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5795"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00b-body_q00b-itemDirections_5c9d225be38126.14757364_1_0"	"PISA_ukr-UKR_REA_R570-TheFavour_en21_MS2022.xlf"
"3954"	"Click on the NEXT arrow to read the article."	"Щоб прочитати статтю, клікніть на стрілку УПЕРЕД.&lt;/i&gt;"	"q00bbody_q00bp2_5c9d225a325971.00134322_0"	"PISA_ukr-UKR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"1417"	"WORK RIGHT"	"«ПРАЦЮЙ ПРАВИЛЬНО!»"	"R466_stimulus_stimulus2_1_5c3f627f40a770.51221106_0"	"PISA_ukr-UKR_REA_R466-WorkRight_en21_MS2022.xlf"
"4993"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R566_question05_q05itemDirections_5c9d225b2e4c18.97287601_1_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5134"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R567_question02_q02itemDirections_5c9d225b5ba536.69101290_2_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4269"	"Click on a choice and then type an explanation to answer the question."	"Виберіть Вашу відповідь та клікніть на неї. Після цього введіть Ваше пояснення."	"R562_question06_q06itemDirections_5c9d225a8c1f27.02066797_1_0"	"PISA_ukr-UKR_REA_R562-OpeningNight_en21_MS2022.xlf"
"5120"	"on the right."	"наведеною справа."	"R567_question01_q01itemDirections_5c9d225b5a5969.41932027_1_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4835"	"Newspaper Article"	"Стаття з газети"	"R566_Stimulus01_stimulus1_4_5c9d225b1ba0c1.01552199_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"3869"	"Click on a search result to answer the question."	"Щоб відповісти на запитання, виберіть результат пошуку та клікніть на нього."	"R560_question01_q01itemDirections_5c9d225a275490.54340907_1_0"	"PISA_ukr-UKR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"2076"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R543_question5_itemDirections_5c9d219e828549.10101766_1_0"	"PISA_ukr-UKR_REA_R543-Nobel_en21_MS2022.xlf"
"5006"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R566_question06_q06itemDirections_5c9d225b2fd044.38681925_1_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5502"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q0b-body_q0b-itemDirections_5c9d225b9d8809.57535043_1_0"	"PISA_ukr-UKR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5145"	"on the right."	"наведеною справа."	"R567_question03_q03itemDirections_5c9d225b5d0026.69007205_1_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4799"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R565_question6_itemDirections_5c9d225b04f336.55057763_1_0"	"PISA_ukr-UKR_REA_R565-SittingDisease_en21_MS2022.xlf"
"4467"	"Refer to the different webpages of the website on the right."	"Ознайомтеся з наведеними справа різними сторінками вебсайта."	"R563_question03_q03itemDirections_5c9d225aab50b2.11425491_0_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5166"	"on the right."	"наведеною справа."	"R567_question05_q05itemDirections_5c9d225b5ff135.78959172_1_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4488"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R563_question05_q05itemDirections_5c9d225aaed320.38553670_1_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5441"	"Click on a search result to answer the question."	"Щоб відповісти на запитання, виберіть результат пошуку та клікніть на нього."	"R568_question05_q05itemDirections_5c9d225b943d37.21487688_1_0"	"PISA_ukr-UKR_REA_R568-SpaceDebris_en21_MS2022.xlf"
