"Segment"	"en-ZZ"	"cs-CZ"	"ID"	"File"
"321"	"PHONE"	"TEL."	"R219_stimulus_sect4Line2span3_50c7b74cdbf1d7.00232366_0"	"PISA_ces-CZE_REA_R219-Employment_en15_MS2022.xlf"
"439"	"Antarctic Circle"	"Antarktický kruh"	"R220_stimulus_label5_50c7c021d0f4e2.19431623_0"	"PISA_ces-CZE_REA_R220-SouthPole_en15_MS2022.xlf"
"301"	"T"	"Čt"	"R219_stimulus_stimulus_7_50c7b74cdae7c3.01203359_0"	"PISA_ces-CZE_REA_R219-Employment_en15_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"VŠEOBECNÉ PODMÍNKY NABÍDKY 10 LET – 1 000 Kč&lt;br /&gt;1. Tato akce není určena velkoobchodníkům a maloobchodníkům, kteří prodávají stejný druh výrobků. 2. Nabídka se týká pouze následujících druhů výrobků ProKanceláře: kancelářské potřeby, potřeby pro tisk a prezentaci, počítačové příslušenství. Na žádné jiné výrobky ani na nábytek se tato nabídka ProKanceláře nevztahuje."	"R466_stimulus_section4_50c7c91e259500.45730552_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"304"	"S"	"Ne"	"R219_stimulus_stimulus_10_50c7b74cdaf873.47460522_0"	"PISA_ces-CZE_REA_R219-Employment_en15_MS2022.xlf"
"1041"	"WORK RIGHT"	"ProKancelář"	"R466_stimulus_stimulus2_1_50c7c91e251826.28420429_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"325"	"TO"	"DO"	"R219_stimulus_sect4Line3span4_50c7b74cdc1e10.91677376_0"	"PISA_ces-CZE_REA_R219-Employment_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"Odpověz na otázku kliknutím na jednu z možností a svou odpověď zdůvodni."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_ces-CZE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"518"	"Antarctic Circle"	"Antarktický kruh"	"R220_stimulus_label5_50c7c021d77083.93503614_0"	"PISA_ces-CZE_REA_R220-SouthPole_en15_MS2022.xlf"
"2800"	"Summer"	"Léto"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_ces-CZE_REA_R550-CliffPalace_en18_MS2022.xlf"
"1048"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1) Kupte&lt;/b&gt; si v jeden den od 15. prosince do 31. ledna u svého prodejce jeden nebo více výrobků* od ProKanceláře.&lt;br /&gt;"	"R466_stimulus_section2_50c7c91e252e45.94066873_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"2801"	"Autumn"	"Podzim"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_ces-CZE_REA_R550-CliffPalace_en18_MS2022.xlf"
"1040"	"WORK RIGHT"	"ProKancelář"	"R466_stimulus_title_50c7c91e2511f9.03642427_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"600 až 1 499 Kč&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c91e258152.07814789_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"589"	"continuous&lt;br /&gt;daylight"	"polárn&lt;br /&gt;den"	"R220_stimulus_label7_50c7c021dea571.80283898_0"	"PISA_ces-CZE_REA_R220-SouthPole_en15_MS2022.xlf"
"576"	"The worst has happened"	"Stalo se to nejhorší..."	"R220_stimulus_stimulusHQ4_3_50c7c021daf523.50620211_0"	"PISA_ces-CZE_REA_R220-SouthPole_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Je podle letáku toto tvrzení pravdivé, nebo nepravdivé?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_ces-CZE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Napiš svou odpověď na otázku."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_ces-CZE_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"587"	"Antarctic Circle"	"Antarktický kruh"	"R220_stimulus_label5_50c7c021de9f28.47473208_0"	"PISA_ces-CZE_REA_R220-SouthPole_en15_MS2022.xlf"
