"Segment"	"en-ZZ"	"be-BY"	"ID"	"File"
"1045"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Увага!  Не забудзьце далучыць:&lt;/b&gt;&lt;br /&gt; &amp;mdash; Копію дакумента, які пацвярджае пакупку&lt;br /&gt; &amp;mdash; Штрыхкод(ы) ці цэннікі набытых тавараў&lt;br /&gt;"	"R466_stimulus_sect3right_56f9cf6b209329.83744264_0"	"PISA_bel-BLR_REA_R466-WorkRight_en18_MS2022.xlf"
"4665"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00body_q00itemDirections_56fc783b5aea95.72363860_0_0"	"PISA_bel-BLR_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2380"	"Graphic Novel/ Comics&lt;br/&gt;28%"	"Графічны раман/коміксы&lt;br/&gt;28%"	"R547_question10_comicsLbl_56fc782e14b486.46787487_0"	"PISA_bel-BLR_REA_R547-BookSurvey_en18_MS2022.xlf"
"3020"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_0_0"	"PISA_bel-BLR_REA_R552-FestiRock_en18_MS2022.xlf"
"3030"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R552_question01_q01itemDirections_56fd79425dd6c9.52135901_1_0"	"PISA_bel-BLR_REA_R552-FestiRock_en18_MS2022.xlf"
"399"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1 чэрвеня 1910 група англічан (шэсцьдзясят пяць чалавек, сямнаццаць поні і трыццаць сабак) выправілася з еўрапейскага кантынента на старым шатландскім кітабоі &quot;Terra Nova&quot; (&quot;Новая Зямля&quot;). Падрыхтоўка заняла амаль год. Экспедыцыя мела дзве мэты: выканаць праграму навуковых даследаванняў, а таксама, канечне, скарыць Паўднёвы полюс. Нечакана Скот даведаўся, што ў яго ёсць грозны сапернік &amp;mdash; нарвежац Руаль Амундсен."	"R220_stimulus_p1_56f9cf6a918423.01622713_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"3779"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00body_q00itemDirections_56fc783b2348f3.80349298_0_0"	"PISA_bel-BLR_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1027"	"Each line must be completed.&lt;br /&gt;"	"(Запоўніць трэба ўсе радкі)&lt;br /&gt;"	"R466_stimulus_section3_56f9cf6b205ea4.67699720_0"	"PISA_bel-BLR_REA_R466-WorkRight_en18_MS2022.xlf"
"4606"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_1_0"	"PISA_bel-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5641"	"“No, I don’t believe this idea is the solution."	"&quot;Не, я не думаю, што гэта ідэя &amp;mdash; рашэнне праблемы."	"R568_question09_q09p1_56fc784aaf54f2.48102179_1_0"	"PISA_bel-BLR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"689"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Прачытайце &lt;b&gt;1&lt;/b&gt;-ю старонку."	"R404_question_introBullet1_56f9cf6abc7606.58659196_0"	"PISA_bel-BLR_REA_R404-Sleep_en18_MS2022.xlf"
"622"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Паўднёвы полюс&lt;/b&gt;&lt;br /&gt; Пытанне"	"R220_question_itemTitle_56f9cf6aa6f339.73423646_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"5375"	"Read the Introduction."	"Прачытайце ўводзіны."	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_0_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1046"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"АГУЛЬНЫЯ ЎМОВЫ РЭКЛАМНАЙ АКЦЫІ &quot;НАМ 10 ГАДОЎ &amp;mdash; ВАМ 100 РУБЛЁЎ&lt;br /&gt; 1.   Рэкламная акцыя не пашыраецца на аптовых і рознічных прадаўцоў тавараў такога асартыменту.  2.  У акцыі прымаюць удзел толькі прадукты кампаніі &quot;Зручны офіс&quot;: канцылярскія тавары, матэрыялы для друку і рэкламы, тэхнічныя сродкі. На іншыя тавары кампаніі &quot;Зручны офіс&quot;, у прыватнасці, офісную мэблю, зніжкі не дзейнічаюць."	"R466_stimulus_section4_56f9cf6b2098a3.29076301_0"	"PISA_bel-BLR_REA_R466-WorkRight_en18_MS2022.xlf"
"474"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;ПАЎДНЁВЫ ПОЛЮС &amp;ndash; Дакумент 1&lt;/b&gt;"	"R220_stimulus_title_56f9cf6a968765.23935634_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"1043"	"Between £150 and £299.99&lt;br /&gt;"	"Ад 150 да 299.99 рублёў&lt;br /&gt;"	"R466_stimulus_sect3left_56f9cf6b208de3.96237584_0"	"PISA_bel-BLR_REA_R466-WorkRight_en18_MS2022.xlf"
"4944"	"Website"	"Вэб-сайт"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_bel-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2549"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R549_question05_q05itemDirections_56fc786ad175f6.19547762_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5777"	"Use drag and drop to answer the question."	"Выкарыстайце перацягванне, каб адказаць на пытанне."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_bel-BLR_REA_R569-TheCleanup_en18_MS2022.xlf"
"472"	"R220 South Pole"	"220 Паўднёвы полюс"	"R220_stimulus_unknownID_56f9cf6a9675e8.73424023_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"4184"	"Use drag and drop to answer the question."	"Выкарыстоўвайце перацягванне, каб адказаць на пытанне."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_bel-BLR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1666"	"Alfred Bernhard Nobel"	"«Альфрэд Бернхард Нобель»"	"R543_question11_question11_1_56fc782133e337.81489850_0"	"PISA_bel-BLR_REA_R543-Nobel_en18_MS2022.xlf"
"1547"	"Tutors for All"	"«Рэпетытары для ўсіх»"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_bel-BLR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4634"	"Type your answers to the questions."	"Запішыце свой адказ на пытанне."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_bel-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2615"	"Click on the choices in the table to answer the question."	"Адзначце варыянты ў табліцы, каб адказаць на пытанне."	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1042"	"Between £60 and £149.99&lt;br /&gt;"	"Ад 60 да 149.99 рублёў&lt;br /&gt;"	"R466_stimulus_sect3left_56f9cf6b208ba0.96327731_0"	"PISA_bel-BLR_REA_R466-WorkRight_en18_MS2022.xlf"
"287"	"S"	"Нядзеля"	"R219_stimulus_stimulus_10_56f9cf6a892f76.39393427_0"	"PISA_bel-BLR_REA_R219-Employment_en18_MS2022.xlf"
"4107"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00a-body_q00a-p1_56fc785d252639.73865870_0_0"	"PISA_bel-BLR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2529"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R549_question03_q03itemDirections_56fc786ace3d99.90483432_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5810"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"q4R569_question_q04itemDirections_56fc787951ec51.23159211_1_0"	"PISA_bel-BLR_REA_R569-TheCleanup_en18_MS2022.xlf"
"5332"	"Click on the choices in the table to answer the question."	"Адзначце варыянты ў табліцы, каб адказаць на пытанне."	"R567_question09_q09itemDirections_56fc7879177010.04490145_1_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6045"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R570_question07_q07itemDirections_56fc787980d0d7.70659870_1_0"	"PISA_bel-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"4207"	"Refer to both chats on the right by clicking on each of the tabs."	"Звярніцеся да абодвух чатаў справа, націскаючы на патрэбную закладку."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_0_0"	"PISA_bel-BLR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4538"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_1_0"	"PISA_bel-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5409"	"Click on the choices in the table to answer the question."	"Адзначце варыянты ў табліцы, каб адказаць на пытанне."	"R567_question11_q11itemDirections_56fc78791ff317.23437611_1_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5298"	"Refer to the Web Search on the right."	"Звярніцеся да тэксту &quot;Пошук у інтэрнэце&quot; справа."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5944"	"Click on the NEXT arrow to read the story."	"Націсніце на стрэлку ДАЛЕЙ, каб прачытаць казку."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_bel-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"4569"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_1_0"	"PISA_bel-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"6016"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R570_question05_q05itemDirections_56fc78797d7529.74542919_1_0"	"PISA_bel-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"4022"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_0_0"	"PISA_bel-BLR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"607"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Паўднёвы полюс&lt;/b&gt;&lt;br /&gt; Пытанне"	"R220_question_itemTitle_56f9cf6aa49023.77135356_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"5312"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Праўда&lt;/b&gt; ці &lt;b&gt;Няпраўда&lt;/b&gt; для кожнага сцвярджэння."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4208"	"Click on a choice and then type an explanation to answer the question."	"Выберыце адзін з варыянтаў і надрукуйце сваё тлумачэнне для адказу на пытанне."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_bel-BLR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4554"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_1_0"	"PISA_bel-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5310"	"Click on the choices in the table to answer the question."	"Адзначце варыянты ў табліцы, каб адказаць на пытанне."	"R567_question08_q08itemDirections_56fc78791571c6.14754122_1_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"339"	"R220 South Pole"	"220 Паўднёвы полюс"	"R220_stimulus_unknownID_56f9cf6a8f6252.27353211_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"1024"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2) Запоўніце&lt;/b&gt; бланк ніжэй.&lt;br /&gt; &lt;b&gt;3) Далучыце&lt;/b&gt; копію дакумента, які пацвярджае пакупку, а таксама штрыхкод(ы) ці цэннік(і) на куплены(ыя) тавар(ы).&lt;br /&gt; &lt;b&gt;4) Дашліце&lt;/b&gt; ўсё (на працягу 15 дзён пасля пакупкі) на наступны адрас:&lt;br /&gt;"	"R466_stimulus_section2_56f9cf6b205554.74269360_0"	"PISA_bel-BLR_REA_R466-WorkRight_en18_MS2022.xlf"
"150"	"£30"	"85 рублёў"	"R102_stimulus_tr17td3_56f9cf6a6a7c24.22018342_0"	"PISA_bel-BLR_REA_R102-Shirts_en18_MS2022.xlf"
"402"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"14 снежня 1911 Амундсен са спадарожнікамі дасягнуў неверагоднага 90°. 25 студзеня 1912 пераможная каманда вярнулася ў &quot;Фрамхейм&quot;, адолеўшы зваротны шлях за 97 дзён."	"R220_stimulus_p4_56f9cf6a918de8.45734094_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"4922"	"Web Search"	"Пошук у інтэрнэце"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_bel-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5288"	"Refer to the Web Search on the right."	"Звярніцеся да тэксту &quot;Пошук у інтэрнэце&quot; справа."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6030"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R570_question06_q06itemDirections_56fc78797f34f1.87101971_1_0"	"PISA_bel-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"3551"	"Web Search"	"Пошук у інтэрнэце"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_bel-BLR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"181"	"£30"	"85 рублёў"	"R102_stimulus_tr23td3_56f9cf6a6b1936.44199037_0"	"PISA_bel-BLR_REA_R102-Shirts_en18_MS2022.xlf"
"3741"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Звярніцеся да абедзвюх крыніц справа, націснуўшы на патрэбную ўкладку."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_bel-BLR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"82"	"£11"	"30 рублёў"	"R102_stimulus_tr5td3_56f9cf6a693042.53258526_0"	"PISA_bel-BLR_REA_R102-Shirts_en18_MS2022.xlf"
"393"	"R220 South Pole"	"220 Паўднёвы полюс"	"R220_stimulus_unknownID_56f9cf6a916603.43883659_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"2515"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R549_question02_q02itemDirections_56fc786acd2da2.66365134_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5824"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"q5R569_question_q05itemDirections_56fc78795345f0.48202417_1_0"	"PISA_bel-BLR_REA_R569-TheCleanup_en18_MS2022.xlf"
"4136"	"Type your answer to the question."	"Адзначце выбраны варыянт, а потым запішыце сваё тлумачэнне, каб адказаць на пытанне."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_bel-BLR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"586"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Паўднёвы полюс&lt;/b&gt;&lt;br /&gt; Пытанне"	"R220_question_itemTitle_56f9cf6aa21174.34694518_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"5146"	"Web Search"	"Пошук у інтэрнэце"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5045"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R566_question03_q03itemDirections_56fc786b848714.63479915_1_0"	"PISA_bel-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"544"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Прачытайце &lt;b&gt;1&lt;/b&gt;-ю старонку."	"R220_question_introBullet1_56f9cf6a9b6a93.91883178_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"2786"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00body_q00itemDirections_56fc785cdb7056.90765917_0_0"	"PISA_bel-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5657"	"Refer to both sources on the right by clicking on each of the tabs."	"Звярніцеся да абедзвюх крыніц справа, націскаючы на патрэбную ўкладку."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_bel-BLR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"416"	"In the southern spring of 1912 the bodies of Scott and his companions, their travel diaries and last letters were found."	"Паўднёвай вясной 1912 былі знойдзены целы Скота і яго таварышаў, іх падарожныя дзённікі і апошнія лісты."	"R220_stimulus_p6_56f9cf6a91af85.87341479_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"6149"	"Read the introduction."	"Прачытайце ўводзіны."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_0_0"	"PISA_bel-BLR_REA_R590-Sentences01_en18_MS2022.xlf"
"475"	"Document 1 describes the different stages of the contest between two teams, led by:"	"Дакумент 1 апісвае розныя этапы спаборніцтваў паміж дзвюма камандамі, якія ўзначальвалі:"	"R220_stimulus_abstract_56f9cf6a968a22.98119751_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"5269"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Праўда&lt;/b&gt; ці &lt;b&gt;Няпраўда&lt;/b&gt; для кожнага сцвярджэння."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5638"	"Refer to both sources on the right by clicking on each of the tabs."	"Звярніцеся да абедзвюх крыніц справа, націскаючы на патрэбную ўкладку."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_bel-BLR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5267"	"Click on the choices in the table to answer the question."	"Адзначце варыянты ў табліцы, каб адказаць на пытанне."	"R567_question05_q05itemDirections_56fc787910ed76.86602726_1_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"479"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Амундсен прагнуў перамогі на Паўднёвым полюсе. 14 студзеня 1911 ён высадзіўся ў Антарктыдзе, у Кітовай бухце. Разам з васьмю спадарожнікамі і 116 сабакамі Амундсен падрыхтаваўся правесці зіму на стацыянарнай базе &quot;Фрамхейм&quot;, пабудаванай на Бар'еры Роса. 20 кастрычніка 1911 Амундсен і чацвёра з яго людзей выправіліся з &quot;Фрамхейма&quot; заваёўваць Паўднёвы полюс на санках, запрэжаных дванаццаццю сабакамі. 17 лістапада прыблізна на 85° паўднёвай шыраты яны дасягнулі падножжа Трансантарктычных гор. Цяпер ім трэба было знайсці шлях праз гэты горны хрыбет. Пачалося жудаснае ўзыходжанне на ледавік Акселя Хейберга, пакрыты расколінамі."	"R220_stimulus_p2_56f9cf6a9698a2.49495331_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"5059"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R566_question04_q04itemDirections_56fc786b86c2c3.21174983_1_0"	"PISA_bel-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4277"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00body_q00itemDirections_56fc783b3f8a36.71119956_0_0"	"PISA_bel-BLR_REA_R562-OpeningNight_en18_MS2022.xlf"
"2593"	"Click on the choices in the table to answer the question."	"Адзначце варыянты ў табліцы, каб адказаць на пытанне."	"R549_question08_q08itemDirections_56fc786ad56205.34088832_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5075"	"Refer to the Web Search on the right."	"Звярніцеся да тэксту &quot;Пошук у інтэрнэце&quot; справа."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_bel-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"400"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Амундсен прагнуў перамогі на Паўднёвым полюсе. 14 студзеня 1911 ён высадзіўся ў Антарктыдзе, у Кітовай бухце. Разам з васьмю спадарожнікамі і 116 сабакамі Амундсен падрыхтаваўся правесці зіму на стацыянарнай базе &quot;Фрамхейм&quot;, пабудаванай на Бар'еры Роса. 20 кастрычніка 1911 Амундсен і чацвёра з яго людзей выправіліся з &quot;Фрамхейма&quot; заваёўваць Паўднёвы полюс на санках, запрэжаных дванаццаццю сабакамі. 17 лістапада прыблізна на 85° паўднёвай шыраты яны дасягнулі падножжа Трансантарктычных гор. Цяпер ім трэба было знайсці шлях праз гэты горны хрыбет. Пачалося жудаснае ўзыходжанне на ледавік Акселя Хейберга, пакрыты расколінамі."	"R220_stimulus_p2_56f9cf6a918791.70126115_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"418"	"R220 South Pole"	"220 Паўднёвы полюс"	"R220_stimulus_unknownID_56f9cf6a93aff6.84959616_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"4857"	"Give one example."	"Прывядзіце прыклад."	"R565_question4_q04p2_56fc785d5dbe67.20096851_0"	"PISA_bel-BLR_REA_R565-SittingDisease_en18_MS2022.xlf"
"3059"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R552_question03_q03itemDirections_56fd794260f3e6.11870453_1_0"	"PISA_bel-BLR_REA_R552-FestiRock_en18_MS2022.xlf"
