"Segment"	"en-ZZ"	"zh-HK"	"ID"	"File"
"2808"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; 根據以下資料，進行模擬來收集數據。點擊一個選擇來回答本題。&lt;/i&gt;"	"question4_1_itemDirections04_51940c103b3ee7.77719911_0"	"PISA_zho-HKG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2526"	"Yes"	"是"	"S638_question4_Q4_tr1th2_51804fe1884406.45077006_0"	"PISA_zho-HKG_SCI_S638-OilSpills_en15_MS2022.xlf"
"675"	"No"	"否"	"S478_question3_tr1th3_3_50ed1ddca20c34.33729345_0"	"PISA_zho-HKG_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt; 根據以下的資料，進行模擬去收集數據。點擊一個或多個方格來回答本題。&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_zho-HKG_SCI_S643-LightBulbs_en15_MS2022.xlf"
"3030"	"Year"	"年"	"S657_stimulus1_p25_518050dc49ea96.13591958_0"	"PISA_zho-HKG_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"在這個模擬中，你能夠看見各種不同電力水平的燈泡怎樣運作。燈泡測試器會顯示光線輸出量（以流明為單位計算）和燈泡的效率（以每瓦特多少流明為單位計算)。"	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_zho-HKG_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2459"	"RUN"	"進行"	"stimulus2_1_btn-run_51940bae4fd933.82718489_0"	"PISA_zho-HKG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔&lt;i&gt; 請緊記選擇&lt;b&gt;一個或多個&lt;/b&gt; 方格。&lt;/i&gt;"	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_zho-HKG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2919"	"No"	"否"	"S648_question4_question4_2_517407af761f92.59952877_0"	"PISA_zho-HKG_SCI_S648-HabitableZone_en15_MS2022.xlf"
"936"	"lower"	"較低"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_zho-HKG_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"602"	"Yes"	"是"	"S466_question2_tr1th2_2_50ed244f8d6341.29269322_0"	"PISA_zho-HKG_SCI_S466-ForestFires_en15_MS2022.xlf"
"2527"	"No"	"否"	"S638_question4_Q4_tr1th3_51804fe1884823.16228336_0"	"PISA_zho-HKG_SCI_S638-OilSpills_en15_MS2022.xlf"
"1970"	"Yes"	"是"	"S627_question3_Q3_tr1th2_51740713b4c208.20946014_0"	"PISA_zho-HKG_SCI_S627-CarTyres_en15_MS2022.xlf"
"505"	"No"	"否"	"S438_question1_tr1th3q1_50ec5703ae7340.68536478_0"	"PISA_zho-HKG_SCI_S438-GreenParks_en15_MS2022.xlf"
"658"	"No"	"否"	"S478_question2_tr1th3_2_50ed1ddca050c5.32682835_0"	"PISA_zho-HKG_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2960"	"Star 3"	"恆星3"	"S642_stimulus2_lable2_4_517407af83b3b6.40189277_0"	"PISA_zho-HKG_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2063"	"No"	"否"	"S629_question4_Q4_tr1th3_515e3a728b0012.40079343_0"	"PISA_zho-HKG_SCI_S629-SolarCooker_en15_MS2022.xlf"
"1397"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;菊石&lt;/b&gt;&lt;br /&gt; 問題"	"S608_question3_itemTitle3_515e3a722cec14.53047179_0"	"PISA_zho-HKG_SCI_S608-Ammonoids_en15_MS2022.xlf"
"219"	"Yes"	"是"	"S413_question2_tr1th2_2_50ec42b43b66a5.52789987_0"	"PISA_zho-HKG_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2723"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大氣中的二氧化碳&lt;/b&gt;&lt;br /&gt;問題"	"S645_question3_itemTitle3_5180507a8047c6.16315276_0"	"PISA_zho-HKG_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2359"	"No"	"否"	"question4_1_question4_4_51940bae428b27.01236807_0"	"PISA_zho-HKG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"320"	"No"	"否"	"S415_question3_tr1th3_2_50ec3dee1b6277.51464574_0"	"PISA_zho-HKG_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"585"	"Yes"	"是"	"S466_question1_tr1th2_1_50ed244f8bc394.85799899_0"	"PISA_zho-HKG_SCI_S466-ForestFires_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;點擊一個選擇來回答本題。&lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_zho-HKG_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2850"	"No"	"否"	"question6_1_question6_8_51940c103ef681.03421965_0"	"PISA_zho-HKG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"透過此模擬實驗，你可以觀察到物質A 與物質B 的反應結果。你可以從中得知兩種物質的體積如何影響粒子大小及其反應時間。"	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_zho-HKG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1971"	"No"	"否"	"S627_question3_Q3_tr1th3_51740713b4c9b2.19457637_0"	"PISA_zho-HKG_SCI_S627-CarTyres_en15_MS2022.xlf"
"2739"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大氣中的二氧化碳&lt;/b&gt;&lt;br /&gt; 問題"	"S645_question5_itemTitle5_5180507a837bb1.50024156_0"	"PISA_zho-HKG_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2918"	"Yes"	"是"	"S648_question4_question4_1_517407af7617a8.52939212_0"	"PISA_zho-HKG_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2849"	"Yes"	"是"	"question6_1_question6_7_51940c103ef290.31886289_0"	"PISA_zho-HKG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1377"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;菊石&lt;/b&gt;&lt;br /&gt; 問題"	"S608_question2_QitemTitle2_515e3a722adb27.71829867_0"	"PISA_zho-HKG_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2734"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大氣中的二氧化碳&lt;/b&gt;&lt;br /&gt; 問題"	"S645_question4_itemTitle4_5180507a81f077.18602071_0"	"PISA_zho-HKG_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2111"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;有傳染性的：&lt;/b&gt;處於該狀態的個體已患上這種疾病，並且可以傳染他人。"	"question000_1_t1tr2td2_5193fde5991bb9.29730595_0"	"PISA_zho-HKG_SCI_S634-Vaccination_en15_MS2022.xlf"
"2894"	"."	"的溫度最接近。"	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_zho-HKG_SCI_S648-HabitableZone_en15_MS2022.xlf"
"657"	"Yes"	"是"	"S478_question2_tr1th2_2_50ed1ddca04e74.00169791_0"	"PISA_zho-HKG_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2358"	"Yes"	"是"	"question4_1_question4_3_51940bae428733.86561816_0"	"PISA_zho-HKG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2014"	"No"	"否"	"S629_question2_Q1_tr1th3_515e3a72815a71.79521214_0"	"PISA_zho-HKG_SCI_S629-SolarCooker_en15_MS2022.xlf"
"674"	"Yes"	"是"	"S478_question3_tr1th2_3_50ed1ddca209a7.38295079_0"	"PISA_zho-HKG_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; 根據以下資料，進行模擬來收集數據。點擊一個選擇來回答本題。&lt;/i&gt;"	"question2_1_itemDirections02_51940c10381160.17280342_0"	"PISA_zho-HKG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"220"	"No"	"否"	"S413_question2_tr1th3_2_50ec42b43b69b6.93981086_0"	"PISA_zho-HKG_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2013"	"Yes"	"是"	"S629_question2_Q1_tr1th2_515e3a72815561.18237803_0"	"PISA_zho-HKG_SCI_S629-SolarCooker_en15_MS2022.xlf"
"861"	"No"	"否"	"S527_question3_tr1th4_3_50ec1f771b54f8.74365527_0"	"PISA_zho-HKG_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2209"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;點擊一個或多個方格來回答問題。&lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_zho-HKG_SCI_S634-Vaccination_en15_MS2022.xlf"
"319"	"Yes"	"是"	"S415_question3_tr1th2_2_50ec3dee1b6025.65756156_0"	"PISA_zho-HKG_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"117"	"No"	"否"	"S408_question3_tr1th3_50ec3abd41aa69.18939697_0"	"PISA_zho-HKG_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"292"	"No"	"否"	"S415_question1_tr1th3_1_50ec3dee1886e9.53838897_0"	"PISA_zho-HKG_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"2455"	"None"	"沒有"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_zho-HKG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1833"	"Yes"	"是"	"S626_question4_question4_2_515e3a726d0711.54933273_0"	"PISA_zho-HKG_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;點擊一個選擇來回答本題。&lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_zho-HKG_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"刪除一橫行數據去進行另一次試驗。"	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_zho-HKG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"860"	"Yes"	"是"	"S527_question3_tr1th3_3_50ec1f771b52b6.81343192_0"	"PISA_zho-HKG_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"1364"	"Birds and Caterpillars Introduction"	"雀鳥和毛蟲 介紹"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_zho-HKG_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1834"	"No"	"否"	"S626_question4_question4_3_515e3a726d0f76.55989842_0"	"PISA_zho-HKG_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"737"	"No"	"否"	"S498_question3_question3_2_50ec5d795124c0.13179024_0"	"PISA_zho-HKG_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2062"	"Yes"	"是"	"S629_question4_Q4_tr1th2_515e3a728afba3.43461639_0"	"PISA_zho-HKG_SCI_S629-SolarCooker_en15_MS2022.xlf"
"1363"	"Birds and Caterpillars Introduction"	"雀鳥和毛蟲 介紹"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_zho-HKG_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"708"	"No"	"否"	"S498_question1_tr1th3_50ec5d794dff27.63854809_0"	"PISA_zho-HKG_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"根據以下步驟，看看所有的控制項目在模擬中如何運作："	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_zho-HKG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1416"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;菊石&lt;/b&gt;&lt;br /&gt; 問題"	"S608_question4_itemTitle4_515e3a722f9366.46649527_0"	"PISA_zho-HKG_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;痊癒的 / 已接種疫苗的：&lt;/b&gt;處於這狀態的個體曾經患上這種疾病並已經痊癒，或者曾經接種過疫苗來預防疾病。在這個模擬中，這些個體不會患病。"	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_zho-HKG_SCI_S634-Vaccination_en15_MS2022.xlf"
"935"	"higher"	"較高"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_zho-HKG_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"504"	"Yes"	"是"	"S438_question1_tr1th2q1_50ec5703ae70d9.43967736_0"	"PISA_zho-HKG_SCI_S438-GreenParks_en15_MS2022.xlf"
