"Segment"	"en-ZZ"	"sk-SK"	"ID"	"File"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni buď na &lt;b&gt;Áno&lt;/b&gt;, alebo na &lt;b&gt;Nie&lt;/b&gt; pri každom z tvrdení."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_slo-SVK_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4580"	"D"	"A"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Klikni na dve možnosti a odpovedz tak na otázku."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_slo-SVK_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4590"	"D"	"A"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Vyber z jednotlivých rozbaľovacích zoznamov odpoveď na otázku."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_slo-SVK_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni buď na &lt;b&gt;Áno&lt;/b&gt;, alebo na &lt;b&gt;Nie&lt;/b&gt; pri každom z tvrdení."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_slo-SVK_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Postupuj podľa nasledujúcich krokov a zisti, ako sa kalkulačka používa:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_slo-SVK_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni buď na &lt;b&gt;Pravda&lt;/b&gt;, alebo na &lt;b&gt;Nepravda&lt;/b&gt; pri každom tvrdení."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_slo-SVK_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Svoju odpoveď vysvetli a zdôvodnenie podlož číselnými hodnotami."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_slo-SVK_MAT_MA146-Fuel_en21_MS2022.xlf"
"4948"	"Agriculture"	"Poľnohospodárstva"	"q3MA160_question_question03_5_5c9d21377f8502.68715278_0"	"PISA_slo-SVK_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Nezabudni, že môžeš vybrať &lt;b&gt;jednu alebo viac&lt;/b&gt; možností."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_slo-SVK_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_slo-SVK_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_slo-SVK_MAT_MA144-Yogurt_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Postupuj podľa nasledujúcich krokov a zisti, ako sa kalkulačka používa:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_slo-SVK_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Nezabudni, že môžeš vybrať &lt;b&gt;jednu alebo viac&lt;/b&gt; možností."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_slo-SVK_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Vyber z jednotlivých rozbaľovacích zoznamov odpoveď na otázku."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_slo-SVK_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4598"	"A"	"D"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"D"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5306"	"Click on the &lt;img src=&quot;image/sorted.png&quot; id=&quot;q0bimg1&quot;/&gt; symbol in Column B, C, or D to sort that column in descending order."	"Klikni na symbol &lt;img src=&quot;image/sorted.png&quot; id=&quot;q0bimg1&quot;/&gt; v stĺpci B, C alebo D a zoraď tak hodnoty v príslušnom stĺpci vo vzostupnom poradí (od najnižšej hodnoty po najvyššiu)."	"q0bMA162_question_q0bli1a_5c9d2137ceb152.58887546_0"	"PISA_slo-SVK_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4932"	"Agriculture"	"Poľnohospodárstva"	"q2MA160_question_question02_15_5c9d21377ddb03.03861880_0"	"PISA_slo-SVK_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5075"	"Statement"	"Otázka"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_slo-SVK_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
