"Segment"	"en-ZZ"	"sl-SI"	"ID"	"File"
"1454"	"No"	"Ne"	"Q2M967_question_Q2tr1th3_5c9d20c9d209d7.91554853_0"	"PISA_slv-SVN_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"960"	"zeds"	"zedov."	"Q2M919_question_Q2sp1_50c78cf51ce8a5.74067506_0"	"PISA_slv-SVN_MAT_M919-FanMerchandise_en15_MS2022.xlf"
"1194"	"No"	"Ne"	"Q1M949_question_Q1tr1th3_50c7a9c414b6d8.10668877_0"	"PISA_slv-SVN_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"1375"	"Canada"	"Indija"	"M955_stimulus_tr4td1_50c79113a0d0c2.99564127_0"	"PISA_slv-SVN_MAT_M955-Migration_en15_MS2022.xlf"
"1599"	"No"	"Ne"	"Q2M998_question_Q2tr1th3_50c79446a8a231.19658582_0"	"PISA_slv-SVN_MAT_M998-BikeRental_en15_MS2022.xlf"
"1276"	"&lt;b&gt;Flu Test&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;TEST ZA ODKRIVANJE GRIPE&lt;/b&gt;&lt;br /&gt; vprašanje"	"Q2M953_question_Q2itemTitle_50c77e71cb4cd2.50471395_0"	"PISA_slv-SVN_MAT_M953-FluTest_en15_MS2022.xlf"
"953"	"zeds"	"zedov."	"Q1M919_question_Q1sp1_50c78cf5154032.81170594_0"	"PISA_slv-SVN_MAT_M919-FanMerchandise_en15_MS2022.xlf"
"652"	"Step 1:"	"1. korak :"	"M603_stimulus2_s2_s1_1_50c7869c090162.65765353_0"	"PISA_slv-SVN_MAT_M603-NumberCheck_en15_MS2022.xlf"
"861"	"330 zeds"	"330 zedov."	"Q2M909_question_question2_4_50c79dafd6db93.28261596_0"	"PISA_slv-SVN_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1598"	"Yes"	"Da"	"Q2M998_question_Q2tr1th2_50c79446a89f92.23524127_0"	"PISA_slv-SVN_MAT_M998-BikeRental_en15_MS2022.xlf"
"1478"	"No"	"Ne"	"Q3M982_question_Q3tr1th3_50c793376cafc6.30416871_0"	"PISA_slv-SVN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"782"	"Yes"	"Da"	"Q1M905_question_Q1tr2th1_50c79870348798.25488727_0"	"PISA_slv-SVN_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1074"	"Runner B"	"Tekač B"	"Q2M939_question_question2_2_5c9d20c9a98676.30382780_0"	"PISA_slv-SVN_MAT_M939-Racing_en21_MS2022.xlf"
"1193"	"Yes"	"Da"	"Q1M949_question_Q1tr1th2_50c7a9c414b2d9.75227591_0"	"PISA_slv-SVN_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
