"Segment"	"en-ZZ"	"nl-BE"	"ID"	"File"
"1308"	"increase"	"zal toenemen"	"S607_question3_S607Q03SELECT21_5174071346a174.96935374_0"	"PISA_nld-BEL_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2919"	"No"	"Nee"	"S648_question4_question4_2_517407af761f92.59952877_0"	"PISA_nld-BEL_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Typ je antwoord. &lt;/i&gt;"	"S638_question5_itemDirections5_51804fe18ba1e7.21783966_0"	"PISA_nld-BEL_SCI_S638-OilSpills_en15_MS2022.xlf"
"2632"	"LED light bulbs"	"Bij de ledlamp"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_nld-BEL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2633"	"Halogen light bulbs"	"Bij de halogeenlamp"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_nld-BEL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1085"	"S603 Elephants and Acacia Trees"	"S603 Olifanten en acacia's V01"	"S603_stimulus0_unknownID_515e3a7211c414.47979555_0"	"PISA_nld-BEL_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"736"	"Yes"	"JA"	"S498_question3_question3_1_50ec5d87ace693.79689028_0"	"PISA_nld-BEL_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"Voor het uitvoeren van deze simulatie kun je de volgende besturingselementen gebruiken:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_nld-BEL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"634"	"Greytown"	"Grijsstad"	"S466_stimulus2_label2_50ed245ca29258.68896150_0"	"PISA_nld-BEL_SCI_S466-ForestFires_en15_MS2022.xlf"
"645"	"Bacteria"	"Bacteriën."	"S478_question1_question1_3_50ed1dea667066.20726798_0"	"PISA_nld-BEL_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Bij de spaarlamp"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_nld-BEL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"636"	"Earltown"	"Graafstad"	"S466_stimulus2_label4_50ed245ca296f7.60498745_0"	"PISA_nld-BEL_SCI_S466-ForestFires_en15_MS2022.xlf"
"2109"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"In de simulatie zal elke persoon van de populatie zich altijd in één van de volgende drie toestanden bevinden."	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_nld-BEL_SCI_S634-Vaccination_en15_MS2022.xlf"
"637"	"Dairytown"	"Zuivelstad"	"S466_stimulus2_label5_50ed245ca29948.49743350_0"	"PISA_nld-BEL_SCI_S466-ForestFires_en15_MS2022.xlf"
"1834"	"No"	"Nee"	"S626_question4_question4_3_515e3a726d0f76.55989842_0"	"PISA_nld-BEL_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1971"	"No"	"Nee"	"S627_question3_Q3_tr1th3_51740713b4c9b2.19457637_0"	"PISA_nld-BEL_SCI_S627-CarTyres_en15_MS2022.xlf"
"936"	"lower"	"lager"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_nld-BEL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1309"	"decrease"	"zal afnemen"	"S607_question3_S607Q03SELECT22_5174071346a6b7.14780014_0"	"PISA_nld-BEL_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2245"	"Medium"	"Matig"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_nld-BEL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2014"	"No"	"Nee"	"S629_question2_Q1_tr1th3_515e3a72815a71.79521214_0"	"PISA_nld-BEL_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2359"	"No"	"Nee"	"question4_1_question4_4_51940bae428b27.01236807_0"	"PISA_nld-BEL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2623"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then select data in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt; Voer de simulatie uit om gegevens te verzamelen op basis van de onderstaande informatie. Klik op het juiste antwoord en selecteer daarna gegevens in de tabel.&lt;/i&gt;"	"question5_1_itemDirections05_51940c10264da7.01923279_0"	"PISA_nld-BEL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"737"	"No"	"NEEN"	"S498_question3_question3_2_50ec5d87acea66.83805731_0"	"PISA_nld-BEL_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 Tornado's Q04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_nld-BEL_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Voor het uitvoeren van deze simulatie kun je de volgende besturingselementen gebruiken:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_nld-BEL_SCI_S634-Vaccination_en15_MS2022.xlf"
"1619"	"Medium"	"Matig"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_nld-BEL_SCI_S615-Tsunami_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Bij de gloeilamp"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_nld-BEL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1310"	"stay the same"	"gelijk zal blijven"	"S607_question3_S607Q03SELECT23_5174071346abe7.58595054_0"	"PISA_nld-BEL_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lees de inleiding en klik daarna op de pijl VOLGENDE.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_nld-BEL_SCI_S615-Tsunami_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Kunnen wetenschappelijke experimenten deze vraag beantwoorden?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_nld-BEL_SCI_S638-OilSpills_en15_MS2022.xlf"
