"Segment"	"en-ZZ"	"ru-BY"	"ID"	"File"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_rus-BLR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5278"	"Mean"	"Среднее значение"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_rus-BLR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4578"	"A"	"З"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_rus-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3329"	"A"	"А"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_rus-BLR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4598"	"A"	"З"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_rus-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3206"	"Select"	"Выбрать"	"Q1MA134_question_Q01tr4td1SELECT1o0_5c9d2164319403.08217963_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Выберите вариант из выпадающих меню, чтобы ответить на вопрос."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_rus-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Пользуясь цифровой клавиатурой, введите свои ответы на вопрос."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос в выпадающих меню."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_rus-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3194"	"Select"	"Выбрать"	"Q1MA134_question_Q01tr2td1SELECT1o0_5c9d2164318406.38896392_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_rus-BLR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2270"	"Select"	"Выбрать"	"MA126_question02_S02tr10o0_5c9d214b529a89.07692092_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Пользуясь цифровой клавиатурой, введите свои ответы на вопрос."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_rus-BLR_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос в выпадающих меню."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_rus-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2280"	"Select"	"Выбрать"	"MA126_question02_S02tr12o0_5c9d214b52b310.84213382_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"2260"	"Select"	"Выбрать"	"MA126_question02_S02tr8o0_5c9d214b528133.68273862_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"2250"	"Select"	"Выбрать"	"MA126_question02_S02tr6o0_5c9d214b526e30.75797689_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"2235"	"Select"	"Выбрать"	"MA126_question02_S02tr3o0_5c9d214b525521.10669663_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"3460"	"Select"	"Выбрать"	"q2CMA137_question_q1A0_5c9d216470a101.61255510_0"	"PISA_rus-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1825"	"Select"	"Выбрать"	"MA121_question02_Q02UL2Li2o0_5c9d214b05a8c2.07370665_0"	"PISA_rus-BLR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос в выпадающих меню."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_rus-BLR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3475"	"Select"	"Выбрать"	"q2CMA137_question_q1D0_5c9d216470c463.55070529_0"	"PISA_rus-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Не забывайте, что нужно выбрать &lt;b&gt;один или несколько&lt;/b&gt; вариантов ответа."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_rus-BLR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4850"	"Mean"	"Среднее значение"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_rus-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4580"	"D"	"Д"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_rus-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2275"	"Select"	"Выбрать"	"MA126_question02_S02tr11o0_5c9d214b52a4c8.83086782_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Не забывайте, что нужно выбрать &lt;b&gt;один или несколько&lt;/b&gt; вариантов ответа."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_rus-BLR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3188"	"Select"	"Выбрать"	"Q1MA134_question_Q01tr1td1SELECT1o0_5c9d2164317ac7.89754540_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4161"	"C"	"С"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_rus-BLR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3189"	"A"	"А"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4590"	"D"	"Д"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_rus-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4214"	"A"	"А"	"MA149_stimulus1_img1Lbl1_5c9d2165288f09.35660227_0"	"PISA_rus-BLR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Для того, чтобы пользоваться калькулятором, выполните следующие шаги:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_rus-BLR_MAT_MA112-Metabolism_en21_MS2022.xlf"
