"Segment"	"en-ZZ"	"es-PA"	"ID"	"File"
"657"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"Haz clic en &lt;b&gt;2&lt;/b&gt; para leer la página &lt;b&gt;2&lt;/b&gt;."	"R404_question_introBullet2_56d724d43343b5.90951414_0"	"PISA_esp-PAN_REA_R404-Sleep_en18_MS2022.xlf"
"4958"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓&lt;i&gt;Recuerda seleccionar &lt;b&gt;una o más&lt;/b&gt; casillas.&lt;/i&gt;"	"R566_question01_q01p2_56fc786b7f01a9.64276582_0"	"PISA_esp-PAN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4878"	"Website"	"Sitio web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-PAN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2708"	"Tours"	"Recorridos"	"R550_tours_tours_l5_56fc785cd3b241.95757830_0"	"PISA_esp-PAN_REA_R550-CliffPalace_en18_MS2022.xlf"
"2622"	"Tours"	"Recorridos"	"R550_cliff_palace_cp_l5_56fc785ccafdf2.23760181_0"	"PISA_esp-PAN_REA_R550-CliffPalace_en18_MS2022.xlf"
"5151"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓&lt;i&gt;Recuerda seleccionar &lt;b&gt;una o más&lt;/b&gt; casillas.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_esp-PAN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"980"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;¡Importante! No olvide adjuntar:&lt;/b&gt;&lt;br /&gt; Una copia de su comprobante de compra&lt;br /&gt; &amp;mdash; El código o códigos de barras y la etiqueta o etiquetas con el precio de los productos originales&lt;br /&gt;"	"R466_stimulus_sect3right_56d724d6537761.30479139_0"	"PISA_esp-PAN_REA_R466-WorkRight_en18_MS2022.xlf"
"4116"	"Use drag and drop to answer the question."	"Usa la función de arrastrar y soltar para responder a la pregunta."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_esp-PAN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1479"	"Tutors for All"	"Clases de Reforzamiento para Todos."	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_esp-PAN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"268"	"T"	"J"	"R219_stimulus_stimulus_7_56d724d3633d21.35894501_0"	"PISA_esp-PAN_REA_R219-Employment_en18_MS2022.xlf"
"5040"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓&lt;i&gt;Recuerda seleccionar &lt;b&gt;una o más&lt;/b&gt; casillas.&lt;/i&gt;"	"R566_question07_q07p2_56fc786b8be128.35981027_0"	"PISA_esp-PAN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5057"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓&lt;i&gt;Recuerda seleccionar &lt;b&gt;una o más&lt;/b&gt; casillas.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_esp-PAN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"822"	"&lt;b&gt;Chocolate and Health&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El chocolate y la salud&lt;/b&gt;&lt;br /&gt; Pregunta"	"R455_question_itemTitle_56d724d5e21192.68680838_0"	"PISA_esp-PAN_REA_R455-ChocolateAndHealth_en18_MS2022.xlf"
"2036"	"True"	"Verdaderos"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_esp-PAN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2595"	"Tours"	"Recorridos"	"R550_ancestral_ancestral_l5_56fc785cc8ecb4.24192080_0"	"PISA_esp-PAN_REA_R550-CliffPalace_en18_MS2022.xlf"
"2661"	"Tours"	"Recorridos"	"R550_hours_hours_l5_56fc785ccf7de4.79911182_0"	"PISA_esp-PAN_REA_R550-CliffPalace_en18_MS2022.xlf"
"520"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"Haz clic en &lt;b&gt;2&lt;/b&gt; para leer la página &lt;b&gt;2&lt;/b&gt;."	"R220_question_introBullet2_56d724d3b0e365.77304012_0"	"PISA_esp-PAN_REA_R220-SouthPole_en18_MS2022.xlf"
"2035"	"Is the statement true or false?"	"Según el folleto, ¿los siguientes enunciados son verdaderos o falsos?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-PAN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4068"	"Type your answer to the question."	"Haz clic en una opción y escribe una explicación para responder a la pregunta."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_esp-PAN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"519"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Lee la página &lt;b&gt;1&lt;/b&gt;."	"R220_question_introBullet1_56d724d3b0df38.22719846_0"	"PISA_esp-PAN_REA_R220-SouthPole_en18_MS2022.xlf"
"2037"	"False"	"Falsos"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_esp-PAN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5709"	"Use drag and drop to answer the question."	"Usa la función de arrastrar y soltar para responder a la pregunta."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_esp-PAN_REA_R569-TheCleanup_en18_MS2022.xlf"
"3204"	"Products made from honey"	"Productos procedentes de la miel."	"R553_question4_question04_4_56fc784a600149.50110116_1_0"	"PISA_esp-PAN_REA_R553-HealthForum_en18_MS2022.xlf"
"656"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Lee la página &lt;b&gt;1&lt;/b&gt;."	"R404_question_introBullet1_56d724d4334102.78680944_0"	"PISA_esp-PAN_REA_R404-Sleep_en18_MS2022.xlf"
"2691"	"Tours"	"Recorridos"	"R550_map_map_l5_56fc785cd18dc8.55592325_0"	"PISA_esp-PAN_REA_R550-CliffPalace_en18_MS2022.xlf"
"2649"	"Tours"	"Recorridos"	"R550_general_info_gi_l5_56fc785ccda572.09287740_0"	"PISA_esp-PAN_REA_R550-CliffPalace_en18_MS2022.xlf"
"5326"	"Refer to “Requirements” on the right."	"Lee &quot;Requisitos para ser bombero paracaidista&quot; a la derecha."	"R568_question10_q10itemDirections_56fc78791dc480.80691911_0_0"	"PISA_esp-PAN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
