"Segment"	"en-ZZ"	"lt-LT"	"ID"	"File"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Nepamirškite pasirinkti &lt;b&gt;vieno ar kelių&lt;/b&gt; atsakymų."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_lit-LTU_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4701"	"Motorcycle"	"Motociklo"	"q2MA157_question_question02_6_5c9d216572f4d8.24396304_0"	"PISA_lit-LTU_MAT_MA157-Tyres_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Norėdami atlikti šį skaičiavimą, atlikite šiuos veiksmus:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_lit-LTU_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Nepamirškite pasirinkti &lt;b&gt;vieno ar kelių&lt;/b&gt; atsakymų."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_lit-LTU_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3685"	"Refer to “Water Bill” on the right."	"Remdamiesi dešinėje pateikta užduoties „Sąskaita už vandenį“ informacija,"	"q4CMA141_question_q4itemDirections_5c9d2164a9ca08.40004442_0_0"	"PISA_lit-LTU_MAT_MA141-WaterBill_en21_MS2022.xlf"
"2187"	"Then click on the NEXT arrow."	"spustelėkite rodyklę TOLIAU."	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_1_0"	"PISA_lit-LTU_MAT_MA126-Robot_en21_MS2022.xlf"
"1939"	"30%"	"30 %"	"MA124_stimulus1_MA124S01PiesRightLowP2_5c9d214b3edc43.76239355_0"	"PISA_lit-LTU_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"2353"	"Refer to “Predicting Height” on the right."	"Remdamiesi dešinėje pateikta užduoties „Prognozuojamas ūgis“ informacija,"	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_0_0"	"PISA_lit-LTU_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"2341"	"Refer to “Predicting Height” on the right."	"Remdamiesi dešinėje pateikta užduoties „Prognozuojamas ūgis“ informacija,"	"Q2MA122_question_Q2ItmDirP1Id_5c9d214b6c1d02.17010694_0_0"	"PISA_lit-LTU_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"2692"	"Read the introduction."	"Perskaitykite įvadą ir"	"question0a_1_itemDirections00_5c9d214b887736.20535767_0_0"	"PISA_lit-LTU_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1959"	"Refer to “Zedland Topography” on the right."	"Remdamiesi dešinėje pateikta užduoties „Zedlandijos topografija“ informacija"	"MA124_questionQ02_itemDirectionsQ02_5c9d214b415ed2.33273745_0_0"	"PISA_lit-LTU_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"2558"	"Refer to “Shelving Unit” on the right."	"Remdamiesi dešinėje pateikta užduoties „Stelažas“ informacija"	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_0_0"	"PISA_lit-LTU_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3216"	"Refer to “Car and Bicycle Ownership” on the right."	"Remdamiesi dešinėje pateikta užduoties „Nuosavas automobilis ir dviratis“ informacija"	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_0_0"	"PISA_lit-LTU_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2814"	"Refer to “Travelling by Train” on the right."	"Remdamiesi dešinėje pateikta užduoties „Kelionė traukiniu“ informacija"	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_0_0"	"PISA_lit-LTU_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"2447"	"Refer to “Salinity of Water” on the right."	"Remdamiesi dešinėje pateikta užduoties „Vandens druskingumas“ informacija"	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_0_0"	"PISA_lit-LTU_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Iš viso &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_lit-LTU_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1378"	"Read the introduction."	"Perskaitykite įvadą ir"	"question0a_1_itemDirections00_5c9d214aab7211.94558881_0_0"	"PISA_lit-LTU_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"592"	"Use the simulator to help you answer the question below."	"pasinaudodami simuliatoriumi,"	"MA108q02_question_q02itemDirections_5c9d2136c1f750.90859666_1_0"	"PISA_lit-LTU_MAT_MA108-Fountains_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Nepamirškite pasirinkti &lt;b&gt;vieno ar kelių&lt;/b&gt; atsakymų."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_lit-LTU_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2952"	"Refer to “Water Temperature” on the right."	"Remdamiesi dešinėje pateikta užduoties „Vandens temperatūra“ informacija,"	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_0_0"	"PISA_lit-LTU_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"4700"	"Construction Vehicle"	"Statybinės transporto priemonės"	"q2MA157_question_question02_5_5c9d216572f2a6.82105559_0"	"PISA_lit-LTU_MAT_MA157-Tyres_en21_MS2022.xlf"
"604"	"Use the simulator to help you answer the question below."	"pasinaudodami simuliatoriumi,"	"MA108q03_question_q03itemDirections_5c9d2136c3a341.57185648_1_0"	"PISA_lit-LTU_MAT_MA108-Fountains_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Paaiškinkite savo atsakymą, pateikdami pagrindžiančius skaičiavimus."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_lit-LTU_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"spustelėkite rodyklę TOLIAU."	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_lit-LTU_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4131"	"30%"	"30 %"	"MA147q4_question_question04_6_5c9d21650b70f6.04913867_0"	"PISA_lit-LTU_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"spustelėkite rodyklę TOLIAU."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_lit-LTU_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1838"	"Refer to “Mobile Phone Reviews” on the right."	"Remdamiesi dešinėje pateikta užduoties „Mobiliųjų telefonų atsiliepimai“ informacija,"	"MA121_question03_Q03itemDirections_5c9d214b07d797.77931049_0_0"	"PISA_lit-LTU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1422"	"Refer to “Mixing Paint” on the right."	"Remdamiesi dešinėje pateikta užduoties „Dažų maišymas“ informacija"	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_0_0"	"PISA_lit-LTU_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"2186"	"Read the introduction."	"Perskaitykite įvadą ir"	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_0_0"	"PISA_lit-LTU_MAT_MA126-Robot_en21_MS2022.xlf"
"935"	"Refer to “Metabolism” on the right."	"Remdamiesi dešinėje pusėje pateikta užduoties „Medžiagų apykaita“ informacija"	"MA112_question03_q03itemDirections_5c9d2136e61200.83045390_0_0"	"PISA_lit-LTU_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Paaiškinkite savo atsakymą, pateikdami pagrindžiančius skaičiavimus."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_lit-LTU_MAT_MA146-Fuel_en21_MS2022.xlf"
"1342"	"Refer to “International School” on the right."	"Remdamiesi dešinėje pateikta užduoties „Tarptautinė mokykla“ informacija"	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_0_0"	"PISA_lit-LTU_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"3661"	"Refer to “Water Bill” on the right."	"Remdamiesi dešinėje pateikta užduoties „Sąskaita už vandenį“ informacija,"	"q2CMA141_question_q2itemDirections_5c9d2164a72bc8.55196769_0_0"	"PISA_lit-LTU_MAT_MA141-WaterBill_en21_MS2022.xlf"
"2527"	"Then click on the NEXT arrow."	"spustelėkite rodyklę TOLIAU."	"question0a_1_itemDirections00_5c9d214b76c282.48085737_1_0"	"PISA_lit-LTU_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Nutempkite raides į reikiamas vietas."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_lit-LTU_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"923"	"Refer to “Metabolism” on the right."	"Remdamiesi dešinėje pusėje pateikta užduoties „Medžiagų apykaita“ informacija"	"MA112_question02_q02itemDirections_5c9d2136e4d2d8.51779790_0_0"	"PISA_lit-LTU_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2989"	"Refer to “Arranging Tables” on the right."	"Remdamiesi dešinėje pateikta užduoties „Stalų išdėstymas“ informacija"	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_0_0"	"PISA_lit-LTU_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"924"	"Use the Metabolism Calculator to help you answer the question below."	"ir pasinaudodami skaičiuokle,"	"MA112_question02_q02itemDirections_5c9d2136e4d2d8.51779790_1_0"	"PISA_lit-LTU_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1715"	"Read the introduction."	"Perskaitykite įvadą ir"	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_0_0"	"PISA_lit-LTU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1332"	"Refer to “International School” on the right."	"Remdamiesi dešinėje pateikta užduoties „Tarptautinė mokykla“ informacija"	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_0_0"	"PISA_lit-LTU_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"3629"	"Refer to “Walk to School” on the right."	"Remdamiesi dešinėje pateikta užduoties „Kelionė į mokyklą“ informacija,"	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_0_0"	"PISA_lit-LTU_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_lit-LTU_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Ar šie teiginiai teisingi ar klaidingi?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_lit-LTU_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4401"	"40%"	"40 %"	"q2MA151_question_question02_7_5c9d216543caf3.85352516_0"	"PISA_lit-LTU_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Iš viso &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_lit-LTU_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4514"	"Use the simulator to help you answer the question below."	"pasinaudodami simuliatoriumi,"	"MA153q02_question_q02itemDirections_5c9d213746bb12.40931470_1_0"	"PISA_lit-LTU_MAT_MA153-Gears_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_lit-LTU_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4503"	"Use the simulator to help you answer the question below."	"pasinaudodami simuliatoriumi,"	"MA153q01_question_q01itemDirections_5c9d2137456f45.88842568_1_0"	"PISA_lit-LTU_MAT_MA153-Gears_en21_MS2022.xlf"
"581"	"Using the number keys, type your answer to the question."	"ir skaičių klavišais, įrašykite atsakymą."	"MA108q01_question_q01itemDirections_5c9d2136c0c0c4.55457410_2_0"	"PISA_lit-LTU_MAT_MA108-Fountains_en21_MS2022.xlf"
"1170"	"Read the introduction."	"Perskaitykite įvadą ir"	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_0_0"	"PISA_lit-LTU_MAT_MA114-Honey_en21_MS2022.xlf"
"1716"	"Then click on the NEXT arrow."	"spustelėkite rodyklę TOLIAU."	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_lit-LTU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1481"	"Refer to “Music Survey” on the right."	"Remdamiesi dešinėje pateikta užduoties „Muzikos apklausa“ informacija"	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_0_0"	"PISA_lit-LTU_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"3618"	"Refer to “Walk to School” on the right."	"Remdamiesi dešinėje pateikta užduoties „Kelionė į mokyklą“ informacija,"	"MA140_question2_q2itemDirections_5c9d21649c7fa5.69809185_0_0"	"PISA_lit-LTU_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
