"Segment"	"en-ZZ"	"zh-CN"	"ID"	"File"
"894"	"True"	"对"	"R455_question_tr1th2_51943fe7454bc5.21539533_0"	"PISA_zho-CHN_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"2125"	"Refer to “Visit Majestic Machu Picchu” on the right."	"参考右侧的材料&quot;游览壮丽的马丘比丘&quot;，"	"R545_question02_Q06itemDirections_56fc7821b05912.78337269_0_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"使用＂拖放＂功能来回答本题。"	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_zho-CHN_REA_R569-TheCleanup_en18_MS2022.xlf"
"1313"	"False"	"不正确"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_zho-CHN_REA_R541-Plastic_en18_MS2022.xlf"
"3468"	"Type your answer to the question.&lt;/i&gt;"	"输入你在本题的答案。&lt;/i&gt;"	"R556_question6_itemDirections_56fc783ad7eec4.09705116_1_0"	"PISA_zho-CHN_REA_R556-Microlending_en18_MS2022.xlf"
"5312"	"True"	"正确"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2898"	"Type your answer to the question."	"输入你在本题的答案。"	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_zho-CHN_REA_R550-CliffPalace_en18_MS2022.xlf"
"2097"	"Refer to “Visit Majestic Machu Picchu” on the right."	"参考右侧的材料&quot;游览壮丽的马丘比丘&quot;，"	"R545_question03_Q03itemDirections_56fc7821ad84c2.36903751_0_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"点击表格中的选项来回答本题。
&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_zho-CHN_REA_R547-BookSurvey_en18_MS2022.xlf"
"3475"	"Type your answer to the question.&lt;/i&gt;"	"输入你在本题的答案。&lt;/i&gt;"	"R556_question7_itemDirections_56fc783ad9edc5.41424598_1_0"	"PISA_zho-CHN_REA_R556-Microlending_en18_MS2022.xlf"
"5250"	"Refer to “What is a Smokejumper?” on the right."	"参考右侧的材料“什么是空降消防员？”，"	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_0_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4167"	"True"	"正确"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_zho-CHN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3747"	"Explain your answer."	"解释你的答案。"	"R558_question09_Q09p6_56fc786b1501c7.47953831_0"	"PISA_zho-CHN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1560"	"Tuesday"	"周二"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_zho-CHN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"304"	"S"	"日"	"R219_stimulus_stimulus_10_51943fe6716bc4.68662075_0"	"PISA_zho-CHN_REA_R219-Employment_en15_MS2022.xlf"
"4385"	"ZEDTOWN YOUTH MAGAZINE"	"西德镇青年杂志"	"R563-stimulus-communtity_news-h1_56fc786b34c693.03457713_0"	"PISA_zho-CHN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"301"	"T"	"四"	"R219_stimulus_stimulus_7_51943fe6716138.19328469_0"	"PISA_zho-CHN_REA_R219-Employment_en15_MS2022.xlf"
"3609"	"&lt;i&gt;Read the Introduction."	"&lt;i&gt;阅读简介。"	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_0_0"	"PISA_zho-CHN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5542"	"True"	"正确"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_zho-CHN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"通过点击标签，查看右侧的两份材料。"	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_zho-CHN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3799"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"参考右侧的的材料“娜丽妮·纳德卡妮：对树木的热爱”，"	"R559_question02_q02itemDirections_56fc783b259b76.36684830_0_0"	"PISA_zho-CHN_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1559"	"Monday"	"周一"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_zho-CHN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1562"	"Thursday"	"周四"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_zho-CHN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1312"	"True"	"正确"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_zho-CHN_REA_R541-Plastic_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"通过点击标签，查看右侧的两份材料。"	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_zho-CHN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&amp;bull; 凡购买600元至1499.9元，办公易将返还现金&lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;元。&lt;br /&gt; &amp;bull; 凡购买1500元至2999.9元，办公易将返还现金500元。&lt;br /&gt; &amp;bull; 凡购买3000元及以上，办公易将返还现金1000元。&lt;br /&gt;"	"R466_stimulus_line5_51943fe78ba5d7.50083322_0"	"PISA_zho-CHN_REA_R466-WorkRight_en15_MS2022.xlf"
"2139"	"Refer to “Visit Majestic Machu Picchu” on the right."	"参考右侧的材料&quot;游览壮丽的马丘比丘&quot;，"	"R545_question02_Q07itemDirections_56fc7821b1ae23.99363686_0_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"895"	"False"	"错"	"R455_question_tr1th3_51943fe74550c6.49246425_0"	"PISA_zho-CHN_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"3127"	"Explain your answer."	"解释你的答案。"	"R552_question08_q08p2_56fd79426a3370.74626926_0"	"PISA_zho-CHN_REA_R552-FestiRock_en18_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"对每个陈述点击&lt;b&gt;正确&lt;/b&gt;或&lt;b&gt;不正确&lt;/b&gt;。"	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5264"	"Refer to “What is a Smokejumper?” on the right."	"参考右侧的材料“什么是空降消防员？”，"	"R567_question05_q05itemDirections_56fc787910ed76.86602726_0_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"点击一项搜寻结果来回答本题。"	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1446"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"对呀，本来想，不过现在我对这个补习通告更有兴趣…"	"Q01R542_question_Convp7_56fc782106bb52.01850166_1_0"	"PISA_zho-CHN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2103"	"False"	"不正确"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2486"	"Then click on the NEXT arrow."	"然后点击“下一页”的箭头"	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_zho-CHN_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5269"	"True"	"正确"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5270"	"False"	"不正确"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2083"	"Refer to “Visit Majestic Machu Picchu” on the right."	"参考右侧的材料&quot;游览壮丽的马丘比丘&quot;，"	"R545_question02_Q02itemDirections_56fc7821ac1062.96206955_0_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3538"	"Type your answer to the question.&lt;/i&gt;"	"输入你在本题的答案。&lt;/i&gt;"	"R556_question11_itemDirections_56fc783ae151e7.17163175_1_0"	"PISA_zho-CHN_REA_R556-Microlending_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"而聆听，是我的荣幸&lt;/i&gt;。”"	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_zho-CHN_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3109"	"Explain your answer."	"解释你的答案。"	"R552_question06_q06p4_56fd794266d703.81846734_0"	"PISA_zho-CHN_REA_R552-FestiRock_en18_MS2022.xlf"
"4438"	"ZEDTOWN YOUTH MAGAZINE"	"西德镇青年杂志"	"R563-stimulus-communtity_news-h1_56fc786b37ebb7.47134135_0"	"PISA_zho-CHN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3745"	"Home Health Journal"	"《家庭保健期刊》"	"R558_question09_question09_2_56fc786b14f771.92248344_0"	"PISA_zho-CHN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4368"	"ZEDTOWN YOUTH MAGAZINE"	"西德镇青年杂志"	"R563-stimulus-culture_news-h1_56fc786b333736.14493263_0"	"PISA_zho-CHN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4473"	"ZEDTOWN YOUTH MAGAZINE"	"西德镇青年杂志"	"R563-stimulus-news_news-h1_56fc786b3a3732.15521540_0"	"PISA_zho-CHN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5836"	"Type your answer to the question."	"输入你在本题的答案。"	"q6R569_question_q06itemDirections_56fc787954aeb9.99591068_1_0"	"PISA_zho-CHN_REA_R569-TheCleanup_en18_MS2022.xlf"
"3813"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"参考右侧的的材料“娜丽妮·纳德卡妮：对树木的热爱”，"	"R559_question03_q03itemDirections_56fc783b26ca61.80059891_0_0"	"PISA_zho-CHN_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1477"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"对呀，本来想，不过现在我对这个补习通告更有兴趣…"	"Q02R542_question_Convp7_56fc782107fe14.69518872_1_0"	"PISA_zho-CHN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2102"	"True"	"正确"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4414"	"ZEDTOWN YOUTH MAGAZINE"	"西德镇青年杂志"	"R563-stimulus-communtity_news-h1_56fc786b364995.78257353_0"	"PISA_zho-CHN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2153"	"Refer to “Visit Majestic Machu Picchu” on the right."	"参考右侧的材料&quot;游览壮丽的马丘比丘&quot;，"	"R545_question04_Q09itemDirections_56fc7821b30c73.16221683_0_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"320"	"LOCATION"	"地点："	"R219_stimulus_sect4Line2span2_51943fe671d9f1.59931229_0"	"PISA_zho-CHN_REA_R219-Employment_en15_MS2022.xlf"
