"Segment"	"en-ZZ"	"es-SV"	"ID"	"File"
"779"	"The use of science to predict natural disasters"	"El uso de la ciencia para predecir los desastres naturales"	"S514_question3_tr2td1_50ed2967cbac78.63761057_0"	"PISA_esp-SLV_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2422"	"Pour supprimer une ligne de données, cliquez sur le bouton « Supprimer » à côté de cette ligne. &lt;br /&gt;"	"Para eliminar cualquier renglón de datos, da clic en el botón “Borrar” al lado del renglón. &lt;br /&gt;"	"menu_1_menuP4_51940c2ad46e45.39143186_0"	"PISA_esp-SLV_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"1522"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comprender los tsunamis&lt;/b&gt;&lt;br /&gt; Pregunta"	"question4_1_itemTitle04_5193d474352f91.87465042_0"	"PISA_esp-SLV_SCI_S615-Tsunami_fr15_MS2022.xlf"
"2204"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"Para ver cómo funcionan los controles de la simulación sigue estos pasos:"	"question2_1_P22_51940bdd9e2593.21963118_0"	"PISA_esp-SLV_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"1984"	"Dans la simulation, chaque personne de la population est toujours dans l’un des trois états suivants."	"En la simulación, cada individuo de la población estará siempre en uno de los tres estados siguientes."	"question000_1_q000P2_5193fe2e088997.80484219_0"	"PISA_esp-SLV_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1206"	"L'énergie géothermique"	"Energía geotérmica"	"S605_stimulus3_title3_515e341d9cb7d1.41933682_0"	"PISA_esp-SLV_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
"2431"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"Para ver cómo funcionan los controles de la simulación sigue estos pasos:"	"question2_1_Q02P2_51940c2ad85c03.54737536_0"	"PISA_esp-SLV_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2455"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;Ejecuta la simulación para obtener datos basados en la información que está a continuación. Para responder a la pregunta, selecciona una o más opciones.&lt;/i&gt;"	"question4_1_itemDirections04_51940c2adcb322.49737777_0"	"PISA_esp-SLV_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"1983"	"Cette simulation vous permet d’explorer l’effet de la vaccination sur la propagation d’une maladie contagieuse dans une population de personnes exposées à cette maladie."	"Esta simulación te permite explorar el efecto de la vacunación en la propagación de una enfermedad contagiosa en una población expuesta a esta enfermedad."	"question000_1_q000P1_5193fe2e088444.76313620_0"	"PISA_esp-SLV_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1223"	"L'énergie géothermique"	"Energía geotérmica"	"S605_stimulus4_title4_515e341d9e79d5.95856307_0"	"PISA_esp-SLV_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
"2733"	"Mars"	"Marte"	"S648_question2_o2_3_517304a619ef37.94823363_0"	"PISA_esp-SLV_SCI_S648-HabitableZone_fr15_MS2022.xlf"
"1960"	"Cuiseur solaire"	"Cocina solar"	"S629_stimulus1_attr_alt_attr_stimulus1_2_515e341de59ef6.59351038_0"	"PISA_esp-SLV_SCI_S629-SolarCooker_fr15_MS2022.xlf"
"1959"	"Cuiseur solaire"	"Cocina solar"	"S629_stimulus1_attr_alt_attr_stimulus1_1_515e341de59da4.51559001_0"	"PISA_esp-SLV_SCI_S629-SolarCooker_fr15_MS2022.xlf"
"1535"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comprender los tsunamis&lt;/b&gt;&lt;br /&gt; Pregunta"	"question5_1_itemTitle05_5193d47436fe78.36046518_0"	"PISA_esp-SLV_SCI_S615-Tsunami_fr15_MS2022.xlf"
