"Segment"	"en-ZZ"	"sr-RS"	"ID"	"File"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klikni na &lt;b&gt;Tačno&lt;/b&gt; ili &lt;b&gt;Netačno&lt;/b&gt; za svaku od tvrdnji u donjoj tabeli."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_srp-SRB_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Napiši svoj odgovor na pitanje koristeći brojeve na tastaturi."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_srp-SRB_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Podsećamo te da možeš izabrati &lt;b&gt;jedan ili više&lt;/b&gt; kvadratića."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_srp-SRB_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Ukupno &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_srp-SRB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5019"	"Mean"	"Srednja vrednost"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_srp-SRB_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5278"	"Mean"	"Srednja vrednost"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_srp-SRB_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na dva izabrana kvadratića."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_srp-SRB_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Odgovori na pitanje koristeći opciju „prevuci i spusti“."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_srp-SRB_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Odgovori na pitanje koristeći opciju „prevuci i spusti“."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_srp-SRB_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Tačno&lt;/b&gt; ili &lt;b&gt;Netačno&lt;/b&gt; za svaku od tvrdnji."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_srp-SRB_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_srp-SRB_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Napiši svoje odgovore koristeći brojeve na tastaturi."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_srp-SRB_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Napiši svoj odgovor na pitanje koristeći brojeve na tastaturi."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_srp-SRB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5075"	"Statement"	"Pitanje"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_srp-SRB_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3981"	"Litres"	"Litara"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_srp-SRB_MAT_MA146-Fuel_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Podsećamo te da možeš izabrati &lt;b&gt;jedan ili više&lt;/b&gt; kvadratića."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_srp-SRB_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na jedan ili više izabranih kvadratića."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_srp-SRB_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Tačno&lt;/b&gt; ili &lt;b&gt;Netačno&lt;/b&gt; za svaku od tvrdnji."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_srp-SRB_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_srp-SRB_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_srp-SRB_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
