"Segment"	"en-ZZ"	"ca-ES"	"ID"	"File"
"2371"	"increase"	"augmenta"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"disminueix"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bé!&lt;br /&gt; Si us plau, clica a la fletxa SEGÜENT per continuar."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_cat-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"278"	"Scratch resistance"	"Resistència al ratllat"	"S413_question3_q3t4tr6td1_50ec42879e8ac6.30265186_0"	"PISA_cat-ESP_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2339"	"select"	"selecciona"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2471"	"S638 Oil Spills Introduction"	"S638 Els vessament de petroli Introducció"	"S638_question1_unknownID_51804fe17c3778.86826459_0"	"PISA_cat-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2372"	"decrease"	"disminueix"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"936"	"lower"	"inferiors"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_cat-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"935"	"higher"	"superiors"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_cat-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1986"	"car tyres"	"pneumàtics"	"S627_stimulus2_title2_51740713b9bad9.30274559_0"	"PISA_cat-ESP_SCI_S627-CarTyres_en15_MS2022.xlf"
"2450"	"None"	"Nul"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"599"	"&lt;i&gt;Refer to &quot;Forest Fires&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta &quot;Els incendis forestals&quot;. Clica les opcions de la taula per respondre la pregunta.&lt;/i&gt;"	"S466_question2_itemDirections2_50ed2428c7efa8.72650307_0"	"PISA_cat-ESP_SCI_S466-ForestFires_en15_MS2022.xlf"
"1523"	"Medium"	"Moderat"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_cat-ESP_SCI_S615-Tsunami_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Poden els experiments científics respondre aquesta pregunta?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_cat-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2343"	"select"	"selecciona"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Mitjà"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Baix"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"Bacteris"	"S478_question1_question1_3_50ed1db5532cd2.71249337_0"	"PISA_cat-ESP_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2375"	"increase"	"augmenta"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2243"	"None"	"Nul"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2245"	"Medium"	"Mitjà"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Mitjà"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2554"	"Time"	"Moment"	"S638_stimulus1_stimulus1_3_51804fe1903507.70731024_0"	"PISA_cat-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2455"	"None"	"Nul"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2374"	"select"	"selecciona"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
