"Segment"	"en-ZZ"	"ar-QA"	"ID"	"File"
"2372"	"decrease"	"تنقص"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2608"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; مقارنة بين المصابيح الكهربائية &lt;/b&gt;&lt;br /&gt; السؤال"	"question4_1_itemTitle04_51940c1024aa75.90600942_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"احذف صف البيانات لتشغيل محاولة أخرى."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"احذف بعض البيانات لإجراء المزيد من المحاولات."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"في هذه المحاكاة سترى كيف تعمل أنواع مختلفة من المصابيح الكهربائية  ذات مستويات وقدرات مختلفة. سيبين جهاز اختبار المصباح الكهربائي كمية الضوء الناتج (تقاس باللومن)، بالإضافة إلى كفاءة المصباح الكهربائي  (تقاس باللومن لكل واط)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى نص &quot;الأمونيات&quot; على اليسار. ثم استخدم عملية السحب والإسقاط للإجابة عن السؤال. &lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_ara-QAT_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2196"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التطعيم وتفشي الأمراض&lt;/b&gt;&lt;br /&gt; سؤال"	"question4_1_itemTitle04_5193fde5a250d0.49857825_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
"253"	"Resistance to UV-radiation"	"مقاومة الاشعة فوق البنفسجية"	"S413_question3_q3t2tr5td1_50ec428cd2d151.19288917_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1818"	"Refer to &quot;Whales and Shipping Noise&quot; on the right. Click on a choice to answer the question."	"ارجع إلى نص &quot;الصوت في البيئات البحرية&quot; على اليسار. اضغط على أحد الخيارات للإجابة على السؤال."	"S626_question3_question3_1_515e3a726a9369.79882370_0"	"PISA_ara-QAT_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"جيد!&lt;br /&gt; اضغط على زر &quot;التالي&quot; للمتابعة ."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2453"	"High"	"مرتفع"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2361"	"Explain your answer."	"فسر إجابتك"	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2231"	"Please click on the NEXT arrow to continue."	"اضغط على سهم التالي للمتابعة."	"stimulus_1_automationMsg2_5193fde5a8b6f0.19499830_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2345"	"decrease"	"تنقص"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ تذكر أن تختار   &lt;b&gt;واحد أو أكثر&lt;/b&gt; من المربعات."	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"المصابيح  الكهربائية المتوهجة"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1397"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الأمونيات&lt;/b&gt;&lt;br /&gt;السؤال"	"S608_question3_itemTitle3_515e3a722cec14.53047179_0"	"PISA_ara-QAT_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2244"	"Low"	"قليل"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"مرتفع"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1194"	"&lt;b&gt;Geothermal Energy&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الطاقة الجيوحرارية &lt;/b&gt;&lt;br /&gt; السؤال"	"S605_question4_itemTitle4_515e3a721bce25.65106159_0"	"PISA_ara-QAT_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"2341"	"decrease"	"تنقص"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2426"	"Herring"	"أسماك الرنجة"	"stimulus2_1_stimulus2_13_51940bae4f4b49.35250034_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2110"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;معرض للإصابة :&lt;/b&gt;  لا يتم تطعيم الأفراد في هذه الحالة لمنع  المرض وربما يُصابون بالمرض."	"question000_1_t1tr1td2_5193fde5991607.39636409_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2657"	"Incandescent"	"المتوهج"	"sim_1_q02sim2_51940c102b16e1.40689421_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"315"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;اضغط على الخيارات في الجدول للاجابة على السؤال.&lt;/i&gt;"	"S415_question3_itemDirections3_50ec3dc37ab149.02887903_0"	"PISA_ara-QAT_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"1447"	"Species A"	"الأنواع A"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_ara-QAT_SCI_S608-Ammonoids_en15_MS2022.xlf"
"275"	"Medium"	"متوسطة"	"S413_question3_q3t4tr4td2_50ec428cd34471.42659371_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"243"	"Low"	"منخفض"	"S413_question3_q3t1tr5td2_50ec428cd2a322.45823742_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2541"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;تسرب النفط &lt;/b&gt;&lt;br /&gt; السؤال"	"S638_question5_itemTitle5_51804fe18b9630.39685907_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"1705"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الأعاصير&lt;/b&gt;&lt;br /&gt;  السؤال"	"S620_Q5_QitemTitle5_51740713a4cac8.00241652_0"	"PISA_ara-QAT_SCI_S620-Tornadoes_en15_MS2022.xlf"
"267"	"Scratch resistance"	"مقاومة الخدش"	"S413_question3_q3t3tr6td1_50ec428cd31055.30383714_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2782"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;جزيئات النانو&lt;/b&gt;&lt;br /&gt; المقدمة"	"question1_1_itemTitle01_51940c1035ac53.75462781_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"هل يمكن الإجابة على هذه الأسئلة من خلال التجارب العلمية؟"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"540"	"&lt;b&gt;Experiment&lt;/b&gt;"	"&lt;b&gt;التجربة &lt;/b&gt;"	"S438_stimulus2_p3_50ec56de0efb23.79327969_0"	"PISA_ara-QAT_SCI_S438-GreenParks_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"ستسمح لك هذه المحاكاة في معرفة نتائج التفاعل بين المادة A و المادة B. ستستكشف كيف يمكن لحجم مادتين أن تُؤثر على كل من حجم الجزيئات المنتجة وزمن التفاعل."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ تذكر اختيار &lt;b&gt;واحد أو أكثر &lt;/b&gt; من المربعات."	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2505"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;تسرب النفط &lt;/b&gt;&lt;br /&gt; السؤال"	"S638_question3_qitemTitle3_51804fe18524e4.56349804_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;اقرأ المقدمة . ثم إضغط على سهم &quot;التالي&quot;.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_ara-QAT_SCI_S615-Tsunami_en15_MS2022.xlf"
"1298"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الطيور واليرقات&lt;/b&gt;&lt;br /&gt; السؤال"	"S607_question3_itemTitle3_517407134665a3.27903045_0"	"PISA_ara-QAT_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;قم بتشغيل المحاكاة لجمع البيانات استناداً إلى المعلومات الواردة أدناه. اضغط على مربع واحد أو أكثر للإجابة على السؤال.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2403"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;حافظوا على الأسماك&lt;/b&gt;&lt;br /&gt; السؤال"	"S662_question7_itemTitle7_51940bae49abf4.68310676_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; اقرأ المقدمة ثم اضغط على سهم &quot;التالي&quot;.&lt;/i&gt;"	"question0_1_itemDirections00_51940c10345e61.42502127_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"277"	"Medium"	"متوسطة"	"S413_question3_q3t4tr5td2_50ec428cd34da8.70704441_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1430"	"Ammonoids"	"الأمونيات (أحافير بحرية)"	"S608_stimulus1_title1_515e3a723278f4.32125142_0"	"PISA_ara-QAT_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"زر التشغيل لعرض النتائج"	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;في هذا السؤال لن تحتاج إلى استخدام المحاكاة. اضغط على أحد الخيارات ثم اكتب توضيحاًً للإجابة على السؤال.&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2243"	"None"	"لا يوجد"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;اضغط على أحد الخيارات للإجابة على السؤال.&lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_ara-QAT_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"جيد!&lt;br /&gt; اضغط على زر &quot;التالي&quot; للمتابعة ."	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"لاختيار صف من البيانات للإجابة عن السؤال اضغط في أي مكان في الصف.  ستوضع علامة نجمة على الصف ( الصفوف ) التي قمت باختيارها."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
